T[K]        	1000/T[1/K]  	IDT[ms]     
1.100000E+03	9.090910E-01	6.737180E+00
1.125000E+03	8.888890E-01	3.440110E+00
1.150000E+03	8.695650E-01	1.783760E+00
1.175000E+03	8.510640E-01	9.968300E-01
1.200000E+03	8.333330E-01	6.263180E-01
1.225000E+03	8.163270E-01	4.320710E-01
1.250000E+03	8.000000E-01	3.120150E-01
1.275000E+03	7.843140E-01	2.330950E-01
1.300000E+03	7.692310E-01	1.770480E-01
1.325000E+03	7.547170E-01	1.367560E-01
1.350000E+03	7.407410E-01	1.066850E-01
1.375000E+03	7.272730E-01	8.393860E-02
1.400000E+03	7.142860E-01	6.554730E-02
1.425000E+03	7.017540E-01	5.330490E-02
1.450000E+03	6.896550E-01	4.248820E-02
