            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        1.460831E-16	        6.992848E-19	        1.418134E-16	        4.234816E-14	        2.659275E-14	       -2.603042E-14	        1.561499E-15	        3.492965E-15	        2.765300E-15	       -6.672532E-10	        1.465259E-13	        3.910984E-13	        5.937090E-16	        1.094032E-12	        5.354288E-26	        3.678408E-12	        1.299220E-13	        2.191160E-23	        2.235807E-12	       -8.239298E-13	        1.442663E-15	        3.962930E-17	        1.726865E-13	       -5.498148E-13	        3.776680E-22	       -2.551773E-16	        3.728950E-12	        0.000000E+00	        4.214648E-10	        2.808254E-13	        5.961854E-15	        6.456709E-13	        8.803280E-11	        5.085050E-10	        3.827153E-16	       -5.546899E-17	        5.548415E-17	        3.188405E-12	        1.559478E-10	        1.292177E-11	        1.290654E-10	       -2.734684E-12	        3.188430E-25	        5.578549E-14	        2.048495E-12	        2.035760E-10	       -3.765010E-14	        3.821284E-13	        2.007540E-17	        5.491752E-08	        3.123890E-19	        5.512837E-08	        3.293944E-13	       -1.153746E-10	        5.080279E-10	        1.080696E-13	        0.000000E+00	        6.809852E-13	       -2.814650E-10	        4.908896E-12	        3.557181E-25	       -8.687737E-13	        9.815560E-20	        3.380568E-13	        1.081770E-13	        5.477891E-08	       -2.176333E-10	       -1.280207E-15	       -1.170322E-11	       -5.474030E-08	        5.474001E-08	        3.111043E-24	        4.486401E-20	        1.734672E-14	        2.914303E-17	        2.331478E-16	       -3.216627E-17	        4.999783E-20	        5.825854E-16	        1.395832E-21	       -1.865336E-14	       -8.684833E-17	        2.498661E-16	       -2.462590E-13	        2.460892E-13	        1.438136E-17	        4.065857E-16	        7.123326E-17	        6.353883E-28	        2.926557E-19	        3.110803E-19	       -2.777733E-15	       -1.949586E-10	        1.952060E-16	       -9.624156E-15	        2.165720E-15	       -3.829760E-18	        9.650230E-15	        1.949590E-10	        3.633024E-29	        5.517090E-23	        1.577484E-22	        0.000000E+00	        1.640170E-32	        1.703786E-17	        9.388365E-19	        8.193047E-24
        2.000000E-03	       -1.060784E-13	        1.999190E-16	        1.886818E-13	        7.121785E-13	       -1.020609E-12	       -3.222830E-11	        2.047051E-12	        1.619971E-13	        1.656396E-11	       -9.584288E-09	        1.685269E-12	        1.503084E-11	        1.712234E-12	        1.103037E-11	        2.405895E-22	        2.080455E-10	        1.386572E-12	        1.543100E-20	        2.611390E-12	       -7.143877E-11	        1.528263E-14	        2.104187E-14	       -6.629321E-12	       -3.141052E-11	        2.864348E-19	       -3.159757E-11	        1.653214E-10	        0.000000E+00	        5.590920E-10	        3.952019E-14	       -3.107460E-14	        3.279656E-11	        1.969065E-09	        7.305769E-09	        8.295978E-14	       -8.405576E-13	        1.370318E-15	        4.630401E-11	        2.173778E-09	        8.011444E-10	        9.099506E-10	       -1.873234E-11	        5.341970E-21	        5.541032E-12	       -1.584501E-11	        2.484222E-09	       -1.546686E-11	        5.840938E-11	        2.304590E-15	        5.048932E-07	        2.848773E-14	        5.057032E-07	        2.352129E-11	       -2.646374E-09	        7.421409E-09	        3.019037E-12	        0.000000E+00	        1.623547E-11	       -3.092666E-10	        3.425502E-10	        9.469998E-23	       -7.356635E-11	        1.494678E-16	       -6.875055E-12	        5.953003E-12	        5.041282E-07	       -2.928862E-09	       -2.052728E-12	       -5.227782E-10	       -5.020030E-07	        5.019789E-07	        5.030584E-20	        5.680596E-17	        1.911901E-12	       -2.146659E-15	       -3.012483E-15	       -1.893742E-15	        6.813800E-18	        5.257870E-14	        1.961278E-18	       -2.022577E-12	       -1.201126E-15	        7.090644E-14	       -6.577302E-13	        9.633246E-13	        2.965961E-15	        8.726544E-15	        9.370824E-15	        1.559919E-24	        1.586394E-15	        5.057702E-17	       -3.084434E-13	       -1.448242E-08	        3.578820E-14	       -9.214797E-12	       -5.304400E-14	        3.790292E-15	        9.212163E-12	        1.448241E-08	        4.706723E-16	        1.840067E-18	        1.524490E-19	        3.128033E-23	        5.699835E-27	        4.270974E-15	        1.292814E-16	        2.613206E-19
        3.100000E-03	       -6.513351E-11	        2.405668E-14	        9.666115E-11	       -5.735060E-13	       -2.773493E-11	       -1.263728E-09	        9.614945E-11	       -1.866420E-11	        1.948848E-09	       -5.231024E-08	        1.882503E-10	        1.419386E-10	        1.436288E-10	        2.067207E-11	        8.680600E-20	        7.904063E-09	       -1.446010E-10	        7.806200E-17	       -7.462373E-10	       -2.317981E-09	        9.158624E-13	        1.099303E-12	        6.419310E-11	       -3.982584E-10	        9.189613E-18	       -3.476564E-09	        5.051690E-09	        0.000000E+00	        1.586079E-09	       -1.343513E-10	       -1.539012E-11	        2.110040E-09	        1.211661E-08	        3.822706E-08	        1.284344E-11	       -1.623295E-10	        8.489947E-12	        1.834776E-10	        1.170444E-08	        2.188140E-08	        7.910915E-10	       -2.193611E-12	        2.255130E-18	        2.054271E-10	       -1.190215E-09	        1.064084E-08	       -1.186409E-09	        1.768280E-09	        6.798110E-14	        1.493809E-06	        1.636397E-11	        1.542493E-06	        3.329078E-10	       -5.932968E-08	        6.698519E-08	       -1.780620E-10	        0.000000E+00	       -2.181979E-09	        1.170636E-09	        7.286401E-09	        6.715222E-20	       -1.333747E-09	        9.638519E-15	       -6.122038E-09	       -9.753719E-10	        1.492015E-06	       -1.347891E-08	       -1.275885E-10	       -9.427004E-09	       -1.477150E-06	        1.477653E-06	        1.237810E-17	        3.291989E-15	        1.955341E-11	       -1.058037E-13	       -2.349979E-13	        1.345589E-14	        4.370403E-16	        6.160762E-12	        1.608935E-16	       -3.041618E-11	       -5.690356E-12	        1.064590E-11	        5.673433E-12	        2.332017E-12	        1.106049E-14	        2.517002E-13	        4.714449E-14	        1.228950E-21	        2.145358E-13	        8.576132E-16	       -6.118446E-12	       -1.092062E-07	        5.549871E-13	       -2.001553E-10	       -2.829010E-12	        1.055461E-13	        2.000691E-10	        1.092060E-07	        4.992468E-14	        1.938180E-15	        1.518176E-17	        8.931342E-21	        2.585036E-24	        9.453401E-14	        2.924473E-15	        4.933684E-17
        4.100000E-03	       -4.276469E-10	        2.964765E-13	        2.280338E-09	       -1.253312E-11	        6.249174E-11	       -2.958576E-09	        2.486927E-10	       -7.138495E-11	        1.088034E-08	       -1.568698E-07	        2.913900E-09	        5.515017E-10	        1.329342E-09	        3.200366E-11	        9.022234E-18	        6.486784E-08	       -1.694278E-09	        6.094200E-15	       -2.262819E-09	       -1.343668E-08	        1.905013E-11	        1.099123E-11	        2.196528E-09	       -2.089728E-09	        4.969088E-17	       -1.776298E-08	        3.285535E-08	        5.096460E-22	        1.532451E-08	        6.715908E-11	       -1.067059E-10	        1.225502E-08	        3.060626E-08	        1.075067E-07	        1.265254E-10	       -1.887440E-09	        1.871073E-10	        4.374709E-09	        3.348665E-08	        8.520494E-08	       -3.510464E-09	        1.734429E-09	        8.219747E-17	        1.225178E-09	       -2.517390E-09	        2.611441E-08	       -1.248347E-08	        9.634258E-09	        6.912717E-13	        2.976416E-06	        2.506168E-10	        3.338052E-06	        1.534550E-09	       -3.552993E-07	        3.661884E-07	       -2.067466E-09	        0.000000E+00	       -3.117503E-08	        1.614063E-08	        2.272460E-08	        4.670159E-18	       -7.346946E-09	        2.316273E-14	       -6.344159E-08	       -1.309558E-08	        2.971182E-06	       -3.359309E-08	       -1.062575E-09	       -4.119131E-08	       -2.927200E-06	        2.927652E-06	        5.941285E-17	        8.370031E-15	        2.119941E-11	       -2.544736E-13	       -1.054317E-12	       -2.467352E-13	        2.935721E-15	        2.964008E-11	        1.303689E-15	       -9.342768E-11	       -7.868492E-11	        1.227839E-10	        1.956111E-11	        3.909967E-12	       -3.488812E-13	        1.568368E-12	        1.270417E-13	        2.386113E-20	        9.396814E-13	        2.976782E-15	       -2.494614E-11	       -1.810402E-07	        2.125124E-12	       -1.025681E-09	       -3.316600E-12	        5.266353E-13	        1.025212E-09	        1.810395E-07	        4.900832E-13	        4.788919E-14	        9.015630E-17	        9.915525E-20	        4.066666E-23	        3.990400E-13	        2.014994E-14	        7.712341E-16
        5.000000E-03	       -9.551122E-10	        1.292377E-12	        1.183619E-08	       -5.755791E-12	        6.780023E-10	       -2.440515E-09	       -7.961644E-10	       -2.556658E-10	        2.367541E-08	       -3.267800E-07	        1.447692E-08	        1.353002E-09	        3.806627E-09	        7.623060E-11	        2.401992E-16	        2.420703E-07	       -5.297743E-09	        6.422200E-14	       -5.981197E-10	       -4.538912E-08	        1.238050E-10	        5.003068E-11	        9.334178E-09	       -6.323309E-09	        1.525984E-16	       -2.907981E-08	        1.003430E-07	        7.713600E-20	        5.887363E-08	        3.611491E-09	       -2.236178E-10	        3.523192E-08	        5.071323E-08	        2.000190E-07	        4.391059E-10	       -1.012420E-08	        1.047506E-09	        2.362681E-08	        6.079520E-08	        1.587251E-07	       -1.427344E-08	        9.260156E-09	        8.350292E-16	        3.884077E-09	        2.012824E-10	        5.601356E-08	       -6.190192E-08	        3.478012E-08	        3.603645E-12	        4.612677E-06	        1.171908E-09	        6.064862E-06	        4.181854E-09	       -1.305338E-06	        1.405266E-06	       -1.063293E-08	        0.000000E+00	       -1.832162E-07	        8.522717E-08	        2.508635E-08	        6.309337E-17	       -2.371516E-08	        2.571779E-14	       -2.675407E-07	       -8.051529E-08	        4.633346E-06	       -6.358135E-08	       -5.027334E-09	       -1.095430E-07	       -4.521340E-06	        4.518978E-06	        1.868039E-16	        1.131993E-14	        6.641033E-11	       -9.558333E-13	       -4.118589E-12	       -5.116904E-13	        1.188905E-14	        4.479315E-11	        4.338632E-15	       -2.983718E-10	       -2.364617E-10	        4.308091E-10	        4.670176E-11	        5.797653E-12	       -1.992800E-12	        5.904689E-12	        8.652575E-13	        2.490003E-19	        2.112631E-12	        8.592505E-15	       -7.482761E-11	       -1.953266E-07	        6.236444E-12	       -2.324546E-09	        2.428200E-12	        1.121603E-12	        2.323460E-09	        1.953279E-07	        2.341283E-12	        2.695428E-13	       -1.095814E-13	        4.943365E-19	        5.055976E-22	        1.246352E-12	        7.492162E-14	        4.777123E-15
        6.000000E-03	       -1.845907E-09	        2.571331E-12	        3.640836E-08	        1.592670E-10	        3.537576E-09	       -2.598619E-10	       -1.017038E-08	       -9.765793E-10	        4.036232E-08	       -6.235756E-07	        4.552976E-08	        2.537604E-09	        6.827219E-09	        1.517492E-09	        3.296283E-15	        6.099273E-07	       -1.204819E-08	        2.980100E-13	        1.568530E-08	       -1.236131E-07	        4.995204E-10	        1.745471E-10	        3.148724E-08	       -1.945264E-08	        5.297622E-16	       -7.697359E-09	        2.114076E-07	        3.362716E-18	        1.278241E-07	        2.276530E-08	       -4.209308E-11	        9.266508E-08	        7.427874E-08	        3.118122E-07	        1.060441E-09	       -4.429159E-08	        4.203447E-09	        9.889990E-08	        8.528828E-08	        1.725653E-07	       -3.632038E-08	        2.982793E-08	        5.268162E-15	        1.065831E-08	        1.363822E-08	        1.236350E-07	       -2.414890E-07	        1.194948E-07	        1.453478E-11	        6.380833E-06	        3.851254E-09	        1.115116E-05	        9.660465E-09	       -4.211126E-06	        4.989016E-06	       -4.415395E-08	        0.000000E+00	       -8.003094E-07	        3.907504E-07	       -6.503546E-08	        4.643842E-16	       -6.857989E-08	        4.508793E-14	       -7.878876E-07	       -3.671292E-07	        6.400362E-06	       -1.133535E-07	       -1.918314E-08	       -2.608162E-07	       -6.275300E-06	        6.268437E-06	        5.156943E-16	        2.330737E-14	        1.696026E-10	       -4.039841E-12	       -1.697138E-11	       -6.857247E-13	        1.764705E-14	        6.773335E-11	        1.616579E-14	       -9.319982E-10	       -2.678943E-10	        9.916310E-10	        1.198983E-10	        8.714223E-12	       -5.819761E-12	        2.230025E-11	        2.886685E-12	       -1.027152E-15	        6.366705E-12	        2.238881E-14	       -2.108058E-10	       -1.705839E-07	        1.731677E-11	       -4.355328E-09	        1.138000E-11	        1.970245E-12	        4.353230E-09	        1.705930E-07	        4.228485E-11	        1.060825E-12	       -3.612937E-11	        2.305683E-18	        1.006164E-15	        3.808845E-12	        2.366724E-13	        2.051640E-14
        7.000000E-03	       -3.354808E-09	        2.068190E-12	        6.858547E-08	        7.725839E-10	        1.307285E-08	        3.205078E-09	       -4.727991E-08	       -2.025801E-09	        5.817266E-08	       -1.038072E-06	        8.926045E-08	        3.493670E-09	        7.827651E-09	        1.159154E-08	        1.954678E-14	        9.366105E-07	       -2.237450E-08	        6.137000E-13	        6.493360E-08	       -2.338301E-07	        1.187055E-09	        3.934421E-10	        7.686074E-08	       -4.933646E-08	        1.424503E-15	        7.398629E-08	        2.661056E-07	        2.467441E-17	        1.330372E-07	        7.526273E-08	        1.252093E-09	        1.912457E-07	        1.051400E-07	        4.238575E-07	        1.717016E-09	       -1.290542E-07	        1.124904E-08	        2.893227E-07	        8.243923E-08	        1.028126E-08	       -6.673725E-08	        6.212581E-08	        1.957234E-14	        2.205907E-08	        4.343546E-08	        2.286267E-07	       -6.223670E-07	        3.175486E-07	        3.977868E-11	        7.812182E-06	        8.929088E-09	        1.873058E-05	        1.812503E-08	       -9.877448E-06	        1.259393E-05	       -1.242049E-07	        0.000000E+00	       -2.201634E-06	        1.271561E-06	       -3.536733E-07	        1.833513E-15	       -1.577873E-07	        1.037228E-13	       -1.533082E-06	       -1.027771E-06	        7.620222E-06	       -1.780406E-07	       -4.739295E-08	       -4.739327E-07	       -7.839060E-06	        7.827370E-06	        7.781725E-16	        5.676141E-14	        2.983239E-10	       -1.055766E-11	       -4.524751E-11	       -1.090316E-12	       -1.133512E-14	        6.506446E-11	        4.795150E-14	       -2.103932E-09	        1.997246E-10	        1.620425E-09	        2.081397E-10	        1.190466E-11	       -1.313397E-11	        6.114431E-11	        6.671190E-12	       -2.244961E-17	        1.471631E-11	        4.397494E-14	       -4.181077E-10	       -1.223608E-07	        3.452650E-11	       -6.805581E-09	        2.127300E-11	        2.849069E-12	        6.802200E-09	        1.223856E-07	        1.331790E-11	        2.840257E-12	        3.713500E-13	        6.920743E-18	        2.633358E-17	        8.308909E-12	        5.206801E-13	        5.538258E-14
        8.000000E-03	       -5.547496E-09	       -1.738360E-12	        9.295737E-08	        2.165653E-09	        3.557391E-08	        7.365130E-09	       -1.369177E-07	       -2.174643E-09	        8.232717E-08	       -1.575790E-06	        1.319471E-07	        3.842586E-09	        5.942376E-09	        4.310993E-08	        6.977055E-14	        1.036450E-06	       -3.745117E-08	       -1.017000E-13	        1.640677E-07	       -3.650071E-07	        2.004482E-09	        6.007986E-10	        1.457641E-07	       -9.932074E-08	        2.869550E-15	        2.063327E-07	        2.322200E-07	        7.953798E-17	       -9.361969E-09	        1.714827E-07	        4.637168E-09	        3.262579E-07	        1.536146E-07	        5.575441E-07	        2.044502E-09	       -2.761558E-07	        2.285308E-08	        6.526725E-07	        3.400795E-08	       -3.390368E-07	       -9.991317E-08	        9.865486E-08	        5.078716E-14	        3.857040E-08	        9.003842E-08	        3.795477E-07	       -1.180310E-06	        6.806091E-07	        8.401083E-11	        8.719724E-06	        1.613360E-08	        2.799945E-05	        2.996888E-08	       -1.811131E-05	        2.408535E-05	       -2.692517E-07	        0.000000E+00	       -4.349272E-06	        3.118671E-06	       -7.557753E-07	        4.801754E-15	       -3.049817E-07	        2.272835E-13	       -2.376811E-06	       -2.039530E-06	        8.007177E-06	       -2.574305E-07	       -8.761822E-08	       -7.252836E-07	       -9.102180E-06	        9.086095E-06	        7.126600E-16	        1.222647E-13	        4.448758E-10	       -1.877358E-11	       -8.489812E-11	       -2.128719E-12	       -9.442959E-14	        3.835019E-11	        1.115162E-13	       -3.603834E-09	        1.039178E-09	        2.244196E-09	        2.410763E-10	        1.523314E-11	        2.847958E-11	        1.300900E-10	        1.225747E-11	       -2.549735E-16	        2.404091E-11	        7.059474E-14	       -6.290941E-10	       -9.233089E-08	        5.323282E-11	       -9.552199E-09	        2.949200E-11	        3.764580E-12	        9.547300E-09	        9.237931E-08	       -1.036954E-10	        5.654611E-12	        7.389394E-11	        2.176240E-17	        2.681264E-16	        1.327707E-11	        8.107374E-13	        1.055973E-13
        9.000000E-03	       -8.681684E-09	       -1.097769E-11	        1.007369E-07	        4.843870E-09	        7.848347E-08	        1.192580E-08	       -2.934030E-07	       -1.391170E-10	        1.214787E-07	       -2.246442E-06	        1.678638E-07	        2.954790E-09	        1.656261E-09	        1.102113E-07	        1.835219E-13	        9.503955E-07	       -5.839579E-08	       -3.586400E-12	        3.351454E-07	       -5.328182E-07	        2.928477E-09	        5.779483E-10	        2.467104E-07	       -1.722773E-07	        4.179611E-15	        3.887160E-07	        1.576343E-07	        1.383614E-16	       -3.472433E-07	        3.226036E-07	        1.158185E-08	        4.967706E-07	        2.223516E-07	        7.029237E-07	        1.806583E-09	       -4.879509E-07	        4.006503E-08	        1.261460E-06	       -7.942455E-08	       -8.856480E-07	       -1.285794E-07	        1.315990E-07	        9.891497E-14	        6.058857E-08	        1.578434E-07	        5.947589E-07	       -1.871515E-06	        1.271061E-06	        1.493280E-10	        9.476342E-06	        2.365057E-08	        3.865188E-05	        4.452461E-08	       -2.879350E-05	        3.908638E-05	       -4.964343E-07	        0.000000E+00	       -7.090560E-06	        6.382184E-06	       -1.195646E-06	        1.006730E-14	       -5.220675E-07	        4.396948E-13	       -3.310508E-06	       -3.327811E-06	        7.948408E-06	       -3.499051E-07	       -1.401692E-07	       -1.064252E-06	       -1.045400E-05	        1.043270E-05	        5.555700E-16	        2.227201E-13	        6.620061E-10	       -2.766838E-11	       -1.320299E-10	       -3.999634E-12	       -2.584353E-13	        6.490346E-12	        2.235366E-13	       -5.324991E-09	        2.128150E-09	        2.814604E-09	        1.998938E-10	        1.833224E-11	        4.226830E-11	        2.331291E-10	        2.114739E-11	        8.149284E-17	        3.246693E-11	        1.019516E-13	       -8.412097E-10	       -2.559320E-08	        7.333046E-11	       -1.248784E-08	        3.372400E-11	        4.761145E-12	        1.248120E-08	        2.567463E-08	       -1.599346E-10	        9.525334E-12	        1.146617E-10	        4.492826E-17	       -9.796325E-18	        1.779744E-11	        9.677848E-13	        1.663526E-13
        1.010000E-02	       -1.323632E-08	       -3.244202E-11	        7.758109E-08	        1.039049E-08	        1.668441E-07	        1.849157E-08	       -5.564906E-07	        7.192579E-09	        2.022028E-07	       -3.134854E-06	        1.864499E-07	       -8.154708E-10	       -6.549497E-09	        2.510218E-07	        4.343162E-13	        6.909392E-07	       -9.018479E-08	       -1.325400E-11	        6.556868E-07	       -7.745239E-07	        4.301409E-09	       -2.109272E-10	        4.186491E-07	       -2.883227E-07	        3.075386E-15	        6.661240E-07	        2.845682E-08	        6.720144E-17	       -1.097740E-06	        5.875461E-07	        2.635814E-08	        7.378026E-07	        3.337131E-07	        8.446590E-07	       -5.519934E-11	       -7.972988E-07	        6.894105E-08	        2.380024E-06	       -3.117495E-07	       -1.843752E-06	       -1.513990E-07	        1.550314E-07	        1.441370E-13	        9.149555E-08	        2.706175E-07	        9.312200E-07	       -2.766348E-06	        2.333680E-06	        2.417127E-10	        9.889117E-06	        2.882935E-08	        5.089844E-05	        6.240246E-08	       -4.361317E-05	        5.981632E-05	       -8.624410E-07	        0.000000E+00	       -1.074023E-05	        1.249029E-05	       -1.801500E-06	        2.008182E-14	       -8.566228E-07	        8.340986E-13	       -4.425844E-06	       -5.037859E-06	        7.047954E-06	       -4.659221E-07	       -2.154911E-07	       -1.594052E-06	       -1.188220E-05	        1.185787E-05	        3.417543E-16	        3.772697E-13	        1.061549E-09	       -3.825658E-11	       -1.940691E-10	       -7.392520E-12	       -6.398898E-13	       -4.632228E-11	        4.466928E-13	       -7.550678E-09	        3.711028E-09	        3.325460E-09	        4.474806E-11	        2.135833E-11	        9.219148E-12	        4.015183E-10	        3.236369E-11	        1.701476E-16	        4.052700E-11	        1.466960E-13	       -1.106310E-09	        1.471645E-07	        9.924063E-11	       -1.595595E-08	        3.419500E-11	        5.919991E-12	        1.594710E-08	       -1.470300E-07	       -1.342177E-10	        1.507112E-11	        1.232484E-10	        7.321202E-17	        3.302479E-17	        2.227412E-11	        8.711080E-13	        2.379212E-13
        1.110000E-02	       -1.810198E-08	       -6.970564E-11	        1.313786E-08	        1.952088E-08	        3.112754E-07	        2.686815E-08	       -8.922603E-07	        2.218120E-08	        3.424862E-07	       -4.103336E-06	        1.634181E-07	       -8.455572E-09	       -1.759947E-08	        4.755811E-07	        8.510134E-13	        3.628836E-07	       -1.288341E-07	       -3.064600E-11	        1.140518E-06	       -1.060556E-06	        6.296596E-09	       -2.432384E-09	        6.595121E-07	       -4.389990E-07	       -5.687155E-15	        1.017274E-06	       -1.556105E-07	       -4.819982E-16	       -2.442056E-06	        9.682897E-07	        5.082215E-08	        1.032544E-06	        4.856737E-07	        9.526144E-07	       -4.857350E-09	       -1.137322E-06	        1.093787E-07	        4.045751E-06	       -6.490446E-07	       -3.213646E-06	       -1.565082E-07	        1.597100E-07	        1.024380E-13	        1.274458E-07	        4.278944E-07	        1.365339E-06	       -3.682649E-06	        3.897379E-06	        3.335780E-10	        1.008041E-05	        2.764529E-08	        6.142953E-05	        7.981671E-08	       -5.986823E-05	        8.257417E-05	       -1.321014E-06	        0.000000E+00	       -1.457764E-05	        2.144493E-05	       -2.546479E-06	        3.514013E-14	       -1.262289E-06	        1.436588E-12	       -5.532486E-06	       -6.838270E-06	        5.385821E-06	       -5.893501E-07	       -3.035192E-07	       -2.250415E-06	       -1.342320E-05	        1.340208E-05	       -3.309789E-17	        5.571243E-13	        1.669276E-09	       -4.585531E-11	       -2.556191E-10	       -1.219677E-11	       -1.314394E-12	       -1.316183E-10	        8.139914E-13	       -9.916004E-09	        5.523066E-09	        3.666350E-09	       -2.478983E-10	        2.328315E-11	        4.860262E-11	        6.125646E-10	        4.606317E-11	        3.421559E-16	        4.648010E-11	        2.092675E-13	       -1.390618E-09	        5.025411E-07	        1.275329E-10	       -1.952999E-08	        3.151200E-11	        7.098858E-12	        1.951870E-08	       -5.023344E-07	       -4.870779E-10	        2.105681E-11	        4.375938E-10	        1.165139E-16	        8.456181E-17	        2.578041E-11	        4.836027E-13	        2.923922E-13
        1.210000E-02	       -2.306093E-08	       -1.354060E-10	       -1.078890E-07	        3.504305E-08	        5.455470E-07	        3.879509E-08	       -1.333798E-06	        4.822752E-08	        5.829372E-07	       -5.246071E-06	        7.297720E-08	       -2.230871E-08	       -3.282854E-08	        8.280667E-07	        1.562861E-12	       -5.994592E-09	       -1.774236E-07	       -6.062900E-11	        1.894369E-06	       -1.427475E-06	        9.746048E-09	       -7.322669E-09	        1.010820E-06	       -6.454823E-07	       -3.275626E-14	        1.492642E-06	       -4.352809E-07	       -2.180907E-15	       -4.840187E-06	        1.537119E-06	        9.223218E-08	        1.428948E-06	        7.087944E-07	        1.037046E-06	       -1.495455E-08	       -1.507438E-06	        1.680827E-07	        6.587235E-06	       -1.135041E-06	       -5.200453E-06	       -1.388274E-07	        1.470397E-07	       -1.594395E-13	        1.736442E-07	        6.605560E-07	        1.965260E-06	       -4.680909E-06	        6.257253E-06	        4.186743E-10	        1.047205E-05	        1.849123E-08	        7.038512E-05	        9.835559E-08	       -7.862607E-05	        1.090261E-04	       -1.917767E-06	        0.000000E+00	       -1.884838E-05	        3.472478E-05	       -3.549659E-06	        5.853179E-14	       -1.776610E-06	        2.420276E-12	       -6.746347E-06	       -8.871987E-06	        2.951251E-06	       -7.347251E-07	       -4.150807E-07	       -3.094969E-06	       -1.566600E-05	        1.565856E-05	       -7.131697E-16	        7.762331E-13	        2.609199E-09	       -4.708621E-11	       -3.149293E-10	       -1.876351E-11	       -2.475254E-12	       -2.697923E-10	        1.438973E-12	       -1.263750E-08	        7.715353E-09	        3.854330E-09	       -7.240010E-10	        2.401530E-11	       -1.285297E-11	        8.693684E-10	        5.169619E-11	        7.105739E-16	        5.110360E-11	        3.139316E-13	       -1.725218E-09	        1.142350E-06	        1.611254E-10	       -2.370290E-08	        2.816000E-11	        8.470439E-12	        2.368860E-08	       -1.142040E-06	       -8.377262E-12	        2.737888E-11	        2.571525E-11	        1.502996E-16	        2.477469E-17	        2.890436E-11	       -2.496581E-13	        3.122330E-13
        1.310000E-02	       -2.811411E-08	       -2.517083E-10	       -3.057117E-07	        6.096398E-08	        8.991014E-07	        5.523787E-08	       -1.905419E-06	        8.690529E-08	        9.628262E-07	       -6.638321E-06	       -1.174952E-07	       -4.548212E-08	       -5.304176E-08	        1.346274E-06	        2.752617E-12	       -4.048660E-07	       -2.373909E-07	       -1.095180E-10	        3.026564E-06	       -1.911568E-06	        1.575579E-08	       -1.676624E-08	        1.513802E-06	       -9.263077E-07	       -9.730519E-14	        2.140976E-06	       -8.470150E-07	       -6.040103E-15	       -8.727813E-06	        2.366973E-06	        1.605140E-07	        1.976968E-06	        1.032640E-06	        1.113739E-06	       -3.316595E-08	       -1.887566E-06	        2.495545E-07	        1.030813E-05	       -1.802244E-06	       -7.859743E-06	       -7.859383E-08	        1.173544E-07	       -8.654237E-13	        2.369097E-07	        1.004458E-06	        2.820001E-06	       -5.783401E-06	        9.679486E-06	        4.857140E-10	        1.166150E-05	       -4.371924E-10	        7.789545E-05	        1.201681E-07	       -1.001232E-04	        1.399543E-04	       -2.684950E-06	        0.000000E+00	       -2.365831E-05	        5.316476E-05	       -4.907430E-06	        9.364760E-14	       -2.421231E-06	        3.956739E-12	       -8.144444E-06	       -1.122799E-05	       -1.639678E-07	       -9.173070E-07	       -5.600034E-07	       -4.170371E-06	       -1.934200E-05	        1.936043E-05	       -1.725026E-15	        1.047571E-12	        3.969007E-09	       -4.056996E-11	       -3.730258E-10	       -2.667646E-11	       -4.393740E-12	       -4.629283E-10	        2.423847E-12	       -1.583822E-08	        1.056467E-08	        3.681381E-09	       -1.375833E-09	        2.392404E-11	       -3.906537E-12	        1.145564E-09	        4.344069E-11	        1.069211E-15	        5.459070E-11	        4.922172E-13	       -2.124235E-09	        2.252505E-06	        2.012127E-10	       -2.873516E-08	        2.444000E-11	        1.019195E-11	        2.871700E-08	       -2.252046E-06	       -1.819606E-10	        3.343914E-11	        1.923461E-10	        2.109771E-16	        6.941574E-17	        3.259348E-11	       -1.457760E-12	        2.863143E-13
