T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	6.346390E+01
1.025000E+03	9.756100E-01	3.983060E+01
1.050000E+03	9.523810E-01	2.505280E+01
1.075000E+03	9.302330E-01	1.577220E+01
1.100000E+03	9.090910E-01	9.956500E+00
1.125000E+03	8.888890E-01	6.332150E+00
1.150000E+03	8.695650E-01	4.080850E+00
1.175000E+03	8.510640E-01	2.674150E+00
1.200000E+03	8.333330E-01	1.793470E+00
1.225000E+03	8.163270E-01	1.229060E+00
1.250000E+03	8.000000E-01	8.699310E-01
1.275000E+03	7.843140E-01	6.304030E-01
1.300000E+03	7.692310E-01	4.676920E-01
1.325000E+03	7.547170E-01	3.560530E-01
1.350000E+03	7.407410E-01	2.752340E-01
1.375000E+03	7.272730E-01	2.178490E-01
1.400000E+03	7.142860E-01	1.742360E-01
1.425000E+03	7.017540E-01	1.418180E-01
1.450000E+03	6.896550E-01	1.155560E-01
1.475000E+03	6.779660E-01	9.584720E-02
1.500000E+03	6.666670E-01	8.028230E-02
1.525000E+03	6.557380E-01	6.852560E-02
1.550000E+03	6.451610E-01	5.832550E-02
1.575000E+03	6.349210E-01	5.040220E-02
1.600000E+03	6.250000E-01	4.319960E-02
1.625000E+03	6.153850E-01	3.891790E-02
1.650000E+03	6.060610E-01	3.295990E-02
1.675000E+03	5.970150E-01	2.894490E-02
1.700000E+03	5.882350E-01	2.497620E-02
1.725000E+03	5.797100E-01	2.358640E-02
1.750000E+03	5.714290E-01	2.077170E-02
1.775000E+03	5.633800E-01	1.878720E-02
1.800000E+03	5.555560E-01	1.700660E-02
1.825000E+03	5.479450E-01	1.548600E-02
1.850000E+03	5.405410E-01	1.422130E-02
