            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -0.000000E+00	       -0.000000E+00	       -2.836133E-16	       -0.000000E+00	       -3.106662E-14	       -3.357770E-13	       -2.307394E-17	       -0.000000E+00	       -1.224006E-15	       -3.116728E-09	       -1.664068E-14	       -9.784408E-16	       -8.241145E-15	       -1.482271E-15	       -0.000000E+00	       -1.130871E-14	       -1.452933E-12	       -0.000000E+00	       -2.389747E-12	       -3.464478E-12	       -8.182530E-16	       -2.801223E-19	       -7.100382E-15	       -3.502584E-12	       -0.000000E+00	       -4.217937E-14	       -4.188486E-17	       -0.000000E+00	       -6.321365E-14	       -3.736005E-13	       -7.775216E-16	       -2.171731E-12	       -1.109586E-11	       -3.074379E-12	       -9.816195E-24	       -3.980677E-21	       -0.000000E+00	       -5.696890E-12	       -6.263810E-13	       -8.727106E-13	       -7.574305E-10	       -1.091967E-11	       -0.000000E+00	       -2.892322E-14	       -2.435739E-12	       -2.563798E-11	       -1.882572E-13	       -6.363162E-12	       -4.778148E-27	       -4.746685E-12	       -1.029893E-25	       -2.613624E-14	       -1.280411E-13	       -9.896476E-11	       -7.037430E-12	       -2.024796E-12	       -0.000000E+00	       -1.524143E-15	       -1.927421E-21	       -7.211862E-12	       -0.000000E+00	       -5.974783E-12	       -1.737276E-11	       -5.543772E-14	       -1.044361E-13	       -7.421697E-15	       -4.113630E-09	       -1.851627E-15	       -2.688939E-11	       -4.356732E-07	       -2.249952E-12	       -0.000000E+00	       -0.000000E+00	       -1.069781E-14	       -6.177934E-17	       -2.612406E-15	       -4.133473E-15	       -0.000000E+00	       -2.644857E-15	       -1.359311E-13	       -3.590911E-13	       -3.924460E-15	       -1.444851E-18	       -1.621851E-11	       -5.160714E-12	       -0.000000E+00	       -3.514378E-22	       -4.432557E-16	       -0.000000E+00	       -7.776163E-22	       -0.000000E+00	       -4.853071E-14	       -2.707426E-09	       -0.000000E+00	       -1.630454E-12	       -6.343269E-15	       -4.907840E-16	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.604742E-24	       -1.140368E-22	       -0.000000E+00
        2.000000E-03	       -1.550660E-13	       -0.000000E+00	       -3.521582E-13	       -8.405391E-14	       -1.027650E-11	       -1.459280E-09	       -1.172038E-14	       -8.128712E-13	       -1.457253E-12	       -1.096046E-07	       -1.604070E-13	       -5.463820E-14	       -8.515488E-12	       -4.109961E-13	       -0.000000E+00	       -6.709761E-13	       -4.561500E-11	       -0.000000E+00	       -3.995430E-10	       -1.804011E-10	       -9.963192E-15	       -1.094547E-16	       -1.755887E-11	       -3.464664E-10	       -0.000000E+00	       -4.128273E-10	       -1.883898E-15	       -0.000000E+00	       -1.350367E-12	       -2.696843E-11	       -1.790299E-13	       -8.189989E-11	       -4.129352E-10	       -1.421204E-10	       -1.649764E-20	       -6.315517E-17	       -6.793404E-14	       -2.843403E-10	       -2.557217E-11	       -4.630166E-11	       -3.106179E-08	       -6.715096E-11	       -0.000000E+00	       -4.397310E-12	       -2.649966E-10	       -8.021389E-10	       -5.270490E-11	       -4.088356E-10	       -6.086037E-23	       -1.786579E-10	       -2.537179E-19	       -3.776507E-13	       -1.669811E-11	       -2.076380E-09	       -1.075211E-10	       -2.240890E-10	       -0.000000E+00	       -1.980355E-13	       -5.713539E-20	       -9.616389E-11	       -0.000000E+00	       -6.305369E-10	       -1.934744E-11	       -1.276840E-11	       -2.270415E-12	       -4.621743E-13	       -1.331842E-07	       -1.176598E-13	       -9.471767E-10	       -7.448557E-06	       -5.110584E-11	       -0.000000E+00	       -2.309710E-16	       -8.758594E-13	       -5.426969E-14	       -3.770936E-13	       -2.325912E-12	       -0.000000E+00	       -1.213273E-13	       -2.688894E-13	       -3.166100E-12	       -3.468938E-14	       -1.420089E-16	       -1.428670E-10	       -4.786487E-11	       -1.094731E-15	       -2.649384E-19	       -4.583974E-14	       -0.000000E+00	       -2.225416E-16	       -1.828746E-17	       -4.282089E-13	       -3.349102E-07	       -0.000000E+00	       -1.020848E-09	       -4.654318E-11	       -6.843374E-14	       -8.492153E-12	       -8.952842E-09	       -0.000000E+00	       -9.150480E-22	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -9.998845E-21	       -1.138844E-19	       -0.000000E+00
        3.100000E-03	       -3.697563E-10	       -0.000000E+00	       -7.352629E-11	       -6.359105E-12	       -2.912077E-10	       -2.205635E-07	       -6.099540E-13	       -4.986140E-11	       -2.026283E-10	       -1.169543E-06	       -3.446980E-12	       -7.515092E-13	       -7.078002E-10	       -3.203985E-11	       -0.000000E+00	       -1.626599E-11	       -7.360378E-10	       -4.933857E-18	       -1.362624E-08	       -2.048864E-09	       -9.250123E-14	       -5.167306E-15	       -8.849076E-10	       -6.212157E-09	       -7.356679E-20	       -1.271306E-07	       -5.038302E-14	       -0.000000E+00	       -3.173502E-11	       -7.278394E-10	       -2.079621E-11	       -1.959350E-09	       -3.829674E-09	       -1.641633E-09	       -1.695334E-17	       -2.620294E-14	       -1.551643E-11	       -6.359320E-09	       -3.164581E-10	       -1.317081E-09	       -2.742705E-07	       -2.167120E-10	       -0.000000E+00	       -1.958995E-10	       -1.102268E-08	       -6.721150E-09	       -1.815237E-09	       -1.050389E-08	       -2.719521E-20	       -1.641505E-09	       -3.164557E-16	       -3.498798E-12	       -3.671163E-10	       -3.159456E-08	       -5.329614E-10	       -4.529070E-09	       -0.000000E+00	       -7.210997E-12	       -7.419060E-18	       -6.276168E-10	       -0.000000E+00	       -1.175166E-08	       -8.097760E-11	       -3.989014E-10	       -2.855390E-11	       -1.591501E-11	       -1.082571E-06	       -1.663644E-12	       -8.140114E-09	       -4.476252E-05	       -1.034972E-09	       -5.643456E-18	       -8.748966E-13	       -2.334713E-11	       -4.169975E-12	       -4.059539E-11	       -1.051251E-10	       -9.258509E-16	       -7.514155E-12	       -4.165429E-13	       -1.273142E-11	       -1.497518E-13	       -2.173000E-14	       -5.657028E-10	       -1.986668E-10	       -2.568430E-13	       -1.878321E-17	       -8.555424E-13	       -0.000000E+00	       -6.621140E-14	       -2.215077E-14	       -1.727539E-12	       -8.058065E-06	       -0.000000E+00	       -4.581407E-08	       -2.602602E-09	       -1.896108E-12	       -4.473594E-10	       -3.980225E-07	       -7.623787E-14	       -4.999971E-18	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -3.555282E-18	       -3.819653E-18	       -2.936499E-21
        4.100000E-03	       -7.476150E-09	       -0.000000E+00	       -3.515374E-09	       -8.120005E-11	       -1.940236E-09	       -1.951076E-06	       -6.544288E-12	       -3.888851E-10	       -2.737015E-09	       -5.406552E-06	       -8.210707E-11	       -3.858143E-12	       -1.099310E-08	       -4.150712E-10	       -0.000000E+00	       -1.921907E-10	       -1.157734E-08	       -7.166741E-15	       -8.120124E-08	       -8.551140E-09	       -1.488990E-12	       -6.550076E-14	       -4.978251E-09	       -3.309771E-08	       -1.266323E-16	       -1.833819E-06	       -8.414839E-13	       -0.000000E+00	       -2.401171E-10	       -5.076288E-09	       -3.616207E-10	       -1.870883E-08	       -1.450496E-08	       -7.613368E-09	       -1.603066E-15	       -7.838733E-13	       -2.206640E-10	       -4.418545E-08	       -1.793660E-09	       -1.130679E-08	       -9.646570E-07	       -4.603087E-10	       -3.472443E-21	       -2.155238E-09	       -6.155885E-08	       -2.596264E-08	       -1.443179E-08	       -7.186197E-08	       -1.230532E-18	       -6.270414E-09	       -1.748364E-14	       -2.068936E-11	       -2.408312E-09	       -1.903330E-07	       -1.304465E-09	       -2.836741E-08	       -0.000000E+00	       -7.597743E-11	       -3.312441E-16	       -2.162126E-09	       -0.000000E+00	       -6.729579E-08	       -4.681133E-10	       -2.913990E-09	       -1.680985E-10	       -2.231436E-10	       -3.708948E-06	       -9.856113E-12	       -2.806396E-08	       -1.422780E-04	       -4.701827E-09	       -1.517761E-16	       -1.252071E-11	       -9.259771E-11	       -2.160259E-11	       -3.604944E-10	       -5.817612E-10	       -8.381992E-15	       -1.534440E-10	       -5.650476E-13	       -3.162381E-11	       -5.741849E-13	       -5.134974E-13	       -1.335001E-09	       -4.860289E-10	       -1.884106E-12	       -2.322591E-16	       -3.699475E-12	       -1.645313E-21	       -1.217167E-12	       -2.401873E-13	       -4.307914E-12	       -3.325147E-05	       -0.000000E+00	       -5.979241E-07	       -1.565176E-08	       -1.279177E-11	       -3.259263E-09	       -2.521529E-06	       -1.651201E-11	       -3.219792E-16	       -8.485110E-16	       -7.511075E-27	       -2.538095E-21	       -9.286456E-17	       -3.896219E-17	       -4.345449E-19
        5.000000E-03	       -2.616321E-08	       -5.358601E-15	       -3.724978E-08	       -3.473727E-10	       -7.068798E-09	       -3.913402E-06	       -3.237244E-11	       -1.424358E-09	       -1.287015E-08	       -1.578054E-05	       -6.686928E-10	       -1.225364E-11	       -6.049230E-08	       -2.288080E-09	       -4.388015E-23	       -9.887251E-10	       -5.861078E-08	       -2.552068E-13	       -2.001423E-07	       -2.233247E-08	       -1.474336E-11	       -3.938652E-13	       -1.187181E-08	       -1.016387E-07	       -1.967950E-15	       -6.099514E-06	       -8.098869E-12	       -0.000000E+00	       -1.143527E-09	       -1.811536E-08	       -1.816177E-09	       -6.942669E-08	       -3.490240E-08	       -2.224918E-08	       -3.067981E-14	       -7.499360E-12	       -1.066203E-09	       -1.517805E-07	       -6.216302E-09	       -4.080359E-08	       -2.176334E-06	       -8.306449E-10	       -5.887291E-19	       -8.823878E-09	       -1.433057E-07	       -6.607703E-08	       -5.497876E-08	       -2.467039E-07	       -1.897208E-17	       -1.623879E-08	       -2.183845E-13	       -8.436258E-11	       -8.360740E-09	       -6.161203E-07	       -2.518132E-09	       -1.011146E-07	       -0.000000E+00	       -4.364329E-10	       -4.230816E-15	       -5.235657E-09	       -2.242870E-22	       -2.181453E-07	       -1.649397E-09	       -1.055754E-08	       -6.431562E-10	       -1.597402E-09	       -8.660780E-06	       -4.130106E-11	       -6.276820E-08	       -3.096854E-04	       -1.099614E-08	       -5.169752E-16	       -5.679281E-11	       -1.684168E-10	       -4.410685E-11	       -1.274049E-09	       -1.056532E-09	       -1.676892E-14	       -5.775523E-10	       -7.404072E-13	       -6.422840E-11	       -2.165106E-12	       -3.355520E-12	       -2.438081E-09	       -9.148216E-10	       -6.762764E-12	       -1.254405E-15	       -9.176257E-12	       -1.757237E-19	       -4.440709E-12	       -7.457107E-13	       -8.833155E-12	       -6.452660E-05	       -0.000000E+00	       -2.362453E-06	       -2.735777E-08	       -3.908896E-11	       -1.065314E-08	       -8.523723E-06	       -6.306921E-11	       -3.421196E-15	       -2.892182E-14	       -5.122645E-25	       -1.467776E-19	       -7.680996E-16	       -2.264352E-16	       -9.781515E-18
        6.000000E-03	       -6.828242E-08	       -2.085975E-13	       -2.310406E-07	       -1.202789E-09	       -2.952935E-08	       -5.883157E-06	       -1.457606E-10	       -6.389326E-09	       -5.450174E-08	       -3.983772E-05	       -3.854884E-09	       -3.662656E-11	       -2.307203E-07	       -1.476882E-08	       -3.493506E-20	       -4.159379E-09	       -1.892829E-07	       -4.447890E-12	       -4.674142E-07	       -5.168863E-08	       -1.090534E-10	       -2.096014E-12	       -2.994510E-08	       -2.806917E-07	       -1.540839E-14	       -1.425976E-05	       -8.015555E-11	       -0.000000E+00	       -6.013436E-09	       -6.842734E-08	       -7.039131E-09	       -2.238473E-07	       -7.395873E-08	       -5.699687E-08	       -4.458435E-13	       -6.110433E-11	       -5.035654E-09	       -5.262101E-07	       -1.895980E-08	       -1.170526E-07	       -4.306876E-06	       -1.598562E-09	       -1.265453E-17	       -2.907864E-08	       -3.354612E-07	       -1.664954E-07	       -1.644492E-07	       -8.861657E-07	       -2.826149E-16	       -3.989458E-08	       -2.259949E-12	       -3.726019E-10	       -2.492736E-08	       -2.037192E-06	       -5.639206E-09	       -3.198445E-07	       -0.000000E+00	       -2.556954E-09	       -4.675767E-14	       -1.211089E-08	       -9.302440E-19	       -6.124864E-07	       -6.901677E-09	       -3.041503E-08	       -2.573782E-09	       -1.115808E-08	       -1.852619E-05	       -2.021688E-10	       -1.229841E-07	       -6.005108E-04	       -2.390524E-08	       -1.404671E-15	       -2.323526E-10	       -3.444680E-10	       -1.473284E-10	       -3.945326E-09	       -1.467602E-09	       -1.441309E-13	       -1.392765E-09	       -1.075114E-12	       -1.433287E-10	       -8.202195E-12	       -1.479260E-11	       -4.223174E-09	       -1.641035E-09	       -2.446070E-11	       -7.317390E-15	       -2.584240E-11	       -9.723869E-18	       -1.140481E-11	       -1.851332E-12	       -2.018759E-11	       -1.360393E-04	       -0.000000E+00	       -6.111267E-06	       -3.815638E-08	       -9.665492E-11	       -3.010612E-08	       -2.909304E-05	       -1.585212E-10	       -2.052950E-14	       -2.583834E-13	       -5.384335E-23	       -6.318311E-18	       -6.353591E-15	       -1.442518E-15	       -1.856373E-16
        7.000000E-03	       -1.523730E-07	       -5.415390E-12	       -8.918640E-07	       -3.579997E-09	       -1.230481E-07	       -8.399682E-06	       -5.802152E-10	       -3.060826E-08	       -1.929251E-07	       -8.187755E-05	       -1.526343E-08	       -9.943073E-11	       -6.230954E-07	       -9.057336E-08	       -1.487860E-18	       -1.394331E-08	       -4.672196E-07	       -4.020007E-11	       -1.136343E-06	       -9.836880E-08	       -5.336637E-10	       -9.504307E-12	       -7.546799E-08	       -6.593264E-07	       -7.386264E-14	       -2.635604E-05	       -6.149685E-10	       -6.601298E-20	       -2.836666E-08	       -2.379830E-07	       -2.235559E-08	       -5.713912E-07	       -1.332085E-07	       -1.138832E-07	       -4.279187E-12	       -3.608144E-10	       -2.121705E-08	       -1.688333E-06	       -4.614939E-08	       -2.648095E-07	       -7.236979E-06	       -3.169774E-09	       -1.288791E-16	       -7.865116E-08	       -7.886722E-07	       -3.982165E-07	       -3.631167E-07	       -3.097037E-06	       -3.239205E-15	       -8.853255E-08	       -1.769590E-11	       -1.715193E-09	       -5.960825E-08	       -6.440239E-06	       -1.458159E-08	       -8.119174E-07	       -0.000000E+00	       -1.281141E-08	       -3.917953E-13	       -2.617478E-08	       -2.265497E-17	       -1.401235E-06	       -3.015546E-08	       -6.569068E-08	       -9.977507E-09	       -6.094440E-08	       -3.432721E-05	       -9.333752E-10	       -2.036921E-07	       -1.025256E-03	       -5.230434E-08	       -4.059092E-15	       -8.290251E-10	       -7.580527E-10	       -6.081628E-10	       -1.042978E-08	       -2.078297E-09	       -1.266045E-12	       -3.006054E-09	       -1.811461E-12	       -3.550286E-10	       -2.557445E-11	       -4.756576E-11	       -6.764907E-09	       -2.709339E-09	       -7.886308E-11	       -4.875821E-14	       -7.522606E-11	       -9.140174E-17	       -2.905591E-11	       -4.146477E-12	       -5.100285E-11	       -3.127359E-04	       -0.000000E+00	       -1.234367E-05	       -4.981623E-08	       -2.169683E-10	       -7.784414E-08	       -8.703404E-05	       -6.972058E-10	       -8.447577E-14	       -2.508438E-12	       -2.585287E-21	       -8.948890E-17	       -4.886506E-14	       -9.438041E-15	       -2.421794E-15
        8.000000E-03	       -3.135316E-07	       -4.004967E-11	       -2.427536E-06	       -9.009306E-09	       -3.950314E-07	       -1.162998E-05	       -2.135238E-09	       -1.108035E-07	       -5.208965E-07	       -1.465343E-04	       -4.475260E-08	       -2.562864E-10	       -1.328747E-06	       -3.839817E-07	       -2.446161E-17	       -3.688078E-08	       -9.741059E-07	       -2.184043E-10	       -2.559821E-06	       -1.627370E-07	       -1.865730E-09	       -3.721482E-11	       -1.551231E-07	       -1.313117E-06	       -2.564373E-13	       -4.128478E-05	       -3.119445E-09	       -6.572361E-17	       -1.086153E-07	       -6.208621E-07	       -5.803479E-08	       -1.035302E-06	       -2.205030E-07	       -1.846699E-07	       -2.736340E-11	       -1.548434E-09	       -6.917059E-08	       -4.401221E-06	       -9.420096E-08	       -4.907133E-07	       -1.084798E-05	       -6.228420E-09	       -8.471614E-16	       -1.747916E-07	       -1.552067E-06	       -8.030989E-07	       -6.439226E-07	       -8.873538E-06	       -2.577598E-14	       -1.828751E-07	       -9.967439E-11	       -7.653017E-09	       -1.192339E-07	       -1.689977E-05	       -3.855445E-08	       -1.714223E-06	       -0.000000E+00	       -5.069022E-08	       -2.289753E-12	       -5.481658E-08	       -1.720991E-16	       -2.749940E-06	       -1.023192E-07	       -1.230693E-07	       -3.462640E-08	       -2.500603E-07	       -5.686771E-05	       -3.522903E-09	       -3.046868E-07	       -1.568202E-03	       -1.091527E-07	       -1.121760E-14	       -2.355712E-09	       -1.588288E-09	       -2.155454E-09	       -2.359842E-08	       -3.341244E-09	       -8.153480E-12	       -5.582915E-09	       -3.522631E-12	       -9.075498E-10	       -7.078775E-11	       -1.321060E-10	       -1.028312E-08	       -4.235888E-09	       -2.046650E-10	       -3.217996E-13	       -2.040790E-10	       -4.487371E-16	       -7.884198E-11	       -9.202905E-12	       -1.291987E-10	       -6.327245E-04	       -0.000000E+00	       -2.130206E-05	       -6.239718E-08	       -4.233450E-10	       -1.698517E-07	       -1.974920E-04	       -3.318351E-09	       -2.884104E-13	       -5.610887E-12	       -4.448868E-20	       -4.871141E-16	       -3.112274E-13	       -5.507365E-14	       -1.989527E-14
        9.000000E-03	       -5.711821E-07	       -1.391483E-10	       -5.024581E-06	       -1.842612E-08	       -8.496546E-07	       -1.551869E-05	       -6.674530E-09	       -2.537915E-07	       -1.050736E-06	       -2.375132E-04	       -1.005492E-07	       -6.022828E-10	       -2.364505E-06	       -9.779747E-07	       -1.984945E-16	       -7.595175E-08	       -1.671905E-06	       -7.515259E-10	       -4.648276E-06	       -2.562932E-07	       -4.660610E-09	       -1.173705E-10	       -2.503210E-07	       -2.229117E-06	       -7.016156E-13	       -5.742860E-05	       -9.905708E-09	       -2.495848E-15	       -3.171850E-07	       -1.128821E-06	       -1.201516E-07	       -1.490195E-06	       -3.524082E-07	       -2.687345E-07	       -1.140875E-10	       -4.747194E-09	       -1.610012E-07	       -8.650079E-06	       -1.704799E-07	       -7.793135E-07	       -1.494026E-05	       -1.148751E-08	       -3.725052E-15	       -3.221922E-07	       -2.458665E-06	       -1.270143E-06	       -9.820178E-07	       -1.886834E-05	       -1.287552E-13	       -3.449897E-07	       -3.847888E-10	       -2.768563E-08	       -2.080351E-07	       -3.382068E-05	       -9.149454E-08	       -3.173824E-06	       -0.000000E+00	       -1.488316E-07	       -8.868490E-12	       -1.080933E-07	       -7.114237E-16	       -4.821887E-06	       -2.275830E-07	       -2.236597E-07	       -9.594022E-08	       -7.508155E-07	       -8.629136E-05	       -1.019928E-08	       -4.417310E-07	       -2.215454E-03	       -1.852176E-07	       -2.330922E-14	       -4.984138E-09	       -2.790597E-09	       -5.240559E-09	       -4.194367E-08	       -5.785801E-09	       -2.975970E-11	       -8.117065E-09	       -7.151844E-12	       -2.047974E-09	       -1.796654E-10	       -3.282040E-10	       -1.487773E-08	       -6.283792E-09	       -4.021679E-10	       -1.633929E-12	       -4.796973E-10	       -1.269896E-15	       -1.855116E-10	       -1.861904E-11	       -2.847758E-10	       -9.879958E-04	       -0.000000E+00	       -3.254249E-05	       -7.581396E-08	       -6.591979E-10	       -2.860425E-07	       -3.179338E-04	       -1.954029E-09	       -7.859708E-13	       -3.187146E-11	       -3.481343E-19	       -1.368057E-15	       -1.371842E-12	       -2.272419E-13	       -9.343624E-14
        1.010000E-02	       -9.732503E-07	       -3.592830E-10	       -9.088070E-06	       -3.505579E-08	       -1.484792E-06	       -2.025100E-05	       -1.905865E-08	       -4.555324E-07	       -1.825458E-06	       -3.699188E-04	       -1.989084E-07	       -1.380481E-09	       -3.882594E-06	       -1.882326E-06	       -1.104706E-15	       -1.379647E-07	       -2.570240E-06	       -1.998905E-09	       -7.527194E-06	       -4.199313E-07	       -9.385338E-09	       -3.382315E-10	       -3.792292E-07	       -3.563003E-06	       -1.749258E-12	       -7.493793E-05	       -2.521359E-08	       -1.977729E-14	       -8.270909E-07	       -1.748964E-06	       -2.277648E-07	       -2.037715E-06	       -5.648139E-07	       -3.932329E-07	       -3.915521E-10	       -1.219943E-08	       -3.143114E-07	       -1.463787E-05	       -2.993764E-07	       -1.168997E-06	       -1.988735E-05	       -2.057851E-08	       -1.398159E-14	       -5.501973E-07	       -3.635201E-06	       -1.737485E-06	       -1.403446E-06	       -3.520120E-05	       -5.057120E-13	       -6.366251E-07	       -1.230572E-09	       -8.748622E-08	       -3.465140E-07	       -5.960632E-05	       -2.109933E-07	       -5.608159E-06	       -0.000000E+00	       -3.738669E-07	       -2.910039E-11	       -2.151034E-07	       -2.200009E-15	       -8.117222E-06	       -4.043282E-07	       -4.191083E-07	       -2.357250E-07	       -1.938362E-06	       -1.263562E-04	       -2.660516E-08	       -6.646166E-07	       -3.033549E-03	       -2.790040E-07	       -3.626894E-14	       -9.287467E-09	       -4.202284E-09	       -1.004335E-08	       -6.384763E-08	       -1.046442E-08	       -8.110616E-11	       -9.873492E-09	       -1.488398E-11	       -4.257868E-09	       -4.322977E-10	       -7.898805E-10	       -2.108792E-08	       -9.054174E-09	       -7.033187E-10	       -6.987761E-12	       -1.077250E-09	       -2.777322E-15	       -3.702113E-10	       -3.508231E-11	       -5.877102E-10	       -1.342213E-03	       -0.000000E+00	       -4.663205E-05	       -8.946764E-08	       -9.149540E-10	       -4.240625E-07	       -4.255647E-04	       -9.437758E-09	       -1.849501E-12	       -3.344225E-11	       -1.895118E-18	       -2.982451E-15	       -4.750284E-12	       -7.298629E-13	       -3.141250E-13
        1.110000E-02	       -1.461321E-06	       -7.357841E-10	       -1.382258E-05	       -5.788082E-08	       -2.174885E-06	       -2.478936E-05	       -4.421905E-08	       -6.684083E-07	       -2.691650E-06	       -5.191250E-04	       -3.327907E-07	       -2.747357E-09	       -5.606127E-06	       -2.852440E-06	       -3.924129E-15	       -2.154804E-07	       -3.483043E-06	       -3.913565E-09	       -1.069204E-05	       -6.587020E-07	       -1.482025E-08	       -7.971409E-10	       -5.277538E-07	       -5.108986E-06	       -3.523848E-12	       -8.956582E-05	       -5.179884E-08	       -7.343498E-14	       -1.811760E-06	       -2.389630E-06	       -3.720113E-07	       -2.587862E-06	       -8.325699E-07	       -5.469752E-07	       -1.020764E-09	       -2.459492E-08	       -5.056205E-07	       -2.118127E-05	       -4.719997E-07	       -1.626806E-06	       -2.473002E-05	       -3.276977E-08	       -3.960696E-14	       -8.225979E-07	       -4.898951E-06	       -2.092623E-06	       -1.824230E-06	       -5.801534E-05	       -1.422319E-12	       -1.070780E-06	       -2.977482E-09	       -2.121143E-07	       -5.121365E-07	       -9.248573E-05	       -4.335567E-07	       -8.666181E-06	       -0.000000E+00	       -7.530288E-07	       -7.541980E-11	       -3.977604E-07	       -4.922449E-15	       -1.211464E-05	       -5.947207E-07	       -7.184343E-07	       -4.763836E-07	       -4.034000E-06	       -1.690710E-04	       -5.799273E-08	       -9.538204E-07	       -3.851301E-03	       -3.739810E-07	       -4.416000E-14	       -1.536286E-08	       -5.282345E-09	       -1.532038E-08	       -8.367174E-08	       -1.733861E-08	       -1.708222E-10	       -1.059622E-08	       -2.759128E-11	       -7.581597E-09	       -8.419755E-10	       -1.619228E-09	       -2.760050E-08	       -1.186322E-08	       -1.104354E-09	       -2.155616E-11	       -2.149551E-09	       -5.085050E-15	       -5.874684E-10	       -5.701116E-11	       -1.069553E-09	       -1.657278E-03	       -0.000000E+00	       -6.067266E-05	       -1.026163E-07	       -1.157161E-09	       -5.643492E-07	       -5.106550E-04	       -1.645121E-08	       -3.497566E-12	       -6.153000E-11	       -6.815110E-18	       -5.553600E-15	       -1.176962E-11	       -1.678938E-12	       -7.448424E-13
        1.210000E-02	       -2.089843E-06	       -1.374723E-09	       -1.946793E-05	       -8.956776E-08	       -2.932268E-06	       -2.953643E-05	       -9.670587E-08	       -8.915669E-07	       -3.667246E-06	       -6.945214E-04	       -5.304462E-07	       -5.242385E-09	       -7.649587E-06	       -3.843376E-06	       -1.192719E-14	       -3.214942E-07	       -4.459792E-06	       -6.726891E-09	       -1.424741E-05	       -1.040897E-06	       -2.099237E-08	       -1.784942E-09	       -7.030120E-07	       -6.989251E-06	       -6.445518E-12	       -1.022736E-04	       -1.012830E-07	       -2.045182E-13	       -3.836281E-06	       -3.102128E-06	       -5.670013E-07	       -3.167122E-06	       -1.185765E-06	       -7.503390E-07	       -2.423111E-09	       -4.489290E-08	       -7.363887E-07	       -2.841932E-05	       -7.186514E-07	       -2.268175E-06	       -2.980865E-05	       -5.018183E-08	       -1.019417E-13	       -1.158386E-06	       -6.301360E-06	       -2.396264E-06	       -2.283280E-06	       -9.411354E-05	       -3.520875E-12	       -1.779755E-06	       -6.433134E-09	       -4.622569E-07	       -7.132285E-07	       -1.394936E-04	       -8.818212E-07	       -1.255322E-05	       -0.000000E+00	       -1.401154E-06	       -1.853475E-10	       -7.411958E-07	       -9.774617E-15	       -1.705999E-05	       -8.020694E-07	       -1.197910E-06	       -9.048134E-07	       -7.818851E-06	       -2.168336E-04	       -1.205186E-07	       -1.347904E-06	       -4.727846E-03	       -4.792676E-07	       -5.057140E-14	       -2.516138E-08	       -6.067639E-09	       -2.079412E-08	       -1.015170E-07	       -2.779764E-08	       -3.195600E-10	       -1.101240E-08	       -4.990580E-11	       -1.286140E-08	       -1.481689E-09	       -3.164069E-09	       -3.470286E-08	       -1.469866E-08	       -1.689064E-09	       -5.898250E-11	       -4.136404E-09	       -9.172273E-15	       -8.412636E-10	       -8.700709E-11	       -1.897870E-09	       -1.975138E-03	       -0.000000E+00	       -7.573879E-05	       -1.158900E-07	       -1.420917E-09	       -7.209266E-07	       -5.908518E-04	       -9.857716E-09	       -6.142247E-12	       -9.951801E-11	       -2.123691E-17	       -1.032527E-14	       -2.534440E-11	       -3.400346E-12	       -1.590176E-12
