            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        4.003546E-11	        9.065854E-09	        1.772951E-04	        9.428945E-07	        5.598286E-07	        3.096170E-07	        1.047567E-08	        1.669345E-07	        3.878521E-07	        3.122905E-07	        5.704909E-09	        1.623561E-09	        2.594932E-15	        3.524186E-05	        3.768694E-15	        9.494163E-07	        5.331242E-08	        3.348200E-18	        3.728587E-05	        7.494431E-11	        9.655663E-10	        1.467631E-10	        1.342628E-06	        2.763256E-08	        4.488965E-19	        7.177420E-07	        1.521694E-06	        7.786964E-23	        5.119520E-02	        3.499916E-06	        1.914179E-08	        1.349960E-06	        1.273926E-07	        5.176978E-04	        3.610261E-11	        1.091247E-10	        4.973870E-08	        1.262191E-05	        2.279213E-04	        1.799571E-03	        8.074087E-04	        2.037945E-08	        1.328884E-17	        3.451871E-07	        5.173546E-06	        8.168467E-04	        1.070306E-11	        4.361981E-03	        4.077034E-15	        2.403204E-02	        3.525382E-12	        2.392183E-02	        1.840954E-06	        4.587769E-03	        4.978513E-02	        1.842865E-06	        0.000000E+00	        8.069180E-04	        5.829259E-05	        9.182349E-08	        1.729921E-19	        0.000000E+00	        1.630935E-06	        4.710765E-06	        1.171675E-06	        1.288319E-01	        1.707176E-15	        3.342791E-10	        1.249810E-13	        0.000000E+00	        2.380342E-02	        2.819649E-15	        1.336852E-06	        1.338549E-08	        1.617979E-09	        1.743235E-09	        2.511113E-09	        6.408030E-08	        2.069090E-10	        4.300860E-07	        6.776215E-09	        1.367248E-07	        2.261079E-09	        1.639541E-09	        2.585857E-09	        1.005960E-09	        3.536288E-10	        3.325263E-10	        9.643108E-12	        1.138698E-16	        2.117202E-14	        1.185350E-12	        3.209388E-06	        3.940970E-12	        4.876679E-10	        3.211333E-11	        6.897361E-12	        2.658688E-09	        1.808747E-05	        2.760500E-10	        6.365682E-16	        1.225986E-16	        1.849584E-20	        3.435674E-12	        5.116003E-11	        2.372736E-14	        1.869137E-13
        2.002450E-03	        8.410038E-10	        5.170039E-07	        3.299147E-04	        6.711970E-07	        4.088804E-05	        8.879223E-07	        4.114305E-08	        1.252189E-05	        9.869325E-07	        3.290557E-06	        6.963684E-08	        5.597730E-08	        7.976821E-14	        8.957124E-05	        8.206980E-13	        1.262039E-05	        2.152529E-07	        6.518027E-15	        9.341447E-05	        1.496808E-10	        4.618270E-08	        4.691491E-09	        1.365498E-06	        9.279615E-07	        4.203933E-17	        4.950547E-06	        3.421646E-05	        2.287189E-18	        1.386573E-01	        1.211898E-05	        2.323903E-08	        1.299918E-05	        3.556428E-06	        1.306637E-03	        6.581740E-10	        5.043982E-08	        3.834845E-07	        2.241692E-04	        5.844953E-04	        2.367533E-03	        1.549852E-03	        9.000925E-08	        5.298210E-14	        3.819004E-06	        8.224456E-06	        1.589605E-03	        7.903681E-12	        1.530009E-02	        4.925709E-14	        4.643456E-02	        1.797218E-10	        4.702148E-02	        1.942147E-05	        1.306669E-02	        1.139428E-01	        1.936956E-05	        0.000000E+00	        6.920988E-03	        4.818255E-04	        6.051227E-07	        1.943632E-16	        0.000000E+00	        3.819837E-05	        1.595187E-04	        6.023331E-06	        3.363404E-01	        1.600698E-13	        1.343876E-08	        8.716588E-13	        0.000000E+00	        4.581438E-02	        1.265368E-14	        5.051417E-06	        2.929171E-09	        2.876653E-09	        1.249035E-08	        2.016911E-08	        1.624759E-07	        6.332963E-11	        9.893646E-07	        2.118483E-09	        4.414656E-07	        1.152017E-08	        1.463383E-08	        9.642688E-09	        1.258548E-06	        1.289678E-08	        3.820227E-08	        6.198027E-08	        8.646374E-17	        2.969944E-13	        2.011772E-13	        4.153584E-06	        1.691503E-12	        4.822574E-11	        5.283593E-12	        2.853305E-13	        2.602992E-11	        2.970495E-06	        3.676311E-10	        5.065117E-16	        1.770691E-13	        2.303882E-17	        2.019995E-09	        3.593911E-10	        9.042717E-14	        1.379602E-12
        3.002200E-03	        8.742544E-09	        3.048494E-07	        5.214096E-04	        4.141187E-06	        2.799428E-05	        7.568801E-08	        1.082368E-08	        6.653938E-06	        5.826652E-07	        1.036224E-05	        1.263645E-09	        9.822909E-09	        6.735635E-17	        3.418282E-04	        2.100125E-13	        3.235437E-06	        4.627617E-08	        9.536822E-18	        3.546566E-04	        5.667177E-11	        2.432648E-10	        3.322002E-11	        1.029367E-05	        1.598078E-07	        1.997274E-16	        2.497521E-07	        4.599323E-06	        3.189826E-19	        2.776846E-01	        1.718980E-06	        2.771389E-07	        3.462768E-07	        2.035641E-08	        4.932123E-03	        1.998334E-11	        4.974209E-10	        7.531506E-09	        1.008054E-03	        2.174017E-03	        3.333543E-03	        1.030083E-04	        4.489442E-09	        1.071597E-13	        1.250627E-05	        2.019318E-05	        1.309765E-04	        1.165171E-12	        3.738074E-02	        1.423571E-16	        5.418598E-03	        3.245475E-11	        6.314759E-03	        6.122223E-05	        2.942431E-02	        1.964884E-01	        6.095430E-05	        0.000000E+00	        2.218559E-02	        1.301606E-03	        1.463297E-07	        3.851593E-21	        0.000000E+00	        3.757937E-05	        9.552153E-04	        3.136063E-06	        5.984527E-01	        8.125398E-16	        3.272051E-10	        5.843944E-14	        0.000000E+00	        3.173615E-03	        6.147700E-14	        1.445247E-05	        1.148293E-08	        1.096088E-08	        4.447918E-08	        1.910362E-07	        3.116507E-07	        1.346159E-10	        1.803111E-06	        4.492706E-09	        1.559526E-06	        9.080104E-08	        5.280198E-08	        2.922405E-08	        1.208301E-07	        2.180502E-08	        1.015994E-07	        8.078392E-08	        3.743456E-17	        5.709917E-13	        6.042402E-14	        2.232432E-06	        1.490590E-11	        4.655067E-12	        1.490056E-12	        3.260550E-14	        1.843130E-13	        8.416137E-07	        2.074505E-10	        4.757748E-16	        1.690651E-14	        1.920904E-16	        2.609019E-09	        1.196192E-09	        7.348680E-14	        1.349508E-12
        4.001830E-03	        4.625728E-09	        1.005743E-07	        6.241523E-04	        2.391743E-06	        7.973821E-06	        7.401076E-09	        3.704115E-09	        1.920034E-06	        1.790230E-07	        5.999109E-06	        2.454523E-09	        2.236085E-09	        6.765991E-18	        1.966799E-04	        8.312992E-14	        1.625951E-06	        1.253321E-08	        6.658618E-19	        2.058689E-04	        1.610515E-11	        5.288357E-11	        1.011034E-11	        6.439568E-06	        3.874511E-08	        7.481701E-17	        6.929467E-07	        1.577700E-06	        9.419326E-21	        3.110675E-01	        6.869875E-06	        1.510329E-07	        7.139038E-07	        6.865659E-09	        2.841469E-03	        5.811176E-12	        1.488225E-10	        2.075445E-09	        5.884050E-04	        1.253261E-03	        3.266471E-03	        9.245978E-06	        3.321864E-09	        8.768520E-15	        7.356405E-06	        4.908085E-05	        8.649368E-05	        5.719747E-13	        4.570772E-02	        1.431020E-16	        1.836865E-03	        3.854791E-12	        3.419055E-03	        3.545819E-05	        3.654192E-02	        2.358383E-01	        3.528857E-05	        0.000000E+00	        2.077917E-02	        1.492174E-03	        3.829625E-08	        1.708638E-16	        0.000000E+00	        2.154113E-05	        5.720954E-04	        1.908103E-06	        6.560803E-01	        4.666743E-17	        8.683244E-11	        1.965480E-14	        0.000000E+00	        5.452403E-04	        5.682649E-14	        1.347789E-05	        3.585693E-08	        1.312853E-08	        4.720840E-08	        3.442930E-07	        3.580608E-07	        1.651509E-10	        2.052039E-06	        5.515223E-09	        1.807660E-06	        1.508356E-07	        4.212646E-08	        2.593275E-08	        3.462369E-07	        2.465779E-08	        6.793594E-08	        1.665398E-08	        1.418798E-17	        3.733796E-13	        2.424543E-14	        9.783547E-07	        6.055804E-11	        1.730836E-12	        5.953443E-13	        6.062172E-14	        3.575818E-12	        3.373081E-07	        8.727374E-11	        6.049063E-16	        4.931858E-14	        1.098816E-16	        5.420540E-10	        1.199984E-09	        6.320430E-15	        1.438669E-13
        5.032280E-03	        3.412600E-10	        6.055933E-11	        6.369229E-04	        3.871121E-07	        1.577535E-06	        4.046310E-07	        3.910106E-12	        3.096135E-10	        1.041121E-09	        7.018447E-05	        6.286426E-08	        5.840891E-13	        5.783568E-24	        3.960138E-05	        4.782046E-14	        2.962764E-06	        1.870362E-08	        6.466767E-25	        5.787769E-05	        6.078340E-15	        4.318228E-14	        3.699439E-14	        1.065929E-06	        4.047026E-11	        2.590562E-18	        2.021371E-05	        8.383694E-07	        1.494694E-23	        2.681675E-01	        2.356168E-05	        1.507819E-08	        2.021438E-05	        8.731141E-11	        5.698374E-04	        2.613552E-15	        8.000302E-16	        1.767147E-13	        8.278053E-04	        2.515826E-04	        2.559762E-03	        5.020977E-04	        2.070411E-08	        1.239531E-14	        8.615939E-05	        1.510547E-05	        5.446842E-04	        1.530818E-13	        4.126830E-02	        7.724149E-19	        1.268452E-02	        1.628456E-13	        1.380335E-02	        4.148461E-04	        3.371565E-02	        2.388839E-01	        4.128497E-04	        0.000000E+00	        9.404772E-03	        1.093372E-03	        1.655023E-11	        1.746078E-22	        0.000000E+00	        8.125649E-06	        7.932529E-04	        3.600113E-06	        5.583725E-01	        6.937802E-17	        7.696322E-10	        1.109476E-17	        0.000000E+00	        1.234353E-02	        2.014036E-14	        6.413188E-06	        1.316887E-06	        1.026617E-08	        3.140673E-08	        4.754438E-07	        3.251859E-07	        1.383627E-10	        1.876315E-06	        4.759929E-09	        1.598941E-06	        1.976730E-07	        1.624098E-08	        1.085365E-07	        3.082040E-08	        1.061468E-07	        4.727557E-08	        1.582335E-13	        1.279286E-20	        5.228401E-13	        3.699573E-16	        2.436004E-07	        2.308089E-09	        2.790340E-12	        9.379993E-15	        1.508952E-13	        8.725685E-12	        5.318633E-09	        4.799541E-13	        2.332397E-16	        2.946310E-15	        4.507515E-17	        1.802511E-14	        5.231914E-09	        1.429724E-17	        2.119473E-17
        6.022040E-03	        2.071816E-13	        8.622252E-10	        6.206467E-04	        2.785560E-10	        2.640853E-07	        6.876744E-07	        4.587260E-11	        3.826769E-09	        1.558670E-08	        6.156294E-05	        9.072081E-08	        3.215120E-12	        3.672467E-22	        1.167407E-05	        3.570212E-15	        2.411519E-06	        3.179450E-08	        3.886358E-23	        2.577685E-05	        1.349340E-15	        6.021499E-13	        6.139048E-13	        7.625315E-10	        1.000348E-11	        1.238804E-22	        1.765054E-05	        1.430668E-07	        1.246840E-22	        2.540554E-01	        3.830162E-06	        9.748916E-12	        1.765105E-05	        4.028951E-11	        1.728775E-04	        2.378253E-17	        3.591957E-19	        1.376773E-14	        6.490159E-04	        7.628120E-05	        2.432485E-03	        8.632869E-04	        3.378406E-08	        6.333434E-15	        7.541973E-05	        1.426228E-06	        8.736250E-04	        1.505921E-13	        3.804841E-02	        1.284354E-17	        2.129512E-02	        3.285915E-14	        2.232485E-02	        3.638666E-04	        3.136377E-02	        2.314563E-01	        3.621349E-04	        0.000000E+00	        7.521295E-03	        9.727973E-04	        1.086507E-11	        5.131465E-22	        0.000000E+00	        6.924215E-06	        6.199494E-04	        2.910084E-06	        5.268770E-01	        2.005828E-17	        9.533210E-10	        7.460171E-20	        0.000000E+00	        2.114562E-02	        2.297416E-14	        5.252563E-06	        1.878029E-06	        2.401272E-08	        5.700746E-08	        5.753326E-07	        3.089314E-07	        6.127592E-10	        1.767079E-06	        2.163949E-08	        1.685673E-06	        2.371244E-07	        8.851031E-08	        2.244065E-07	        2.361257E-08	        5.252118E-07	        3.174968E-07	        1.940582E-12	        6.739165E-19	        8.711878E-13	        1.742617E-15	        3.594805E-07	        3.226196E-09	        1.188776E-11	        4.452648E-14	        4.698668E-13	        4.804526E-11	        2.521992E-08	        1.033120E-12	        3.562312E-16	        3.306213E-16	        2.632496E-16	        3.150920E-13	        1.291513E-08	        2.517641E-16	        2.134978E-16
        7.022040E-03	        1.131924E-14	        1.555015E-09	        6.152334E-04	        1.124067E-13	        2.740554E-07	        8.058999E-07	        8.799448E-11	        6.834112E-09	        2.980147E-08	        3.518161E-05	        9.669165E-08	        6.051839E-12	        2.423184E-21	        1.369199E-05	        4.983878E-16	        1.382385E-06	        3.730624E-08	        1.312170E-22	        2.183679E-05	        2.420572E-15	        1.465670E-12	        1.441869E-12	        3.073869E-13	        1.360592E-11	        1.585343E-25	        1.005875E-05	        1.765869E-07	        1.395751E-22	        2.506840E-01	        3.898446E-06	        3.909364E-15	        1.005963E-05	        1.885079E-10	        2.029070E-04	        1.486642E-18	        1.673288E-20	        1.402548E-14	        3.708874E-04	        8.951587E-05	        2.408705E-03	        1.014667E-03	        4.029840E-08	        3.760099E-15	        4.307803E-05	        1.629775E-06	        1.022011E-03	        2.412548E-13	        3.709148E-02	        2.738300E-17	        2.500526E-02	        2.865850E-14	        2.594435E-02	        2.079374E-04	        3.080855E-02	        2.286979E-01	        2.069506E-04	        0.000000E+00	        7.219325E-03	        9.452212E-04	        1.620818E-11	        1.238544E-21	        0.000000E+00	        6.741558E-06	        3.540904E-04	        1.663081E-06	        5.221961E-01	        1.053564E-16	        1.017029E-09	        2.890557E-21	        0.000000E+00	        2.487396E-02	        2.954849E-14	        5.072949E-06	        1.908488E-06	        3.623668E-08	        6.973311E-08	        6.872757E-07	        3.061646E-07	        1.080919E-09	        1.742487E-06	        3.823146E-08	        1.850313E-06	        2.832873E-07	        1.338134E-07	        2.742225E-07	        5.875138E-08	        7.828033E-07	        5.561469E-07	        3.260135E-12	        2.297980E-18	        1.027888E-12	        3.538269E-15	        3.862731E-07	        3.357786E-09	        7.334548E-13	        9.059163E-14	        3.849144E-13	        3.171223E-12	        5.127458E-08	        1.949127E-12	        3.250294E-16	        4.658905E-15	        4.046097E-16	        5.725095E-13	        1.675563E-08	        1.299019E-16	        8.208405E-16
        8.022040E-03	        1.834964E-14	        1.768059E-09	        6.126400E-04	        1.433871E-15	        2.694808E-07	        8.897364E-07	        1.027971E-10	        7.736657E-09	        3.482388E-08	        1.816714E-05	        1.008057E-07	        8.365240E-12	        5.112874E-21	        1.512827E-05	        1.161563E-16	        7.197076E-07	        4.118939E-08	        2.328904E-22	        1.944717E-05	        6.102025E-15	        2.257905E-12	        2.168452E-12	        3.896995E-15	        1.647667E-11	        1.303458E-25	        5.189167E-06	        1.410298E-07	        8.661709E-23	        2.491711E-01	        3.802705E-06	        1.077476E-16	        5.190441E-06	        1.949494E-10	        2.243331E-04	        1.588021E-18	        8.473163E-22	        1.370198E-14	        1.917057E-04	        9.895619E-05	        2.398349E-03	        1.121395E-03	        4.526262E-08	        2.025120E-15	        2.224067E-05	        1.779608E-06	        1.126820E-03	        2.687793E-13	        3.663170E-02	        3.460638E-17	        2.762591E-02	        2.483982E-14	        2.851616E-02	        1.073746E-04	        3.057213E-02	        2.272882E-01	        1.068655E-04	        0.000000E+00	        7.101839E-03	        9.321259E-04	        2.284882E-11	        1.825061E-21	        0.000000E+00	        6.670772E-06	        1.827915E-04	        8.591787E-07	        5.213355E-01	        2.033210E-18	        1.070595E-09	        2.678263E-22	        0.000000E+00	        2.750545E-02	        3.500907E-14	        5.004959E-06	        1.851428E-06	        4.533595E-08	        7.746292E-08	        8.013756E-07	        3.052351E-07	        1.449455E-09	        1.732135E-06	        5.125875E-08	        2.019347E-06	        3.304336E-07	        1.596805E-07	        2.966125E-07	        2.852998E-08	        9.471835E-07	        7.329376E-07	        3.608331E-12	        3.613842E-18	        1.097765E-12	        5.323718E-15	        4.078337E-07	        3.378213E-09	        1.604025E-14	        1.364495E-13	        3.396607E-13	        4.425183E-14	        7.719278E-08	        3.558615E-12	        2.631662E-16	        2.134313E-17	        4.738397E-16	        6.877132E-13	        1.882775E-08	        1.834740E-16	        1.854690E-15
        9.022040E-03	        5.966202E-14	        1.771565E-09	        6.111401E-04	        1.018464E-16	        2.559727E-07	        9.436180E-07	        1.052602E-10	        7.739620E-09	        3.544820E-08	        8.842484E-06	        1.034880E-07	        1.076652E-11	        7.842533E-21	        1.605020E-05	        4.515401E-17	        3.562728E-07	        4.367290E-08	        3.877405E-22	        1.826865E-05	        2.755960E-14	        2.892936E-12	        2.714786E-12	        2.328692E-16	        2.227418E-11	        1.632344E-25	        2.524405E-06	        1.338629E-07	        3.317257E-23	        2.483388E-01	        3.600337E-06	        8.959768E-17	        2.526088E-06	        2.863778E-10	        2.381086E-04	        8.980223E-18	        4.467056E-23	        1.298709E-14	        9.355039E-05	        1.050239E-04	        2.392958E-03	        1.189992E-03	        4.878277E-08	        7.711804E-16	        1.082411E-05	        1.878041E-06	        1.194367E-03	        2.674347E-13	        3.638197E-02	        3.757722E-17	        2.931295E-02	        3.185321E-14	        3.017639E-02	        5.226225E-05	        3.044457E-02	        2.264857E-01	        5.201462E-05	        0.000000E+00	        7.043940E-03	        9.245673E-04	        5.045226E-11	        2.168632E-21	        0.000000E+00	        6.634938E-06	        8.895465E-05	        4.186649E-07	        5.211921E-01	        4.288420E-19	        1.106844E-09	        9.206677E-22	        0.000000E+00	        2.919755E-02	        3.821697E-14	        4.971860E-06	        1.737913E-06	        5.059200E-08	        8.129474E-08	        9.133180E-07	        3.046343E-07	        1.664658E-09	        1.726640E-06	        5.888885E-08	        2.180983E-06	        3.767024E-07	        1.685457E-07	        2.971527E-07	        2.851970E-08	        1.034290E-06	        8.402974E-07	        3.568702E-12	        4.260323E-18	        1.093378E-12	        1.094780E-14	        4.814373E-07	        3.316623E-09	        1.658421E-14	        2.807728E-13	        3.016994E-13	        1.673344E-15	        1.587911E-07	        1.043572E-11	        2.204701E-16	        1.311122E-18	        4.747642E-16	        7.089764E-13	        1.946770E-08	        2.259524E-16	        2.527047E-15
        1.002200E-02	        5.217534E-14	        1.737989E-09	        6.103438E-04	        2.203328E-16	        2.399423E-07	        9.750546E-07	        1.044991E-10	        7.589476E-09	        3.502581E-08	        4.339864E-06	        1.051222E-07	        1.222356E-11	        9.517379E-21	        1.658409E-05	        2.463481E-17	        1.806168E-07	        4.511770E-08	        4.943647E-22	        1.778222E-05	        2.387485E-14	        3.369806E-12	        3.091856E-12	        3.017747E-17	        2.709009E-11	        1.298502E-25	        1.238860E-06	        1.253770E-07	        1.798173E-24	        2.478912E-01	        3.363546E-06	        8.125629E-17	        1.240844E-06	        3.570755E-10	        2.461147E-04	        8.085032E-17	        2.409840E-24	        1.214618E-14	        4.616427E-05	        1.085481E-04	        2.389777E-03	        1.229800E-03	        5.111347E-08	        4.253413E-17	        5.312340E-06	        1.936440E-06	        1.233660E-03	        2.614694E-13	        3.625191E-02	        3.890412E-17	        3.029538E-02	        2.145012E-14	        3.114492E-02	        2.565014E-05	        3.037683E-02	        2.260591E-01	        2.552861E-05	        0.000000E+00	        7.013506E-03	        9.201817E-04	        5.005997E-11	        2.310679E-21	        0.000000E+00	        6.615542E-06	        4.365277E-05	        2.059589E-07	        5.211719E-01	        3.570195E-19	        1.128775E-09	        2.330144E-20	        0.000000E+00	        3.018186E-02	        3.929332E-14	        4.954563E-06	        1.605766E-06	        5.248825E-08	        8.228134E-08	        1.021188E-06	        3.040280E-07	        1.739227E-09	        1.723636E-06	        6.157472E-08	        2.332438E-06	        4.212339E-07	        1.663340E-07	        2.850306E-07	        2.741417E-08	        1.062069E-06	        8.864187E-07	        3.467904E-12	        4.425207E-18	        1.046260E-12	        1.311368E-14	        4.858984E-07	        3.217130E-09	        1.712260E-14	        3.364603E-13	        2.740611E-13	        8.175952E-17	        1.902408E-07	        1.171804E-11	        1.934224E-16	        3.272417E-19	        4.368831E-16	        6.912499E-13	        1.917521E-08	        3.673193E-16	        2.957067E-15
        1.102200E-02	        4.328625E-14	        1.712352E-09	        6.099885E-04	        1.018352E-16	        2.220513E-07	        9.901996E-07	        1.035121E-10	        7.473116E-09	        3.460624E-08	        1.987823E-06	        1.060558E-07	        1.353443E-11	        1.094129E-20	        1.683807E-05	        1.504696E-17	        8.878800E-08	        4.581230E-08	        6.073367E-22	        1.749554E-05	        1.941573E-14	        3.733392E-12	        3.387456E-12	        1.649012E-17	        3.068380E-11	        1.228124E-25	        5.675177E-07	        1.156952E-07	        1.525741E-25	        2.476703E-01	        3.096223E-06	        9.218374E-17	        5.697653E-07	        4.149749E-10	        2.499448E-04	        3.679152E-17	        1.319806E-25	        1.120060E-14	        2.141344E-05	        1.102317E-04	        2.387844E-03	        1.248794E-03	        5.259596E-08	        3.658979E-18	        2.433306E-06	        1.964466E-06	        1.252354E-03	        2.569078E-13	        3.618375E-02	        3.977511E-17	        3.076573E-02	        8.531234E-15	        3.160789E-02	        1.174875E-05	        3.034339E-02	        2.258530E-01	        1.169308E-05	        0.000000E+00	        6.995833E-03	        9.174304E-04	        4.872531E-11	        2.332204E-21	        0.000000E+00	        6.604212E-06	        1.999272E-05	        9.485365E-08	        5.210968E-01	        3.563490E-19	        1.139853E-09	        1.010186E-20	        0.000000E+00	        3.065335E-02	        3.901425E-14	        4.944509E-06	        1.457679E-06	        5.216123E-08	        8.132651E-08	        1.124238E-06	        3.033825E-07	        1.724914E-09	        1.722045E-06	        6.111808E-08	        2.473424E-06	        4.637096E-07	        1.584988E-07	        2.660704E-07	        2.564905E-08	        1.049829E-06	        8.896972E-07	        3.381204E-12	        4.350412E-18	        9.759092E-13	        1.620436E-14	        5.222784E-07	        3.087047E-09	        2.307964E-14	        4.158768E-13	        2.501509E-13	        4.294949E-18	        2.351033E-07	        1.604524E-11	        1.725008E-16	        3.917217E-19	        3.817767E-16	        6.573818E-13	        1.832160E-08	        3.314559E-16	        2.851065E-15
        1.202200E-02	        5.384500E-14	        1.748141E-09	        6.098327E-04	        2.798016E-16	        2.050666E-07	        9.949652E-07	        1.057304E-10	        7.620320E-09	        3.542065E-08	        8.946935E-07	        1.065557E-07	        1.479005E-11	        1.267425E-20	        1.691649E-05	        1.174011E-17	        4.634887E-08	        4.603494E-08	        7.240689E-22	        1.731451E-05	        2.508790E-14	        4.088586E-12	        3.685028E-12	        1.654202E-17	        3.339620E-11	        1.277718E-25	        2.554665E-07	        1.060962E-07	        1.258958E-25	        2.475541E-01	        2.831844E-06	        1.003015E-16	        2.579584E-07	        4.675490E-10	        2.511393E-04	        1.050243E-16	        7.305920E-27	        1.027555E-14	        9.913046E-06	        1.107542E-04	        2.386597E-03	        1.254677E-03	        5.348042E-08	        2.955369E-18	        1.095225E-06	        1.972972E-06	        1.258066E-03	        2.617486E-13	        3.614494E-02	        4.160186E-17	        3.091250E-02	        4.721077E-15	        3.175092E-02	        5.287963E-06	        3.032446E-02	        2.257565E-01	        5.262904E-06	        0.000000E+00	        6.983417E-03	        9.154524E-04	        5.724568E-11	        2.321519E-21	        0.000000E+00	        6.596442E-06	        8.998003E-06	        4.324493E-08	        5.208976E-01	        3.717851E-19	        1.143674E-09	        3.065807E-20	        0.000000E+00	        3.080094E-02	        3.829253E-14	        4.937277E-06	        1.312519E-06	        5.077677E-08	        7.953275E-08	        1.221674E-06	        3.027171E-07	        1.681371E-09	        1.721067E-06	        5.957986E-08	        2.604472E-06	        5.038284E-07	        1.490772E-07	        2.457271E-07	        2.373406E-08	        1.013190E-06	        8.669455E-07	        3.413015E-12	        4.332781E-18	        9.013639E-13	        1.900156E-14	        5.456345E-07	        2.948470E-09	        2.909667E-14	        4.877565E-13	        2.280354E-13	        2.333423E-19	        2.757081E-07	        1.934044E-11	        1.549759E-16	        2.811674E-19	        3.264955E-16	        6.330346E-13	        1.723673E-08	        3.230533E-16	        3.080140E-15
        1.302200E-02	        5.734888E-14	        1.837560E-09	        6.097814E-04	        3.323030E-17	        1.896801E-07	        9.932105E-07	        1.113906E-10	        8.002219E-09	        3.744536E-08	        3.983273E-07	        1.067622E-07	        1.600492E-11	        1.452918E-20	        1.688301E-05	        1.108213E-17	        2.750637E-08	        4.596329E-08	        8.448725E-22	        1.715533E-05	        2.707923E-14	        4.434112E-12	        4.005271E-12	        1.384992E-17	        3.458397E-11	        1.397111E-25	        1.137617E-07	        9.695493E-08	        1.162642E-25	        2.474871E-01	        2.581795E-06	        1.028236E-16	        1.164518E-07	        5.085518E-10	        2.506654E-04	        1.299579E-17	        4.077247E-28	        9.397110E-15	        4.692291E-06	        1.105413E-04	        2.385502E-03	        1.252228E-03	        5.395509E-08	        2.595124E-18	        4.876253E-07	        1.969050E-06	        1.255502E-03	        2.750973E-13	        3.612010E-02	        4.462202E-17	        3.085470E-02	        2.094591E-15	        3.169126E-02	        2.354261E-06	        3.031254E-02	        2.257111E-01	        2.343102E-06	        0.000000E+00	        6.973412E-03	        9.138597E-04	        6.118430E-11	        2.301298E-21	        0.000000E+00	        6.590397E-06	        4.005769E-06	        1.985470E-08	        5.205751E-01	        3.933544E-19	        1.142819E-09	        2.260001E-21	        0.000000E+00	        3.074396E-02	        3.750249E-14	        4.931372E-06	        1.176547E-06	        4.897308E-08	        7.752547E-08	        1.313548E-06	        3.020275E-07	        1.633006E-09	        1.720329E-06	        5.782677E-08	        2.726917E-06	        5.416150E-07	        1.394272E-07	        2.258031E-07	        2.184910E-08	        9.643676E-07	        8.307786E-07	        3.541401E-12	        4.434605E-18	        8.290541E-13	        1.900731E-14	        5.352716E-07	        2.810667E-09	        2.575303E-14	        4.879810E-13	        2.089764E-13	        1.290780E-20	        2.758086E-07	        1.973240E-11	        1.398252E-16	        2.733514E-19	        2.761257E-16	        6.207403E-13	        1.608108E-08	        2.727122E-16	        3.245084E-15
