           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        1.00000E-03  	        1.39992E+03  	        2.51198E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        8.90070E-19  	        0.00000E+00  	        2.28169E-19  	        1.35464E-19  	        3.76466E-16  	        0.00000E+00  	        2.15290E-19  	        6.09197E-13  	        4.91242E-15  	        6.55196E-15  	        1.92034E-17  	        7.03984E-21  	        0.00000E+00  	        5.72359E-14  	        1.59010E-17  	        0.00000E+00  	        2.11905E-16  	        2.18921E-12  	        5.72087E-17  	        5.10428E-19  	        4.31587E-21  	        1.06344E-14  	        0.00000E+00  	        1.38184E-18  	        8.68786E-14  	        0.00000E+00  	        7.76362E-12  	        2.84645E-17  	        2.47467E-20  	        6.17215E-15  	        1.41127E-12  	        7.77049E-13  	        3.40677E-18  	        2.29321E-14  	        0.00000E+00  	        5.36996E-17  	        1.70275E-13  	        2.18987E-13  	        5.49492E-13  	        2.60276E-11  	        0.00000E+00  	        3.46582E-16  	        2.16491E-16  	        4.81931E-13  	        6.73237E-14  	        9.03116E-16  	        1.28672E-19  	        5.20539E-12  	        2.36251E-23  	        4.37318E-11  	        2.06471E-15  	        2.10035E-01  	        1.57873E-07  	        1.87640E-14  	        0.00000E+00  	        7.32408E-13  	        9.13043E-12  	        6.22665E-11  	        0.00000E+00  	        4.43730E-14  	        7.89965E-01  	        1.16061E-13  	        1.29800E-11  	        1.66853E-12  	        8.44606E-13  	        5.23804E-13  	        4.11695E-12  	        4.16727E-13  	        6.50810E-17  	        0.00000E+00  	        0.00000E+00  	        2.37597E-15  	        2.06851E-20  	        2.53621E-18  	        1.22973E-18  	        0.00000E+00  	        1.03482E-16  	        1.94867E-12  	        2.84644E-11  	        5.73109E-12  	        2.93683E-17  	        7.22613E-12  	        1.99059E-14  	        0.00000E+00  	        4.04515E-19  	        1.83863E-17  	        0.00000E+00  	        1.62611E-22  	        0.00000E+00  	        3.75213E-12  	        2.48651E-17  	        0.00000E+00  	        1.08887E-20  	        7.21169E-23  	        5.43581E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.00888E-18  	        1.06354E-20  	        0.00000E+00
        2.00000E-03  	        1.39980E+03  	        2.51224E-01  	        1.01325E+05  	        9.98601E-22  	        0.00000E+00  	        1.10470E-15  	        5.55782E-20  	        7.53445E-17  	        5.88007E-16  	        1.91048E-13  	        5.96305E-19  	        2.55893E-16  	        2.14064E-11  	        4.74127E-14  	        3.66109E-13  	        1.98362E-14  	        1.94899E-18  	        0.00000E+00  	        3.40109E-12  	        4.99040E-16  	        0.00000E+00  	        3.53852E-14  	        1.14087E-10  	        6.96998E-16  	        1.99610E-16  	        1.06522E-17  	        1.05121E-12  	        0.00000E+00  	        1.35059E-14  	        3.44988E-12  	        0.00000E+00  	        5.84450E-11  	        2.05287E-15  	        5.69465E-18  	        2.32682E-13  	        5.25905E-11  	        3.59811E-11  	        3.26259E-16  	        7.34865E-12  	        1.57451E-18  	        2.67832E-15  	        6.95889E-12  	        1.16241E-11  	        2.25260E-11  	        1.60147E-10  	        0.00000E+00  	        5.27761E-14  	        2.35272E-14  	        1.50712E-11  	        1.88562E-11  	        5.79749E-14  	        3.26826E-17  	        1.95848E-10  	        5.76064E-17  	        6.29914E-10  	        2.69649E-13  	        2.10035E-01  	        2.39675E-06  	        2.07799E-12  	        0.00000E+00  	        9.39718E-11  	        2.04268E-10  	        8.30408E-10  	        0.00000E+00  	        4.68347E-12  	        7.89963E-01  	        2.67113E-11  	        2.81161E-10  	        8.33441E-11  	        2.73404E-11  	        3.27621E-11  	        1.45109E-10  	        7.11199E-12  	        1.47480E-15  	        0.00000E+00  	        6.72248E-23  	        1.94157E-13  	        1.81393E-17  	        3.65606E-16  	        6.91285E-16  	        0.00000E+00  	        4.74754E-15  	        3.86062E-12  	        2.50527E-10  	        5.04795E-11  	        2.88716E-15  	        6.36575E-11  	        1.84674E-13  	        8.20379E-21  	        3.03649E-16  	        1.89944E-15  	        0.00000E+00  	        4.65669E-17  	        6.14356E-22  	        3.30214E-11  	        3.07227E-15  	        0.00000E+00  	        6.81028E-18  	        5.28558E-19  	        7.57840E-17  	        1.17431E-20  	        5.18937E-20  	        0.00000E+00  	        7.04337E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        3.56586E-16  	        1.05874E-17  	        0.00000E+00
        3.10000E-03  	        1.39964E+03  	        2.51260E-01  	        1.01325E+05  	        2.37030E-18  	        0.00000E+00  	        2.30087E-13  	        4.18476E-18  	        2.12660E-15  	        8.85363E-14  	        9.85448E-12  	        3.64643E-17  	        3.54434E-14  	        2.27654E-10  	        1.01744E-12  	        5.01911E-12  	        1.64519E-12  	        1.51393E-16  	        0.00000E+00  	        8.23945E-11  	        8.02239E-15  	        5.46115E-21  	        1.20176E-12  	        1.29480E-09  	        6.47230E-15  	        9.40906E-15  	        5.34350E-16  	        1.87986E-11  	        3.90073E-23  	        4.14260E-12  	        5.35947E-11  	        0.00000E+00  	        3.58187E-10  	        5.52384E-14  	        6.57866E-16  	        5.54373E-12  	        4.88235E-10  	        4.16093E-10  	        3.39658E-14  	        2.62083E-10  	        3.58130E-16  	        5.96859E-14  	        8.61262E-11  	        3.30011E-10  	        1.98429E-10  	        5.16526E-10  	        0.00000E+00  	        2.35098E-12  	        9.74481E-13  	        1.26072E-10  	        6.48888E-10  	        1.48433E-12  	        1.23889E-15  	        1.79390E-09  	        6.45588E-14  	        5.63228E-09  	        5.93581E-12  	        2.10033E-01  	        1.13930E-05  	        4.19731E-11  	        0.00000E+00  	        3.03476E-09  	        3.62462E-09  	        5.39818E-09  	        0.00000E+00  	        8.71577E-11  	        7.89956E-01  	        8.30414E-10  	        3.40833E-09  	        9.66828E-10  	        2.21727E-10  	        4.08951E-10  	        1.24651E-09  	        4.25127E-11  	        2.96938E-14  	        3.21579E-18  	        2.53990E-19  	        5.13482E-12  	        1.38796E-15  	        3.91837E-14  	        3.11430E-14  	        6.09021E-20  	        2.93329E-13  	        5.99238E-12  	        9.83564E-10  	        1.99075E-10  	        4.39903E-13  	        2.51801E-10  	        7.66425E-13  	        1.92314E-18  	        2.05634E-14  	        3.53362E-14  	        0.00000E+00  	        1.38450E-14  	        7.41053E-19  	        1.29514E-10  	        7.36787E-14  	        0.00000E+00  	        3.04505E-16  	        2.94478E-17  	        2.09651E-15  	        6.16651E-19  	        2.30306E-18  	        8.79034E-22  	        3.84660E-17  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.31524E-14  	        3.37848E-16  	        7.71134E-19
        4.10000E-03  	        1.39946E+03  	        2.51302E-01  	        1.01325E+05  	        4.77546E-17  	        0.00000E+00  	        1.09830E-11  	        5.31750E-17  	        1.41413E-14  	        7.80959E-13  	        1.03542E-10  	        2.83945E-16  	        4.77852E-13  	        1.05024E-09  	        2.42187E-11  	        2.54828E-11  	        2.55117E-11  	        1.95811E-15  	        0.00000E+00  	        9.70471E-10  	        1.25516E-13  	        7.94508E-18  	        7.14338E-12  	        5.39956E-09  	        1.04144E-13  	        1.18680E-13  	        2.99839E-15  	        1.00019E-10  	        6.72789E-20  	        5.95994E-11  	        4.27554E-10  	        0.00000E+00  	        1.13071E-09  	        3.84711E-13  	        1.14113E-14  	        5.27553E-11  	        1.85207E-09  	        1.93317E-09  	        8.99130E-13  	        2.12148E-09  	        5.08391E-15  	        4.13736E-13  	        4.88111E-10  	        2.82591E-09  	        6.96836E-10  	        1.09639E-09  	        5.75674E-21  	        2.58839E-11  	        5.43118E-12  	        4.86219E-10  	        5.16079E-09  	        1.01392E-11  	        1.49802E-14  	        6.81340E-09  	        2.75909E-12  	        3.02978E-08  	        3.89966E-11  	        2.10030E-01  	        2.51878E-05  	        2.63008E-10  	        0.00000E+00  	        2.41511E-08  	        2.57784E-08  	        1.84253E-08  	        0.00000E+00  	        4.98923E-10  	        7.89945E-01  	        6.00934E-09  	        1.82344E-08  	        3.54128E-09  	        7.58854E-10  	        1.82862E-09  	        4.29893E-09  	        1.34718E-10  	        1.34254E-13  	        8.64865E-17  	        3.63621E-18  	        2.01081E-11  	        7.18232E-15  	        3.47164E-13  	        1.71940E-13  	        5.50432E-19  	        5.97462E-12  	        8.14596E-12  	        2.28845E-09  	        4.61852E-10  	        1.03022E-11  	        5.93954E-10  	        1.87528E-12  	        1.41009E-17  	        2.25521E-13  	        1.52361E-13  	        3.03851E-22  	        2.54695E-13  	        8.00529E-18  	        2.99630E-10  	        3.03533E-13  	        0.00000E+00  	        3.96118E-15  	        1.76603E-16  	        1.41303E-14  	        4.47872E-18  	        1.45720E-17  	        1.90212E-19  	        2.47729E-15  	        3.17089E-20  	        2.37587E-22  	        7.13430E-22  	        9.50548E-14  	        3.01339E-15  	        3.65081E-17
        5.00000E-03  	        1.39928E+03  	        2.51341E-01  	        1.01325E+05  	        1.66983E-16  	        4.96878E-21  	        1.16409E-10  	        2.27305E-16  	        5.15675E-14  	        1.56495E-12  	        4.91192E-10  	        1.04055E-15  	        2.24727E-12  	        3.06686E-09  	        1.97444E-10  	        7.90111E-11  	        1.40418E-10  	        1.08033E-14  	        1.41525E-21  	        4.96682E-09  	        6.34449E-13  	        2.83319E-16  	        1.76197E-11  	        1.40805E-08  	        1.03171E-12  	        7.06120E-13  	        7.15418E-15  	        3.07312E-10  	        1.04672E-18  	        1.98153E-10  	        1.88467E-09  	        0.00000E+00  	        2.89743E-09  	        1.37324E-12  	        5.73574E-14  	        1.95744E-10  	        4.46633E-09  	        5.66220E-09  	        6.92977E-12  	        8.19681E-09  	        2.45786E-14  	        1.42144E-12  	        1.69192E-09  	        1.01644E-08  	        1.57256E-09  	        1.97672E-09  	        9.72103E-19  	        1.06227E-10  	        1.26570E-11  	        1.23687E-09  	        1.96936E-08  	        3.48410E-11  	        9.22326E-14  	        1.74680E-08  	        2.36965E-11  	        1.04665E-07  	        1.35652E-10  	        2.10027E-01  	        3.98321E-05  	        9.39274E-10  	        0.00000E+00  	        9.26676E-08  	        9.67190E-08  	        4.37824E-08  	        1.17226E-22  	        1.61958E-09  	        7.89933E-01  	        2.14171E-08  	        5.87954E-08  	        8.72256E-09  	        1.77396E-09  	        5.04784E-09  	        9.62792E-09  	        2.93316E-10  	        3.13508E-13  	        2.94189E-16  	        1.65060E-17  	        3.58614E-11  	        1.47011E-14  	        1.22663E-12  	        3.12096E-13  	        1.10705E-18  	        2.24889E-11  	        1.06958E-11  	        4.12336E-09  	        8.08573E-10  	        6.61038E-11  	        1.08538E-09  	        3.53163E-12  	        5.06113E-17  	        9.89186E-13  	        3.77219E-13  	        3.23378E-20  	        9.31922E-13  	        2.48340E-17  	        5.34848E-10  	        5.89770E-13  	        0.00000E+00  	        1.56337E-14  	        3.08375E-16  	        4.32101E-14  	        1.46241E-17  	        4.92251E-17  	        7.26629E-19  	        2.63676E-14  	        1.07808E-18  	        5.48401E-21  	        4.12435E-20  	        3.13886E-13  	        1.39399E-14  	        3.24135E-16
        6.00000E-03  	        1.39907E+03  	        2.51389E-01  	        1.01325E+05  	        4.36026E-16  	        1.94035E-19  	        7.22908E-10  	        7.87682E-16  	        2.15715E-13  	        2.35311E-12  	        1.97110E-09  	        4.67084E-15  	        9.52292E-12  	        7.75394E-09  	        1.13893E-09  	        2.20539E-10  	        5.36327E-10  	        6.97944E-14  	        1.08931E-18  	        2.05291E-08  	        2.04995E-12  	        4.94946E-15  	        4.12613E-11  	        3.23397E-08  	        7.63752E-12  	        3.63612E-12  	        1.80723E-14  	        8.49975E-10  	        8.20994E-18  	        4.63562E-10  	        7.06188E-09  	        0.00000E+00  	        8.27649E-09  	        5.18899E-12  	        2.22748E-13  	        6.31686E-10  	        9.49052E-09  	        1.45268E-08  	        3.72292E-11  	        2.49347E-08  	        1.16178E-13  	        4.93207E-12  	        5.15129E-09  	        2.88535E-08  	        3.11630E-09  	        3.78892E-09  	        2.05459E-17  	        3.51237E-10  	        2.97013E-11  	        3.11486E-09  	        5.90065E-08  	        1.25342E-10  	        5.05044E-13  	        4.17058E-08  	        1.30544E-10  	        3.23446E-07  	        4.05532E-10  	        2.10023E-01  	        5.75686E-05  	        2.97937E-09  	        0.00000E+00  	        2.79886E-07  	        2.95354E-07  	        9.57791E-08  	        4.88136E-19  	        4.55817E-09  	        7.89919E-01  	        5.89637E-08  	        1.62273E-07  	        2.32672E-08  	        3.80332E-09  	        1.24054E-08  	        1.88873E-08  	        5.69430E-10  	        6.82117E-13  	        7.92244E-16  	        6.75602E-17  	        7.04113E-11  	        4.92007E-14  	        3.80070E-12  	        4.33788E-13  	        9.54817E-18  	        5.42484E-11  	        1.55638E-11  	        6.97619E-09  	        1.29448E-09  	        2.75480E-10  	        1.88246E-09  	        6.34060E-12  	        1.83005E-16  	        3.75590E-12  	        1.05820E-12  	        1.75023E-18  	        2.40315E-12  	        6.16951E-17  	        8.91285E-10  	        1.24699E-12  	        0.00000E+00  	        4.04435E-14  	        4.30172E-16  	        1.07092E-13  	        4.13497E-17  	        1.67888E-16  	        1.83221E-18  	        1.58510E-13  	        9.61717E-18  	        1.78517E-19  	        1.76758E-18  	        9.58473E-13  	        5.62249E-14  	        2.17201E-15
        7.00000E-03  	        1.39884E+03  	        2.51440E-01  	        1.01325E+05  	        9.74605E-16  	        5.04007E-18  	        2.79537E-09  	        2.34829E-15  	        8.99409E-13  	        3.36283E-12  	        6.10348E-09  	        2.23779E-14  	        3.37171E-11  	        1.59713E-08  	        4.49933E-09  	        5.10199E-10  	        1.45158E-09  	        4.28130E-13  	        4.17754E-17  	        6.54883E-08  	        5.06987E-12  	        4.48694E-14  	        1.00657E-10  	        6.00854E-08  	        3.73998E-11  	        1.51569E-11  	        4.55832E-14  	        2.00024E-09  	        3.94456E-17  	        8.58049E-10  	        2.05910E-08  	        4.30371E-23  	        2.24212E-08  	        1.80472E-11  	        7.09223E-13  	        1.61343E-09  	        1.71406E-08  	        2.89627E-08  	        1.36282E-10  	        5.63985E-08  	        4.89582E-13  	        1.58338E-11  	        1.24404E-08  	        6.34632E-08  	        5.24791E-09  	        7.41911E-09  	        1.99487E-16  	        9.53273E-10  	        6.99906E-11  	        7.43239E-09  	        1.30275E-07  	        4.38551E-10  	        2.17215E-12  	        8.61976E-08  	        4.65360E-10  	        8.42810E-07  	        9.72712E-10  	        2.10018E-01  	        7.70065E-05  	        7.58657E-09  	        0.00000E+00  	        6.25665E-07  	        6.95328E-07  	        1.80865E-07  	        1.19128E-17  	        1.04579E-08  	        7.89902E-01  	        1.14189E-07  	        3.49572E-07  	        6.04203E-08  	        7.06885E-09  	        2.50187E-08  	        3.12572E-08  	        9.73822E-10  	        1.49596E-12  	        2.23067E-15  	        2.41062E-16  	        1.44582E-10  	        2.03233E-13  	        1.00649E-11  	        6.15248E-13  	        8.39085E-17  	        1.16915E-10  	        2.62735E-11  	        1.06639E-08  	        1.94563E-09  	        7.65236E-10  	        3.02013E-09  	        1.04796E-11  	        5.89647E-16  	        1.31686E-11  	        3.05839E-12  	        1.56353E-17  	        6.15017E-12  	        1.38448E-16  	        1.32575E-09  	        2.87454E-12  	        0.00000E+00  	        8.17597E-14  	        5.62215E-16  	        2.41172E-13  	        1.07049E-16  	        5.01787E-16  	        8.08230E-18  	        6.51983E-13  	        9.32027E-17  	        2.70673E-18  	        2.45090E-17  	        2.80428E-12  	        1.89394E-13  	        1.05026E-14
        8.00000E-03  	        1.39861E+03  	        2.51488E-01  	        1.01325E+05  	        2.00926E-15  	        3.72664E-17  	        7.62069E-09  	        5.91673E-15  	        2.88754E-12  	        4.66198E-12  	        1.50938E-08  	        8.09885E-14  	        9.10156E-11  	        2.86540E-08  	        1.30767E-08  	        9.93124E-10  	        3.10263E-09  	        1.81481E-12  	        5.53393E-16  	        1.55842E-07  	        1.05909E-11  	        2.44488E-13  	        2.27344E-10  	        9.41571E-08  	        1.30761E-10  	        5.03021E-11  	        9.36908E-14  	        3.98791E-09  	        1.37270E-16  	        1.34636E-09  	        4.41647E-08  	        4.33015E-20  	        5.35918E-08  	        4.70720E-11  	        1.84497E-12  	        2.92261E-09  	        2.84275E-08  	        4.64902E-08  	        3.71675E-10  	        1.03498E-07  	        1.59567E-12  	        4.12849E-11  	        2.48890E-08  	        1.10859E-07  	        7.88644E-09  	        1.41579E-08  	        1.18504E-15  	        2.12359E-09  	        1.37934E-10  	        1.48988E-08  	        2.29952E-07  	        1.25734E-09  	        7.25475E-12  	        1.54755E-07  	        1.20283E-09  	        1.94181E-06  	        1.95145E-09  	        2.10012E-01  	        9.87573E-05  	        1.60628E-08  	        0.00000E+00  	        1.12567E-06  	        1.39403E-06  	        2.96080E-07  	        9.06637E-17  	        2.05808E-08  	        7.89883E-01  	        1.74581E-07  	        6.17127E-07  	        1.40729E-07  	        1.17495E-08  	        4.23707E-08  	        4.64972E-08  	        1.49246E-09  	        3.12681E-12  	        5.84197E-15  	        6.84885E-16  	        2.75815E-10  	        7.20466E-13  	        2.28106E-11  	        9.91234E-13  	        5.40479E-16  	        2.16044E-10  	        5.11534E-11  	        1.48972E-08  	        3.13781E-09  	        1.61180E-09  	        4.59643E-09  	        1.64020E-11  	        1.52891E-15  	        4.27990E-11  	        8.21469E-12  	        7.02871E-17  	        1.67603E-11  	        3.07964E-16  	        1.77252E-09  	        5.82707E-12  	        0.00000E+00  	        1.41276E-13  	        7.05291E-16  	        4.71981E-13  	        2.33794E-16  	        1.13750E-15  	        3.85214E-17  	        2.21267E-12  	        2.08560E-16  	        1.72676E-17  	        1.27102E-16  	        7.63672E-12  	        5.38583E-13  	        3.61506E-14
        9.00000E-03  	        1.39837E+03  	        2.51540E-01  	        1.01325E+05  	        3.66701E-15  	        1.29419E-16  	        1.57954E-08  	        1.21089E-14  	        6.20895E-12  	        6.23095E-12  	        3.02758E-08  	        1.85410E-13  	        1.83495E-10  	        4.65697E-08  	        2.88940E-08  	        1.65392E-09  	        5.53362E-09  	        4.62066E-12  	        3.39093E-15  	        2.74329E-07  	        1.81999E-11  	        8.43567E-13  	        4.13566E-10  	        1.36057E-07  	        3.26456E-10  	        1.26010E-10  	        1.51105E-13  	        6.76934E-09  	        3.76503E-16  	        1.87625E-09  	        6.97604E-08  	        1.65256E-18  	        1.08319E-07  	        8.55445E-11  	        3.82578E-12  	        4.20335E-09  	        4.54860E-08  	        6.63744E-08  	        7.91465E-10  	        1.63546E-07  	        3.71204E-12  	        8.11326E-11  	        4.35396E-08  	        1.60628E-07  	        1.08910E-08  	        2.48839E-08  	        4.48813E-15  	        3.91975E-09  	        2.18697E-10  	        2.33179E-08  	        3.47234E-07  	        2.67452E-09  	        1.84835E-11  	        2.39585E-07  	        2.45597E-09  	        3.91500E-06  	        3.41482E-09  	        2.10005E-01  	        1.23495E-04  	        2.98199E-08  	        0.00000E+00  	        1.73716E-06  	        2.52659E-06  	        4.24839E-07  	        3.75420E-16  	        3.61869E-08  	        7.89861E-01  	        2.43491E-07  	        9.39514E-07  	        2.72727E-07  	        1.78921E-08  	        6.34321E-08  	        6.66864E-08  	        2.11304E-09  	        5.30817E-12  	        1.11810E-14  	        1.44867E-15  	        4.36936E-10  	        1.75172E-12  	        4.05779E-11  	        1.72063E-12  	        1.97299E-15  	        3.11305E-10  	        1.03904E-10  	        1.92294E-08  	        5.51060E-09  	        2.82963E-09  	        6.65445E-09  	        2.43565E-11  	        3.00142E-15  	        1.17829E-10  	        1.90825E-11  	        1.76258E-16  	        3.95968E-11  	        6.24139E-16  	        2.18241E-09  	        9.11186E-12  	        0.00000E+00  	        2.16139E-13  	        8.58361E-16  	        7.36835E-13  	        3.93854E-16  	        1.82914E-15  	        2.28620E-17  	        5.94901E-12  	        1.18539E-15  	        6.45725E-17  	        3.29898E-16  	        1.73560E-11  	        1.20259E-12  	        8.40187E-14
        1.01000E-02  	        1.39811E+03  	        2.51594E-01  	        1.01325E+05  	        6.26111E-15  	        3.33956E-16  	        2.86077E-08  	        2.30520E-14  	        1.08453E-11  	        8.14743E-12  	        5.40038E-08  	        3.32565E-13  	        3.18535E-10  	        7.27566E-08  	        5.55590E-08  	        2.57054E-09  	        9.10775E-09  	        8.88917E-12  	        1.35644E-14  	        4.03374E-07  	        2.80043E-11  	        2.25022E-12  	        6.70748E-10  	        1.96483E-07  	        6.56446E-10  	        2.70825E-10  	        2.28754E-13  	        1.08075E-08  	        9.41324E-16  	        2.45353E-09  	        9.38561E-08  	        1.31439E-17  	        2.05972E-07  	        1.32452E-10  	        7.26393E-12  	        5.74152E-09  	        7.29131E-08  	        9.41694E-08  	        1.51705E-09  	        2.39127E-07  	        7.24160E-12  	        1.37257E-10  	        7.25333E-08  	        2.10383E-07  	        1.45408E-08  	        4.14033E-08  	        1.38228E-14  	        6.69514E-09  	        3.23603E-10  	        3.13416E-08  	        4.87859E-07  	        4.99094E-09  	        4.09911E-11  	        3.43180E-07  	        4.52040E-09  	        7.31057E-06  	        5.70532E-09  	        2.09994E-01  	        1.54997E-04  	        5.28342E-08  	        0.00000E+00  	        2.48839E-06  	        4.46996E-06  	        5.78495E-07  	        1.16294E-15  	        6.10916E-08  	        7.89832E-01  	        3.34506E-07  	        1.33648E-06  	        4.79121E-07  	        2.63037E-08  	        9.17378E-08  	        9.85365E-08  	        2.90081E-09  	        7.99656E-12  	        1.54050E-14  	        2.69850E-15  	        5.84938E-10  	        3.35648E-12  	        6.17821E-11  	        3.12026E-12  	        5.37744E-15  	        3.73013E-10  	        2.16078E-10  	        2.38865E-08  	        1.00747E-08  	        4.56922E-09  	        9.42843E-09  	        3.51275E-11  	        5.24327E-15  	        2.90535E-10  	        4.22283E-11  	        3.26028E-16  	        7.93447E-11  	        1.17765E-15  	        2.62457E-09  	        1.23941E-11  	        0.00000E+00  	        3.10252E-13  	        1.01471E-15  	        1.02527E-12  	        5.83908E-16  	        2.44505E-15  	        1.10370E-16  	        1.36379E-11  	        1.24318E-15  	        1.87497E-16  	        6.36943E-16  	        3.39356E-11  	        2.23663E-12  	        1.48479E-13
        1.11000E-02  	        1.39787E+03  	        2.51644E-01  	        1.01325E+05  	        9.41990E-15  	        6.83481E-16  	        4.35589E-08  	        3.80846E-14  	        1.58776E-11  	        9.99458E-12  	        8.16961E-08  	        4.87608E-13  	        4.69251E-10  	        1.02413E-07  	        8.93962E-08  	        3.55265E-09  	        1.31786E-08  	        1.34630E-11  	        3.47689E-14  	        5.00955E-07  	        3.79742E-11  	        4.41768E-12  	        9.53976E-10  	        2.65342E-07  	        1.03407E-09  	        4.71101E-10  	        3.18128E-13  	        1.54631E-08  	        1.90139E-15  	        2.93878E-09  	        1.12066E-07  	        4.89771E-17  	        3.56210E-07  	        1.80844E-10  	        1.18813E-11  	        7.28240E-09  	        1.07339E-07  	        1.25882E-07  	        2.47814E-09  	        3.09998E-07  	        1.16407E-11  	        1.98541E-10  	        1.07039E-07  	        2.48248E-07  	        1.81327E-08  	        6.01563E-08  	        3.17807E-14  	        9.99768E-09  	        4.36383E-10  	        3.68145E-08  	        6.19836E-07  	        8.22733E-09  	        7.35867E-11  	        4.44208E-07  	        7.07511E-09  	        1.16148E-05  	        8.45483E-09  	        2.09982E-01  	        1.87706E-04  	        8.18152E-08  	        0.00000E+00  	        3.20012E-06  	        7.11645E-06  	        7.35422E-07  	        2.60613E-15  	        9.13982E-08  	        7.89802E-01  	        4.26836E-07  	        1.72293E-06  	        7.44295E-07  	        3.53292E-08  	        1.22878E-07  	        1.37993E-07  	        3.69241E-09  	        1.07182E-11  	        1.61468E-14  	        4.46224E-15  	        6.54570E-10  	        5.11780E-12  	        8.09345E-11  	        5.18284E-12  	        1.13250E-14  	        3.91842E-10  	        3.99485E-10  	        2.79404E-08  	        1.64613E-08  	        6.37629E-09  	        1.23163E-08  	        4.60552E-11  	        8.22532E-15  	        5.72080E-10  	        8.30309E-11  	        4.89534E-16  	        1.26366E-10  	        1.91566E-15  	        3.04913E-09  	        1.53190E-11  	        0.00000E+00  	        4.04391E-13  	        1.16580E-15  	        1.29950E-12  	        7.77024E-16  	        2.92990E-15  	        1.93172E-16  	        2.47620E-11  	        2.28887E-15  	        4.03501E-16  	        1.01778E-15  	        5.31037E-11  	        3.31513E-12  	        2.03407E-13
