            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       2.376882E-189	       9.768205E-187	      -1.242126E-190	       1.462143E-180	       9.972394E-182	       8.400275E-182	      -4.645252E-187	       2.916819E-193	       9.723763E-187	      -5.752086E-176	       1.241792E-178	       1.282553E-180	      -4.798951E-186	       2.216853E-178	        0.000000E+00	       1.273777E-179	       1.768301E-180	        0.000000E+00	       3.108199E-178	      -1.299397E-179	       9.559778E-182	      -4.030275E-195	       4.954350E-180	      -1.611191E-180	        0.000000E+00	       3.993523E-183	       7.596628E-179	        0.000000E+00	        5.798164E-11	       3.674412E-180	       2.663876E-181	       1.038672E-179	       1.346184E-178	       4.275081E-176	       1.509794E-189	        0.000000E+00	        0.000000E+00	       1.962146E-178	       1.454303E-176	       1.006566E-177	       2.498049E-176	      -1.324231E-177	        0.000000E+00	       1.552979E-181	       1.645446E-178	       2.403136E-176	      -1.825461E-182	       4.438779E-178	        0.000000E+00	       5.336641E-174	      -2.772871E-209	       5.322377E-174	       9.091787E-181	       -3.764740E-11	       4.253279E-176	       3.403191E-181	        0.000000E+00	       5.451396E-179	       5.320485E-181	      -5.048999E-179	        0.000000E+00	      -1.994048E-180	       -1.731315E-11	       5.790866E-181	      -4.795021E-181	       5.322342E-174	      -2.393721E-176	       9.884144E-183	      -2.656690E-178	      -5.322085E-174	       5.322083E-174	       3.847196E-193	       1.582990E-182	       2.662766E-180	       1.098162E-186	       6.262500E-184	      -6.068734E-190	        3.355991E-17	       1.316061E-183	        1.731312E-11	      -2.664708E-180	        3.356088E-17	        2.006455E-25	      -1.102841E-178	       1.102841E-178	       4.636528E-185	      -2.494009E-201	       2.553311E-186	       1.333757E-205	        0.000000E+00	       9.236834E-204	      -3.519585E-181	      -4.726670E-178	       4.509136E-186	       6.717897E-185	       3.229723E-183	      -1.730268E-192	       2.580174E-196	       4.730157E-178	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	      -4.378295E-202	      -4.627016E-209	       4.624802E-209
        2.000000E-03	       2.190570E-180	       1.348997E-177	      -2.780084E-178	       1.170066E-171	       2.717882E-171	      -3.559577E-174	      -6.897109E-179	       6.357846E-178	       6.498141E-176	      -8.011011E-170	       3.754269E-169	       1.654862E-170	      -9.458876E-177	       3.078316E-172	        0.000000E+00	       7.694115E-170	       3.022608E-171	        0.000000E+00	       7.232386E-170	      -4.282764E-171	       6.427562E-172	      -1.122129E-181	       3.964521E-171	      -1.776596E-172	        0.000000E+00	       2.927597E-174	       3.572683E-169	        0.000000E+00	        5.800474E-11	       1.797301E-170	       2.131479E-172	       2.074443E-169	      -1.602724E-169	       4.171863E-170	       1.629165E-177	        0.000000E+00	      -9.778669E-182	       2.768461E-169	       1.842669E-170	       1.177114E-167	       3.537180E-168	      -4.022655E-168	        0.000000E+00	       3.130900E-174	       1.324155E-169	       8.000576E-170	      -3.662491E-174	       1.544547E-168	        0.000000E+00	       6.731098E-168	      -3.984488E-187	       7.247564E-168	       1.232658E-173	       -3.764740E-11	      -9.577145E-168	      -8.036035E-174	        0.000000E+00	       7.478936E-170	       5.160781E-172	      -7.289258E-170	        0.000000E+00	      -5.244489E-173	       -1.729006E-11	       3.804245E-173	      -6.203127E-173	       1.637846E-167	      -3.146873E-170	       3.186167E-173	      -2.125989E-169	      -6.702597E-168	       6.700511E-168	       7.306127E-184	       3.835909E-172	       1.524139E-171	       7.575208E-178	       3.681968E-175	      -5.388744E-177	        5.949017E-17	       1.717090E-174	        1.729000E-11	      -1.526214E-171	        5.949319E-17	        6.289493E-25	      -4.046634E-170	       4.046632E-170	       1.662914E-176	      -1.424582E-185	       1.214125E-177	       2.997840E-196	      -6.629391E-185	       2.029705E-188	      -1.585554E-172	      -9.437861E-171	       3.600744E-177	      -4.201433E-176	       6.551596E-176	       1.021237E-179	       4.332961E-176	       9.596346E-171	       5.715350E-191	      -1.150561E-202	        0.000000E+00	        0.000000E+00	        0.000000E+00	      -3.039544E-188	      -1.961321E-186	       1.960341E-186
        3.100000E-03	      -1.681118E-172	       1.608680E-170	      -8.093591E-172	       7.192258E-164	       2.854688E-163	      -7.776602E-170	      -4.420548E-171	       6.440934E-172	       4.924287E-168	      -6.559732E-167	       3.096391E-161	       4.703218E-163	      -4.245630E-171	       2.269816E-169	        0.000000E+00	      -1.204720E-163	       3.616946E-164	      -4.513177E-186	       4.488318E-162	      -3.231313E-163	       1.221222E-165	      -1.324197E-175	       2.437050E-163	      -2.421641E-164	      -1.018279E-184	       1.543065E-165	       1.234594E-161	        0.000000E+00	        5.803122E-11	       1.058419E-162	       1.310354E-164	       7.979883E-162	      -8.363026E-162	      -1.051627E-162	       1.505497E-171	      -2.075076E-322	      -4.396778E-174	       1.512147E-161	      -6.536255E-164	       2.045202E-158	       2.976518E-160	      -3.288689E-160	        0.000000E+00	       2.456365E-168	       8.249765E-162	       4.767959E-162	      -1.656636E-165	       1.463073E-160	       5.983135E-321	      -4.632464E-162	      -6.084896E-179	       3.212418E-161	      -4.926274E-166	       -3.764740E-11	      -2.031140E-158	      -1.483976E-165	        0.000000E+00	       4.345704E-162	       3.303876E-164	      -4.318714E-162	        0.000000E+00	      -5.429676E-167	       -1.726358E-11	      -1.059587E-165	       6.958358E-165	       2.032818E-158	      -3.390291E-167	       2.602585E-165	      -1.306822E-161	      -3.758668E-165	       3.767901E-165	       9.678783E-178	       6.564818E-164	       7.166674E-165	       9.830975E-171	       5.303559E-169	      -1.228544E-173	        8.943204E-17	       1.309286E-168	        1.726349E-11	      -7.144166E-165	        8.943885E-17	        1.417682E-24	       6.076199E-164	      -6.076201E-164	       1.553096E-170	      -1.120080E-179	       2.417137E-171	       2.320383E-188	      -6.669413E-178	      -4.526867E-180	      -3.589789E-166	      -3.402523E-165	       1.225492E-170	      -1.819577E-170	       2.467850E-170	       1.967140E-173	       1.870940E-170	       3.761464E-165	       1.060015E-175	      -2.448247E-182	        0.000000E+00	        0.000000E+00	        0.000000E+00	      -1.299475E-182	      -3.320229E-180	       3.318486E-180
        4.100000E-03	       7.857871E-168	       7.150163E-165	      -5.598033E-167	       2.375605E-158	       7.846521E-158	      -4.900144E-167	      -2.090219E-165	       4.844642E-166	       1.055223E-162	       4.444125E-164	       2.487803E-155	       1.874159E-157	      -1.024710E-167	       1.107591E-165	       4.376681E-186	       5.365797E-160	       1.608112E-158	      -3.351546E-176	       1.480099E-156	      -4.521835E-158	       1.630871E-159	      -1.041210E-169	       8.049612E-158	      -8.844844E-160	      -3.915444E-175	       3.220171E-159	       3.849617E-156	        0.000000E+00	        5.805693E-11	       1.087395E-157	       4.328108E-159	       3.170358E-156	      -3.361738E-156	      -1.075548E-157	       1.056358E-166	      -1.720248E-310	      -2.335836E-169	       4.877476E-156	      -1.738832E-158	       1.140454E-151	       2.393150E-154	      -2.642670E-154	      -4.376681E-186	      -1.232163E-163	       2.722078E-156	       1.402092E-156	      -1.302279E-159	       9.836754E-155	       2.137005E-309	      -1.557996E-156	      -2.420646E-172	       2.527838E-155	      -6.522375E-161	       -3.764740E-11	      -1.140250E-151	      -1.114883E-160	        0.000000E+00	       6.577715E-157	       1.001424E-158	      -6.470501E-157	       6.018935E-318	      -6.211204E-163	       -1.723787E-11	      -6.263086E-159	       2.205012E-159	       1.141477E-151	      -2.089806E-165	       2.098456E-159	      -4.316436E-156	      -1.926786E-163	       2.715649E-162	       2.433662E-172	       1.384055E-158	       6.847584E-159	       1.286572E-164	       1.102390E-163	      -5.515662E-171	        1.186888E-16	       2.392007E-163	        1.723775E-11	      -6.711269E-159	        1.187008E-16	        2.491189E-24	      -1.596442E-157	       1.596441E-157	       6.339991E-164	      -5.543923E-174	       1.992550E-164	       6.754974E-183	      -2.212584E-172	      -6.244237E-174	      -5.900493E-160	       5.759327E-160	       2.673187E-164	       6.550840E-170	       9.603972E-167	      -4.011911E-171	       1.932933E-168	       1.408974E-161	       6.532969E-172	      -2.688687E-178	      -5.853263E-191	        0.000000E+00	      -3.697194E-186	      -4.155172E-177	      -6.338147E-176	       6.334667E-176
        5.000000E-03	       2.563368E-163	       1.284263E-159	      -1.204586E-162	       4.586173E-153	       2.461992E-152	      -4.178381E-165	      -3.424253E-160	       1.007496E-161	       6.668727E-157	       2.952810E-161	       1.579648E-150	       1.496423E-152	      -5.837084E-165	       1.791827E-160	       5.337771E-178	      -2.197486E-152	       2.888704E-153	      -4.969544E-173	       2.862417E-151	      -2.483255E-152	       5.282718E-155	      -6.214507E-165	       1.554005E-152	      -4.765542E-155	      -1.053848E-172	       6.101294E-155	       5.357838E-151	        0.000000E+00	        5.808149E-11	       4.107605E-152	       8.355539E-154	       2.568922E-151	      -2.735050E-151	      -4.063818E-152	       1.197774E-163	      -4.951251E-301	      -4.657729E-165	       9.342140E-151	      -4.633381E-153	       6.977216E-147	       1.519625E-149	      -1.677696E-149	      -5.337771E-178	      -1.017033E-160	       5.261807E-151	       3.061145E-151	      -8.689034E-155	       7.666265E-150	       2.436940E-299	      -3.134108E-151	      -2.066572E-167	       1.623476E-150	      -1.772417E-157	       -3.764740E-11	      -6.978587E-147	      -2.928168E-157	        0.000000E+00	       2.815747E-151	       3.200587E-153	      -2.803152E-151	      -5.120027E-195	      -3.822962E-160	       -1.721331E-11	      -1.215638E-154	       3.943288E-154	       6.987886E-147	      -4.440203E-164	       1.326446E-154	      -8.333004E-151	      -8.296763E-162	       7.230965E-157	       1.158493E-167	       3.329137E-153	       1.930120E-154	       8.406083E-160	       2.525735E-159	      -1.422821E-168	        1.467935E-16	       1.096249E-158	        1.721317E-11	      -1.846634E-154	        1.468117E-16	        3.802807E-24	      -2.427844E-153	       2.427843E-153	       9.643204E-160	      -4.314933E-169	       3.756616E-160	       4.440107E-177	      -1.849008E-167	       4.107157E-173	      -1.106892E-155	       1.102731E-155	       6.201930E-160	       5.156880E-165	       2.798507E-163	      -8.909396E-168	       6.633998E-166	       4.098487E-158	       2.576488E-168	      -8.229002E-174	      -3.112760E-176	       2.238117E-321	      -6.426941E-178	      -3.636948E-172	      -5.101132E-172	       5.098213E-172
        6.000000E-03	       3.140424E-159	       4.315898E-155	      -6.015086E-159	       2.139940E-148	       1.392642E-146	      -6.804074E-164	      -3.576658E-154	       1.004233E-157	       3.087076E-151	       3.962962E-159	       7.930382E-146	       7.884898E-148	      -8.518787E-162	       1.871817E-154	       3.118255E-174	      -1.378900E-146	       9.708518E-149	      -2.650035E-169	       1.336173E-146	      -5.676104E-147	       1.238470E-150	      -3.872879E-160	       7.251121E-148	      -2.052832E-150	      -1.685716E-170	       1.340577E-148	       1.410220E-145	        0.000000E+00	        5.811031E-11	       5.462818E-147	       3.898752E-149	       1.373279E-146	      -1.446693E-146	      -5.264695E-147	       3.113676E-160	      -5.064877E-288	      -1.901752E-161	       2.937571E-145	      -1.827371E-148	       1.494337E-140	       7.628637E-145	      -8.421833E-145	      -3.118273E-174	      -8.967111E-158	       2.458537E-146	       2.369995E-146	      -1.436559E-148	       2.360077E-144	       4.111830E-290	      -2.629012E-145	      -1.232788E-161	       9.393679E-146	      -3.369729E-154	       -3.764740E-11	      -1.496908E-140	      -6.043939E-154	        0.000000E+00	       1.287649E-145	       2.049435E-147	      -1.277438E-145	      -3.757928E-178	      -5.178522E-158	       -1.718449E-11	      -2.681146E-148	       8.132537E-149	       1.499345E-140	      -1.454134E-162	       6.203515E-150	      -3.888237E-146	      -1.579386E-160	       4.812032E-151	       1.209619E-163	       2.683563E-147	       2.799818E-149	       1.041229E-153	       2.664723E-155	      -2.815305E-165	        1.799703E-16	       9.230183E-155	        1.718431E-11	      -1.006700E-149	        1.799977E-16	        5.703012E-24	      -9.596061E-149	       9.596055E-149	       3.785806E-155	      -3.625042E-164	       1.810171E-155	       1.420926E-171	      -2.913099E-162	       3.152456E-168	      -5.934512E-151	       5.933308E-151	       4.076443E-155	       1.087881E-161	       5.442660E-160	      -3.539723E-164	       4.415747E-163	       7.970604E-155	       7.536044E-165	      -1.446320E-168	      -2.617995E-172	       5.071071E-313	       6.147851E-175	      -2.271070E-167	      -1.140494E-168	       1.139806E-168
        7.000000E-03	       9.912696E-156	       9.567604E-151	      -3.387002E-155	       4.129863E-144	       8.031083E-142	      -2.475814E-162	      -2.200926E-149	       5.716572E-154	       2.580504E-146	       3.156108E-157	       1.750153E-141	       6.332554E-144	      -1.051387E-158	       1.151867E-149	       1.600975E-170	      -7.957423E-142	       2.151632E-144	      -6.717332E-166	       2.583124E-142	      -1.781882E-142	       4.464558E-147	      -2.285422E-155	       1.399397E-143	      -1.498364E-146	      -4.838312E-168	       7.730568E-143	       1.207261E-140	      -1.869065E-192	        5.814070E-11	       1.717756E-142	       7.524187E-145	       1.878829E-142	      -1.173379E-142	      -1.532006E-142	       2.859817E-157	      -7.987779E-278	      -9.163076E-158	       1.948829E-140	      -4.098539E-144	       4.478579E-135	       1.683451E-140	      -1.858485E-140	      -1.601548E-170	      -2.581342E-155	       4.749461E-142	       5.967863E-142	      -2.047422E-143	       2.982575E-139	       2.011041E-281	      -1.891286E-140	      -1.219753E-155	       2.661095E-141	      -7.155691E-152	       -3.764740E-11	      -4.487575E-135	      -3.754875E-151	        0.000000E+00	       1.205213E-140	       2.349558E-142	      -1.198383E-140	      -3.690458E-172	      -4.150158E-156	       -1.715409E-11	      -1.546114E-142	       8.239350E-144	       4.496309E-135	      -2.097612E-161	       1.343248E-145	      -7.503895E-142	      -2.097847E-159	       1.312716E-146	       4.211106E-160	       2.289459E-142	       5.533294E-144	       1.306777E-148	       8.435363E-151	      -2.036958E-162	        2.151556E-16	       1.119814E-151	        1.715388E-11	      -1.593886E-145	        2.151947E-16	        8.132493E-24	      -4.575842E-145	       4.575838E-145	       1.804163E-151	      -9.262002E-160	       1.056926E-151	       1.613875E-166	      -1.851409E-158	       1.809845E-164	      -4.598768E-147	       4.598200E-147	       3.776323E-151	       2.690465E-158	       1.302716E-156	      -3.838594E-161	       1.919013E-160	       1.907845E-151	       9.443469E-162	      -7.581956E-164	      -4.814672E-170	       5.049624E-306	      -8.158174E-171	      -2.596285E-163	      -8.265574E-165	       8.260339E-165
        8.000000E-03	       2.006079E-152	       3.349809E-147	      -4.609763E-152	       2.276726E-140	       2.221989E-137	      -2.148881E-161	      -1.711075E-144	       5.620669E-150	       8.649829E-142	       2.380930E-155	       9.129802E-138	       3.517746E-140	      -3.388741E-156	       8.955235E-145	       1.206306E-166	      -2.198422E-137	       7.525157E-141	      -9.240621E-163	       1.435575E-138	      -3.067238E-138	       2.790391E-143	      -1.581874E-151	       7.714676E-140	      -4.196205E-143	      -2.785619E-166	       3.084118E-138	       2.837242E-136	      -2.466251E-175	        5.817263E-11	       1.714588E-138	       4.147962E-141	       3.715102E-138	      -6.681323E-139	      -1.275024E-138	      -6.806920E-153	      -2.632767E-268	      -1.680673E-154	       6.107502E-136	      -1.373417E-140	       4.131578E-130	       8.781877E-137	      -9.694953E-137	      -1.212741E-166	      -4.288745E-153	       2.632263E-138	       7.660124E-138	      -7.017062E-139	       2.500271E-134	       3.673566E-274	      -6.095050E-136	      -1.062925E-150	       3.256708E-137	      -2.506107E-150	       -3.764740E-11	      -4.141271E-130	      -3.562122E-150	        0.000000E+00	       2.859612E-136	       1.139743E-137	      -2.835991E-136	      -3.241467E-168	      -3.088691E-154	       -1.712217E-11	      -6.168236E-138	       2.685473E-139	       4.150720E-130	      -6.754692E-160	       6.406894E-143	      -4.136776E-138	      -4.088372E-158	       6.903564E-142	       3.186733E-156	       1.769195E-137	       4.962986E-139	       5.936048E-144	       3.540548E-146	      -2.721406E-159	        2.523322E-16	       1.409832E-147	        1.712192E-11	      -5.449598E-142	        2.523858E-16	        1.116040E-23	      -1.886725E-141	       1.886724E-141	       7.443077E-148	      -1.247820E-155	       6.461089E-148	       7.961643E-162	      -3.695214E-155	       1.779941E-160	      -2.320944E-143	       2.320690E-143	       2.235067E-147	       4.320987E-155	       2.079878E-153	      -4.215300E-158	       5.200401E-158	       3.046084E-148	       5.552521E-159	      -8.125086E-160	      -2.551290E-167	      -2.154079E-186	      -5.766301E-167	      -1.266518E-159	      -2.481711E-161	       2.480063E-161
        9.000000E-03	       4.562505E-149	       1.749548E-143	      -5.771129E-149	       3.350451E-137	       4.600888E-133	      -2.176877E-160	      -3.616079E-140	       2.581729E-146	       1.772207E-137	       3.729401E-154	       6.569392E-134	       7.300053E-137	      -7.303121E-154	       1.892594E-140	       3.286469E-163	      -4.565441E-133	       3.934232E-137	      -2.650035E-160	       2.523337E-135	      -1.372586E-134	       2.025758E-139	      -8.025847E-148	       1.135304E-136	      -2.121779E-139	      -1.794621E-164	       1.126717E-133	       7.300790E-132	      -1.069790E-169	        5.820605E-11	       1.718564E-134	       6.104179E-138	       1.140478E-133	      -1.459489E-135	      -5.852389E-135	      -8.882458E-149	      -1.343161E-259	      -3.491024E-151	       8.893303E-132	      -1.008459E-136	       1.651463E-125	       6.319048E-133	      -6.976053E-133	      -3.442563E-163	      -3.461682E-151	       3.935325E-135	       3.368065E-134	      -1.006869E-134	       9.475706E-130	       1.382611E-266	      -8.923352E-132	      -3.215325E-146	       6.717600E-133	      -1.076206E-148	       -3.764740E-11	      -1.655921E-125	      -1.935137E-148	        0.000000E+00	       7.341346E-132	       2.404276E-133	      -7.312190E-132	      -1.396636E-164	      -4.924969E-153	       -1.708875E-11	      -2.253433E-133	       2.435389E-135	       1.660284E-125	      -1.604531E-158	      -1.290904E-138	      -6.087717E-135	      -4.115947E-157	       6.675820E-138	       5.859945E-153	       6.193168E-133	       1.981929E-134	       1.216416E-139	       8.935245E-142	      -1.535251E-156	        2.914731E-16	       2.527310E-144	        1.708846E-11	      -3.191019E-138	        2.915444E-16	        1.485757E-23	      -5.553669E-138	       5.553665E-138	       2.189608E-144	      -4.224641E-152	       5.327078E-144	       1.699039E-157	      -7.328438E-152	       8.175747E-157	      -7.658157E-140	       7.657280E-140	       8.518303E-144	       3.545657E-152	       1.705106E-150	      -1.450062E-155	       1.001012E-155	       2.497240E-145	       9.920898E-157	      -1.715986E-156	      -5.181191E-164	      -7.160657E-180	      -2.148528E-163	      -9.930780E-156	      -3.727859E-158	       3.725233E-158
        1.010000E-02	       6.675369E-146	       1.537431E-139	      -3.409450E-145	       1.500372E-133	       1.420455E-128	      -4.621286E-159	      -9.591120E-136	       7.317225E-143	       6.196376E-133	       1.376970E-152	       5.241363E-130	       1.849067E-133	      -2.416486E-151	       5.019985E-136	       8.214786E-160	      -1.414076E-128	       3.457734E-133	      -7.042615E-158	       2.197360E-131	      -2.057757E-130	       1.363026E-135	      -1.138269E-143	       5.084049E-133	      -5.050799E-136	      -1.451699E-162	       4.846820E-129	       1.846257E-127	      -1.942598E-165	        5.824447E-11	       3.394083E-130	       2.733524E-134	       4.851635E-129	      -5.076718E-132	      -5.275931E-131	      -7.894829E-145	      -3.433251E-250	      -1.167091E-147	       2.164973E-127	      -5.178603E-133	       9.573923E-121	       5.041618E-129	      -5.565805E-129	      -9.597571E-160	      -1.082498E-149	       1.858906E-131	       5.577869E-130	      -1.689325E-130	       5.412105E-125	       9.713953E-259	      -2.173993E-127	      -1.055251E-141	       1.915441E-128	      -7.494425E-147	       -3.764740E-11	      -9.603688E-121	      -1.338118E-146	        0.000000E+00	       1.856434E-127	       1.123735E-128	      -1.849492E-127	      -7.394134E-161	      -1.773358E-151	       -1.705033E-11	      -9.693639E-129	      -2.152196E-131	       9.632913E-121	      -8.885740E-157	      -6.856603E-134	      -2.726153E-131	      -5.923765E-156	       1.100967E-133	       2.458240E-149	       3.451877E-128	       1.148810E-129	       6.204315E-135	       5.369789E-137	      -1.879725E-153	        3.367625E-16	       9.272158E-141	        1.704999E-11	      -2.470608E-134	        3.368576E-16	        1.978372E-23	      -3.154555E-134	       3.154552E-134	       1.243599E-140	      -8.041073E-148	       2.067308E-139	       8.067606E-153	      -1.723250E-148	       2.317202E-153	      -5.927733E-136	       5.926967E-136	       7.617568E-140	       5.227797E-149	       2.513402E-147	       1.710967E-152	       1.364990E-153	       3.681052E-142	       3.651525E-154	      -2.447978E-152	      -4.867462E-163	      -1.005257E-178	      -2.596599E-161	      -1.009925E-151	      -1.672307E-154	       1.671048E-154
        1.110000E-02	       7.887542E-144	       1.631891E-136	      -5.908254E-142	       5.242925E-130	       1.517337E-124	      -4.155183E-158	      -4.541370E-132	       1.264659E-139	       3.149784E-129	       4.277982E-152	       1.275184E-126	       3.721579E-132	      -4.474660E-149	       2.377021E-132	      -5.845248E-157	      -1.512650E-124	       3.670142E-130	      -4.076230E-156	       1.155257E-127	      -8.644232E-127	       1.596597E-132	      -4.784078E-140	       1.776587E-129	      -1.003510E-132	      -8.238639E-162	       5.024008E-125	       1.075146E-123	      -6.451434E-164	        5.828081E-11	       1.753045E-126	       9.552073E-131	       5.024885E-125	      -8.928836E-129	      -8.378999E-128	      -5.373462E-141	      -6.653690E-242	      -2.582294E-144	       9.022983E-124	      -7.729064E-130	       1.383289E-116	       1.226580E-125	      -1.354110E-125	      -8.629351E-158	      -8.152175E-149	       6.593215E-128	       3.389616E-126	      -1.270478E-126	       7.785458E-121	       2.524348E-252	      -9.061997E-124	      -1.021952E-137	       1.245748E-124	      -1.939509E-145	       -3.764740E-11	      -1.388130E-116	      -3.983387E-145	        0.000000E+00	       1.079383E-123	       1.842022E-124	      -1.077042E-123	      -1.705754E-158	      -5.630455E-151	       -1.701399E-11	      -1.004802E-124	      -7.370056E-127	       1.392893E-116	      -5.758252E-155	      -6.271304E-130	      -9.526315E-128	      -7.190805E-155	       7.167163E-130	       5.502915E-146	       4.928640E-124	       1.659826E-125	       1.080382E-130	       1.018234E-132	      -1.201138E-150	        3.798627E-16	       1.886134E-137	        1.701361E-11	      -2.851593E-131	        3.799834E-16	        2.511458E-23	      -7.293989E-131	       7.293983E-131	       2.875865E-137	      -3.465239E-144	       3.609250E-135	       1.328893E-148	      -4.051452E-145	       4.004878E-150	      -9.221400E-133	       9.220062E-133	       1.336603E-136	       1.373805E-146	       6.604816E-145	       1.759739E-148	       1.145829E-151	       9.673215E-140	       2.089381E-152	      -1.772425E-148	      -3.311297E-160	      -4.536039E-174	      -2.605665E-159	      -1.685244E-148	      -3.466592E-151	       3.463919E-151
        1.210000E-02	       3.515772E-141	       2.592338E-133	      -2.659728E-139	       5.199117E-128	       6.818477E-121	      -1.028896E-156	      -3.548531E-128	       2.341138E-136	       2.794261E-125	       3.755434E-151	       1.907433E-123	      -4.093106E-127	      -6.057299E-147	       1.857411E-128	      -1.194177E-153	      -6.799311E-121	       5.829202E-127	      -3.052641E-154	       6.200897E-124	      -1.054521E-123	       3.993715E-129	      -7.441241E-137	       1.761751E-127	      -1.401224E-129	      -2.400749E-161	       2.784497E-121	       7.161170E-120	      -7.603420E-162	        5.831852E-11	       1.126632E-122	       9.472260E-129	       2.784686E-121	      -1.858268E-125	      -1.477501E-124	      -4.101288E-137	      -1.776348E-234	      -1.422450E-141	       8.214497E-120	      -1.340657E-126	       2.041519E-112	       1.834741E-122	      -2.025500E-122	      -7.716935E-156	      -8.428623E-149	       1.302647E-125	       1.064799E-122	      -4.468815E-123	       1.147463E-116	       6.208803E-246	      -8.251348E-120	      -6.548243E-134	       5.536667E-122	      -1.886056E-144	       -3.764740E-11	      -2.049496E-112	      -5.313239E-144	        0.000000E+00	       7.199930E-120	       1.504893E-120	      -7.174090E-120	      -2.600660E-156	      -4.915374E-150	       -1.697627E-11	      -5.568995E-121	      -5.241049E-123	       2.057358E-112	      -8.174220E-153	      -4.806161E-126	      -9.446718E-126	      -5.941818E-154	       4.842516E-126	       1.125933E-142	       7.247258E-120	       2.449641E-121	       5.012803E-127	       7.145426E-129	      -3.742527E-148	        4.248717E-16	       3.678058E-134	        1.697585E-11	      -3.481573E-128	        4.250223E-16	        3.134633E-23	      -6.550764E-128	       6.550757E-128	       2.583990E-134	      -1.789426E-140	       3.261893E-131	       1.088132E-144	      -7.024717E-142	       7.413802E-147	      -1.134425E-129	       1.134241E-129	       1.839018E-133	       3.304530E-144	       1.588701E-142	       1.785962E-145	       3.428997E-150	       2.326764E-137	       2.403562E-150	      -1.788966E-145	      -4.052799E-161	      -1.418709E-171	       1.361234E-158	      -5.531658E-145	      -1.099046E-148	       1.098162E-148
        1.310000E-02	       2.053684E-139	       7.478502E-130	      -7.538602E-137	       3.408384E-125	       5.391488E-117	      -1.065145E-155	      -2.538607E-124	       6.786371E-133	       2.288804E-121	       1.662974E-151	       2.972826E-120	      -7.698278E-124	      -4.551828E-145	       1.328829E-124	      -2.840348E-150	      -5.386302E-117	       1.682126E-123	      -2.806009E-152	       3.530433E-120	      -1.702359E-120	       7.247095E-126	      -1.510490E-133	       1.154956E-124	      -2.284514E-127	      -6.652734E-161	       1.682468E-117	       3.688779E-116	      -1.170499E-160	        5.835760E-11	       5.746669E-119	       6.209727E-126	       1.682495E-117	      -2.641188E-122	      -1.924086E-121	      -7.445356E-134	      -1.080747E-226	      -6.504233E-139	       2.794551E-116	      -2.464096E-123	       1.466755E-108	       2.859539E-119	      -3.156845E-119	      -3.017389E-154	      -7.024573E-149	       1.531322E-122	       5.834675E-119	      -7.263372E-120	       8.234122E-113	       2.823153E-239	      -2.806660E-116	      -1.759979E-130	       4.225507E-117	      -2.790426E-143	       -3.764740E-11	      -1.473110E-108	      -4.705290E-143	        0.000000E+00	       3.702104E-116	       6.350025E-117	      -3.695607E-116	      -4.708249E-154	      -2.317262E-150	       -1.693720E-11	      -3.364936E-117	      -4.862816E-119	       1.479382E-108	      -3.717624E-151	      -9.444973E-123	      -6.192983E-123	      -6.868044E-153	       9.447459E-123	       6.570930E-140	       5.189645E-116	       1.759975E-117	       3.772410E-123	       5.854057E-125	      -8.913137E-146	        4.717838E-16	       1.913969E-131	        1.693673E-11	      -6.031192E-125	        4.719691E-16	        3.856139E-23	      -2.138174E-124	       2.138172E-124	       8.432109E-131	      -3.752474E-137	       1.530688E-127	       4.596100E-141	      -3.370103E-139	       2.149074E-143	      -2.861732E-126	       2.861217E-126	       5.151067E-130	       6.298350E-142	       3.028020E-140	       5.898728E-142	       1.049204E-149	       4.434748E-135	       1.107701E-148	      -5.899525E-142	      -4.785121E-159	      -8.408103E-170	       2.031722E-156	      -8.058416E-142	      -1.690539E-146	       1.689112E-146
