            time[ms]	                  AR	                  N2	                A1CO	                H2O2	                  CH	               TXCH2	          CVCCVCCJVO	              CH2CHO	               CH2OH	                 A1X	             TXC5H5O	              OC6H4O	             C2H3CHO	              NXC4H5	             C5H4CH2	                C3H3	               SXCH2	               A1CHO	              A1CH2O	          C6H5CYCH2O	            C6H5OCH2	             C5H4CH3	                C5H6	           C5H5CH3X1	                C3H2	              AXC3H4	                A1OH	            C6H6OX24	               CH2CO	                HCCO	                C2H3	                 CH4	                C2H6	              AXC3H5	                C3H6	                CH3O	                C2H2	                C5H5	                   O	                  A1	                 HCO	                CH2O	                 HO2	                   H	                C2H4	                C2H5	                 A1O	                 CH3	                  OH	                  CO	            C6H5OCH3	                 CO2	                  O2	                  H2	                 H2O	            OC8H7OOH	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        0.000000E+00	        1.330012E-13	        3.295569E-20	        2.087001E-20	        2.396845E-21	        4.839016E-17	        2.899919E-29	        2.090180E-17	        1.634294E-21	        1.225662E-09	        5.121929E-21	        4.452473E-14	        3.926636E-17	        1.519420E-19	        3.049153E-24	        3.080178E-14	        1.216418E-21	        6.874846E-29	        1.127489E-29	        0.000000E+00	        1.679831E-17	        1.358507E-24	        2.151777E-21	        1.413980E-24	        1.461800E-18	        1.933808E-15	        2.534443E-18	        2.321929E-19	        1.135427E-14	        2.495210E-21	        4.853524E-16	        3.747987E-22	        5.130122E-25	        5.127730E-15	        4.578185E-25	        5.402838E-15	        3.218324E-14	        6.411665E-13	        5.958615E-11	        4.797883E-24	        2.010028E-12	        5.083113E-08	        1.029566E-10	        4.950651E-08	        3.591583E-20	        1.320866E-20	        4.787442E-12	        4.788138E-12	        1.227422E-09	        1.227312E-09	        5.509908E-25	        1.687120E-15	        8.745112E-13	        1.193310E-14	        2.441893E-17	        0.000000E+00	        0.000000E+00	        2.046038E-15	        9.302721E-18	        1.298627E-21	        2.601245E-24	        5.470233E-31	        1.292046E-16	        0.000000E+00	        1.735879E-11	        0.000000E+00	        1.292167E-16	        2.316572E-24	        3.214353E-16	        1.318690E-15	        5.242041E-22	        1.336841E-24	        1.786770E-22	        1.213187E-39	        0.000000E+00	        1.611829E-28	        0.000000E+00	        3.197081E-17	        1.582263E-21	        0.000000E+00	        0.000000E+00	        9.244288E-33	        0.000000E+00	        0.000000E+00	        4.301352E-37	        0.000000E+00	        1.891694E-33	        0.000000E+00	        0.000000E+00	        4.121450E-24	        6.325518E-28	        0.000000E+00
        2.000000E-03	        0.000000E+00	        3.019197E-13	        3.534441E-17	        5.156301E-18	        1.426796E-19	        5.793713E-15	        3.148212E-14	        4.377179E-15	        9.979355E-19	        5.035118E-08	        1.483792E-15	        1.692840E-12	        1.851783E-14	        1.647045E-15	        1.682021E-18	        2.311222E-12	        1.807236E-16	        8.993456E-26	        1.975630E-26	        0.000000E+00	        6.866893E-16	        1.013633E-19	        3.601136E-18	        6.355766E-21	        1.134847E-16	        1.896911E-13	        9.492076E-15	        3.962689E-16	        1.013413E-12	        1.494022E-18	        3.472717E-14	        3.551313E-19	        1.830588E-21	        3.478744E-13	        1.420272E-21	        3.224664E-13	        2.407053E-12	        2.435299E-11	        2.853689E-10	        1.768012E-20	        3.098287E-11	        4.171819E-07	        7.960811E-10	        3.661077E-07	        3.118442E-15	        4.643269E-18	        1.954327E-10	        1.954887E-10	        5.058338E-08	        5.039644E-08	        1.251841E-21	        2.858077E-14	        1.519527E-11	        3.157162E-13	        5.747619E-15	        0.000000E+00	        2.442641E-26	        9.960296E-14	        6.155331E-16	        3.650302E-20	        2.228639E-18	        6.278218E-25	        6.663401E-16	        1.935151E-17	        1.755716E-11	        1.050159E-22	        6.757507E-16	        5.097990E-21	        4.735213E-14	        8.852454E-14	        4.006243E-20	        2.380160E-21	        6.206654E-20	        1.695462E-36	        5.971562E-26	        1.490744E-24	        7.493298E-25	        2.116742E-15	        5.418036E-19	        3.256506E-17	        1.566520E-15	        5.458758E-29	        0.000000E+00	        2.292172E-10	        3.286944E-33	        9.346784E-26	        4.625600E-29	        0.000000E+00	        0.000000E+00	        4.173263E-21	        2.543216E-24	        0.000000E+00
        3.100000E-03	        0.000000E+00	        5.451956E-13	        7.457231E-15	        4.159869E-16	        5.189789E-18	        3.140739E-13	        6.803349E-12	        6.026582E-13	        2.108681E-16	        1.187523E-06	        2.457892E-12	        3.361388E-11	        2.743128E-12	        1.219938E-12	        5.341440E-15	        7.324372E-11	        5.636584E-14	        5.117702E-14	        1.999174E-23	        5.169202E-13	        1.521991E-14	        9.246709E-17	        4.494271E-16	        5.444300E-18	        3.670849E-15	        8.726329E-12	        1.942659E-12	        4.306361E-14	        3.737370E-11	        4.250919E-16	        1.587255E-12	        8.583856E-17	        1.328552E-18	        1.109037E-11	        5.609167E-19	        8.693026E-12	        7.675680E-11	        4.828437E-10	        5.511198E-10	        1.399855E-14	        2.904028E-10	        3.180853E-06	        4.515263E-09	        1.989436E-06	        6.561502E-13	        9.466441E-16	        4.277475E-09	        4.279303E-09	        1.188132E-06	        1.188269E-06	        6.695207E-19	        5.862715E-13	        1.451977E-10	        6.801397E-12	        4.490825E-13	        0.000000E+00	        9.402653E-24	        4.059776E-13	        1.904270E-14	        4.006530E-18	        1.886158E-15	        2.830867E-22	        4.254976E-15	        4.810150E-15	        1.916568E-11	        2.423514E-19	        1.005140E-14	        2.714162E-19	        1.966286E-12	        2.775813E-12	        2.482916E-18	        7.853414E-19	        1.243729E-17	        5.337556E-31	        4.004592E-22	        1.010176E-22	        9.563623E-22	        1.046693E-09	        1.081329E-16	        4.682740E-15	        2.253471E-13	        1.103979E-14	        1.005563E-11	        3.295330E-08	        1.322736E-15	        2.491739E-22	        2.776886E-25	        0.000000E+00	        3.630513E-32	        1.106946E-18	        2.153248E-21	        0.000000E+00
        4.100000E-03	        0.000000E+00	        6.841707E-12	        3.322998E-13	        1.290873E-14	        1.451728E-16	        7.195222E-12	        2.853850E-10	        2.214613E-11	        1.304788E-14	        1.246500E-05	        1.230168E-10	        2.964796E-10	        1.229590E-10	        5.936050E-11	        7.010922E-13	        8.812650E-10	        3.175177E-12	        2.335691E-12	        8.441978E-22	        2.019955E-11	        1.583449E-13	        1.118661E-14	        2.263218E-14	        7.489669E-16	        4.475120E-14	        1.925756E-10	        5.119756E-11	        1.935365E-12	        5.511566E-10	        4.147429E-14	        4.981819E-11	        5.144992E-15	        1.727854E-16	        1.394958E-10	        8.323996E-17	        9.957619E-11	        9.406447E-10	        4.258521E-09	        3.968359E-09	        6.420139E-13	        1.811708E-09	        1.950350E-05	        1.762672E-08	        7.025099E-06	        2.740208E-11	        5.525309E-14	        4.195922E-08	        4.206645E-08	        1.247018E-05	        1.247189E-05	        6.740533E-17	        1.619936E-11	        8.675537E-10	        7.714267E-11	        1.234437E-11	        0.000000E+00	        6.644510E-22	        2.713452E-12	        2.414291E-13	        2.724337E-16	        1.287987E-13	        5.262860E-20	        2.034662E-14	        2.209755E-13	        2.631911E-11	        6.189477E-17	        4.721356E-13	        1.030718E-17	        4.234708E-11	        3.512340E-11	        1.026921E-16	        6.419974E-17	        1.246567E-13	        2.517863E-24	        2.100537E-19	        1.006066E-20	        2.258869E-19	        3.807982E-07	        6.264855E-15	        9.188985E-11	        9.411189E-12	        5.349707E-13	        4.874672E-10	        1.375447E-06	        4.803412E-13	        6.649830E-20	        1.343819E-22	        1.136578E-23	        2.688810E-28	        7.063357E-17	        3.124206E-19	        1.468022E-20
        5.000000E-03	        0.000000E+00	        1.590165E-10	        6.448665E-12	        2.855104E-13	        3.106128E-15	        1.214865E-10	        5.915118E-09	        4.718377E-10	        3.970070E-13	        7.567081E-05	        2.672371E-09	        1.591041E-09	        2.384364E-09	        1.280736E-09	        2.802452E-11	        5.467411E-09	        6.970627E-11	        3.894234E-11	        7.106707E-11	        3.315323E-10	        4.482542E-12	        4.292984E-13	        5.524763E-13	        3.347832E-14	        2.814421E-13	        2.797355E-09	        9.875942E-10	        4.110943E-11	        5.019028E-09	        1.039849E-12	        9.191406E-10	        1.500519E-13	        8.959415E-15	        9.468223E-10	        7.020551E-15	        7.281853E-10	        6.187564E-09	        2.292356E-08	        4.284472E-08	        1.084919E-11	        9.287424E-09	        9.417355E-05	        6.012142E-08	        1.847444E-05	        5.187019E-10	        1.366048E-12	        2.436194E-07	        2.454850E-07	        7.572249E-05	        7.571938E-05	        2.605561E-15	        3.370906E-10	        4.519496E-09	        5.134391E-10	        2.016069E-10	        0.000000E+00	        4.863768E-20	        2.112845E-11	        1.824180E-12	        1.041755E-14	        3.688304E-12	        5.668329E-18	        8.812638E-14	        4.584580E-12	        5.071991E-11	        5.842831E-15	        1.506790E-11	        3.438386E-16	        6.105646E-10	        2.529595E-10	        7.291250E-12	        2.837862E-15	        5.065176E-12	        1.986289E-21	        3.139416E-17	        8.033729E-19	        2.280519E-17	        1.028130E-05	        1.577154E-13	        2.996674E-09	        1.977485E-10	        1.151435E-11	        1.049566E-08	        2.888563E-05	        1.294593E-11	        7.342184E-18	        2.712394E-20	        3.338607E-21	        2.559283E-25	        2.010534E-15	        1.644366E-17	        1.712716E-18
        6.000000E-03	        0.000000E+00	        4.166367E-09	        1.185134E-10	        1.114550E-11	        1.008781E-13	        2.891442E-09	        1.014853E-07	        1.252325E-08	        1.716055E-11	        4.300200E-04	        4.889424E-08	        5.982212E-09	        3.683815E-08	        2.323415E-08	        7.828702E-10	        2.430756E-08	        1.578529E-09	        5.384704E-10	        1.824258E-09	        4.556817E-09	        9.786811E-11	        1.128413E-11	        1.547656E-11	        1.215314E-12	        1.332039E-12	        4.477337E-08	        2.678960E-08	        1.035959E-09	        5.481224E-08	        3.183057E-11	        1.699862E-08	        6.074648E-12	        6.122371E-13	        5.512852E-09	        9.620060E-13	        6.363610E-09	        3.721247E-08	        8.849118E-08	        6.204078E-07	        1.564380E-10	        6.014426E-08	        4.769759E-04	        3.393482E-07	        4.702274E-05	        8.396195E-09	        3.299424E-11	        1.333046E-06	        1.356893E-06	        4.307104E-04	        4.304645E-04	        8.102208E-14	        8.090097E-09	        3.237101E-08	        3.084044E-09	        4.447821E-09	        0.000000E+00	        1.185981E-17	        2.475072E-10	        1.764241E-11	        5.888604E-13	        1.381836E-10	        1.077989E-15	        7.063153E-13	        8.500534E-11	        1.607920E-10	        6.416221E-13	        5.716594E-10	        3.168194E-14	        1.082323E-08	        1.885659E-09	        3.897878E-10	        2.180289E-13	        1.474355E-10	        1.808036E-16	        4.788676E-15	        9.079908E-17	        4.964177E-11	        2.682040E-04	        4.186501E-12	        8.675608E-08	        4.511030E-09	        2.938345E-10	        2.679362E-07	        6.585648E-04	        3.370789E-10	        1.346729E-15	        5.478328E-18	        7.253869E-19	        2.217974E-17	        7.465173E-14	        1.071799E-15	        1.974524E-16
        7.000000E-03	        0.000000E+00	        7.246108E-08	        1.273916E-09	        3.011064E-10	        3.364050E-12	        5.202889E-08	        5.317093E-07	        2.064945E-07	        7.164001E-10	        1.944328E-03	        2.749777E-07	        1.704888E-08	        2.072298E-07	        1.303704E-07	        5.370454E-09	        4.826715E-08	        2.471121E-08	        2.757964E-09	        1.014626E-08	        2.319607E-08	        6.525306E-10	        9.128757E-11	        2.338004E-10	        1.420163E-11	        5.094937E-12	        3.468290E-07	        2.932832E-07	        1.816691E-08	        5.279456E-07	        9.634331E-10	        1.683684E-07	        1.823471E-10	        2.797516E-11	        2.138422E-08	        5.828506E-11	        4.828005E-08	        2.203749E-07	        2.654400E-07	        6.814359E-06	        9.199291E-10	        4.222151E-07	        2.049813E-03	        2.777721E-06	        1.068989E-04	        7.990640E-08	        5.315142E-10	        6.016598E-06	        6.237471E-06	        1.951638E-03	        1.948325E-03	        1.559388E-12	        1.548467E-07	        2.002575E-07	        1.332967E-08	        8.586134E-08	        0.000000E+00	        1.072334E-15	        2.399669E-09	        2.481391E-10	        2.433698E-11	        2.899044E-09	        1.584160E-13	        8.226044E-12	        7.907532E-10	        6.743578E-10	        2.900940E-11	        1.238765E-08	        3.576616E-12	        1.257480E-07	        1.380065E-08	        7.365776E-09	        1.388239E-11	        2.905606E-09	        1.647416E-14	        2.921061E-13	        7.963432E-15	        1.250486E-09	        4.600333E-03	        8.305026E-11	        1.640351E-06	        6.365758E-08	        4.832863E-09	        4.407995E-06	        9.288106E-03	        5.771298E-09	        1.505245E-13	        6.116308E-16	        1.044710E-16	        1.993436E-15	        2.885936E-12	        6.261229E-14	        2.688064E-14
        8.000000E-03	        0.000000E+00	        6.289501E-07	        6.174671E-09	        2.921907E-09	        5.954952E-11	        4.653211E-07	        1.580067E-06	        1.435662E-06	        1.591857E-08	        7.330528E-03	        8.418442E-07	        7.032317E-08	        5.643823E-07	        4.008225E-07	        1.187848E-08	        8.656844E-08	        2.122317E-07	        4.088665E-09	        1.603130E-08	        3.355866E-08	        3.190909E-09	        3.819246E-10	        1.691827E-09	        5.390134E-11	        2.489605E-11	        9.174881E-07	        1.222510E-06	        1.514131E-07	        2.872171E-06	        2.033971E-08	        7.888813E-07	        2.047555E-09	        3.951402E-10	        6.879620E-08	        8.496460E-10	        2.108378E-07	        1.177052E-06	        1.077789E-06	        4.748015E-05	        2.126510E-09	        2.670020E-06	        7.546463E-03	        1.815806E-05	        2.244354E-04	        4.655850E-07	        5.681486E-09	        2.192221E-05	        2.340341E-05	        7.380392E-03	        7.355725E-03	        2.407844E-11	        1.782845E-06	        9.672926E-07	        5.165398E-08	        9.660392E-07	        0.000000E+00	        3.155206E-14	        1.557142E-08	        3.065957E-09	        5.480785E-10	        2.585881E-08	        9.752781E-12	        7.763457E-11	        3.933634E-09	        2.827669E-09	        3.998989E-10	        1.238393E-07	        1.472911E-10	        7.177768E-07	        8.932900E-08	        6.268203E-08	        4.056150E-10	        2.962729E-08	        4.679782E-13	        5.075353E-12	        3.734156E-13	        1.052949E-08	        3.777175E-02	        9.807815E-10	        1.304926E-05	        4.261265E-07	        2.787779E-08	        2.541843E-05	        6.214540E-02	        4.732902E-08	        5.123795E-12	        2.636067E-14	        6.809119E-15	        5.620797E-14	        8.087888E-11	        2.009227E-12	        1.933389E-12
        9.000000E-03	        0.000000E+00	        2.701137E-06	        1.454408E-08	        1.119697E-08	        4.368612E-10	        2.048863E-06	        4.912239E-06	        5.039745E-06	        1.166720E-07	        2.338318E-02	        2.783623E-06	        2.742654E-07	        1.931693E-06	        1.337110E-06	        2.472027E-08	        1.962271E-07	        9.258044E-07	        7.188560E-09	        2.946005E-08	        5.893317E-08	        2.606313E-08	        1.884725E-09	        8.796125E-09	        1.569414E-10	        6.850975E-11	        1.255081E-06	        4.109119E-06	        6.489232E-07	        7.630746E-06	        1.780529E-07	        2.207711E-06	        7.200252E-09	        1.243202E-09	        3.228110E-07	        4.963801E-09	        4.744173E-07	        4.514301E-06	        4.108178E-06	        2.389261E-04	        5.231097E-09	        1.101285E-05	        2.377963E-02	        7.371028E-05	        4.308627E-04	        1.573281E-06	        4.890969E-08	        6.720271E-05	        7.114708E-05	        2.362895E-02	        2.347940E-02	        1.655282E-10	        9.988141E-06	        4.686253E-06	        2.210988E-07	        5.748076E-06	        0.000000E+00	        3.437094E-13	        7.616903E-08	        2.004345E-08	        6.818803E-09	        1.639559E-07	        2.684684E-10	        6.553051E-10	        9.280084E-09	        1.141319E-08	        1.495708E-09	        7.128026E-07	        2.003478E-09	        2.227647E-06	        3.916946E-07	        8.968079E-07	        5.778023E-09	        1.842081E-07	        7.959191E-12	        1.999343E-11	        7.960509E-12	        4.232496E-08	        1.572596E-01	        6.941846E-09	        5.104218E-05	        1.450375E-06	        8.560593E-08	        7.783710E-05	        2.115049E-01	        1.972496E-07	        6.587367E-11	        4.195102E-13	        1.773719E-13	        8.169967E-13	        1.158731E-09	        2.050486E-11	        3.653350E-11
        1.001150E-02	        0.000000E+00	        8.674340E-06	        1.735767E-08	        3.867746E-08	        1.936480E-09	        6.920507E-06	        8.347114E-06	        1.187288E-05	        2.672128E-07	        3.762446E-02	        5.956987E-06	        6.614800E-07	        4.930894E-06	        2.985969E-06	        4.250476E-08	        3.881190E-07	        2.605387E-06	        7.462619E-09	        4.072860E-08	        5.690239E-08	        1.104713E-07	        5.976303E-09	        3.864359E-08	        1.827240E-10	        1.970989E-10	        1.729236E-06	        1.127090E-05	        1.506820E-06	        1.002396E-05	        7.538042E-07	        2.968833E-06	        1.102475E-08	        9.105792E-10	        1.469737E-06	        3.487663E-08	        6.631471E-07	        9.940994E-06	        9.555014E-06	        1.375172E-03	        1.281120E-08	        2.695476E-05	        3.800600E-02	        2.044830E-04	        4.918910E-04	        3.361299E-06	        3.336989E-07	        1.039518E-04	        1.046561E-04	        3.901655E-02	        3.784671E-02	        3.289216E-10	        3.147129E-05	        3.086613E-05	        9.086209E-07	        1.965583E-05	        0.000000E+00	        1.699739E-12	        4.381989E-07	        5.992576E-08	        7.372848E-08	        1.192696E-06	        5.386605E-09	        6.296409E-09	        7.145195E-09	        5.275409E-08	        1.246130E-09	        3.792361E-06	        1.340970E-08	        3.173698E-06	        9.469091E-07	        2.043316E-06	        4.372279E-08	        1.574801E-06	        2.391534E-10	        1.348269E-11	        1.069828E-10	        8.847715E-08	        5.562719E-01	        3.255172E-08	        1.036967E-04	        2.584400E-06	        1.074544E-07	        9.459594E-05	        3.773774E-01	        7.013320E-07	        7.990401E-10	        2.082362E-12	        3.567793E-12	        1.683048E-11	        7.441778E-09	        4.756553E-11	        1.604379E-10
        1.100030E-02	        0.000000E+00	        1.180937E-03	        1.402891E-08	        1.506945E-06	        2.162376E-06	        9.925778E-04	        1.349536E-07	        2.554660E-05	        2.238606E-06	        1.041545E-02	        2.605452E-07	        1.008758E-06	        2.826923E-07	        9.780498E-07	        2.002233E-08	        1.269596E-06	        1.586105E-04	        5.812995E-10	        9.238177E-09	        3.414306E-09	        1.408043E-07	        6.683128E-09	        5.892142E-07	        5.478694E-10	        4.924724E-08	        6.933071E-07	        1.718456E-07	        5.671997E-07	        1.512326E-05	        4.403831E-05	        4.005490E-06	        1.100496E-06	        1.495441E-08	        2.667299E-06	        4.150269E-07	        1.712296E-06	        2.416804E-05	        3.940311E-06	        9.474949E-02	        2.855547E-07	        4.613550E-03	        1.098553E-02	        4.047086E-03	        4.266631E-03	        6.946890E-06	        1.107017E-06	        8.708096E-05	        3.418509E-05	        1.013732E-01	        1.268131E-02	        5.048708E-11	        7.233721E-04	        1.313478E-03	        7.424196E-05	        6.507827E-04	        0.000000E+00	        7.134952E-12	        2.888862E-05	        2.087549E-07	        1.388260E-06	        4.995793E-06	        3.470272E-07	        3.204432E-07	        7.314380E-09	        4.179194E-07	        4.419715E-09	        1.022733E-04	        2.610752E-07	        5.794182E-06	        7.660624E-07	        9.610057E-06	        1.608440E-07	        9.404730E-05	        1.688658E-06	        5.294916E-11	        9.645620E-09	        1.725789E-08	        2.702329E-01	        1.055367E-07	        5.191434E-07	        6.252180E-08	        2.213848E-08	        4.403736E-07	        9.216732E-03	        1.383935E-06	        1.069450E-08	        4.916535E-12	        1.744884E-10	        2.077838E-07	        3.742292E-08	        7.160305E-09	        9.220613E-09
        1.200100E-02	        2.022770E-35	        2.409052E-03	        6.288979E-08	        2.847909E-05	        1.915443E-05	        1.991136E-03	        2.328268E-08	        8.578617E-05	        2.383214E-05	        2.251499E-02	        1.819298E-07	        2.215675E-06	        1.469793E-07	        1.077748E-06	        5.099157E-08	        1.806688E-05	        3.960877E-04	        1.990876E-09	        2.516944E-08	        1.154478E-08	        9.465302E-09	        2.629469E-08	        9.740259E-07	        1.201940E-09	        6.508468E-07	        5.539033E-06	        4.430948E-07	        1.232818E-06	        5.429100E-05	        4.354340E-04	        4.552744E-05	        1.207323E-05	        1.254893E-07	        3.161100E-05	        4.039551E-06	        4.220403E-06	        8.738639E-05	        8.047331E-06	        3.669659E-01	        1.676880E-06	        7.702885E-03	        2.413202E-02	        1.312997E-02	        2.881664E-02	        3.802160E-05	        1.199454E-05	        1.736265E-04	        1.976397E-04	        3.827327E-01	        2.664789E-02	        5.289445E-11	        2.125932E-03	        1.836126E-02	        1.055765E-03	        7.833826E-03	        0.000000E+00	        5.625207E-11	        1.127287E-04	        1.854467E-06	        5.896608E-06	        1.765377E-05	        6.716660E-06	        3.474556E-06	        2.354967E-08	        1.493432E-06	        4.622625E-08	        3.604052E-04	        3.319947E-06	        2.254975E-05	        2.128065E-06	        4.973765E-05	        2.068271E-06	        3.431341E-04	        2.964493E-06	        4.066259E-10	        8.494795E-08	        1.073613E-08	        6.292208E-01	        1.449615E-06	        2.767913E-07	        1.397799E-07	        3.344160E-08	        2.077664E-07	        2.154049E-02	        1.518518E-05	        1.246546E-08	        3.652033E-11	        1.372931E-09	        3.502144E-07	        3.817323E-07	        2.363007E-07	        2.792181E-07
        1.300100E-02	        3.841501E-28	        7.576722E-04	        4.607415E-09	        3.016959E-05	        2.582512E-06	        5.966027E-04	        1.641333E-08	        1.017539E-05	        2.272869E-06	        1.488123E-02	        5.407036E-08	        2.676876E-07	        2.467153E-08	        2.319869E-07	        1.908559E-09	        8.109349E-07	        9.289794E-05	        6.130458E-11	        1.070797E-09	        3.543695E-10	        2.018328E-09	        2.591408E-09	        9.018288E-08	        1.690687E-11	        3.813737E-08	        1.931133E-07	        3.085944E-08	        1.043025E-07	        6.995599E-06	        6.558632E-05	        4.385560E-06	        4.779940E-07	        9.086962E-10	        4.530615E-06	        2.822166E-08	        4.520312E-07	        6.097850E-05	        9.740165E-07	        1.800460E-01	        1.187151E-07	        2.358732E-03	        1.516531E-02	        6.022791E-03	        2.108849E-02	        2.929001E-06	        6.643014E-07	        2.061041E-05	        1.296099E-05	        1.925680E-01	        1.621544E-02	        9.735261E-13	        8.037151E-04	        1.821730E-02	        5.519070E-04	        6.197340E-03	        0.000000E+00	        5.015101E-11	        5.424583E-05	        8.215666E-07	        3.620110E-06	        2.002587E-05	        1.507288E-05	        3.383286E-06	        2.120868E-08	        1.647408E-06	        3.660711E-08	        3.293122E-04	        7.372204E-06	        1.436194E-05	        1.510553E-06	        5.855747E-05	        1.587228E-06	        3.810210E-04	        9.606275E-07	        2.514272E-11	        1.531216E-08	        3.674779E-08	        5.945840E-01	        8.853945E-07	        1.293749E-07	        5.779021E-08	        1.029722E-08	        5.609538E-08	        9.230106E-03	        3.562766E-06	        2.360451E-09	        2.531058E-11	        1.141312E-09	        1.095460E-07	        2.694689E-07	        3.387920E-08	        6.517032E-08
        1.400030E-02	       8.599269E-236	        5.185667E-05	        4.994178E-11	        1.169295E-05	        4.377427E-08	        3.328973E-05	        6.682172E-09	        3.291214E-06	        1.564019E-07	        2.049178E-04	        1.073608E-08	        5.976899E-10	        7.998196E-09	        2.082630E-08	        2.712941E-11	        1.986041E-08	        5.367575E-06	        3.366065E-13	        7.609353E-14	        2.316368E-12	        2.196212E-09	        2.034792E-10	        2.174177E-09	        1.095758E-13	        5.486401E-10	        1.935870E-08	        2.105297E-09	        4.438965E-09	        9.709209E-07	        7.959190E-07	        7.687553E-07	        8.285453E-09	        4.994150E-12	        2.184766E-06	        2.482613E-09	        7.624346E-08	        1.365031E-06	        7.901746E-09	        3.533269E-02	        3.559532E-09	        5.813692E-05	        2.679991E-04	        1.202938E-03	        6.522696E-03	        8.199408E-07	        2.608581E-07	        1.759393E-07	        4.534856E-06	        3.628634E-02	        3.919398E-04	        9.491585E-15	        1.191735E-04	        6.265489E-03	        8.928585E-05	        2.161109E-03	        0.000000E+00	        5.098915E-14	        1.047051E-05	        1.111187E-08	        8.684601E-08	        4.997736E-07	        9.908936E-06	        2.297912E-08	        1.995218E-10	        7.516453E-07	        2.845727E-10	        2.154164E-05	        4.964137E-06	        1.469545E-07	        6.673592E-08	        6.918720E-08	        3.707608E-08	        2.517748E-06	        2.060265E-08	        1.420925E-14	        1.455697E-10	        8.601302E-09	        2.829416E-02	        9.863960E-09	        1.115595E-07	        7.490059E-09	        2.115651E-09	        2.150134E-08	        1.206078E-03	        4.768900E-08	        1.829953E-10	        2.923813E-14	        3.249920E-13	        2.352597E-09	        7.752595E-09	        4.070387E-13	        8.167260E-12
        1.500070E-02	       4.128540E-235	        4.983512E-04	        6.109179E-11	        1.328411E-05	        8.844299E-07	        4.060326E-04	        1.465557E-09	        9.451305E-06	        1.310229E-06	        5.680197E-04	        3.275087E-09	        6.012806E-09	        2.434429E-09	        9.638175E-09	        4.291008E-11	        1.500229E-07	        6.555983E-05	        6.036966E-12	        8.471889E-11	        3.858915E-11	        7.555233E-10	        2.709983E-10	        2.541083E-09	        4.151353E-13	        6.496776E-09	        4.557687E-08	        8.138526E-10	        2.627997E-09	        2.728102E-06	        1.573722E-05	        2.162629E-06	        2.299999E-07	        6.955011E-10	        5.056876E-06	        5.758177E-09	        4.511211E-07	        6.772403E-06	        2.292916E-08	        8.000764E-02	        5.194767E-09	        1.681026E-03	        8.648452E-04	        2.819220E-03	        8.297678E-03	        2.416256E-06	        6.071490E-07	        4.963117E-07	        9.602048E-06	        8.023812E-02	        1.521134E-03	        5.203473E-14	        3.889378E-04	        6.801964E-03	        2.298523E-04	        2.710906E-03	        0.000000E+00	        5.044087E-13	        2.383631E-05	        1.779790E-08	        2.109622E-07	        1.985000E-06	        1.064345E-05	        2.752065E-07	        1.211096E-09	        7.888394E-07	        1.984637E-09	        5.268742E-05	        5.019920E-06	        1.990636E-06	        1.270537E-07	        1.758800E-06	        8.527825E-08	        2.446099E-05	        6.958479E-07	        1.357365E-12	        1.294084E-09	        4.548298E-09	        3.184624E-02	        2.276190E-08	        9.111499E-09	        2.518480E-09	        1.725481E-09	        3.980532E-09	        4.097154E-04	        1.240483E-07	        1.841680E-10	        5.445666E-13	        6.204296E-12	        7.880441E-08	        1.528040E-08	        7.491705E-10	        2.110212E-09
