            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        1.767033E-20	        1.164628E-18	        4.914983E-19	        3.680949E-13	        1.518614E-14	        1.154928E-14	        1.115501E-19	        9.200231E-16	        2.232203E-14	        5.368635E-13	        8.274329E-13	        6.019414E-13	        2.065854E-19	        2.718829E-11	        2.719634E-29	        4.438752E-12	        2.354573E-12	        1.855550E-26	        5.051192E-11	        1.034312E-19	        2.700843E-15	        1.417233E-20	        1.247305E-12	        2.593349E-13	        2.535650E-25	        3.461751E-14	        1.264738E-11	        0.000000E+00	        7.352911E-11	        6.356856E-12	        6.706138E-14	        1.045650E-11	        5.719348E-10	        5.246444E-09	        3.658516E-16	        0.000000E+00	        5.192226E-21	        6.105788E-11	        1.784611E-09	        2.555491E-11	        3.300283E-09	        1.838565E-19	        2.789239E-29	        5.416193E-13	        4.235115E-11	        3.326091E-09	        2.487805E-23	        2.044831E-11	        1.049193E-20	        3.930638E-07	        8.171539E-23	        3.918410E-07	        3.158615E-12	        1.214409E-12	        5.256145E-09	        3.347112E-12	        0.000000E+00	        3.395362E-12	        2.401546E-13	        7.215800E-12	        8.040617E-28	        0.000000E+00	        1.368851E-13	        2.414867E-12	        3.065737E-13	        3.912923E-07	        2.127882E-19	        6.985425E-17	        7.314640E-23	        0.000000E+00	        3.912496E-07	        7.141843E-25	        5.874535E-15	        3.960565E-14	        9.392285E-20	        3.918933E-16	        2.865534E-21	        1.183908E-16	        1.085084E-15	        1.737022E-11	        9.899150E-20	        6.132254E-16	        4.328350E-16	        6.098564E-13	        1.788367E-12	        7.098124E-19	        2.488434E-21	        2.215443E-19	        2.888425E-30	        2.423799E-23	        1.075026E-22	        1.874466E-23	        5.352405E-15	        2.421417E-19	        4.099607E-17	        1.971277E-15	        4.051845E-17	        3.687508E-14	        2.886279E-10	        1.347912E-31	        5.356435E-27	        1.155254E-25	        0.000000E+00	        1.043986E-37	        4.511507E-21	        3.717016E-22	        2.381305E-24
        2.000000E-03	        1.353752E-17	        1.812675E-16	        5.031239E-16	        1.376243E-11	        1.368314E-12	        4.284953E-13	        1.826621E-16	        8.640534E-13	        2.635447E-10	        6.289584E-11	        5.351044E-12	        2.205738E-11	        2.367692E-16	        1.015713E-09	        3.967708E-26	        2.839796E-10	        7.369466E-11	        8.813464E-24	        1.892257E-09	        1.031482E-16	        2.786462E-14	        1.303601E-17	        4.666269E-11	        1.673626E-11	        4.042973E-22	        9.094192E-12	        7.129466E-10	        0.000000E+00	        7.847785E-10	        2.699543E-10	        2.507677E-12	        6.531836E-10	        2.816859E-08	        1.961938E-07	        3.682564E-14	        1.752424E-21	        9.803260E-17	        2.584759E-09	        6.673052E-08	        7.725789E-10	        1.216835E-07	        2.130851E-16	        7.890528E-25	        6.345369E-11	        1.632068E-09	        1.230807E-07	        2.297847E-20	        1.254185E-09	        2.376071E-18	        7.341183E-06	        1.543464E-17	        7.301675E-06	        3.700452E-10	        6.830828E-11	        1.973489E-07	        3.928181E-10	        0.000000E+00	        1.929186E-10	        5.315749E-11	        5.857901E-10	        3.079533E-25	        0.000000E+00	        1.615735E-12	        2.924178E-10	        4.919058E-11	        7.273459E-06	        3.278805E-16	        4.591300E-16	        1.980385E-19	        0.000000E+00	        7.273303E-06	        1.248005E-22	        3.082655E-13	        3.673984E-13	        8.497228E-18	        2.730463E-14	        1.394449E-18	        9.770919E-16	        8.741502E-14	        1.771051E-11	        1.275731E-16	        2.794180E-13	        4.031115E-15	        9.822322E-12	        1.657395E-11	        9.276711E-18	        2.368056E-18	        1.672109E-17	        2.584324E-28	        6.104799E-20	        3.141675E-20	        3.739445E-20	        9.024125E-11	        1.823672E-17	        1.151455E-13	        2.460736E-13	        1.049614E-13	        9.555533E-11	        3.601084E-08	        1.142741E-16	        9.189952E-23	        5.267205E-23	        0.000000E+00	        7.065663E-31	        2.195609E-18	        1.077519E-19	        8.926782E-21
        3.100000E-03	        4.183052E-15	        1.683695E-14	        8.918242E-14	        1.188214E-10	        4.925506E-11	        3.776040E-12	        1.724554E-14	        3.057293E-11	        7.333275E-08	        1.190801E-09	        1.802383E-11	        1.992772E-10	        1.749078E-14	        9.866532E-09	        7.292361E-24	        9.116531E-09	        6.093695E-10	        2.831346E-21	        1.755472E-08	        7.724987E-15	        8.272907E-13	        9.260242E-16	        4.002617E-10	        4.801536E-10	        4.014409E-20	        2.713420E-10	        7.748536E-08	        0.000000E+00	        1.499579E-08	        2.923475E-09	        2.141320E-11	        7.703494E-08	        2.585661E-07	        1.908251E-06	        3.820708E-12	        1.481282E-18	        3.813728E-14	        2.906895E-08	        6.495871E-07	        1.186234E-08	        1.025153E-06	        2.331005E-14	        3.657695E-22	        1.201429E-09	        1.566820E-08	        1.043837E-06	        2.798296E-18	        3.366575E-08	        8.560932E-17	        4.350098E-05	        2.156588E-14	        4.303433E-05	        7.006039E-09	        1.737519E-09	        1.930490E-06	        7.486082E-09	        0.000000E+00	        2.847225E-09	        1.873548E-09	        1.838314E-08	        3.065312E-23	        0.000000E+00	        5.912783E-11	        6.059444E-09	        1.451624E-09	        4.269541E-05	        2.473699E-14	        2.218427E-15	        5.549777E-17	        0.000000E+00	        4.283843E-05	        1.236087E-20	        7.232596E-12	        1.545462E-12	        5.249221E-16	        1.456199E-12	        6.652847E-17	        7.055494E-15	        2.299979E-12	        2.032781E-11	        1.715385E-14	        1.494799E-11	        1.854669E-14	        2.657021E-10	        6.822173E-11	        1.578513E-16	        2.002229E-16	        5.505826E-15	        7.622400E-26	        1.312561E-17	        1.095064E-18	        4.526742E-18	        2.917162E-08	        5.213350E-16	        2.855084E-11	        5.849898E-12	        5.165628E-12	        4.704764E-09	        8.555137E-07	        3.688112E-14	        6.610730E-20	        4.551578E-21	        8.897711E-25	        1.146514E-27	        1.047405E-16	        3.654716E-18	        4.016341E-19
        4.100000E-03	        1.060881E-13	        1.931032E-13	        2.826967E-12	        4.196743E-10	        4.551138E-10	        1.513321E-11	        2.547445E-13	        2.135416E-10	        9.198333E-07	        6.838565E-09	        4.012321E-11	        7.414730E-10	        2.459324E-13	        4.031202E-08	        1.150035E-20	        6.202390E-08	        2.337100E-09	        4.547667E-19	        6.763697E-08	        1.068384E-13	        1.843481E-11	        1.306379E-14	        1.386272E-09	        4.086112E-09	        7.367326E-19	        1.882557E-09	        9.358588E-07	        0.000000E+00	        9.244794E-08	        1.250675E-08	        7.317153E-11	        9.344448E-07	        9.279300E-07	        7.807531E-06	        4.852298E-11	        4.990441E-17	        1.138902E-12	        1.391847E-07	        2.664884E-06	        6.756818E-08	        3.602154E-06	        4.655211E-13	        1.738453E-20	        6.900711E-09	        5.782788E-08	        3.694373E-06	        7.183867E-17	        2.002298E-07	        9.396313E-16	        1.367390E-04	        6.623841E-13	        1.347595E-04	        4.023461E-08	        1.360580E-08	        7.936793E-06	        4.327418E-08	        0.000000E+00	        1.429529E-08	        1.489789E-08	        8.928631E-08	        2.043499E-21	        0.000000E+00	        4.374791E-10	        3.833961E-08	        1.061834E-08	        1.328773E-04	        3.340326E-13	        1.231503E-14	        1.254262E-15	        0.000000E+00	        1.340123E-04	        1.524748E-19	        5.049429E-11	        4.069106E-12	        6.283460E-15	        2.022202E-11	        6.345645E-16	        2.479433E-14	        9.316009E-12	        2.799733E-11	        1.807113E-13	        9.857234E-11	        7.669004E-14	        1.353595E-09	        1.647755E-10	        4.370029E-13	        2.314139E-15	        1.242900E-13	        5.654455E-20	        2.003903E-16	        1.024294E-17	        4.961383E-17	        2.749481E-07	        4.289123E-15	        3.065323E-10	        2.484415E-11	        6.572902E-11	        5.989404E-08	        3.630639E-06	        3.468079E-13	        3.385839E-18	        7.353012E-20	        5.153718E-23	        6.113516E-21	        9.919663E-16	        3.399943E-17	        4.181145E-18
        5.000000E-03	        7.435841E-13	        9.116573E-13	        2.720844E-11	        9.651316E-10	        2.103826E-09	        4.558349E-11	        1.741910E-12	        8.312655E-10	        3.033930E-06	        2.220184E-08	        7.999720E-11	        1.774627E-09	        1.504281E-12	        1.054303E-07	        6.784657E-19	        1.906561E-07	        6.081724E-09	        1.601410E-17	        1.690341E-07	        6.544718E-13	        1.383468E-10	        8.276868E-14	        3.157283E-09	        1.621803E-08	        5.752973E-18	        6.535786E-09	        3.074074E-06	        6.262643E-28	        3.173171E-07	        3.235680E-08	        1.618490E-10	        3.070798E-06	        2.121706E-06	        2.044396E-05	        2.077720E-10	        5.289301E-16	        1.125347E-11	        4.180337E-07	        6.984629E-06	        2.203024E-07	        8.476491E-06	        3.407991E-12	        2.556542E-19	        2.241146E-08	        1.316605E-07	        8.732367E-06	        6.034672E-16	        5.798846E-07	        5.475755E-15	        3.007486E-04	        3.949555E-12	        2.966252E-04	        1.306252E-07	        4.768869E-08	        2.086723E-05	        1.411533E-07	        0.000000E+00	        4.269737E-08	        5.762025E-08	        1.979902E-07	        4.569590E-20	        0.000000E+00	        1.758197E-09	        1.372724E-07	        3.829518E-08	        2.914769E-04	        1.918402E-12	        5.946216E-14	        8.441050E-15	        0.000000E+00	        2.935656E-04	        5.658194E-19	        1.761513E-10	        8.851259E-12	        3.177947E-14	        7.411750E-11	        3.211978E-15	        6.543353E-14	        1.852474E-11	        4.585761E-11	        6.973584E-13	        2.655354E-10	        3.006410E-13	        2.286723E-09	        3.056149E-10	        3.183540E-12	        1.187541E-14	        6.494958E-13	        1.139129E-18	        1.011886E-15	        4.849091E-17	        2.070450E-16	        1.114849E-06	        2.056629E-14	        1.138690E-09	        5.365291E-11	        2.642325E-10	        2.408869E-07	        7.835121E-06	        1.404776E-12	        3.769786E-17	        5.157308E-19	        5.013351E-22	        1.174407E-19	        4.928937E-15	        1.655577E-16	        2.483172E-17
        6.000000E-03	        4.393320E-12	        3.847999E-12	        1.834459E-10	        1.971052E-09	        9.289381E-09	        1.567310E-10	        1.187533E-11	        3.553158E-09	        7.156887E-06	        6.214720E-08	        1.897057E-10	        3.685330E-09	        7.760538E-12	        2.431382E-07	        1.203895E-17	        5.373562E-07	        1.561278E-08	        3.582946E-16	        3.790888E-07	        3.887241E-12	        7.469197E-10	        4.784193E-13	        6.552691E-09	        5.622282E-08	        3.617382E-17	        1.806189E-08	        7.248593E-06	        2.593568E-24	        1.122688E-06	        7.354122E-08	        3.124743E-10	        7.237300E-06	        4.251978E-06	        4.719413E-05	        7.307070E-10	        5.218042E-15	        8.993286E-11	        1.149977E-06	        1.613066E-05	        7.186726E-07	        1.810446E-05	        1.920933E-11	        3.133135E-18	        6.279432E-08	        2.711631E-07	        1.875957E-05	        3.796580E-15	        1.565909E-06	        3.018030E-14	        5.965105E-04	        1.595837E-11	        5.882975E-04	        3.656524E-07	        1.330067E-07	        4.838908E-05	        3.966600E-07	        0.000000E+00	        1.142004E-07	        1.902057E-07	        4.233779E-07	        6.688462E-19	        0.000000E+00	        7.890227E-09	        4.258595E-07	        1.091138E-07	        5.773891E-04	        9.363329E-12	        3.397549E-13	        5.277701E-14	        0.000000E+00	        5.797961E-04	        2.406990E-18	        5.639715E-10	        2.132938E-11	        1.747206E-13	        1.945280E-10	        1.576468E-14	        1.802063E-13	        3.916060E-11	        9.622472E-11	        2.697064E-12	        6.799660E-10	        1.148073E-12	        3.299730E-09	        5.369529E-10	        1.123245E-11	        6.163430E-14	        2.735079E-12	        1.899205E-16	        5.241125E-15	        2.120658E-16	        8.756196E-16	        4.054281E-06	        9.535053E-14	        3.518904E-09	        1.227507E-10	        7.155137E-10	        6.526641E-07	        1.791029E-05	        5.110433E-12	        2.878911E-16	        3.395565E-18	        3.698240E-21	        2.266244E-17	        2.372232E-14	        7.606369E-16	        1.608854E-16
        7.000000E-03	        1.989368E-11	        1.275284E-11	        7.654205E-10	        3.530444E-09	        3.437431E-08	        5.473318E-10	        6.720742E-11	        1.367512E-08	        1.320427E-05	        1.413429E-07	        4.844138E-10	        6.421075E-09	        3.031173E-11	        4.723271E-07	        1.081289E-16	        1.273068E-06	        3.660430E-08	        3.883276E-15	        7.353491E-07	        1.943187E-11	        2.728030E-09	        2.280027E-12	        1.250396E-08	        1.589924E-07	        1.586465E-16	        3.897065E-08	        1.338922E-05	        4.179141E-22	        3.618461E-06	        1.361216E-07	        5.224552E-10	        1.334940E-05	        7.229840E-06	        9.164342E-05	        2.115007E-09	        3.770143E-14	        5.007856E-10	        2.631926E-06	        3.133663E-05	        2.095091E-06	        3.330232E-05	        7.635414E-11	        2.793553E-17	        1.431383E-07	        4.882907E-07	        3.477470E-05	        1.612983E-14	        3.740813E-06	        1.335793E-13	        1.022723E-03	        4.682437E-11	        1.007586E-03	        8.316529E-07	        2.877709E-07	        9.439323E-05	        9.045790E-07	        0.000000E+00	        2.561809E-07	        5.104576E-07	        8.538104E-07	        5.396711E-18	        0.000000E+00	        3.228770E-08	        1.046512E-06	        2.351272E-07	        9.896454E-04	        3.516342E-11	        1.700742E-12	        2.862780E-13	        0.000000E+00	        9.899075E-04	        1.034286E-17	        1.577138E-09	        5.523045E-11	        8.652176E-13	        4.430715E-10	        6.478771E-14	        4.543638E-13	        8.261684E-11	        2.150760E-10	        9.214586E-12	        1.637605E-09	        3.504025E-12	        4.640176E-09	        8.682813E-10	        3.369591E-11	        2.761413E-13	        8.883734E-12	        2.788886E-15	        2.430854E-14	        8.151743E-16	        3.356026E-15	        1.165681E-05	        3.574476E-13	        9.271288E-09	        2.802007E-10	        1.466805E-09	        1.338785E-06	        4.084547E-05	        1.473726E-11	        1.540822E-15	        1.726033E-17	        1.927484E-20	        3.391379E-16	        9.602451E-14	        3.024542E-15	        1.008724E-15
        8.000000E-03	        6.595947E-11	        3.270683E-11	        2.126500E-09	        5.868051E-09	        9.757723E-08	        1.771886E-09	        2.809583E-10	        4.012638E-08	        2.085789E-05	        2.762456E-07	        1.200440E-09	        1.012662E-08	        8.882128E-11	        8.213693E-07	        6.441002E-16	        2.436018E-06	        7.140779E-08	        2.152112E-14	        1.281863E-06	        6.873756E-11	        7.284655E-09	        8.422460E-12	        2.368124E-08	        3.555308E-07	        5.183012E-16	        7.616963E-08	        2.118791E-05	        1.679887E-20	        9.634494E-06	        2.159348E-07	        8.302644E-10	        2.109425E-05	        1.096916E-05	        1.587927E-04	        5.032829E-09	        1.882330E-13	        2.045269E-09	        5.051650E-06	        5.433518E-05	        5.100805E-06	        5.498558E-05	        2.330168E-10	        1.668272E-16	        2.810320E-07	        7.702761E-07	        5.787715E-05	        4.721866E-14	        7.700303E-06	        4.400179E-13	        1.577740E-03	        1.118198E-10	        1.551136E-03	        1.625571E-06	        5.159499E-07	        1.642711E-04	        1.769570E-06	        0.000000E+00	        4.901347E-07	        1.143115E-06	        1.483995E-06	        6.373284E-17	        0.000000E+00	        9.969420E-08	        2.153678E-06	        4.163268E-07	        1.527068E-03	        9.843302E-11	        6.399736E-12	        1.149590E-12	        0.000000E+00	        1.520216E-03	        3.823851E-17	        3.764417E-09	        1.417558E-10	        3.510009E-12	        8.707300E-10	        2.317746E-13	        1.034124E-12	        1.599081E-10	        4.608108E-10	        2.555543E-11	        3.566585E-09	        9.381089E-12	        6.574571E-09	        1.323387E-09	        7.060761E-11	        1.036156E-12	        2.264430E-11	        1.667589E-14	        8.573399E-14	        2.747597E-15	        1.002962E-14	        2.514331E-05	        1.080928E-12	        2.005974E-08	        5.500795E-10	        2.561155E-09	        2.339109E-06	        8.010868E-05	        3.185452E-11	        5.913282E-15	        6.166833E-17	        7.369807E-20	        2.052905E-15	        3.240678E-13	        9.838013E-15	        5.391253E-15
        9.000000E-03	        1.682635E-10	        6.621218E-11	        4.361495E-09	        9.345743E-09	        2.050204E-07	        4.934363E-09	        8.192369E-10	        8.511243E-08	        2.949913E-05	        4.851923E-07	        2.757282E-09	        1.542179E-08	        2.029368E-10	        1.323566E-06	        3.155774E-15	        3.954295E-06	        1.117755E-07	        7.203952E-14	        2.038153E-06	        1.599990E-10	        1.525350E-08	        2.351747E-11	        4.548171E-08	        6.393333E-07	        1.348591E-15	        1.471405E-07	        3.001463E-05	        2.210157E-19	        2.055429E-05	        3.201166E-07	        1.346731E-09	        2.987613E-05	        1.539993E-05	        2.539984E-04	        1.002949E-08	        6.546236E-13	        6.317961E-09	        8.578346E-06	        8.698532E-05	        1.003250E-05	        8.390157E-05	        5.812293E-10	        6.509322E-16	        4.973353E-07	        1.096859E-06	        8.885653E-05	        1.010119E-13	        1.359634E-05	        1.069082E-12	        2.254602E-03	        2.293990E-10	        2.209574E-03	        2.855588E-06	        8.224202E-07	        2.638771E-04	        3.105832E-06	        0.000000E+00	        8.242317E-07	        2.139253E-06	        2.223327E-06	        1.297916E-15	        0.000000E+00	        2.176614E-07	        3.937523E-06	        6.452238E-07	        2.182685E-03	        2.063333E-10	        1.890764E-11	        3.162981E-12	        0.000000E+00	        2.161882E-03	        1.030349E-16	        7.524410E-09	        3.233528E-10	        1.067862E-11	        1.409954E-09	        7.376995E-13	        2.118717E-12	        2.606529E-10	        9.052040E-10	        5.410392E-11	        6.538775E-09	        2.329402E-11	        8.901217E-09	        1.916809E-09	        1.802488E-10	        3.244149E-12	        4.643746E-11	        5.685936E-14	        2.055323E-13	        7.808924E-15	        2.215412E-14	        4.051339E-05	        2.699354E-12	        3.452159E-08	        8.692956E-10	        3.928121E-09	        3.589834E-06	        1.264744E-04	        5.252566E-11	        1.622353E-14	        1.614020E-16	        2.125139E-19	        7.052398E-15	        8.981507E-13	        2.487561E-14	        2.115387E-14
        1.010000E-02	        4.060981E-10	        1.197257E-10	        7.624578E-09	        1.514102E-08	        3.693544E-07	        1.307159E-08	        1.953801E-09	        1.532822E-07	        3.963500E-05	        8.216383E-07	        6.487267E-09	        2.389897E-08	        4.111568E-10	        2.083101E-06	        1.410875E-14	        6.055135E-06	        1.519993E-07	        1.891405E-13	        3.146504E-06	        2.802513E-10	        2.874354E-08	        5.819645E-11	        9.406977E-08	        1.048657E-06	        3.194309E-15	        2.998845E-07	        4.039482E-05	        1.607939E-18	        4.114275E-05	        4.868386E-07	        2.430451E-09	        4.026675E-05	        2.102925E-05	        3.950018E-04	        1.880881E-08	        1.931225E-12	        1.728002E-08	        1.408743E-05	        1.353868E-04	        1.771615E-05	        1.244320E-04	        1.380554E-09	        2.112926E-15	        8.529610E-07	        1.538363E-06	        1.324477E-04	        1.812750E-13	        2.253074E-05	        2.177427E-12	        3.124635E-03	        4.493696E-10	        3.049839E-03	        4.837078E-06	        1.299840E-06	        4.123632E-04	        5.251226E-06	        0.000000E+00	        1.327332E-06	        3.671704E-06	        3.160694E-06	        9.669921E-15	        0.000000E+00	        3.968132E-07	        6.938760E-06	        9.417932E-07	        3.027420E-03	        3.640246E-10	        5.316388E-11	        7.020729E-12	        0.000000E+00	        2.979876E-03	        2.067066E-16	        1.437910E-08	        6.925067E-10	        2.706394E-11	        2.005508E-09	        2.330382E-12	        4.370942E-12	        3.570120E-10	        1.792939E-09	        9.140046E-11	        1.076881E-08	        5.613276E-11	        1.178401E-08	        2.714515E-09	        3.057544E-10	        9.868092E-12	        9.040140E-11	        1.621766E-13	        3.586041E-13	        2.046308E-14	        4.193723E-14	        5.534741E-05	        6.537215E-12	        5.308805E-08	        1.216547E-09	        5.683628E-09	        5.197814E-06	        1.768094E-04	        7.252883E-11	        3.868980E-14	        3.589068E-16	        5.563198E-19	        2.019296E-14	        2.303362E-12	        5.278048E-14	        6.760665E-14
        1.110000E-02	        8.711792E-10	        1.837919E-10	        1.110644E-08	        2.287475E-08	        5.649384E-07	        2.914209E-08	        3.621899E-09	        2.299509E-07	        4.881023E-05	        1.234002E-06	        1.416737E-08	        3.469104E-08	        6.806205E-10	        2.980080E-06	        4.477711E-14	        8.341333E-06	        1.794662E-07	        3.633994E-13	        4.454028E-06	        3.680940E-10	        4.658284E-08	        1.207484E-10	        1.831728E-07	        1.513453E-06	        6.111239E-15	        5.607136E-07	        4.982713E-05	        6.027287E-18	        7.561746E-05	        7.103359E-07	        4.468379E-09	        4.981814E-05	        2.675334E-05	        5.562825E-04	        3.057896E-08	        4.294410E-12	        3.758008E-08	        2.079167E-05	        1.908111E-04	        2.680246E-05	        1.688226E-04	        2.881262E-09	        5.434678E-15	        1.303829E-06	        2.043258E-06	        1.804058E-04	        2.632720E-13	        3.321610E-05	        3.467981E-12	        4.012089E-03	        7.783404E-10	        3.901169E-03	        7.267554E-06	        2.020682E-06	        5.835717E-04	        7.871608E-06	        0.000000E+00	        1.930624E-06	        5.480032E-06	        4.114700E-06	        3.565836E-14	        0.000000E+00	        5.952962E-07	        1.076699E-05	        1.235388E-06	        3.898667E-03	        5.187883E-10	        1.279518E-10	        1.195459E-11	        0.000000E+00	        3.808016E-03	        2.877621E-16	        2.563088E-08	        1.273705E-09	        5.266331E-11	        2.506554E-09	        6.086658E-12	        8.438606E-12	        3.927913E-10	        3.356543E-09	        1.160887E-10	        1.528914E-08	        1.101955E-10	        1.455884E-08	        3.530680E-09	        3.839502E-10	        2.536442E-11	        1.625048E-10	        3.774759E-13	        4.387352E-13	        4.347421E-14	        6.772228E-14	        6.663354E-05	        1.425257E-11	        7.265272E-08	        1.528953E-09	        7.500338E-09	        6.863505E-06	        2.220058E-04	        8.919026E-11	        7.928929E-14	        6.336179E-16	        1.216538E-18	        4.705259E-14	        4.882927E-12	        8.493212E-14	        1.566824E-13
        1.210000E-02	        1.828211E-09	        2.588640E-10	        1.533036E-08	        3.376791E-08	        8.193873E-07	        6.057945E-08	        6.002481E-09	        3.112342E-07	        5.714378E-05	        1.744379E-06	        3.173317E-08	        4.892437E-08	        1.022179E-09	        4.091296E-06	        1.213504E-13	        1.082973E-05	        1.985122E-07	        6.006613E-13	        6.110795E-06	        4.206935E-10	        7.193879E-08	        2.460976E-10	        3.523442E-07	        2.062230E-06	        1.057270E-14	        1.009696E-06	        5.843623E-05	        1.611319E-17	        1.393631E-04	        1.032094E-06	        8.784326E-09	        5.872466E-05	        3.287630E-05	        7.465210E-04	        4.623772E-08	        8.073089E-12	        7.328468E-08	        2.917102E-05	        2.562346E-04	        3.751122E-05	        2.191379E-04	        5.859771E-09	        1.379994E-14	        1.890560E-06	        2.671782E-06	        2.349685E-04	        3.456443E-13	        4.649302E-05	        4.885691E-12	        4.992300E-03	        1.307480E-09	        4.836029E-03	        1.027932E-05	        3.377865E-06	        7.874549E-04	        1.110195E-05	        0.000000E+00	        2.697086E-06	        7.632206E-06	        5.099928E-06	        9.859175E-14	        0.000000E+00	        8.061193E-07	        1.569108E-05	        1.533944E-06	        4.884990E-03	        6.645725E-10	        2.978492E-10	        1.788017E-11	        0.000000E+00	        4.718618E-03	        3.397993E-16	        4.628374E-08	        2.212039E-09	        9.179735E-11	        2.990529E-09	        1.460152E-11	        1.590976E-11	        3.790069E-10	        6.222544E-09	        1.259447E-10	        2.036064E-08	        1.941185E-10	        1.708401E-08	        4.362311E-09	        2.616407E-09	        5.882228E-11	        2.876914E-10	        7.886150E-13	        4.402941E-13	        8.542164E-14	        1.054506E-13	        7.626760E-05	        3.019944E-11	        9.477854E-08	        1.832659E-09	        9.498617E-09	        8.696985E-06	        2.658794E-04	        1.115014E-10	        1.621632E-13	        1.502059E-15	        2.445654E-18	        9.831511E-14	        9.457976E-12	        1.163683E-13	        3.160752E-13
        1.310000E-02	        3.563683E-09	        3.448328E-10	        2.119325E-08	        4.900200E-08	        1.164027E-06	        1.143697E-07	        9.149269E-09	        3.919650E-07	        6.429120E-05	        2.344936E-06	        6.881584E-08	        6.693866E-08	        1.454440E-09	        5.438831E-06	        2.890315E-13	        1.340638E-05	        2.157793E-07	        9.246392E-13	        8.210678E-06	        4.619532E-10	        1.073827E-07	        4.934363E-10	        6.440864E-07	        2.707866E-06	        1.710843E-14	        1.703426E-06	        6.587687E-05	        3.426929E-17	        2.421810E-04	        1.486458E-06	        1.725316E-08	        6.668297E-05	        3.919887E-05	        9.626153E-04	        6.606427E-08	        1.303129E-11	        1.276724E-07	        3.943849E-05	        3.305771E-04	        4.972176E-05	        2.737444E-04	        1.117841E-08	        3.422228E-14	        2.625693E-06	        3.477490E-06	        2.944086E-04	        4.322714E-13	        6.288733E-05	        6.480146E-12	        6.058348E-03	        2.113830E-09	        5.847726E-03	        1.382881E-05	        5.839963E-06	        1.021554E-03	        1.489649E-05	        0.000000E+00	        3.657672E-06	        1.017540E-05	        6.118579E-06	        2.252218E-13	        0.000000E+00	        1.024310E-06	        2.174989E-05	        1.832778E-06	        5.990825E-03	        8.066850E-10	        6.392990E-10	        2.501627E-11	        0.000000E+00	        5.705834E-03	        3.970645E-16	        7.953009E-08	        3.590255E-09	        1.463463E-10	        3.526372E-09	        3.135934E-11	        2.708804E-11	        3.486653E-10	        1.057190E-08	        1.287781E-10	        2.633829E-08	        3.154881E-10	        1.972363E-08	        5.132310E-09	        1.264549E-08	        1.131877E-10	        4.740510E-10	        1.449035E-12	        4.123873E-13	        1.553116E-13	        1.607213E-13	        8.606574E-05	        5.787868E-11	        1.184294E-07	        2.119440E-09	        1.165435E-08	        1.067634E-05	        3.072477E-04	        1.431908E-10	        3.203261E-13	        5.130846E-15	        4.326807E-18	        1.806298E-13	        1.642386E-11	        1.437834E-13	        5.722155E-13
