            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.008350E-02	        1.436696E-09	        7.478522E-10	        1.141409E-06	        2.959022E-11	        1.036622E-06	        7.523314E-10	        9.452332E-09	        1.105856E-07	        1.240804E-06	        1.023551E-07	        3.959970E-08	        4.671624E-09	        2.907230E-11	        5.654410E-07	        2.506526E-13	        9.211721E-07	        1.030312E-08	        1.473530E-13	        1.442928E-06	        4.255152E-11	        5.504820E-10	        2.326731E-10	        8.880546E-10	        1.927077E-07	        2.703130E-17	        1.269943E-06	        4.656756E-07	        9.273180E-18	        1.084157E-03	        5.892322E-07	        1.599614E-10	        1.547263E-06	        6.279077E-08	        4.453971E-08	        1.089629E-11	        1.992085E-13	        3.071482E-08	        6.805454E-06	        5.119642E-08	        3.511404E-05	        5.116793E-08	        2.381493E-10	        2.512974E-13	        7.502407E-07	        5.803004E-07	        1.223127E-06	        1.930111E-13	        9.153958E-04	        1.418586E-13	        7.811484E-06	        3.097933E-10	        1.926136E-05	        6.830524E-07	        9.040929E-04	        2.107078E-04	        8.615138E-07	        0.000000E+00	        2.651175E-06	        3.878628E-05	        5.916240E-08	        2.199559E-17	        0.000000E+00	        4.462816E-07	        1.195699E-06	        1.544353E-08	        1.312119E-03	        1.941618E-12	        3.616666E-10	        2.114927E-12	        0.000000E+00	        4.533965E-06	        6.282223E-13	        2.845605E-07	        1.010426E-07	        2.788382E-08	        6.524930E-08	        2.309764E-08	        1.159265E-09	        1.663646E-09	        1.671981E-07	        2.254868E-09	        1.522702E-07	        2.125418E-08	        1.275524E-08	        8.752124E-09	        4.570886E-09	        7.739959E-09	        2.632355E-08	        6.778869E-13	        3.670370E-12	        6.987013E-12	        7.832492E-11	        8.808265E-04	        2.129600E-09	        1.074498E-07	        5.336460E-09	        1.573588E-10	        1.069780E-07	        8.738080E-04	        1.572941E-09	        1.074657E-11	        4.203394E-14	        8.058888E-15	        4.773525E-14	        1.237849E-09	        6.061933E-13	        9.347786E-13
        1.058350E-02	        1.384707E-09	        5.421644E-10	        9.690580E-07	        1.574240E-11	        8.521680E-07	        5.484717E-10	        9.009987E-09	        1.002541E-07	        1.159908E-06	        8.219775E-08	        2.684959E-08	        3.782642E-09	        3.146840E-11	        5.359139E-07	        2.004507E-13	        9.354065E-07	        1.042420E-08	        1.352830E-13	        1.064120E-06	        5.213965E-11	        4.052640E-10	        1.484433E-10	        2.567776E-10	        2.034243E-07	        2.977610E-17	        1.035485E-06	        4.558826E-07	        8.866520E-18	        9.005995E-04	        4.771217E-07	        1.219293E-10	        1.321149E-06	        4.869578E-08	        2.776238E-08	        9.533189E-12	        1.460048E-13	        2.418717E-08	        5.998852E-06	        3.765149E-08	        2.984361E-05	        4.499190E-08	        1.911529E-10	        2.006259E-13	        5.476744E-07	        3.147397E-07	        9.991965E-07	        1.853683E-13	        7.593302E-04	        1.657725E-13	        6.560270E-06	        2.408643E-10	        1.659407E-05	        5.416860E-07	        7.505094E-04	        1.772812E-04	        7.351955E-07	        0.000000E+00	        1.968403E-06	        3.260691E-05	        6.134182E-08	        1.499663E-17	        0.000000E+00	        3.839114E-07	        1.015174E-06	        1.455403E-08	        1.092955E-03	        2.171502E-12	        3.554423E-10	        2.392895E-12	        0.000000E+00	        3.817038E-06	        7.415100E-13	        2.361444E-07	        9.421531E-08	        2.663562E-08	        6.555962E-08	        2.116937E-08	        9.861868E-10	        2.129695E-09	        1.559826E-07	        2.581092E-09	        1.467259E-07	        1.982318E-08	        1.446678E-08	        9.848608E-09	        3.481757E-09	        6.864856E-09	        2.433225E-08	        4.957065E-13	        4.953560E-12	        5.593409E-12	        7.700291E-11	        9.399471E-04	        1.892870E-09	        1.200321E-07	        5.883370E-09	        1.643257E-10	        1.214320E-07	        9.423340E-04	        1.576371E-09	        8.416859E-12	        3.860512E-14	        7.184627E-15	        3.418318E-14	        1.167838E-09	        6.668379E-13	        9.134467E-13
        1.108350E-02	        1.210048E-09	        4.090625E-10	        8.434778E-07	        1.127654E-11	        7.333371E-07	        4.252729E-10	        8.382106E-09	        9.056948E-08	        1.068351E-06	        6.941915E-08	        1.936487E-08	        3.120450E-09	        3.198280E-11	        5.039077E-07	        1.636073E-13	        9.225999E-07	        1.018386E-08	        1.143350E-13	        8.348276E-07	        5.627354E-11	        3.133077E-10	        9.983462E-11	        8.886757E-11	        1.996813E-07	        3.066930E-17	        8.839796E-07	        4.347747E-07	        8.230450E-18	        7.688868E-04	        4.013083E-07	        1.002629E-10	        1.168333E-06	        4.017429E-08	        2.281779E-08	        8.216994E-12	        1.091095E-13	        1.933008E-08	        5.362224E-06	        3.030556E-08	        2.588851E-05	        4.105868E-08	        1.576051E-10	        1.638906E-13	        4.222291E-07	        1.974039E-07	        8.516279E-07	        1.762079E-13	        6.470013E-04	        1.803261E-13	        5.745157E-06	        1.871294E-10	        1.465763E-05	        4.524372E-07	        6.397997E-04	        1.533598E-04	        6.474202E-07	        0.000000E+00	        1.541060E-06	        2.807533E-05	        5.915432E-08	        1.073816E-17	        0.000000E+00	        3.363457E-07	        8.922515E-07	        1.390786E-08	        9.355556E-04	        2.183896E-12	        3.399802E-10	        2.375619E-12	        0.000000E+00	        3.374239E-06	        8.087483E-13	        2.012945E-07	        8.923470E-08	        2.549500E-08	        6.468949E-08	        1.979849E-08	        8.596787E-10	        2.492304E-09	        1.466211E-07	        2.794187E-09	        1.414285E-07	        1.870168E-08	        1.588285E-08	        1.094219E-08	        3.283617E-09	        6.171000E-09	        2.282112E-08	        3.759971E-13	        5.822110E-12	        4.644030E-12	        7.131527E-11	        9.663722E-04	        1.749110E-09	        1.261148E-07	        6.182780E-09	        1.658111E-10	        1.284680E-07	        9.746300E-04	        1.545747E-09	        6.617363E-12	        3.405233E-14	        6.411634E-15	        2.544533E-14	        1.115532E-09	        6.879033E-13	        8.586014E-13
        1.158350E-02	        1.018102E-09	        3.208400E-10	        7.473732E-07	        9.003519E-12	        6.490169E-07	        3.455968E-10	        7.748666E-09	        8.230490E-08	        9.818577E-07	        6.038494E-08	        1.468863E-08	        2.635073E-09	        3.156810E-11	        4.730201E-07	        1.357194E-13	        8.945510E-07	        9.816272E-09	        9.347000E-14	        6.831456E-07	        5.717490E-11	        2.529620E-10	        7.046285E-11	        3.684322E-11	        1.889847E-07	        3.043690E-17	        7.761712E-07	        4.093086E-07	        7.538040E-18	        6.694615E-04	        3.454834E-07	        8.423519E-11	        1.053455E-06	        3.476702E-08	        2.088032E-08	        7.049063E-12	        8.308148E-14	        1.568109E-08	        4.842072E-06	        2.542474E-08	        2.280643E-05	        3.839476E-08	        1.337678E-10	        1.363189E-13	        3.383805E-07	        1.369841E-07	        7.457986E-07	        1.671076E-13	        5.620753E-04	        1.887606E-13	        5.173700E-06	        1.465544E-10	        1.317381E-05	        3.899458E-07	        5.559975E-04	        1.352766E-04	        5.801896E-07	        0.000000E+00	        1.251022E-06	        2.460639E-05	        5.501776E-08	        8.042213E-18	        0.000000E+00	        2.993682E-07	        7.992988E-07	        1.339083E-08	        8.166146E-04	        2.106673E-12	        3.152185E-10	        2.227898E-12	        0.000000E+00	        3.079802E-06	        8.537432E-13	        1.749432E-07	        8.545208E-08	        2.455260E-08	        6.355070E-08	        1.879429E-08	        7.658448E-10	        2.775017E-09	        1.386510E-07	        2.933422E-09	        1.368736E-07	        1.779787E-08	        1.714452E-08	        1.203301E-08	        3.112175E-09	        5.620825E-09	        2.166664E-08	        2.960064E-13	        6.392890E-12	        3.970349E-12	        6.433872E-11	        9.780746E-04	        1.653960E-09	        1.290007E-07	        6.355290E-09	        1.652529E-10	        1.320400E-07	        9.900390E-04	        1.508906E-09	        5.282371E-12	        2.951022E-14	        5.778969E-15	        1.970197E-14	        1.077018E-09	        6.890177E-13	        7.996623E-13
        1.208350E-02	        8.452402E-10	        2.599970E-10	        6.710729E-07	        7.461395E-12	        5.849043E-07	        2.909409E-10	        7.162461E-09	        7.534174E-08	        9.036348E-07	        5.371194E-08	        1.161274E-08	        2.280027E-09	        3.072580E-11	        4.443098E-07	        1.140720E-13	        8.580562E-07	        9.412858E-09	        7.555240E-14	        5.757899E-07	        5.603803E-11	        2.115299E-10	        5.194421E-11	        1.841587E-11	        1.752682E-07	        2.951590E-17	        6.935597E-07	        3.829618E-07	        6.864830E-18	        5.915611E-04	        3.025476E-07	        7.150589E-11	        9.604123E-07	        3.117260E-08	        1.986134E-08	        6.002616E-12	        6.439399E-14	        1.290495E-08	        4.407098E-06	        2.187117E-08	        2.033327E-05	        3.660639E-08	        1.164822E-10	        1.150482E-13	        2.788943E-07	        1.018589E-07	        6.651548E-07	        1.585524E-13	        4.955025E-04	        1.935229E-13	        4.761934E-06	        1.160392E-10	        1.200083E-05	        3.440927E-07	        4.902443E-04	        1.210509E-04	        5.267242E-07	        0.000000E+00	        1.042712E-06	        2.186299E-05	        5.024028E-08	        6.258556E-18	        0.000000E+00	        2.698937E-07	        7.250507E-07	        1.294665E-08	        7.233209E-04	        1.983411E-12	        2.856988E-10	        2.018732E-12	        0.000000E+00	        2.883938E-06	        8.894070E-13	        1.542820E-07	        8.249689E-08	        2.380579E-08	        6.245925E-08	        1.803801E-08	        6.945425E-10	        3.001448E-09	        1.317669E-07	        3.026662E-09	        1.330855E-07	        1.705524E-08	        1.831567E-08	        1.312286E-08	        2.969547E-09	        5.182583E-09	        2.077460E-08	        2.406588E-13	        6.755630E-12	        3.474444E-12	        5.771543E-11	        9.830092E-04	        1.586070E-09	        1.298501E-07	        6.455430E-09	        1.633000E-10	        1.332780E-07	        9.966810E-04	        1.474760E-09	        4.277048E-12	        2.553877E-14	        5.281783E-15	        1.573745E-14	        1.049007E-09	        6.802194E-13	        7.455312E-13
        1.258350E-02	        7.014153E-10	        2.163170E-10	        6.088014E-07	        6.313004E-12	        5.339569E-07	        2.519493E-10	        6.642783E-09	        6.945293E-08	        8.341810E-07	        4.828523E-08	        9.493370E-09	        2.020175E-09	        2.978230E-11	        4.179357E-07	        9.692214E-14	        8.179849E-07	        9.033597E-09	        6.168920E-14	        4.967313E-07	        5.430019E-11	        1.825170E-10	        3.984631E-11	        1.114648E-11	        1.613404E-07	        2.835860E-17	        6.267812E-07	        3.577513E-07	        6.241240E-18	        5.288026E-04	        2.686003E-07	        6.117434E-11	        8.817503E-07	        2.873617E-08	        1.912374E-08	        5.155096E-12	        5.075550E-14	        1.076271E-08	        4.036496E-06	        1.915194E-08	        1.830592E-05	        3.531452E-08	        1.043947E-10	        9.827408E-14	        2.348133E-07	        7.947130E-08	        6.015416E-07	        1.506662E-13	        4.418814E-04	        1.966908E-13	        4.443386E-06	        9.324858E-11	        1.103732E-05	        3.073412E-07	        4.372444E-04	        1.095133E-04	        4.810990E-07	        0.000000E+00	        8.861434E-07	        1.963780E-05	        4.552126E-08	        5.076103E-18	        0.000000E+00	        2.459025E-07	        6.621475E-07	        1.253786E-08	        6.480626E-04	        1.872655E-12	        2.562789E-10	        1.823056E-12	        0.000000E+00	        2.739401E-06	        9.219080E-13	        1.376386E-07	        8.019242E-08	        2.320527E-08	        6.149548E-08	        1.745385E-08	        6.387218E-10	        3.192017E-09	        1.257503E-07	        3.093235E-09	        1.299465E-07	        1.643657E-08	        1.944684E-08	        1.421018E-08	        2.856964E-09	        4.829592E-09	        2.007345E-08	        2.011888E-13	        7.009080E-12	        3.099174E-12	        5.193668E-11	        9.853159E-04	        1.535820E-09	        1.301558E-07	        6.523450E-09	        1.615322E-10	        1.339330E-07	        1.000290E-03	        1.446528E-09	        3.543401E-12	        2.231997E-14	        4.897873E-15	        1.293804E-14	        1.028725E-09	        6.684228E-13	        7.016235E-13
        1.308350E-02	        5.839559E-10	        1.836637E-10	        5.568823E-07	        5.396057E-12	        4.917724E-07	        2.228158E-10	        6.177786E-09	        6.437154E-08	        7.719960E-07	        4.380013E-08	        7.970325E-09	        1.826215E-09	        2.874790E-11	        3.935957E-07	        8.309660E-14	        7.766335E-07	        8.673680E-09	        5.062760E-14	        4.358464E-07	        5.198262E-11	        1.611657E-10	        3.152873E-11	        7.773573E-12	        1.478934E-07	        2.698340E-17	        5.706984E-07	        3.340407E-07	        5.671370E-18	        4.771763E-04	        2.410475E-07	        5.265871E-11	        8.131414E-07	        2.701239E-08	        1.850594E-08	        4.440695E-12	        4.063041E-14	        9.086052E-09	        3.714782E-06	        1.701141E-08	        1.661295E-05	        3.438953E-08	        9.551856E-11	        8.480556E-14	        2.007645E-07	        6.411275E-08	        5.493983E-07	        1.433831E-13	        3.977749E-04	        1.981711E-13	        4.192849E-06	        7.582104E-11	        1.022896E-05	        2.772626E-07	        3.936253E-04	        9.993983E-05	        4.416774E-07	        0.000000E+00	        7.645186E-07	        1.779526E-05	        4.109852E-08	        4.223861E-18	        0.000000E+00	        2.259560E-07	        6.077004E-07	        1.214437E-08	        5.860666E-04	        1.763355E-12	        2.281079E-10	        1.635559E-12	        0.000000E+00	        2.633834E-06	        9.512989E-13	        1.239575E-07	        7.831093E-08	        2.271429E-08	        6.064235E-08	        1.699231E-08	        5.937791E-10	        3.350762E-09	        1.204400E-07	        3.137007E-09	        1.272974E-07	        1.590923E-08	        2.054734E-08	        1.529432E-08	        2.765275E-09	        4.541028E-09	        1.951177E-08	        1.717926E-13	        7.157640E-12	        2.804527E-12	        4.674131E-11	        9.862127E-04	        1.496800E-09	        1.299832E-07	        6.569020E-09	        1.597084E-10	        1.340250E-07	        1.001890E-03	        1.423275E-09	        2.982723E-12	        1.964848E-14	        4.588407E-15	        1.085083E-14	        1.014025E-09	        6.536171E-13	        6.622551E-13
        1.358350E-02	        4.885275E-10	        1.584576E-10	        5.128654E-07	        4.645075E-12	        4.558856E-07	        2.003360E-10	        5.762310E-09	        5.993340E-08	        7.161097E-07	        3.997823E-08	        6.835704E-09	        1.679538E-09	        2.770560E-11	        3.710518E-07	        7.178705E-14	        7.354955E-07	        8.338752E-09	        4.192740E-14	        3.875799E-07	        4.941137E-11	        1.449626E-10	        2.561331E-11	        5.940942E-12	        1.354027E-07	        2.551360E-17	        5.224009E-07	        3.120496E-07	        5.152720E-18	        4.339577E-04	        2.182947E-07	        4.557499E-11	        7.522595E-07	        2.575079E-08	        1.794373E-08	        3.837198E-12	        3.298921E-14	        7.755416E-09	        3.432034E-06	        1.528883E-08	        1.517765E-05	        3.372310E-08	        8.897475E-11	        7.382308E-14	        1.736793E-07	        5.298254E-08	        5.056119E-07	        1.366150E-13	        3.608883E-04	        1.986024E-13	        3.990850E-06	        6.231261E-11	        9.538591E-06	        2.518745E-07	        3.571312E-04	        9.185289E-05	        4.069507E-07	        0.000000E+00	        6.675124E-07	        1.624409E-05	        3.706166E-08	        3.608224E-18	        0.000000E+00	        2.091015E-07	        5.596989E-07	        1.175697E-08	        5.340970E-04	        1.660643E-12	        2.023257E-10	        1.464185E-12	        0.000000E+00	        2.555287E-06	        9.797151E-13	        1.125157E-07	        7.674651E-08	        2.230683E-08	        5.988991E-08	        1.662020E-08	        5.567229E-10	        3.487389E-09	        1.157155E-07	        3.165916E-09	        1.250116E-07	        1.545438E-08	        2.162909E-08	        1.637408E-08	        2.690104E-09	        4.301131E-09	        1.905229E-08	        1.492575E-13	        7.236560E-12	        2.567260E-12	        4.237338E-11	        9.864695E-04	        1.465570E-09	        1.296173E-07	        6.600860E-09	        1.579521E-10	        1.338080E-07	        1.002490E-03	        1.404291E-09	        2.546899E-12	        1.744054E-14	        4.337898E-15	        9.246427E-15	        1.003376E-09	        6.375995E-13	        6.278369E-13
        1.408350E-02	        4.108095E-10	        1.384316E-10	        4.750406E-07	        4.018987E-12	        4.246001E-07	        1.824471E-10	        5.386837E-09	        5.598494E-08	        6.653933E-07	        3.664943E-08	        5.963353E-09	        1.566705E-09	        2.665080E-11	        3.500264E-07	        6.242334E-14	        6.951672E-07	        8.021515E-09	        3.494040E-14	        3.482711E-07	        4.666160E-11	        1.322377E-10	        2.124735E-11	        4.763921E-12	        1.239473E-07	        2.396800E-17	        4.798851E-07	        2.916433E-07	        4.683700E-18	        3.972546E-04	        1.991233E-07	        3.961665E-11	        6.973355E-07	        2.481198E-08	        1.741752E-08	        3.324655E-12	        2.713100E-14	        6.685050E-09	        3.179749E-06	        1.387760E-08	        1.394394E-05	        3.323592E-08	        8.405493E-11	        6.475018E-14	        1.516005E-07	        4.455667E-08	        4.679684E-07	        1.302800E-13	        3.296140E-04	        1.979663E-13	        3.823744E-06	        5.167228E-11	        8.937423E-06	        2.299504E-07	        3.261806E-04	        8.492193E-05	        3.758286E-07	        0.000000E+00	        5.884359E-07	        1.491942E-05	        3.341233E-08	        3.129494E-18	        0.000000E+00	        1.946252E-07	        5.166248E-07	        1.136644E-08	        4.899057E-04	        1.563358E-12	        1.790626E-10	        1.308777E-12	        0.000000E+00	        2.495665E-06	        1.006255E-12	        1.028088E-07	        7.539905E-08	        2.195929E-08	        5.921296E-08	        1.631477E-08	        5.255746E-10	        3.602688E-09	        1.114817E-07	        3.180472E-09	        1.230355E-07	        1.505375E-08	        2.269503E-08	        1.744813E-08	        2.627063E-09	        4.098037E-09	        1.866892E-08	        1.314508E-13	        7.250230E-12	        2.371077E-12	        3.869250E-11	        9.863994E-04	        1.439770E-09	        1.291053E-07	        6.623850E-09	        1.563685E-10	        1.334810E-07	        1.002570E-03	        1.388641E-09	        2.201279E-12	        1.557887E-14	        4.126791E-15	        7.972736E-15	        9.956334E-10	        6.202663E-13	        5.961681E-13
        1.458350E-02	        3.472829E-10	        1.221488E-10	        4.421803E-07	        3.494207E-12	        3.968599E-07	        1.678966E-10	        5.046083E-09	        5.243713E-08	        6.191690E-07	        3.371592E-08	        5.274506E-09	        1.479126E-09	        2.562760E-11	        3.303057E-07	        5.458752E-14	        6.562291E-07	        7.725053E-09	        2.935950E-14	        3.156959E-07	        4.395158E-11	        1.220191E-10	        1.794613E-11	        3.944276E-12	        1.135852E-07	        2.246180E-17	        4.420018E-07	        2.728275E-07	        4.258120E-18	        3.657391E-04	        1.827754E-07	        3.458199E-11	        6.474740E-07	        2.409674E-08	        1.692583E-08	        2.890675E-12	        2.257238E-14	        5.813137E-09	        2.953232E-06	        1.270693E-08	        1.287329E-05	        3.288399E-08	        8.040995E-11	        5.717050E-14	        1.333139E-07	        3.797073E-08	        4.351375E-07	        1.242899E-13	        3.027955E-04	        1.969433E-13	        3.683536E-06	        4.321678E-11	        8.409274E-06	        2.107757E-07	        2.996340E-04	        7.891274E-05	        3.478000E-07	        0.000000E+00	        5.229411E-07	        1.377492E-05	        3.014181E-08	        2.754114E-18	        0.000000E+00	        1.820558E-07	        4.777951E-07	        1.097314E-08	        4.519097E-04	        1.474922E-12	        1.586889E-10	        1.172394E-12	        0.000000E+00	        2.450190E-06	        1.032593E-12	        9.448477E-08	        7.422050E-08	        2.165384E-08	        5.859057E-08	        1.605999E-08	        4.988974E-10	        3.704671E-09	        1.076645E-07	        3.186844E-09	        1.212781E-07	        1.469883E-08	        2.374881E-08	        1.851511E-08	        2.573666E-09	        3.923443E-09	        1.834223E-08	        1.171022E-13	        7.228590E-12	        2.206116E-12	        3.563167E-11	        9.862493E-04	        1.417870E-09	        1.285553E-07	        6.641420E-09	        1.549510E-10	        1.331010E-07	        1.002440E-03	        1.375744E-09	        1.923197E-12	        1.402644E-14	        3.951541E-15	        6.944852E-15	        9.899626E-10	        6.028445E-13	        5.675679E-13
        1.508350E-02	        2.950271E-10	        1.086305E-10	        4.133602E-07	        3.046307E-12	        3.719669E-07	        1.558089E-10	        4.734213E-09	        4.921524E-08	        5.767475E-07	        3.107812E-08	        4.717004E-09	        1.409625E-09	        2.459900E-11	        3.117390E-07	        4.796753E-14	        6.188276E-07	        7.440413E-09	        2.474740E-14	        2.882089E-07	        4.116166E-11	        1.135336E-10	        1.535918E-11	        3.296528E-12	        1.041765E-07	        2.091070E-17	        4.079195E-07	        2.553765E-07	        3.872480E-18	        3.384103E-04	        1.686375E-07	        3.026900E-11	        6.018661E-07	        2.353521E-08	        1.645764E-08	        2.517089E-12	        1.897613E-14	        5.094694E-09	        2.747476E-06	        1.172020E-08	        1.193477E-05	        3.262129E-08	        7.763452E-11	        5.077584E-14	        1.178857E-07	        3.270303E-08	        4.060769E-07	        1.185958E-13	        2.795745E-04	        1.948600E-13	        3.563362E-06	        3.635797E-11	        7.938308E-06	        1.936603E-07	        2.766454E-04	        7.365090E-05	        3.221474E-07	        0.000000E+00	        4.678106E-07	        1.277557E-05	        2.721112E-08	        2.442142E-18	        0.000000E+00	        1.710242E-07	        4.422954E-07	        1.057362E-08	        4.189173E-04	        1.389414E-12	        1.404551E-10	        1.048653E-12	        0.000000E+00	        2.414778E-06	        1.056620E-12	        8.727596E-08	        7.314933E-08	        2.138100E-08	        5.800653E-08	        1.584452E-08	        4.757145E-10	        3.789341E-09	        1.042026E-07	        3.181328E-09	        1.196868E-07	        1.437762E-08	        2.478800E-08	        1.957361E-08	        2.527000E-09	        3.770753E-09	        1.805816E-08	        1.051967E-13	        7.155100E-12	        2.063976E-12	        3.266481E-11	        9.857112E-04	        1.399040E-09	        1.279131E-07	        6.652950E-09	        1.535883E-10	        1.326190E-07	        1.001860E-03	        1.364382E-09	        1.693312E-12	        1.266847E-14	        3.793142E-15	        6.087116E-15	        9.857359E-10	        5.842967E-13	        5.398422E-13
        1.558350E-02	        2.517306E-10	        9.725646E-11	        3.878894E-07	        2.671151E-12	        3.493295E-07	        1.455255E-10	        4.448336E-09	        4.627039E-08	        5.377805E-07	        2.861992E-08	        4.258855E-09	        1.354909E-09	        2.363210E-11	        2.942667E-07	        4.232700E-14	        5.830567E-07	        7.172559E-09	        2.106170E-14	        2.646840E-07	        3.859379E-11	        1.064914E-10	        1.332328E-11	        2.814586E-12	        9.576835E-08	        1.944660E-17	        3.767819E-07	        2.392870E-07	        3.524420E-18	        3.145099E-04	        1.562505E-07	        2.658002E-11	        5.597872E-07	        2.310257E-08	        1.598747E-08	        2.211522E-12	        1.610324E-14	        4.496501E-09	        2.559129E-06	        1.087080E-08	        1.110604E-05	        3.237066E-08	        7.564733E-11	        4.533342E-14	        1.047030E-07	        2.835954E-08	        3.800908E-07	        1.131748E-13	        2.592954E-04	        1.927600E-13	        3.451350E-06	        3.083431E-11	        7.507217E-06	        1.778600E-07	        2.565671E-04	        6.900368E-05	        2.981655E-07	        0.000000E+00	        4.207500E-07	        1.189569E-05	        2.458246E-08	        2.190586E-18	        0.000000E+00	        1.612671E-07	        4.093581E-07	        1.016826E-08	        3.900189E-04	        1.316945E-12	        1.248730E-10	        9.459835E-13	        0.000000E+00	        2.379489E-06	        1.080532E-12	        8.098011E-08	        7.217383E-08	        2.113026E-08	        5.745171E-08	        1.566014E-08	        4.553533E-10	        3.864940E-09	        1.010481E-07	        3.170795E-09	        1.182354E-07	        1.408604E-08	        2.581953E-08	        2.062276E-08	        2.486399E-09	        3.635985E-09	        1.780715E-08	        9.527261E-14	        7.069070E-12	        1.940953E-12	        3.023841E-11	        9.849761E-04	        1.382020E-09	        1.273870E-07	        6.662810E-09	        1.525356E-10	        1.322980E-07	        1.001380E-03	        1.354403E-09	        1.507239E-12	        1.152963E-14	        3.658187E-15	        5.376255E-15	        9.825999E-10	        5.663701E-13	        5.151477E-13
        1.608350E-02	        2.152085E-10	        8.748105E-11	        3.652103E-07	        2.338439E-12	        3.285736E-07	        1.367126E-10	        4.182247E-09	        4.354335E-08	        5.015137E-07	        2.645142E-08	        3.873742E-09	        1.310015E-09	        2.264040E-11	        2.776900E-07	        3.748335E-14	        5.487657E-07	        6.908715E-09	        1.790740E-14	        2.441808E-07	        3.587791E-11	        1.003629E-10	        1.164496E-11	        2.386643E-12	        8.797664E-08	        1.794410E-17	        3.484234E-07	        2.241470E-07	        3.207210E-18	        2.934507E-04	        1.452723E-07	        2.336278E-11	        5.208611E-07	        2.274141E-08	        1.556359E-08	        1.930081E-12	        1.378098E-14	        3.993637E-09	        2.385990E-06	        1.014538E-08	        1.036777E-05	        3.222445E-08	        7.411889E-11	        4.066428E-14	        9.334582E-08	        2.475734E-08	        3.564617E-07	        1.079607E-13	        2.414542E-04	        1.894325E-13	        3.359196E-06	        2.618059E-11	        7.122374E-06	        1.639557E-07	        2.389025E-04	        6.487156E-05	        2.764833E-07	        0.000000E+00	        3.803498E-07	        1.111440E-05	        2.219883E-08	        1.971421E-18	        0.000000E+00	        1.525439E-07	        3.793522E-07	        9.761166E-09	        3.645299E-04	        1.239234E-12	        1.106882E-10	        8.450818E-13	        0.000000E+00	        2.357172E-06	        1.101803E-12	        7.543995E-08	        7.123580E-08	        2.089664E-08	        5.690651E-08	        1.550063E-08	        4.372051E-10	        3.925863E-09	        9.815917E-08	        3.149861E-09	        1.168691E-07	        1.381646E-08	        2.682920E-08	        2.166209E-08	        2.448656E-09	        3.514957E-09	        1.758115E-08	        8.669443E-14	        6.932900E-12	        1.831211E-12	        2.751802E-11	        9.835860E-04	        1.366620E-09	        1.266006E-07	        6.663660E-09	        1.512129E-10	        1.316400E-07	        9.998370E-04	        1.344748E-09	        1.343003E-12	        1.048301E-14	        3.527607E-15	        4.754373E-15	        9.801169E-10	        5.470577E-13	        4.903514E-13
