time	Min
5.000686E-04	0.000000E+00
7.387631E-04	0.000000E+00
9.774576E-04	0.000000E+00
1.216152E-03	0.000000E+00
1.454847E-03	0.000000E+00
1.693541E-03	0.000000E+00
1.932235E-03	0.000000E+00
2.170930E-03	0.000000E+00
2.409624E-03	0.000000E+00
2.648319E-03	0.000000E+00
2.887013E-03	0.000000E+00
3.125708E-03	0.000000E+00
3.364402E-03	0.000000E+00
3.603097E-03	0.000000E+00
3.841791E-03	0.000000E+00
4.080486E-03	0.000000E+00
4.319180E-03	0.000000E+00
4.557875E-03	0.000000E+00
4.796569E-03	0.000000E+00
5.035264E-03	0.000000E+00
5.273958E-03	0.000000E+00
5.512653E-03	0.000000E+00
5.751347E-03	0.000000E+00
5.990042E-03	0.000000E+00
6.228736E-03	0.000000E+00
6.467431E-03	0.000000E+00
6.706125E-03	0.000000E+00
6.944820E-03	0.000000E+00
7.183514E-03	0.000000E+00
7.422209E-03	0.000000E+00
7.660903E-03	0.000000E+00
7.899597E-03	0.000000E+00
8.138292E-03	0.000000E+00
8.376986E-03	0.000000E+00
8.615681E-03	0.000000E+00
8.854375E-03	0.000000E+00
9.093070E-03	0.000000E+00
9.331764E-03	0.000000E+00
9.570459E-03	0.000000E+00
9.809153E-03	0.000000E+00
1.004785E-02	0.000000E+00
1.028654E-02	0.000000E+00
1.052524E-02	0.000000E+00
1.076393E-02	0.000000E+00
1.100263E-02	0.000000E+00
1.124132E-02	-2.485836E-01
1.148001E-02	-2.717918E-01
1.171871E-02	-2.842192E-01
1.195740E-02	-2.842966E-01
1.219610E-02	-2.706603E-01
1.243479E-02	-2.421781E-01
1.267349E-02	-1.979681E-01
1.291218E-02	-1.374135E-01
1.315088E-02	-6.017024E-02
1.338957E-02	3.382959E-02
1.362826E-02	1.443803E-01
1.386696E-02	2.710098E-01
1.410565E-02	4.129913E-01
1.434435E-02	5.693589E-01
1.458304E-02	7.389274E-01
1.482174E-02	9.203142E-01
1.506043E-02	1.111965E+00
1.529913E-02	1.312178E+00
1.553782E-02	1.519139E+00
1.577652E-02	1.730941E+00
1.601521E-02	1.945622E+00
