            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -0.000000E+00	       -0.000000E+00	      -1.870005E-191	       -0.000000E+00	      -1.051665E-189	      -7.895375E-188	      -3.487819E-187	       -0.000000E+00	      -7.580815E-193	      -2.181942E-176	      -7.017962E-181	      -2.744443E-183	      -1.068846E-185	      -1.594405E-192	       -0.000000E+00	      -6.994148E-182	      -6.662690E-181	       -0.000000E+00	      -9.640644E-181	      -7.014651E-180	      -1.471615E-182	      -2.264520E-193	      -3.442405E-195	      -1.313091E-180	       -0.000000E+00	      -5.174533E-188	      -5.267230E-184	       -0.000000E+00	       -1.563930E-14	      -1.398661E-181	      -3.447905E-193	      -1.729983E-179	      -3.960031E-179	      -2.601057E-180	      -6.430402E-195	       -0.000000E+00	       -0.000000E+00	      -4.486593E-180	      -5.179079E-181	      -1.024546E-179	      -2.487584E-178	      -1.671771E-177	       -0.000000E+00	      -1.982564E-183	      -1.388030E-180	      -3.068024E-179	      -1.570677E-182	      -9.938808E-180	       -0.000000E+00	      -1.355519E-179	      -5.211637E-210	      -1.640558E-180	      -1.864676E-182	       -3.764740E-11	      -2.555585E-178	      -5.056147E-181	       -0.000000E+00	      -9.073508E-183	      -1.077408E-187	      -4.584225E-178	       -0.000000E+00	      -1.680981E-180	       -1.735894E-11	      -7.037028E-183	      -5.777841E-180	      -1.072595E-182	      -2.531757E-176	      -1.997010E-183	      -1.002111E-178	      -5.655161E-174	      -2.754822E-179	       -0.000000E+00	       -0.000000E+00	      -1.390821E-181	      -2.300992E-196	      -2.169365E-184	      -1.591260E-185	       -0.000000E+00	      -2.634051E-182	       -4.578539E-14	      -2.568883E-179	      -2.793009E-181	      -2.282218E-186	      -1.148343E-177	      -1.115115E-178	       -0.000000E+00	      -2.203577E-197	      -7.498260E-184	       -0.000000E+00	      -3.414038E-206	       -0.000000E+00	      -3.460559E-180	      -2.227572E-176	       -0.000000E+00	      -2.812696E-187	      -2.576114E-199	      -1.225868E-184	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	      -5.513986E-198	      -6.308868E-202	       -0.000000E+00
        2.000000E-03	      -3.281709E-192	       -0.000000E+00	      -4.962446E-178	      -1.791187E-184	      -5.257207E-176	      -7.029021E-175	      -2.565714E-179	      -1.406910E-181	      -3.447726E-177	      -3.065807E-170	      -1.212215E-170	      -5.577311E-173	      -7.427456E-177	      -1.667646E-175	       -0.000000E+00	      -7.399122E-171	      -1.554506E-173	       -0.000000E+00	      -2.894387E-172	      -2.960767E-171	      -4.590892E-173	      -5.851214E-181	      -8.026956E-177	      -1.040599E-172	       -0.000000E+00	      -1.879630E-176	      -2.249698E-173	       -0.000000E+00	       -2.773155E-14	      -3.781126E-173	      -2.700792E-177	      -8.212771E-170	      -6.040382E-169	      -5.790621E-171	      -8.250363E-185	       -0.000000E+00	      -5.905173E-183	      -1.195700E-171	      -5.596436E-172	      -4.249714E-169	      -1.809051E-169	      -1.054312E-167	       -0.000000E+00	      -4.710767E-175	      -5.383030E-172	      -1.876374E-170	      -3.617023E-174	      -1.573890E-171	       -0.000000E+00	      -2.308420E-170	      -4.301768E-187	      -5.201995E-171	      -1.069616E-173	       -3.764740E-11	      -2.481673E-167	      -2.239815E-173	       -0.000000E+00	      -5.811105E-174	      -2.042502E-178	      -2.429894E-168	       -0.000000E+00	      -2.026431E-173	       -1.737103E-11	      -5.002479E-174	      -8.290942E-171	      -4.649610E-172	      -2.998688E-170	      -7.987600E-175	      -8.151066E-170	      -4.589078E-168	      -2.578490E-171	       -0.000000E+00	      -1.684764E-199	      -2.656593E-172	      -5.081792E-179	      -1.226480E-174	      -1.725256E-176	       -0.000000E+00	      -2.079920E-173	       -8.098784E-14	      -6.250261E-170	      -3.683986E-172	      -1.239770E-177	      -2.019264E-168	      -1.459646E-169	      -1.016839E-190	      -3.471862E-184	      -1.342166E-175	       -0.000000E+00	      -1.747174E-183	      -1.507852E-197	      -6.982371E-171	      -5.202283E-169	       -0.000000E+00	      -9.403828E-174	      -1.850919E-176	      -2.967578E-177	      -7.834973E-183	      -1.796275E-178	       -0.000000E+00	      -6.650467E-198	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	      -7.036658E-187	      -1.556965E-184	       -0.000000E+00
        3.100000E-03	      -1.638970E-173	       -0.000000E+00	      -3.490048E-172	      -3.045744E-172	      -4.151104E-171	      -1.200271E-169	      -1.383210E-171	      -3.490618E-172	      -1.185194E-170	      -3.299536E-167	      -1.751827E-163	      -2.263326E-165	      -4.019230E-171	      -6.318434E-171	       -0.000000E+00	      -3.936271E-163	      -7.261838E-168	      -1.146905E-191	      -2.023953E-166	      -1.766820E-163	      -4.736274E-167	      -7.631482E-176	      -7.373980E-171	      -3.518967E-166	      -5.034781E-198	      -1.624852E-170	      -1.721884E-165	       -0.000000E+00	       -4.169378E-14	      -6.065037E-167	      -3.101286E-171	      -5.415994E-162	      -1.085929E-161	      -1.764990E-163	      -2.909171E-178	      -3.952525E-323	      -2.687887E-174	      -1.836959E-165	      -1.906450E-164	      -2.030097E-161	      -2.232648E-162	      -7.972044E-160	       -0.000000E+00	      -1.688970E-168	      -5.682094E-166	      -4.941541E-163	      -4.448233E-166	      -8.960460E-166	       -0.000000E+00	      -3.941365E-162	      -8.334699E-180	      -7.801427E-163	      -3.062420E-167	       -3.764740E-11	      -4.215065E-158	      -7.260857E-167	       -0.000000E+00	      -7.992359E-167	      -5.825570E-171	      -1.786452E-160	       -0.000000E+00	      -2.291570E-167	       -1.738500E-11	      -1.682324E-165	      -1.654033E-163	      -6.220870E-164	      -3.481492E-167	      -1.203540E-166	      -2.237848E-162	      -2.470203E-165	      -5.025151E-168	      -1.508589E-183	      -3.937309E-176	      -3.339681E-166	      -3.599796E-174	      -2.117515E-168	      -1.948756E-172	      -3.226325E-183	      -6.146276E-167	       -1.214461E-13	      -1.605085E-162	      -4.506056E-165	      -1.488336E-171	      -2.355240E-161	      -1.061283E-161	      -5.232192E-175	      -4.247536E-178	      -2.410557E-169	       -0.000000E+00	      -1.553113E-176	      -6.413808E-177	      -2.011869E-163	      -3.739116E-163	       -0.000000E+00	      -2.822297E-169	      -1.159689E-170	      -3.239879E-172	      -6.692018E-171	      -4.811766E-168	      -2.304932E-190	      -2.354374E-181	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	      -4.055748E-181	      -3.492407E-179	      -7.751399E-189
        4.100000E-03	      -3.857952E-169	       -0.000000E+00	      -6.087300E-167	      -1.045579E-167	      -2.463164E-165	      -7.642883E-167	      -4.743170E-166	      -1.881766E-169	      -7.330160E-165	      -2.834470E-165	      -4.424718E-158	      -2.324603E-160	      -1.274772E-167	      -7.774441E-169	       -0.000000E+00	      -5.243117E-158	      -7.802950E-163	      -6.351592E-177	      -5.099551E-160	      -2.946021E-158	      -1.305421E-161	      -9.963361E-170	      -4.994896E-166	      -1.680996E-160	      -9.534498E-179	      -6.310721E-165	      -4.191530E-160	       -0.000000E+00	       -5.532263E-14	      -6.131131E-161	      -1.190612E-166	      -6.800344E-157	      -1.702077E-155	      -3.666081E-158	      -5.675489E-172	      -2.534750E-311	      -5.587181E-170	      -7.550582E-160	      -6.838374E-159	      -2.580694E-156	      -6.899908E-157	      -2.773239E-154	      -5.405668E-193	      -5.966917E-164	      -7.215967E-160	      -1.112508E-157	      -8.962248E-160	      -8.533416E-160	      -1.161054E-321	      -7.972791E-157	      -5.603429E-173	      -1.493195E-157	      -5.443736E-162	       -3.764740E-11	      -3.390086E-151	      -8.789172E-162	       -0.000000E+00	      -1.398891E-161	      -3.874064E-165	      -3.215961E-155	       -0.000000E+00	      -1.478618E-163	       -1.739863E-11	      -1.870063E-159	      -8.966705E-158	      -1.351909E-158	      -2.374986E-165	      -2.433921E-161	      -5.538008E-157	      -2.480915E-163	      -5.856617E-166	      -2.572784E-177	      -8.434708E-171	      -1.047701E-160	      -6.057990E-170	      -5.848134E-163	      -9.454034E-170	      -8.779052E-174	      -2.650640E-161	       -1.607718E-13	      -1.125511E-156	      -3.638347E-159	      -3.679555E-166	      -1.475352E-155	      -8.129510E-157	      -1.616219E-170	      -2.521465E-172	      -1.680833E-164	      -1.271289E-193	      -2.368046E-171	      -5.958252E-173	      -8.567852E-158	      -1.531828E-158	       -0.000000E+00	      -2.018026E-167	      -1.298733E-168	      -5.584502E-169	      -6.621219E-168	      -4.036434E-164	      -3.359842E-173	      -1.318640E-177	      -7.683564E-185	      -1.063395E-200	      -6.175279E-195	      -6.538094E-175	      -7.195890E-174	      -1.451552E-181
        5.000000E-03	      -4.517309E-167	      -3.949914E-177	      -6.133819E-163	      -2.724286E-164	      -5.977994E-161	      -1.592635E-164	      -9.557699E-161	      -6.598676E-166	      -8.100914E-160	      -5.198091E-163	      -6.660023E-154	      -3.257223E-155	      -4.588788E-165	      -3.151192E-165	      -2.611974E-192	      -2.280286E-152	      -9.009744E-159	      -2.025266E-173	      -6.545761E-156	      -1.747510E-152	      -1.590354E-157	      -7.967635E-165	      -6.843317E-163	      -3.184537E-156	      -2.914619E-173	      -1.114257E-159	      -9.659494E-155	       -0.000000E+00	       -6.841993E-14	      -1.491894E-156	      -1.940171E-163	      -6.565069E-153	      -8.977861E-151	      -1.151168E-152	      -2.001247E-167	      -2.932118E-301	      -1.214101E-165	      -2.302264E-155	      -6.470233E-154	      -1.889423E-150	      -2.722512E-153	      -5.912433E-149	      -2.406353E-179	      -6.966743E-161	      -7.000834E-156	      -1.252415E-152	      -8.191707E-155	      -1.727138E-155	      -3.785379E-312	      -3.514641E-151	      -1.425670E-167	      -4.398143E-152	      -3.783180E-159	       -3.764740E-11	      -5.256624E-147	      -1.295508E-158	       -0.000000E+00	      -1.668200E-156	      -3.567764E-160	      -9.038382E-150	      -1.075473E-198	      -9.540974E-161	       -1.741172E-11	      -7.421547E-155	      -5.168230E-153	      -2.279416E-153	      -1.085859E-163	      -7.941915E-156	      -1.224983E-151	      -1.189137E-161	      -5.938897E-164	      -4.832698E-172	      -1.799845E-167	      -4.972674E-156	      -1.645393E-166	      -1.324525E-158	      -2.914569E-167	      -5.560790E-172	      -6.545281E-157	       -1.984237E-13	      -1.495625E-151	      -2.677478E-154	      -5.907540E-162	      -1.257994E-150	      -5.686337E-153	      -4.745466E-167	      -4.847440E-167	      -3.927629E-161	      -1.634123E-179	      -1.030873E-165	      -7.232403E-171	      -5.410957E-153	      -4.144198E-155	       -0.000000E+00	      -1.382392E-164	      -1.790597E-166	      -1.350499E-165	      -1.759434E-165	      -1.197072E-160	      -1.106484E-169	      -1.423410E-172	      -3.600352E-174	      -1.914416E-186	      -1.470832E-179	      -4.299380E-170	      -1.679820E-169	      -2.057918E-177
        6.000000E-03	      -1.752433E-165	      -1.486475E-170	      -1.596270E-159	      -8.393536E-161	      -1.019042E-156	      -2.165884E-163	      -9.769540E-155	      -3.533436E-162	      -7.300977E-155	      -4.717669E-161	      -1.424866E-149	      -3.244651E-150	      -4.340428E-162	      -1.833641E-161	      -1.788232E-179	      -1.451476E-146	      -2.415883E-155	      -7.670524E-170	      -1.574177E-152	      -5.024152E-147	      -5.083441E-154	      -4.104596E-160	      -2.507551E-159	      -6.385787E-151	      -8.994007E-171	      -6.982289E-155	      -2.245454E-149	       -0.000000E+00	       -8.388827E-14	      -1.428319E-152	      -4.944990E-160	      -1.456700E-148	      -2.699919E-146	      -1.109187E-147	      -8.584460E-163	      -3.984188E-289	      -3.371157E-162	      -1.122914E-151	      -1.986859E-149	      -2.942572E-145	      -1.465616E-149	      -1.589363E-144	      -1.072143E-174	      -1.253493E-157	      -2.081486E-152	      -3.432908E-148	      -8.719167E-149	      -2.360543E-151	      -2.367054E-301	      -6.587565E-146	      -8.434357E-162	      -7.855660E-147	      -1.554643E-155	       -3.764740E-11	      -2.596310E-140	      -2.474427E-155	       -0.000000E+00	      -7.841647E-151	      -5.961040E-155	      -1.227947E-144	      -2.210974E-179	      -2.699366E-158	       -1.742719E-11	      -3.863418E-148	      -9.349693E-148	      -2.237788E-147	      -1.684803E-162	      -6.885917E-150	      -6.676735E-147	      -1.581787E-160	      -1.611831E-160	      -6.324826E-168	      -1.962427E-163	      -9.915842E-152	      -6.825637E-163	      -1.019654E-154	      -4.055385E-164	      -8.518565E-170	      -1.104925E-152	       -2.427301E-13	      -3.942609E-147	      -1.095278E-149	      -4.160311E-157	      -5.091201E-146	      -1.063305E-148	      -1.203115E-163	      -9.326802E-162	      -1.077598E-157	      -2.486657E-175	      -2.449246E-160	      -1.222031E-168	      -3.015054E-148	      -1.436886E-151	       -0.000000E+00	      -1.484372E-161	      -1.115601E-163	      -3.114538E-162	      -2.561140E-162	      -2.993029E-157	      -5.501590E-167	      -1.040877E-166	      -9.662481E-172	      -1.990064E-183	      -1.093735E-175	      -4.723096E-165	      -9.140257E-166	      -3.963315E-172
        7.000000E-03	      -3.552672E-163	      -6.143917E-168	      -7.940238E-156	      -3.224213E-158	      -2.816221E-153	      -1.665710E-162	      -1.244444E-149	      -1.726335E-158	      -1.485421E-150	      -5.745321E-159	      -4.760757E-146	      -1.236135E-145	      -7.469210E-159	      -1.432481E-157	      -8.386466E-175	      -3.654769E-142	      -1.507006E-151	      -3.107794E-166	      -6.887838E-149	      -1.632847E-142	      -3.677882E-150	      -1.408321E-155	      -3.401661E-156	      -1.224642E-146	      -2.010231E-168	      -1.345502E-150	      -8.970850E-145	      -2.327848E-191	       -1.003013E-13	      -6.161938E-149	      -7.992400E-157	      -5.531161E-145	      -2.179081E-142	      -2.864406E-143	      -1.598214E-158	      -6.638985E-279	      -1.767612E-158	      -3.076542E-148	      -3.434869E-145	      -3.104111E-140	      -5.377474E-146	      -4.203965E-140	      -1.100696E-170	      -1.300623E-155	      -6.739433E-149	      -1.254662E-143	      -7.833475E-144	      -8.681681E-148	      -7.238691E-292	      -1.124059E-140	      -3.547027E-156	      -3.117685E-142	      -2.385294E-153	       -3.764740E-11	      -8.000603E-135	      -5.091252E-153	       -0.000000E+00	      -2.981142E-146	      -1.624297E-150	      -4.495937E-140	      -5.007981E-173	      -3.143383E-156	       -1.744360E-11	      -4.102971E-143	      -3.438644E-143	      -2.591341E-142	      -3.665324E-161	      -2.263143E-145	      -6.844701E-143	      -3.183768E-159	      -9.798416E-157	      -3.726262E-164	      -9.167658E-160	      -4.463717E-148	      -1.751648E-159	      -3.637078E-151	      -6.415230E-161	      -4.560704E-165	      -3.531118E-149	       -2.895638E-13	      -1.068202E-142	      -2.136605E-145	      -2.586636E-152	      -8.371121E-142	      -7.101622E-145	      -3.637674E-160	      -2.845849E-157	      -1.763459E-154	      -5.684950E-170	      -1.018644E-155	      -2.595385E-166	      -5.806321E-144	      -2.000661E-148	       -0.000000E+00	      -1.470270E-158	      -4.391753E-161	      -4.192223E-159	      -1.937470E-159	      -5.082448E-154	      -7.562655E-164	      -8.435198E-162	      -3.768478E-169	      -2.331773E-180	      -5.693415E-172	      -1.572965E-160	      -3.195937E-162	      -1.395263E-167
        8.000000E-03	      -1.033766E-160	      -1.045307E-163	      -1.129695E-152	      -5.482982E-156	      -1.548627E-149	      -3.254204E-161	      -3.773549E-145	      -3.527559E-155	      -1.476786E-146	      -4.754563E-157	      -3.268432E-142	      -1.654654E-141	      -4.324345E-156	      -2.794775E-154	      -2.060632E-169	      -1.510148E-137	      -1.829225E-148	      -4.784084E-163	      -5.648251E-146	      -4.292217E-138	      -1.366550E-146	      -1.401547E-151	      -8.013153E-154	      -3.424422E-143	      -2.118989E-166	      -5.214609E-147	      -3.486668E-140	      -1.529657E-174	       -1.176766E-13	      -1.061045E-145	      -1.778067E-154	      -3.047390E-141	      -9.162479E-139	      -2.764656E-139	      -2.570362E-154	      -2.785846E-269	      -7.776477E-155	      -2.334227E-144	      -1.147562E-141	      -6.403763E-136	      -7.706230E-143	      -1.586016E-136	      -6.478058E-167	      -2.761777E-153	      -1.209329E-145	      -1.290915E-139	      -2.287140E-139	      -3.685851E-144	      -2.833881E-283	      -2.808136E-136	      -4.735902E-151	      -1.088003E-137	      -3.940185E-151	       -3.764740E-11	      -6.491884E-130	      -1.525126E-150	       -0.000000E+00	      -1.129243E-141	      -5.429601E-146	      -9.582443E-136	      -4.066315E-168	      -3.817205E-154	       -1.746098E-11	      -3.353884E-138	      -8.790729E-139	      -1.213610E-137	      -1.267960E-159	      -1.036607E-140	      -2.881578E-139	      -6.577222E-158	      -2.468136E-153	      -4.913096E-161	      -1.731415E-156	      -2.264666E-144	      -3.437776E-156	      -2.129687E-147	      -6.224750E-158	      -1.040214E-161	      -9.210672E-145	       -3.389557E-13	      -7.647448E-139	      -1.155632E-141	      -1.087537E-147	      -3.544155E-138	      -3.925746E-141	      -2.815245E-157	      -2.922138E-153	      -2.683769E-151	      -3.761738E-166	      -2.271816E-152	      -6.946307E-164	      -3.633891E-140	      -3.334798E-145	       -0.000000E+00	      -3.891212E-156	      -1.094641E-158	      -6.091861E-156	      -6.838704E-157	      -4.218925E-151	      -5.124939E-161	      -2.794077E-157	      -1.578113E-164	      -2.249908E-176	      -9.422846E-168	      -1.163859E-156	      -1.596772E-158	      -6.647405E-164
        9.000000E-03	      -9.305978E-159	      -4.388005E-160	      -1.884366E-149	      -3.217025E-154	      -1.071155E-145	      -2.318381E-160	      -8.503416E-141	      -7.028531E-152	      -3.852412E-143	      -7.547353E-156	      -1.440899E-138	      -9.221380E-138	      -8.713176E-154	      -8.022230E-151	      -1.075716E-164	      -2.358795E-133	      -2.779229E-145	      -4.171064E-160	      -2.076516E-142	      -3.099634E-134	      -6.458537E-142	      -7.817486E-148	      -1.515074E-151	      -5.015953E-140	      -7.574209E-165	      -5.155218E-143	      -4.949586E-136	      -4.145295E-170	       -1.359322E-13	      -1.243422E-142	      -2.847799E-152	      -1.398363E-137	      -2.466722E-135	      -1.084933E-135	      -3.926230E-150	      -2.289170E-260	      -1.397677E-151	      -5.674698E-141	      -1.073427E-137	      -8.253403E-132	      -2.100669E-139	      -1.580995E-132	      -3.825139E-163	      -2.461391E-151	      -2.161281E-142	      -2.962949E-136	      -4.459802E-135	      -5.320399E-141	      -7.661118E-275	      -4.134310E-132	      -1.825765E-146	      -2.466614E-133	      -4.563236E-149	       -3.764740E-11	      -2.282425E-125	      -1.435459E-148	       -0.000000E+00	      -3.486906E-137	      -2.344133E-141	      -1.177451E-131	      -1.155564E-164	      -5.703139E-153	       -1.747923E-11	      -7.736166E-134	      -1.686846E-134	      -3.874439E-133	      -1.476642E-158	      -2.016557E-136	      -5.007796E-136	      -5.666667E-157	      -2.729595E-150	      -7.523827E-158	      -1.563763E-153	      -5.058668E-141	      -6.572623E-153	      -5.984228E-144	      -8.906740E-155	      -2.442505E-158	      -2.493531E-141	       -3.906515E-13	      -3.878293E-135	      -5.423138E-138	      -2.358700E-143	      -2.457962E-134	      -1.380948E-137	      -1.000231E-154	      -4.395964E-149	      -6.971375E-148	      -1.046543E-162	      -5.596828E-149	      -2.367851E-161	      -2.156821E-136	      -8.714609E-142	       -0.000000E+00	      -1.366084E-153	      -2.976873E-156	      -3.166063E-153	      -1.299553E-154	      -1.499060E-148	      -6.900170E-159	      -2.826097E-153	      -2.256209E-163	      -1.426975E-172	      -7.756019E-164	      -4.049477E-153	      -8.247222E-155	      -5.317585E-160
        1.010000E-02	      -6.359700E-157	      -1.546316E-157	      -1.351177E-145	      -2.685901E-152	      -4.410408E-142	      -3.210719E-159	      -2.852306E-136	      -2.522995E-148	      -7.379731E-140	      -1.255778E-154	      -5.219073E-135	      -1.687742E-133	      -3.329666E-151	      -2.497075E-147	      -5.856196E-160	      -9.594089E-129	      -1.474886E-141	      -1.137033E-157	      -7.054377E-139	      -4.343629E-130	      -2.395384E-138	      -8.373302E-144	      -2.310569E-149	      -1.737199E-136	      -1.504281E-162	      -9.876564E-140	      -1.359069E-131	      -2.719544E-165	       -1.570726E-13	      -4.919020E-139	      -3.922776E-150	      -6.222167E-134	      -9.988547E-132	      -8.784356E-132	      -7.268370E-146	      -4.745685E-251	      -3.864403E-148	      -2.372730E-137	      -8.371986E-134	      -1.873966E-127	      -3.276249E-136	      -8.208224E-129	      -3.207561E-159	      -6.706312E-150	      -1.253250E-139	      -6.464590E-132	      -7.095085E-131	      -5.302244E-137	      -2.662483E-266	      -9.015330E-128	      -1.036189E-141	      -8.140938E-129	      -5.029405E-147	       -3.764740E-11	      -1.477334E-120	      -1.121935E-146	       -0.000000E+00	      -1.147003E-132	      -1.129916E-136	      -1.801660E-127	      -9.728933E-161	      -1.396771E-151	       -1.750037E-11	      -3.623865E-129	      -4.890040E-130	      -1.514675E-128	      -2.876784E-156	      -5.848960E-132	      -2.510916E-132	      -6.871814E-156	      -1.596824E-146	      -2.793705E-154	      -3.780102E-151	      -3.239396E-137	      -1.904087E-149	      -1.585597E-140	      -1.241937E-151	      -1.005358E-154	      -4.782034E-138	       -4.502771E-13	      -7.551505E-131	      -5.614149E-134	      -1.114596E-138	      -2.443575E-130	      -6.212189E-134	      -3.697020E-152	      -3.001928E-145	      -1.897912E-144	      -8.151329E-160	      -1.433626E-145	      -4.718909E-159	      -3.317368E-132	      -1.153670E-138	       -0.000000E+00	      -4.787128E-151	      -3.443581E-154	      -2.449724E-150	      -3.083501E-152	      -5.192528E-146	      -5.562294E-157	      -2.374723E-149	      -4.118644E-162	      -2.467778E-169	      -5.086744E-161	      -9.070192E-149	      -5.092949E-151	      -3.320534E-156
        1.110000E-02	      -6.434681E-156	      -9.951511E-156	      -1.886801E-142	      -7.554030E-153	      -9.532083E-139	      -2.337018E-158	      -1.329694E-132	      -3.781946E-145	      -6.886816E-137	      -9.094116E-154	      -1.002691E-131	      -6.912977E-130	      -8.278932E-149	      -5.721469E-144	      -1.665038E-156	      -5.403152E-125	      -3.935804E-139	      -1.644248E-155	      -2.271417E-136	      -2.377426E-126	      -1.569039E-135	      -5.350014E-140	      -3.273195E-147	      -2.267928E-133	      -1.605559E-161	      -5.837430E-137	      -6.389060E-128	      -1.591536E-163	       -1.771914E-13	      -5.799817E-136	      -1.703212E-148	      -1.382088E-130	      -1.305969E-128	      -1.227603E-128	      -3.742894E-142	      -5.807284E-243	      -7.072706E-145	      -2.833921E-134	      -1.158684E-130	      -9.783365E-124	      -8.920843E-133	      -2.448497E-125	      -5.896754E-157	      -3.971920E-149	      -4.354190E-137	      -1.207279E-128	      -6.335978E-127	      -1.169035E-132	      -3.062560E-258	      -4.061732E-124	      -6.638102E-138	      -8.357808E-125	      -1.741235E-145	       -3.764740E-11	      -2.846484E-116	      -3.639081E-145	       -0.000000E+00	      -1.020308E-128	      -2.023363E-132	      -1.184984E-123	      -1.118593E-157	      -2.912139E-151	       -1.752049E-11	      -4.263295E-125	      -3.719320E-126	      -1.785016E-124	      -3.231048E-154	      -2.045004E-128	      -3.813840E-129	      -3.187736E-155	      -1.917405E-143	      -1.050460E-151	      -7.483983E-149	      -3.514325E-134	      -1.224220E-146	      -1.464933E-137	      -8.697893E-149	      -5.657232E-152	      -3.477676E-135	       -5.067910E-13	      -2.010661E-127	      -1.142467E-130	      -5.934827E-135	      -4.591265E-127	      -1.010166E-130	      -8.355682E-150	      -2.556298E-141	      -1.855854E-141	      -1.246740E-157	      -3.421643E-142	      -3.084466E-157	      -3.445542E-129	      -9.603255E-136	       -0.000000E+00	      -5.150032E-149	      -4.326728E-152	      -5.967980E-148	      -1.766448E-150	      -9.431241E-144	      -6.486714E-156	      -1.516451E-145	      -4.551294E-161	      -1.322325E-166	      -4.151425E-159	      -4.283379E-145	      -5.015741E-148	      -6.539486E-153
        1.210000E-02	      -9.703001E-155	      -4.796020E-154	      -1.582287E-139	      -6.314230E-153	      -1.426928E-135	      -2.885953E-157	      -9.883526E-129	      -1.289959E-142	      -1.163767E-133	      -8.125694E-153	      -4.348934E-128	      -1.756366E-126	      -1.484610E-146	      -8.135360E-141	      -3.727425E-153	      -3.576984E-121	      -6.687162E-137	      -7.462084E-154	      -2.381459E-134	      -3.174012E-123	      -2.648646E-132	      -1.094728E-136	      -1.027899E-145	      -3.993493E-130	      -5.860699E-161	      -1.444050E-133	      -5.642437E-124	      -1.347525E-161	       -1.981818E-13	      -9.953146E-134	      -1.035436E-148	      -2.058093E-127	      -2.740368E-125	      -2.123316E-125	      -3.124585E-138	      -2.503360E-235	      -8.713919E-142	      -7.676428E-131	      -1.672781E-127	      -7.162866E-120	      -8.321874E-130	      -2.729081E-122	      -4.884509E-155	      -7.525123E-149	      -1.460896E-134	      -1.400698E-125	      -1.717978E-123	      -3.809910E-129	      -7.029086E-251	      -3.962663E-120	      -4.111326E-134	      -6.533588E-121	      -2.044804E-144	       -3.764740E-11	      -3.523929E-112	      -2.858360E-144	       -0.000000E+00	      -6.115363E-125	      -1.785166E-128	      -8.242672E-120	      -2.438786E-155	      -2.965632E-150	       -1.754148E-11	      -2.216690E-121	      -2.054996E-122	      -1.264471E-120	      -1.631722E-152	      -2.364748E-124	      -1.140546E-126	      -6.741082E-154	      -8.304442E-141	      -1.719432E-149	      -8.636491E-147	      -8.683240E-131	      -3.291361E-144	      -1.386151E-134	      -5.104159E-146	      -1.285227E-149	      -9.617059E-132	       -5.655236E-13	      -2.913433E-124	      -3.996374E-127	      -2.969029E-131	      -9.645782E-124	      -1.519181E-127	      -1.690328E-147	      -1.497762E-137	      -8.177316E-139	      -5.468903E-156	      -4.796836E-139	      -2.622742E-155	      -6.379166E-126	      -3.410180E-133	       -0.000000E+00	      -4.238728E-147	      -7.393991E-151	      -1.293766E-145	      -9.357586E-149	      -2.085601E-141	      -7.130080E-156	      -7.649595E-142	      -1.349551E-159	      -3.525464E-164	      -1.490223E-157	      -9.519073E-142	      -1.825930E-144	      -1.180430E-149
