T[K]        	1000/T[1/K]  	IDT[ms]     
1.100000E+03	9.090910E-01	7.894480E+00
1.125000E+03	8.888890E-01	4.283940E+00
1.150000E+03	8.695650E-01	2.344310E+00
1.175000E+03	8.510640E-01	1.354270E+00
1.200000E+03	8.333330E-01	8.593470E-01
1.225000E+03	8.163270E-01	5.818980E-01
1.250000E+03	8.000000E-01	4.093270E-01
1.275000E+03	7.843140E-01	2.966190E-01
1.300000E+03	7.692310E-01	2.218180E-01
1.325000E+03	7.547170E-01	1.650900E-01
1.350000E+03	7.407410E-01	1.254170E-01
1.375000E+03	7.272730E-01	9.831260E-02
1.400000E+03	7.142860E-01	7.561010E-02
1.425000E+03	7.017540E-01	5.946790E-02
1.450000E+03	6.896550E-01	4.713250E-02
