            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        2.003464E-18	        1.799074E-19	        1.479952E-16	        1.396981E-14	        5.295502E-14	        5.491773E-15	        6.961480E-16	        3.337795E-15	        3.603097E-15	        4.648683E-14	        1.762248E-13	        3.398193E-13	        2.027480E-15	        3.658739E-13	        3.799475E-26	        2.617228E-12	        1.063811E-12	        1.461430E-23	        1.872957E-12	        4.150058E-16	        2.401600E-15	        4.450353E-17	        8.107904E-14	        1.106182E-13	        4.779920E-23	        6.804522E-15	        4.134593E-12	        0.000000E+00	        6.607601E-11	        5.192151E-13	        3.240588E-15	        2.794649E-12	        9.296343E-11	        1.685619E-10	        4.669968E-17	        0.000000E+00	        1.757344E-17	        7.330562E-12	        5.173531E-11	        1.039422E-11	        2.060083E-10	        2.363734E-16	        1.096130E-25	        4.733271E-14	        2.380053E-12	        2.043640E-10	        6.139151E-21	        5.599489E-12	        1.206267E-17	        4.117967E-08	        1.236399E-19	        4.121158E-08	        2.735499E-13	        5.440179E-13	        1.696219E-10	        3.197749E-13	        0.000000E+00	        1.508828E-12	        1.784698E-13	        1.678896E-12	        7.600513E-25	        0.000000E+00	        1.383843E-13	        2.449032E-13	        5.014497E-14	        4.113498E-08	        8.723401E-16	        3.493687E-17	        1.903477E-19	        0.000000E+00	        4.111083E-08	        8.374892E-23	        2.681532E-15	        1.159539E-13	        1.358127E-16	        2.918470E-15	        1.971853E-16	        1.045376E-16	        6.193477E-15	        1.738180E-11	        6.965581E-16	        3.186290E-15	        1.454323E-15	        3.116149E-12	        4.423750E-12	        6.255010E-17	        3.685410E-17	        4.983036E-16	        2.629434E-26	        8.725240E-19	        1.276552E-18	        1.448179E-19	        1.628052E-14	        8.817650E-16	        2.171186E-16	        1.357990E-14	        1.483970E-16	        2.098940E-13	        1.338310E-09	        2.009011E-28	        1.520413E-22	        4.273987E-22	        0.000000E+00	        6.493240E-31	        7.429133E-17	        3.831578E-18	        2.951043E-23
        2.000000E-03	        1.254527E-14	        2.252122E-17	        9.668667E-14	        4.227197E-13	        1.257275E-11	        3.987709E-12	        7.163051E-13	        1.587083E-12	        8.722741E-12	        3.043393E-12	        1.128207E-12	        1.136085E-11	        1.560880E-12	        3.860202E-12	        3.460873E-23	        1.094981E-10	        2.982102E-11	        3.572580E-21	        7.623580E-11	        2.442314E-13	        2.178260E-14	        8.125073E-15	        1.931475E-11	        9.877147E-12	        2.852730E-20	        5.287120E-12	        1.106446E-10	        0.000000E+00	        3.936839E-10	        3.682030E-11	        1.073877E-13	        9.989710E-11	        1.692982E-09	        2.105908E-09	        1.128373E-14	        6.726770E-19	        1.600156E-13	        3.261684E-10	        6.275140E-10	        4.083386E-10	        2.348193E-09	        2.156974E-13	        5.767240E-22	        3.562650E-12	        1.048088E-10	        2.422611E-09	        2.450170E-18	        2.890504E-10	        1.255434E-15	        2.677159E-07	        6.252927E-15	        2.686746E-07	        1.796533E-11	        3.244107E-11	        2.296736E-09	        2.316578E-11	        0.000000E+00	        2.471387E-11	        1.881373E-11	        1.029980E-10	        5.157736E-23	        0.000000E+00	        1.589076E-12	        2.104388E-11	        7.644284E-12	        2.677452E-07	        5.974307E-13	        5.375041E-15	        1.153561E-15	        0.000000E+00	        2.665430E-07	        5.005600E-19	        1.421452E-13	        8.361101E-12	        3.625430E-14	        1.749796E-13	        6.807657E-14	        3.696493E-16	        2.754727E-13	        1.758669E-11	        5.941943E-13	        3.344121E-13	        1.549368E-13	        2.981438E-11	        3.296172E-11	        1.093284E-14	        1.518771E-14	        7.183793E-14	        1.459757E-23	        3.289760E-15	        1.797616E-16	        1.160094E-16	        2.195712E-08	        1.464830E-13	        6.579120E-12	        1.097870E-12	        3.166500E-14	        5.061530E-11	        6.667790E-08	        3.211115E-15	        2.090769E-18	        2.609356E-19	        9.029435E-22	        3.175897E-26	        1.487295E-14	        4.471657E-16	        3.584206E-19
        3.100000E-03	        5.006393E-12	        2.024074E-15	        1.719106E-11	        4.132197E-12	        3.644686E-10	        1.898834E-10	        4.718955E-11	        7.199683E-11	        1.207262E-09	        4.246574E-11	        3.434782E-11	        9.983583E-11	        9.295810E-11	        5.211185E-11	        5.559526E-21	        2.452825E-09	        2.765417E-10	        2.264840E-18	        1.420119E-09	        1.323753E-11	        2.248789E-13	        2.696348E-13	        9.259094E-10	        3.065982E-10	        1.731530E-18	        8.719658E-10	        2.077607E-09	        0.000000E+00	        6.498575E-09	        1.035171E-09	        3.203652E-12	        2.795556E-09	        9.662961E-09	        1.159087E-08	        1.391039E-12	        4.061552E-16	        3.672921E-11	        7.446542E-09	        3.529774E-09	        1.030844E-08	        1.042922E-08	        3.000690E-11	        1.315000E-19	        1.006013E-10	        2.493585E-09	        1.187787E-08	        1.820210E-16	        6.550744E-09	        3.356570E-14	        6.985130E-07	        4.220666E-12	        7.125746E-07	        2.570113E-10	        1.602216E-09	        2.197340E-08	        3.487093E-10	        0.000000E+00	        2.955619E-10	        8.832794E-10	        2.773625E-09	        3.109676E-21	        0.000000E+00	        5.849755E-11	        3.925489E-10	        2.021054E-10	        7.067398E-07	        3.169622E-11	        3.979394E-13	        3.233751E-13	        0.000000E+00	        6.893593E-07	        2.198388E-16	        3.076551E-12	        1.853909E-10	        2.713014E-12	        1.079716E-11	        2.056338E-12	        2.933068E-15	        1.578908E-11	        1.883602E-11	        4.660186E-11	        1.676034E-11	        1.997891E-11	        1.614494E-10	        1.271722E-10	        2.511865E-13	        6.478805E-13	        1.332119E-12	        1.717386E-20	        6.175950E-13	        6.376344E-15	        1.069579E-14	        9.095957E-07	        2.340170E-12	        3.408921E-10	        2.182030E-11	        6.076892E-13	        1.061090E-09	        1.189210E-06	        1.751756E-13	        2.061321E-15	        2.476042E-17	        2.742644E-19	        2.322493E-23	        3.454321E-13	        8.668223E-15	        6.808740E-17
        4.100000E-03	        9.982486E-11	        3.033355E-14	        6.542957E-10	        2.407696E-11	        2.378419E-09	        9.952084E-10	        3.399020E-10	        5.390312E-10	        1.220856E-08	        2.018948E-10	        6.408234E-10	        3.791320E-10	        1.098830E-09	        5.461464E-10	        1.052259E-19	        2.163207E-08	        1.948570E-09	        5.470520E-16	        8.439630E-09	        1.685947E-10	        3.828524E-12	        2.740137E-12	        5.379756E-09	        2.134847E-09	        2.538200E-17	        1.037910E-08	        1.554953E-08	        0.000000E+00	        4.207143E-08	        6.866634E-09	        4.853867E-11	        2.502112E-08	        2.711820E-08	        3.697534E-08	        2.406442E-11	        1.087740E-14	        4.927992E-10	        5.225310E-08	        1.210784E-08	        6.896490E-08	        2.588044E-08	        5.794046E-10	        4.728290E-18	        7.512894E-10	        1.442722E-08	        3.739691E-08	        3.524980E-15	        4.664467E-08	        3.244417E-13	        1.271469E-06	        9.996942E-11	        1.371389E-06	        1.255915E-09	        2.008107E-08	        1.254220E-07	        1.753646E-09	        0.000000E+00	        1.871787E-09	        8.362357E-09	        1.570475E-08	        1.902750E-19	        0.000000E+00	        4.311062E-10	        2.359576E-09	        1.648697E-09	        1.331390E-06	        3.533264E-10	        7.733803E-12	        6.615419E-12	        0.000000E+00	        1.232616E-06	        2.035058E-15	        2.127420E-11	        7.818265E-10	        1.548804E-11	        1.053244E-10	        7.589026E-12	        1.546109E-14	        2.208691E-10	        2.283611E-11	        3.644047E-10	        1.390221E-10	        3.123071E-10	        4.513745E-10	        3.036124E-10	        1.258029E-12	        4.582690E-12	        6.420319E-12	        2.521410E-19	        5.684530E-12	        5.652704E-14	        1.646572E-13	        5.033818E-06	        9.179024E-12	        2.425607E-09	        9.239010E-11	        3.700255E-12	        7.079710E-09	        5.625790E-06	        1.277010E-12	        8.134107E-14	        9.033934E-16	        2.220355E-18	        1.633867E-20	        1.536616E-12	        5.974655E-14	        1.322552E-15
        5.000000E-03	        4.551725E-10	        1.808159E-13	        5.612382E-09	        9.469632E-11	        8.420170E-09	        2.145295E-09	        9.165015E-10	        1.847331E-09	        3.944668E-08	        5.702533E-10	        3.856297E-09	        9.739463E-10	        4.853560E-09	        2.821190E-09	        2.813558E-18	        8.096078E-08	        9.133394E-09	        1.477790E-14	        2.695352E-08	        7.805631E-10	        3.223413E-11	        1.391140E-11	        1.358554E-08	        7.207913E-09	        1.759650E-16	        3.980993E-08	        4.724145E-08	        9.992110E-24	        1.547708E-07	        2.301725E-08	        2.661863E-10	        8.394136E-08	        5.666129E-08	        8.601487E-08	        1.192110E-10	        8.565607E-14	        2.081187E-09	        1.756107E-07	        2.919960E-08	        2.149119E-07	        5.039260E-08	        3.223052E-09	        5.916274E-17	        2.421672E-09	        4.072412E-08	        9.616621E-08	        2.244010E-14	        1.732470E-07	        1.656148E-12	        1.951863E-06	        5.198625E-10	        2.287168E-06	        3.584556E-09	        9.082443E-08	        4.034735E-07	        5.134376E-09	        0.000000E+00	        7.332985E-09	        3.358666E-08	        4.243661E-08	        3.709981E-18	        0.000000E+00	        1.558063E-09	        7.667001E-09	        6.993222E-09	        2.193766E-06	        1.506870E-09	        5.155168E-11	        2.785886E-11	        0.000000E+00	        1.841539E-06	        4.395025E-15	        7.714439E-11	        1.810828E-09	        3.549214E-11	        4.302637E-10	        1.181951E-11	        4.458572E-14	        6.508972E-10	        3.330155E-11	        8.689832E-10	        5.331162E-10	        1.380192E-09	        8.436771E-10	        5.656955E-10	        3.786744E-12	        1.453586E-11	        1.928799E-11	        2.080991E-18	        1.079920E-11	        1.913799E-13	        6.175746E-13	        1.490821E-05	        2.169875E-11	        7.944858E-09	        2.149720E-10	        1.044720E-11	        2.072260E-08	        1.560680E-05	        4.866430E-12	        5.404519E-13	        2.044812E-14	        7.820873E-18	        1.821958E-18	        3.855193E-12	        2.257345E-13	        9.586717E-15
        6.000000E-03	        1.747032E-09	        1.217004E-12	        3.109871E-08	        3.757044E-10	        3.410307E-08	        4.525981E-09	        3.105039E-09	        7.760799E-09	        1.142765E-07	        1.420175E-09	        1.806732E-08	        2.400029E-09	        1.624090E-08	        1.722896E-08	        7.953884E-17	        2.751906E-07	        3.791472E-08	        2.320060E-13	        9.341668E-08	        3.005521E-09	        2.073814E-10	        6.923612E-11	        3.592044E-08	        2.575023E-08	        1.022180E-15	        1.379788E-07	        1.268419E-07	        6.128390E-21	        6.086889E-07	        8.359058E-08	        1.241497E-09	        2.534199E-07	        1.163793E-07	        1.819715E-07	        4.539106E-10	        6.033018E-13	        8.530869E-09	        5.922717E-07	        6.624156E-08	        6.816079E-07	        9.840885E-08	        1.278355E-08	        6.317030E-16	        7.696483E-09	        1.217798E-07	        2.835033E-07	        1.076960E-13	        6.754493E-07	        7.661360E-12	        3.104452E-06	        1.997959E-09	        4.198146E-06	        9.134840E-09	        4.043579E-07	        1.369144E-06	        1.326490E-08	        0.000000E+00	        3.165838E-08	        1.317605E-07	        1.205931E-07	        4.824949E-17	        0.000000E+00	        6.724451E-09	        2.317969E-08	        2.574372E-08	        4.111345E-06	        4.778511E-09	        2.519066E-10	        8.617021E-11	        0.000000E+00	        2.773775E-06	        1.321619E-14	        2.804541E-10	        4.831278E-09	        1.268887E-10	        1.516017E-09	        2.179872E-11	        1.944195E-13	        1.829084E-09	        6.593203E-11	        2.133638E-09	        1.980002E-09	        4.212561E-09	        1.627534E-09	        1.014518E-09	        1.564083E-11	        4.770032E-11	        6.506895E-11	        5.963572E-17	        2.213040E-11	        5.543413E-13	        1.880850E-12	        4.631138E-05	        5.760423E-11	        2.317799E-08	        5.560630E-10	        2.592186E-11	        5.010140E-08	        4.691270E-05	        1.827099E-11	        2.282172E-12	        1.786543E-13	        3.021656E-17	        8.091633E-17	        1.124482E-11	        8.055291E-13	        7.205623E-14
        7.000000E-03	        6.172000E-09	        8.684365E-12	        1.128671E-07	        1.363070E-09	        1.386838E-07	        9.848493E-09	        1.325726E-08	        3.571241E-08	        3.143605E-07	        2.831435E-09	        6.567649E-08	        5.538555E-09	        4.260450E-08	        1.022569E-07	        1.445918E-15	        7.760108E-07	        1.293674E-07	        2.047200E-12	        3.183065E-07	        1.080032E-08	        9.524534E-10	        3.302703E-10	        9.393600E-08	        8.782201E-08	        4.152890E-15	        3.840496E-07	        2.980505E-07	        5.208400E-19	        2.274607E-06	        2.871038E-07	        4.810651E-09	        6.423134E-07	        2.360697E-07	        3.248853E-07	        1.414152E-09	        3.361823E-12	        3.265064E-08	        1.863759E-06	        1.393299E-07	        2.104977E-06	        1.869502E-07	        3.601807E-08	        5.322820E-15	        2.386620E-08	        3.416132E-07	        8.693658E-07	        3.782561E-13	        2.500249E-06	        2.804877E-11	        4.716967E-06	        5.682296E-09	        7.888991E-06	        1.927705E-08	        1.619614E-06	        4.501705E-06	        2.779325E-08	        0.000000E+00	        1.357823E-07	        4.895998E-07	        3.238592E-07	        3.661026E-16	        0.000000E+00	        3.020109E-08	        6.140534E-08	        7.721634E-08	        8.460141E-06	        1.168768E-08	        9.186340E-10	        2.651136E-10	        0.000000E+00	        3.699427E-06	        4.874937E-14	        9.478796E-10	        1.369396E-08	        5.386329E-10	        4.912923E-09	        5.470635E-11	        1.202811E-12	        5.270891E-09	        1.524180E-10	        5.622860E-09	        7.053128E-09	        9.496270E-09	        3.200297E-09	        1.691580E-09	        6.613003E-11	        1.610823E-10	        2.160903E-10	        1.539755E-15	        6.198860E-11	        1.521717E-12	        5.530556E-12	        1.322476E-04	        1.520544E-10	        6.237465E-08	        1.450100E-09	        6.115492E-11	        1.105730E-07	        1.323700E-04	        5.996204E-11	        7.975595E-12	        2.214276E-12	        1.169642E-16	        1.133477E-15	        3.524011E-11	        2.742585E-12	        5.062514E-13
        8.000000E-03	        1.747901E-08	        4.861858E-11	        2.839190E-07	        3.913249E-09	        4.416888E-07	        1.998814E-08	        4.677623E-08	        1.273011E-07	        7.497527E-07	        4.687407E-09	        1.908147E-07	        1.182473E-08	        9.226050E-08	        4.293900E-07	        1.509586E-14	        1.640429E-06	        3.337569E-07	        1.012760E-11	        8.704592E-07	        3.134112E-08	        3.291923E-09	        1.333628E-09	        2.031293E-07	        2.337264E-07	        1.232460E-14	        7.557639E-07	        5.508668E-07	        1.622090E-17	        6.825662E-06	        7.583217E-07	        1.423877E-08	        1.201976E-06	        4.878610E-07	        5.301026E-07	        3.623863E-09	        1.339078E-11	        1.009536E-07	        4.829371E-06	        2.846650E-07	        5.496150E-06	        3.460121E-07	        7.883609E-08	        3.197198E-14	        6.363691E-08	        7.379426E-07	        2.311117E-06	        9.533713E-13	        7.480469E-06	        7.532010E-11	        7.511690E-06	        1.272676E-08	        1.470767E-05	        3.492850E-08	        4.976799E-06	        1.222030E-05	        4.921783E-08	        0.000000E+00	        4.672833E-07	        1.540527E-06	        6.659199E-07	        1.697822E-15	        0.000000E+00	        1.038847E-07	        1.395354E-07	        1.826262E-07	        1.837558E-05	        2.400539E-08	        2.455316E-09	        7.929810E-10	        0.000000E+00	        4.752731E-06	        1.634771E-13	        2.630106E-09	        3.365375E-08	        1.953460E-09	        1.327328E-08	        1.595216E-10	        7.163424E-12	        1.269960E-08	        3.456269E-10	        1.297829E-08	        2.114807E-08	        1.858259E-08	        5.870014E-09	        2.702083E-09	        2.119377E-10	        4.838046E-10	        6.303170E-10	        1.203288E-14	        1.657170E-10	        4.041433E-12	        1.404483E-11	        2.938285E-04	        3.279808E-10	        1.397862E-07	        3.103550E-09	        1.268830E-10	        2.156340E-07	        2.930550E-04	        1.462915E-10	        2.341579E-11	        1.016681E-11	        3.852266E-16	        7.285156E-15	        1.013905E-10	        8.285937E-12	        2.709583E-12
        9.000000E-03	        3.671914E-08	        1.583704E-10	        5.340223E-07	        8.549045E-09	        9.561985E-07	        3.413845E-08	        1.071250E-07	        2.914743E-07	        1.440874E-06	        6.988517E-09	        4.442830E-07	        2.199903E-08	        1.678560E-07	        1.097873E-06	        8.067636E-14	        2.723975E-06	        6.276800E-07	        3.026860E-11	        1.732493E-06	        6.353460E-08	        8.374717E-09	        3.913991E-09	        3.490780E-07	        4.450863E-07	        2.872800E-14	        1.164156E-06	        8.297444E-07	        1.734020E-16	        1.500362E-05	        1.421823E-06	        3.154868E-08	        1.804098E-06	        9.379489E-07	        8.104882E-07	        7.452139E-09	        3.596879E-11	        2.284192E-07	        9.539867E-06	        5.207301E-07	        1.093187E-05	        5.726069E-07	        1.409909E-07	        1.266940E-13	        1.333116E-07	        1.228052E-06	        4.623352E-06	        1.752411E-12	        1.647381E-05	        1.512734E-10	        1.159759E-05	        2.367765E-08	        2.437977E-05	        5.687901E-08	        1.098340E-05	        2.486585E-05	        7.821341E-08	        0.000000E+00	        1.122223E-06	        3.712834E-06	        1.050287E-06	        4.926646E-15	        0.000000E+00	        2.320475E-07	        2.668698E-07	        3.316758E-07	        3.500380E-05	        4.170239E-08	        4.977585E-09	        1.817192E-09	        0.000000E+00	        5.993666E-06	        3.711533E-13	        5.498372E-09	        6.240134E-08	        4.857773E-09	        2.634283E-08	        4.344707E-10	        2.600250E-11	        2.244512E-08	        6.915855E-10	        2.265910E-08	        4.703170E-08	        3.384169E-08	        9.090783E-09	        4.113988E-09	        4.300794E-10	        1.156420E-09	        1.493292E-09	        4.287988E-14	        3.142040E-10	        9.150956E-12	        2.675863E-11	        4.711206E-04	        5.375848E-10	        2.376809E-07	        4.927170E-09	        2.086110E-10	        3.438670E-07	        4.691960E-04	        2.701627E-10	        5.004024E-11	        1.361307E-11	        9.411953E-16	        2.305386E-14	        2.332447E-10	        1.920314E-11	        8.920801E-12
        1.010000E-02	        6.864452E-08	        3.977992E-10	        8.823344E-07	        1.721819E-08	        1.699305E-06	        5.309285E-08	        1.939147E-07	        5.272768E-07	        2.463686E-06	        1.026215E-08	        9.613173E-07	        3.840243E-08	        2.820950E-07	        2.137989E-06	        3.197165E-13	        4.136207E-06	        1.009840E-06	        7.132080E-11	        2.991239E-06	        1.071063E-07	        1.826749E-08	        9.752600E-09	        5.658132E-07	        7.346590E-07	        6.182830E-14	        1.685332E-06	        1.179452E-06	        1.011970E-15	        2.890462E-05	        2.301641E-06	        6.326878E-08	        2.571150E-06	        1.758473E-06	        1.209753E-06	        1.403970E-08	        7.960290E-11	        4.379644E-07	        1.634959E-05	        8.863740E-07	        1.873709E-05	        8.952894E-07	        2.302002E-07	        4.220399E-13	        2.504815E-07	        1.907125E-06	        7.925943E-06	        2.727061E-12	        3.175712E-05	        2.731427E-10	        1.715024E-05	        4.038553E-08	        3.765080E-05	        9.036031E-08	        2.091420E-05	        4.373152E-05	        1.220544E-07	        0.000000E+00	        2.265925E-06	        7.913061E-06	        1.542499E-06	        1.150396E-14	        0.000000E+00	        4.124598E-07	        4.796719E-07	        5.294461E-07	        6.179136E-05	        6.690059E-08	        9.198852E-09	        3.584167E-09	        0.000000E+00	        7.500776E-06	        6.235466E-13	        1.015128E-08	        9.752053E-08	        9.530459E-09	        4.341322E-08	        1.109008E-09	        7.104725E-11	        3.252331E-08	        1.319752E-09	        3.291498E-08	        8.927295E-08	        5.978320E-08	        1.279215E-08	        6.092250E-09	        8.240362E-10	        2.486359E-09	        3.289306E-09	        1.118278E-13	        4.756310E-10	        1.861065E-11	        4.430815E-11	        6.370928E-04	        7.749515E-10	        3.530418E-07	        6.691900E-09	        3.056943E-10	        4.939500E-07	        6.335570E-04	        3.721514E-10	        9.095750E-11	        7.219696E-11	        2.090616E-15	        5.418999E-14	        4.763256E-10	        3.689546E-11	        2.129354E-11
        1.110000E-02	        1.106008E-07	        8.011873E-10	        1.265972E-06	        3.006927E-08	        2.554324E-06	        7.455489E-08	        2.884448E-07	        7.845093E-07	        3.650245E-06	        1.394559E-08	        1.830454E-06	        5.904406E-08	        4.154180E-07	        3.300284E-06	        9.091032E-13	        5.631782E-06	        1.399193E-06	        1.298590E-10	        4.507955E-06	        1.527566E-07	        3.312886E-08	        1.956226E-08	        8.421897E-07	        1.065730E-06	        1.125760E-13	        2.253877E-06	        1.553655E-06	        3.318910E-15	        4.929942E-05	        3.304554E-06	        1.089030E-07	        3.403012E-06	        3.008786E-06	        1.673961E-06	        2.279310E-08	        1.411655E-10	        6.986747E-07	        2.411118E-05	        1.329571E-06	        2.745751E-05	        1.277101E-06	        3.324188E-07	        1.080259E-12	        4.059990E-07	        2.718266E-06	        1.164485E-05	        3.612692E-12	        5.377661E-05	        4.279240E-10	        2.339942E-05	        5.950199E-08	        5.243987E-05	        1.309905E-07	        3.506732E-05	        6.648217E-05	        1.750962E-07	        0.000000E+00	        3.817584E-06	        1.438437E-05	        2.079698E-06	        2.167556E-14	        0.000000E+00	        6.057705E-07	        7.595543E-07	        7.386685E-07	        9.885034E-05	        9.573789E-08	        1.483894E-08	        5.912566E-09	        0.000000E+00	        9.273693E-06	        8.188649E-13	        1.664911E-08	        1.307327E-07	        1.491672E-08	        6.046482E-08	        2.366678E-09	        1.496679E-10	        4.006313E-08	        2.298329E-09	        4.086490E-08	        1.421143E-07	        9.319832E-08	        1.635426E-08	        8.185601E-09	        1.336400E-09	        4.596921E-09	        6.386800E-09	        2.321435E-13	        6.046360E-10	        3.180525E-11	        6.498088E-11	        7.764829E-04	        1.018652E-09	        4.699780E-07	        8.213770E-09	        4.106279E-10	        6.461660E-07	        7.704810E-04	        4.882213E-10	        1.427696E-10	        1.644663E-10	        3.884236E-15	        1.015519E-13	        8.298780E-10	        5.664698E-11	        3.685784E-11
        1.210000E-02	        1.668920E-07	        1.477203E-09	        1.718339E-06	        4.951402E-08	        3.585772E-06	        1.012524E-07	        3.926622E-07	        1.068987E-06	        5.078278E-06	        1.837226E-08	        3.420177E-06	        8.594540E-08	        5.757230E-07	        4.578374E-06	        2.297994E-12	        7.278250E-06	        1.818725E-06	        2.127080E-10	        6.443068E-06	        2.026989E-07	        5.708465E-08	        3.634096E-08	        1.214838E-06	        1.467922E-06	        1.914050E-13	        2.924063E-06	        1.986725E-06	        8.434650E-15	        8.324021E-05	        4.557947E-06	        1.758410E-07	        4.374105E-06	        5.112909E-06	        2.253469E-06	        3.450676E-08	        2.263102E-10	        1.017314E-06	        3.328922E-05	        1.874387E-06	        3.749274E-05	        1.763255E-06	        4.566943E-07	        2.527728E-12	        6.192407E-07	        3.753316E-06	        1.600629E-05	        4.447654E-12	        8.936639E-05	        6.321890E-10	        3.072949E-05	        8.124550E-08	        6.947833E-05	        1.831089E-07	        5.861995E-05	        9.605867E-05	        2.427707E-07	        0.000000E+00	        5.998249E-06	        2.472663E-05	        2.689274E-06	        3.827954E-14	        0.000000E+00	        8.143593E-07	        1.140638E-06	        9.756632E-07	        1.565025E-04	        1.302988E-07	        2.265805E-08	        8.977740E-09	        0.000000E+00	        1.150202E-05	        9.704994E-13	        2.700357E-08	        1.640326E-07	        2.097294E-08	        7.759348E-08	        4.721250E-09	        2.797833E-10	        4.609620E-08	        3.990077E-09	        4.741396E-08	        2.085940E-07	        1.372681E-07	        2.002705E-08	        1.040676E-08	        2.039505E-09	        8.084193E-09	        1.197005E-08	        4.454652E-13	        7.141210E-10	        5.059050E-11	        9.144054E-11	        9.135423E-04	        1.303558E-09	        6.003280E-07	        9.709000E-09	        5.430303E-10	        8.164460E-07	        9.031720E-04	        6.253648E-10	        2.135810E-10	        1.322751E-10	        6.706012E-15	        1.751394E-13	        1.353416E-09	        7.817932E-11	        5.507219E-11
        1.310000E-02	        2.380001E-07	        2.468392E-09	        2.251810E-06	        7.772952E-08	        4.768608E-06	        1.335309E-07	        5.006505E-07	        1.367915E-06	        6.719513E-06	        2.400458E-08	        6.184648E-06	        1.195848E-07	        7.647240E-07	        5.887262E-06	        5.249934E-12	        9.017341E-06	        2.274849E-06	        3.269010E-10	        8.802696E-06	        2.574688E-07	        9.524577E-08	        6.351542E-08	        1.699286E-06	        1.941335E-06	        3.117540E-13	        3.700836E-06	        2.491241E-06	        1.785280E-14	        1.372364E-04	        6.109198E-06	        2.696844E-07	        5.493830E-06	        8.562587E-06	        2.986304E-06	        4.938205E-08	        3.358848E-10	        1.353882E-06	        4.364923E-05	        2.492347E-06	        4.852798E-05	        2.363667E-06	        6.039039E-07	        5.484855E-12	        8.943026E-07	        5.050580E-06	        2.091743E-05	        5.282186E-12	        1.447229E-04	        9.017380E-10	        3.943047E-05	        1.052817E-07	        8.866509E-05	        2.498876E-07	        9.697416E-05	        1.336274E-04	        3.291116E-07	        0.000000E+00	        8.931756E-06	        3.976351E-05	        3.371391E-06	        6.539386E-14	        0.000000E+00	        1.027300E-06	        1.642157E-06	        1.249596E-06	        2.438616E-04	        1.704533E-07	        3.310307E-08	        1.276630E-08	        0.000000E+00	        1.466980E-05	        1.111067E-12	        4.300610E-08	        1.976103E-07	        2.765590E-08	        9.394757E-08	        8.621329E-09	        4.676730E-10	        5.150406E-08	        6.677980E-09	        5.340468E-08	        2.885409E-07	        1.933881E-07	        2.362693E-08	        1.254529E-08	        2.981574E-09	        1.321720E-08	        2.068712E-08	        7.816942E-13	        8.122870E-10	        7.577211E-11	        1.238153E-10	        1.051475E-03	        1.624579E-09	        7.403958E-07	        1.115550E-08	        7.128865E-10	        1.001350E-06	        1.034090E-03	        8.128596E-10	        3.062838E-10	        1.262658E-10	        1.073380E-14	        2.816828E-13	        2.030476E-09	        1.009856E-10	        7.541407E-11
