T[K]        	1000/T[1/K]  	IDT[ms]     
1.500000E+03	6.666670E-01	1.572480E+00
1.525000E+03	6.557380E-01	1.210450E+00
1.550000E+03	6.451610E-01	9.402930E-01
1.575000E+03	6.349210E-01	7.300540E-01
1.600000E+03	6.250000E-01	5.723600E-01
1.625000E+03	6.153850E-01	4.527410E-01
1.650000E+03	6.060610E-01	3.601420E-01
1.675000E+03	5.970150E-01	2.890070E-01
1.700000E+03	5.882350E-01	2.328760E-01
1.725000E+03	5.797100E-01	1.897720E-01
1.750000E+03	5.714290E-01	1.543630E-01
1.775000E+03	5.633800E-01	1.283360E-01
1.800000E+03	5.555560E-01	1.062150E-01
1.825000E+03	5.479450E-01	8.977930E-02
1.850000E+03	5.405410E-01	7.528960E-02
1.875000E+03	5.333330E-01	6.304020E-02
1.900000E+03	5.263160E-01	5.421000E-02
1.925000E+03	5.194810E-01	4.658480E-02
1.950000E+03	5.128210E-01	4.053560E-02
1.975000E+03	5.063290E-01	3.460940E-02
2.000000E+03	5.000000E-01	3.003450E-02
2.025000E+03	4.938270E-01	2.701940E-02
2.050000E+03	4.878050E-01	2.364330E-02
2.075000E+03	4.819280E-01	2.259250E-02
2.100000E+03	4.761900E-01	1.924930E-02
2.125000E+03	4.705880E-01	1.723370E-02
2.150000E+03	4.651160E-01	1.471650E-02
2.175000E+03	4.597700E-01	0.000000E+00
2.200000E+03	4.545450E-01	0.000000E+00
2.225000E+03	4.494380E-01	0.000000E+00
2.250000E+03	4.444440E-01	0.000000E+00
