            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       2.376882E-189	       9.768205E-187	        0.000000E+00	       1.462143E-180	       9.972394E-182	       8.400290E-182	        0.000000E+00	       2.916819E-193	       9.724299E-187	       1.560939E-181	       1.247060E-178	       1.285360E-180	        0.000000E+00	       2.216853E-178	        0.000000E+00	       1.283720E-179	       2.205142E-180	        0.000000E+00	       3.131729E-178	        0.000000E+00	       1.009143E-181	        0.000000E+00	       4.954350E-180	       1.232221E-181	        0.000000E+00	       3.993601E-183	       7.596648E-179	        0.000000E+00	        5.799728E-11	       4.188397E-180	       2.663876E-181	       2.221362E-179	       1.581091E-178	       4.275491E-176	       1.509962E-189	        0.000000E+00	        0.000000E+00	       2.004222E-178	       1.454414E-176	       1.014118E-177	       2.513812E-176	       7.469326E-189	        0.000000E+00	       1.574761E-181	       1.680788E-178	       2.405702E-176	        0.000000E+00	       4.527744E-178	        0.000000E+00	       5.336653E-174	        0.000000E+00	       5.322377E-174	       9.183722E-181	        1.845223E-21	       4.275740E-176	       9.273929E-181	        0.000000E+00	       5.452430E-179	       5.320488E-181	       3.534112E-180	        0.000000E+00	        0.000000E+00	        4.578859E-14	       5.870738E-181	       1.255694E-181	       5.322342E-174	        0.000000E+00	       1.052821E-182	        0.000000E+00	        0.000000E+00	       5.322085E-174	       3.847196E-193	       1.582990E-182	       2.664708E-180	       1.098162E-186	       6.262500E-184	        0.000000E+00	        3.355991E-17	       1.741784E-183	        1.735891E-11	        0.000000E+00	        3.356088E-17	        2.006455E-25	       7.434744E-180	       1.177188E-178	       4.636528E-185	        0.000000E+00	       4.130738E-186	       1.333757E-205	        0.000000E+00	       9.236834E-204	        0.000000E+00	       3.519540E-181	       4.509136E-186	       6.717897E-185	       3.229723E-183	       2.835612E-199	       2.580174E-196	       4.730157E-178	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       4.624802E-209
        2.000000E-03	       2.190570E-180	       1.348997E-177	        0.000000E+00	       1.170066E-171	       2.717888E-171	       1.104360E-175	        0.000000E+00	       6.409429E-178	       6.808006E-176	       4.105382E-174	       3.788229E-169	       1.656714E-170	        0.000000E+00	       3.087593E-172	        0.000000E+00	       7.965830E-170	       3.035872E-171	        0.000000E+00	       7.339048E-170	        0.000000E+00	       6.505577E-172	        0.000000E+00	       3.964679E-171	       2.550520E-173	        0.000000E+00	       2.985082E-174	       3.572729E-169	        0.000000E+00	        5.803247E-11	       1.807702E-170	       2.131739E-172	       2.865225E-169	       1.427937E-169	       5.967981E-170	       1.629166E-177	        0.000000E+00	        0.000000E+00	       2.781630E-169	       2.025681E-170	       1.199265E-167	       3.677260E-168	       2.469793E-180	        0.000000E+00	       4.141735E-174	       1.342529E-169	       1.154408E-169	        0.000000E+00	       1.546309E-168	        0.000000E+00	       6.755470E-168	        0.000000E+00	       7.247978E-168	       2.415385E-173	        5.788132E-21	       5.963327E-170	       3.597657E-173	        0.000000E+00	       7.479029E-170	       5.160788E-172	       1.837414E-171	        0.000000E+00	        0.000000E+00	        8.096908E-14	       4.401261E-173	       1.929933E-172	       1.637874E-167	        0.000000E+00	       3.198184E-173	        0.000000E+00	        0.000000E+00	       6.702601E-168	       7.306127E-184	       3.835909E-172	       1.526225E-171	       7.576571E-178	       3.688418E-175	        0.000000E+00	        5.949017E-17	       1.870577E-174	        1.737097E-11	        0.000000E+00	        5.949319E-17	        6.289493E-25	       1.751314E-171	       4.221764E-170	       1.662914E-176	        0.000000E+00	       2.626034E-177	       2.997840E-196	        0.000000E+00	       2.029705E-188	        0.000000E+00	       1.585518E-172	       3.600744E-177	       1.362899E-177	       6.552329E-176	       4.761927E-179	       4.332961E-176	       9.596346E-171	       5.715350E-191	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.960341E-186
        3.100000E-03	       5.336343E-174	       1.608680E-170	       4.611130E-314	       7.192258E-164	       2.854688E-163	       1.189819E-172	       1.445636E-320	       8.866568E-172	       4.979471E-168	       4.250346E-168	       3.097035E-161	       4.707271E-163	       2.495032E-321	       2.715054E-169	        0.000000E+00	       1.649332E-163	       3.618508E-164	        0.000000E+00	       4.489637E-162	       1.017281E-320	       1.233028E-165	       6.091829E-321	       2.437051E-163	       5.063172E-167	        0.000000E+00	       1.543100E-165	       1.234632E-161	        0.000000E+00	        5.807290E-11	       1.058627E-162	       1.310356E-164	       8.143341E-162	       2.490897E-163	       3.007436E-166	       1.505500E-171	        0.000000E+00	       2.865581E-322	       1.512257E-161	       1.766154E-167	       2.048960E-158	       2.978960E-160	       3.725693E-172	        0.000000E+00	       4.287983E-168	       8.252743E-162	       5.190495E-162	       1.604794E-318	       1.463110E-160	       5.983135E-321	       4.032274E-163	        0.000000E+00	       3.215619E-161	       2.500674E-167	        1.305646E-20	       1.158548E-165	       5.426362E-166	        0.000000E+00	       4.345717E-162	       3.303887E-164	       2.977458E-165	        0.000000E+00	        0.000000E+00	        1.214044E-13	       2.026612E-165	       7.735648E-165	       2.032824E-158	       1.482197E-323	       2.614649E-165	        0.000000E+00	        0.000000E+00	       3.770553E-165	       9.678783E-178	       6.564818E-164	       7.168517E-165	       9.831658E-171	       5.337025E-169	       7.065139E-322	        8.943204E-17	       1.652699E-168	        1.738489E-11	       5.148856E-319	        8.943885E-17	        1.417682E-24	       1.001886E-163	       3.942663E-164	       1.553096E-170	       1.941678E-321	       3.687010E-171	       2.320383E-188	        0.000000E+00	       2.807820E-182	        0.000000E+00	       3.590501E-166	       1.225492E-170	       5.714564E-172	       2.568362E-170	       2.060256E-173	       1.874663E-170	       3.761547E-165	       1.060015E-175	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       8.349709E-322	        0.000000E+00	       3.318486E-180
        4.100000E-03	       8.072797E-168	       7.150163E-165	       3.910450E-302	       2.375605E-158	       7.846522E-158	       7.334355E-171	       5.938474E-309	       4.856223E-166	       1.083676E-162	       4.862126E-164	       2.488663E-155	       1.875691E-157	       4.417768E-310	       1.109964E-165	       4.376681E-186	       7.898914E-158	       1.608380E-158	       1.510493E-317	       1.482913E-156	       6.492457E-308	       1.647563E-159	       4.491568E-308	       8.049612E-158	       3.694218E-161	       9.880357E-316	       3.220185E-159	       3.849677E-156	        0.000000E+00	        5.811224E-11	       1.088957E-157	       4.328110E-159	       3.247393E-156	       6.984667E-158	       3.326347E-160	       1.056395E-166	       3.474368E-318	       2.407022E-310	       4.879695E-156	       1.088236E-165	       1.140511E-151	       2.393782E-154	       1.056616E-166	        0.000000E+00	       4.905180E-164	       2.725472E-156	       1.589893E-156	       2.475764E-306	       9.836861E-155	       2.137005E-309	       1.724481E-157	       5.007885E-313	       2.528765E-155	       2.860612E-163	        2.295839E-20	       4.705468E-160	       6.579582E-161	        0.000000E+00	       6.577738E-157	       1.001425E-158	       3.393970E-159	       6.018935E-318	        0.000000E+00	        1.607480E-13	       1.772841E-160	       2.532328E-159	       1.141477E-151	       6.107643E-312	       2.101035E-159	       3.633981E-316	        0.000000E+00	       2.715829E-162	       2.433662E-172	       1.384055E-158	       6.847934E-159	       1.286573E-164	       1.108028E-163	       1.004966E-309	        1.186888E-16	       3.138499E-163	        1.739850E-11	       5.487540E-307	        1.187008E-16	        2.491189E-24	       1.289789E-159	       1.609339E-157	       6.339991E-164	       2.168928E-201	       1.997192E-164	       6.755394E-183	       4.810393E-317	       1.537844E-176	       1.754040E-314	       5.900230E-160	       2.673187E-164	       2.520444E-168	       9.620745E-167	       2.695015E-171	       2.452241E-168	       1.409026E-161	       6.532972E-172	       4.940656E-324	       1.010317E-316	        0.000000E+00	       1.651485E-194	       3.145827E-309	       2.290710E-313	       6.334668E-176
        5.000000E-03	       2.563738E-163	       1.284263E-159	       7.514599E-292	       4.586173E-153	       2.461992E-152	       1.558369E-169	       1.013092E-298	       1.007873E-161	       6.704587E-157	       2.992612E-161	       1.579924E-150	       1.499635E-152	       6.344581E-300	       1.792032E-160	       5.337771E-178	       2.638267E-153	       2.888739E-153	       2.759146E-309	       2.862889E-151	       1.021437E-298	       5.291860E-155	       1.729151E-299	       1.554005E-152	       1.733990E-156	       5.238192E-305	       6.101709E-155	       5.358154E-151	        0.000000E+00	        5.814990E-11	       4.108341E-152	       8.355539E-154	       2.594617E-151	       8.598096E-154	       1.060080E-155	       1.202416E-163	       4.239009E-309	       2.306811E-300	       9.342711E-151	       1.409391E-163	       6.979001E-147	       1.519690E-149	       3.745359E-161	       2.127160E-315	       3.019111E-161	       5.262678E-151	       3.398482E-151	       4.752536E-296	       7.666361E-150	       2.436940E-299	       3.088115E-152	       8.885275E-303	       1.626622E-150	       1.760691E-160	        3.506681E-20	       2.714685E-155	       1.775938E-157	        0.000000E+00	       2.815754E-151	       3.200610E-153	       8.714891E-155	       1.420996E-308	        0.000000E+00	        1.984022E-13	       4.704106E-157	       5.313926E-154	       6.987891E-147	       6.810413E-302	       1.333839E-154	       8.861036E-307	        0.000000E+00	       7.230965E-157	       1.158493E-167	       3.329137E-153	       1.930255E-154	       8.406083E-160	       2.538188E-159	       2.311344E-300	        1.467935E-16	       1.210471E-158	        1.741157E-11	       1.294996E-297	        1.468117E-16	        3.802807E-24	       1.980651E-155	       2.447650E-153	       9.643204E-160	       1.426559E-186	       3.757246E-160	       5.284599E-177	       3.332571E-307	       3.191681E-172	       3.121934E-306	       1.106830E-155	       6.201930E-160	       5.879015E-165	       2.798562E-163	       7.927633E-169	       7.213418E-166	       4.098691E-158	       2.586226E-168	       2.369807E-315	       8.000928E-307	       2.238117E-321	       2.606807E-178	       4.544041E-300	       6.258039E-304	       5.098214E-172
        6.000000E-03	       3.140428E-159	       4.315898E-155	       1.126630E-279	       2.139940E-148	       1.392642E-146	       5.103708E-168	       4.730543E-288	       1.004339E-157	       3.087629E-151	       4.053743E-159	       7.931029E-146	       7.911529E-148	       1.124946E-290	       1.871818E-154	       3.118273E-174	       1.336551E-148	       9.708529E-149	       2.935354E-301	       1.336233E-146	       2.185443E-288	       1.238756E-150	       1.354316E-289	       7.251121E-148	       2.961092E-152	       1.583770E-294	       1.340578E-148	       1.410335E-145	        0.000000E+00	        5.819419E-11	       5.462944E-147	       3.898752E-149	       1.382010E-146	       7.578693E-150	       2.478047E-151	       3.237567E-160	       3.711430E-299	       6.834229E-288	       2.937578E-145	       1.489868E-160	       1.494462E-140	       7.628663E-145	       3.055791E-155	       4.455312E-306	       4.089639E-159	       2.458624E-146	       2.483370E-146	       5.764706E-284	       2.360078E-144	       4.111830E-290	       1.041524E-147	       2.572033E-292	       9.590203E-146	       2.385004E-158	        5.262356E-20	       4.458815E-149	       3.370206E-154	        0.000000E+00	       1.287655E-145	       2.049439E-147	       8.707563E-151	       2.026807E-299	        0.000000E+00	        2.426903E-13	       9.414145E-154	       9.825475E-149	       1.499346E-140	       1.144394E-292	       6.695712E-150	       3.960507E-298	        0.000000E+00	       4.812032E-151	       1.209619E-163	       2.683563E-147	       2.799829E-149	       1.041229E-153	       2.692461E-155	       1.869348E-289	        1.799703E-16	       1.033246E-154	        1.742700E-11	       2.370356E-287	        1.799977E-16	        5.703012E-24	       1.231195E-151	       9.608367E-149	       3.785806E-155	       1.470981E-182	       1.810213E-155	       1.431663E-171	       9.560526E-299	       3.180490E-168	       1.301962E-296	       5.934105E-151	       4.076443E-155	       1.135794E-161	       5.442687E-160	       5.274282E-166	       4.786002E-163	       7.971198E-155	       7.537703E-165	       6.942864E-306	       1.133277E-296	       5.071071E-313	       9.618472E-175	       2.478285E-289	       8.256046E-295	       1.139810E-168
        7.000000E-03	       9.912697E-156	       9.567604E-151	       1.107703E-269	       4.129863E-144	       8.031083E-142	       7.362427E-167	       1.321277E-278	       5.717245E-154	       2.581068E-146	       3.248741E-157	       1.750176E-141	       6.415253E-144	       2.021656E-282	       1.151867E-149	       1.601548E-170	       6.943431E-144	       2.151632E-144	       5.164443E-294	       2.583154E-142	       1.729244E-279	       4.465512E-147	       1.725115E-280	       1.399397E-143	       6.897246E-149	       2.548461E-285	       7.730568E-143	       1.207343E-140	        0.000000E+00	        5.824098E-11	       1.717759E-142	       7.524187E-145	       1.883437E-142	       3.216546E-146	       8.932806E-148	       7.290711E-157	       5.359286E-290	       1.296212E-277	       1.948829E-140	       7.501464E-157	       4.478620E-135	       1.683453E-140	       9.965880E-151	       5.826803E-297	       3.277508E-157	       4.749484E-142	       6.219133E-142	       9.960439E-274	       2.982575E-139	       2.011041E-281	       2.340237E-143	       3.464149E-282	       2.884185E-141	       1.911383E-156	        7.509015E-20	       6.354777E-144	       7.156073E-152	        0.000000E+00	       1.205221E-140	       2.349560E-142	       2.300084E-147	       1.249450E-192	        0.000000E+00	        2.894809E-13	       4.470483E-151	       1.171349E-143	       4.496310E-135	       5.595459E-284	       1.477573E-145	       5.424413E-290	        0.000000E+00	       1.312716E-146	       4.211106E-160	       2.289459E-142	       5.533294E-144	       1.306777E-148	       8.442817E-151	       1.106048E-280	        2.151556E-16	       3.015670E-151	        1.744336E-11	       2.073346E-278	        2.151947E-16	        8.132493E-24	       2.714461E-148	       4.578553E-145	       1.804163E-151	       3.234125E-180	       1.056932E-151	       1.616470E-166	       6.184208E-291	       1.810508E-164	       9.339269E-288	       4.598390E-147	       3.776323E-151	       2.712432E-158	       1.302716E-156	       3.169694E-163	       2.194265E-160	       1.907920E-151	       9.443546E-162	       5.878050E-298	       3.862487E-288	       5.049624E-306	       4.551532E-171	       1.488301E-280	       8.719085E-287	       8.260380E-165
        8.000000E-03	       2.006079E-152	       3.349809E-147	       4.472488E-260	       2.276726E-140	       2.221989E-137	       2.370920E-165	       2.099491E-270	       5.620766E-150	       8.650687E-142	       2.417825E-155	       9.129947E-138	       3.652751E-140	       4.025883E-275	       8.955235E-145	       1.212741E-166	       2.239191E-139	       7.525158E-141	       2.138513E-286	       1.435578E-138	       2.752642E-271	       2.791236E-143	       8.834908E-272	       7.714676E-140	       2.062347E-145	       2.749153E-277	       3.084118E-138	       2.837480E-136	       2.677332E-318	        5.829023E-11	       1.714589E-138	       4.147962E-141	       3.717257E-138	       1.556202E-142	       5.584050E-144	       2.633421E-154	       9.068279E-282	       3.718727E-268	       6.107502E-136	       7.315390E-153	       4.131596E-130	       8.781882E-137	       6.146612E-146	       1.410525E-289	       2.439234E-155	       2.632267E-138	       7.748003E-138	       2.542262E-264	       2.500271E-134	       3.673566E-274	       9.200929E-140	       2.605666E-273	       4.356046E-137	       1.422517E-154	        1.031152E-19	       2.177951E-139	       2.506391E-150	        0.000000E+00	       2.859649E-136	       1.139744E-137	       3.988464E-144	       1.648663E-175	        0.000000E+00	        3.387318E-13	       6.068514E-150	       3.882277E-139	       4.150721E-130	       1.020832E-276	       7.707890E-142	       4.345114E-283	        0.000000E+00	       6.903564E-142	       3.186733E-156	       1.769195E-137	       4.962986E-139	       5.936048E-144	       3.540711E-146	       4.208373E-272	        2.523322E-16	       1.950281E-147	        1.746065E-11	       1.236975E-269	        2.523858E-16	        1.116040E-23	       1.979986E-144	       1.888704E-141	       7.443077E-148	       2.009879E-177	       6.461104E-148	       7.963571E-162	       1.398766E-283	       1.779956E-160	       1.375551E-279	       2.320720E-143	       2.235067E-147	       4.326579E-155	       2.079878E-153	       8.738967E-160	       5.585811E-158	       3.046128E-148	       5.565097E-159	       4.921120E-290	       4.568934E-280	       8.761839E-300	       3.659517E-167	       2.789323E-272	       1.257927E-279	       2.480075E-161
        9.000000E-03	       4.562505E-149	       1.749548E-143	       2.071216E-251	       3.350451E-137	       4.600888E-133	       5.632166E-164	       2.249319E-262	       2.581749E-146	       1.772219E-137	       3.855262E-154	       6.569497E-134	       7.982109E-137	       4.599425E-268	       1.892594E-140	       3.442564E-163	       3.196184E-135	       3.934232E-137	       8.211585E-279	       2.523345E-135	       2.166359E-263	       2.026368E-139	       2.457568E-263	       1.135304E-136	       2.447590E-142	       2.955128E-269	       1.126717E-133	       7.301209E-132	       9.175778E-311	        5.834189E-11	       1.718564E-134	       6.104179E-138	       1.140593E-133	       8.753272E-139	       4.053874E-140	       5.708358E-152	       7.529159E-274	       2.462346E-259	       8.893303E-132	       8.924745E-149	       1.651466E-125	       6.319048E-133	       6.865786E-142	       3.741468E-282	       3.889400E-154	       3.935333E-135	       3.414010E-134	       2.103643E-255	       9.475706E-130	       1.382611E-266	       7.666753E-136	       5.290306E-265	       9.063215E-133	       2.268228E-153	        1.373646E-19	       3.125114E-135	       1.076252E-148	        0.000000E+00	       7.341427E-132	       2.404278E-133	       7.935751E-141	       7.151433E-170	        0.000000E+00	        3.903896E-13	       3.011389E-148	       5.560588E-135	       1.660284E-125	       3.840124E-269	       5.546250E-138	       4.025694E-276	        0.000000E+00	       6.675820E-138	       5.859945E-153	       6.193168E-133	       1.981929E-134	       1.216416E-139	       8.935263E-142	       3.495747E-264	        2.914731E-16	       3.111737E-144	        1.747885E-11	       7.888943E-262	        2.915444E-16	        1.485757E-23	       1.981952E-141	       5.555647E-138	       2.189608E-144	       4.714824E-174	       5.327082E-144	       1.699076E-157	       1.166798E-276	       8.175752E-157	       4.507568E-272	       7.657305E-140	       8.518303E-144	       3.546730E-152	       1.705106E-150	       1.727773E-156	       1.072514E-155	       2.497247E-145	       9.921220E-157	       6.352481E-283	       2.343409E-272	       6.746769E-294	       3.095253E-164	       1.681364E-264	       1.934503E-272	       3.725281E-158
        1.010000E-02	       6.675369E-146	       1.537431E-139	       2.325203E-242	       1.500372E-133	       1.420455E-128	       3.119175E-162	       1.008314E-253	       7.317289E-143	       6.196383E-133	       1.388184E-152	       5.241435E-130	       2.777955E-133	       1.406833E-260	       5.019985E-136	       9.597578E-160	       5.358734E-131	       3.457734E-133	       8.629679E-271	       2.197363E-131	       1.590368E-255	       1.363871E-135	       1.928681E-254	       5.084049E-133	       2.397827E-138	       3.697001E-261	       4.846820E-129	       1.846384E-127	       2.677052E-303	        5.840141E-11	       3.394083E-130	       2.733524E-134	       4.851722E-129	       5.676715E-135	       2.729322E-136	       8.213500E-150	       1.459215E-265	       5.074292E-250	       2.164973E-127	       7.906606E-145	       9.573927E-121	       5.041618E-129	       1.308225E-137	       4.663634E-274	       1.400476E-152	       1.858907E-131	       5.618249E-130	       3.765261E-246	       5.412105E-125	       9.713953E-259	       1.381715E-131	       1.143015E-256	       3.029198E-128	       8.167322E-152	        1.830418E-19	       5.243317E-131	       7.494589E-147	        0.000000E+00	       1.856467E-127	       1.123735E-128	       1.185637E-137	       1.298606E-165	        0.000000E+00	        4.499177E-13	       2.087577E-146	       9.317304E-131	       9.632913E-121	       2.692727E-261	       4.425042E-134	       7.151060E-269	        0.000000E+00	       1.100967E-133	       2.458240E-149	       3.451877E-128	       1.148810E-129	       6.204315E-135	       5.369790E-137	       8.329505E-256	        3.367625E-16	       1.132658E-140	        1.749991E-11	       1.664698E-253	        3.368576E-16	        1.978372E-23	       4.412553E-138	       3.154993E-134	       1.243599E-140	       5.117569E-173	       2.067308E-139	       8.067608E-153	       3.732702E-269	       2.317202E-153	       3.851889E-264	       5.926971E-136	       7.617568E-140	       5.227941E-149	       2.513402E-147	       2.448137E-152	       1.440802E-153	       3.681054E-142	       3.651736E-154	       1.596875E-275	       4.017505E-264	       1.220417E-287	       9.369558E-162	       4.870107E-256	       9.655309E-265	       1.671088E-154
        1.110000E-02	       7.887542E-144	       1.631891E-136	       2.009133E-234	       5.242925E-130	       1.517337E-124	       2.021411E-160	       1.863677E-246	       1.264665E-139	       3.149785E-129	       4.407516E-152	       1.275193E-126	       4.884073E-130	       2.625372E-254	       2.377021E-132	       8.629353E-158	       4.023856E-127	       3.670142E-130	       3.665988E-264	       1.155257E-127	       2.407044E-249	       1.598192E-132	       5.221754E-247	       1.776587E-129	       1.630111E-135	       2.300036E-254	       5.024008E-125	       1.075194E-123	       3.107784E-296	        5.845784E-11	       1.753045E-126	       9.552073E-131	       5.024904E-125	       6.796689E-132	       3.199365E-133	       4.283308E-148	       4.664907E-258	       8.034441E-242	       9.022983E-124	       5.376045E-141	       1.383289E-116	       1.226580E-125	       9.606288E-134	       2.080493E-267	       4.446544E-152	       6.593215E-128	       3.393903E-126	       5.812916E-238	       7.785458E-121	       2.524349E-252	       7.042495E-128	       2.056777E-249	       3.080326E-124	       2.593144E-151	        2.325170E-19	       3.943302E-127	       1.939515E-145	        0.000000E+00	       1.079409E-123	       1.842023E-124	       1.260296E-134	       4.312715E-164	        0.000000E+00	        5.063470E-13	       5.922901E-145	       7.003937E-127	       1.392893E-116	       6.953588E-255	       1.076572E-130	       5.133994E-263	        0.000000E+00	       7.167163E-130	       5.502915E-146	       4.928640E-124	       1.659826E-125	       1.080382E-130	       1.018234E-132	       4.284237E-248	        3.798627E-16	       2.252953E-137	        1.751996E-11	       4.784226E-246	        3.799834E-16	        2.511458E-23	       1.250247E-134	       7.295233E-131	       2.875865E-137	       3.927012E-170	       3.609250E-135	       1.328893E-148	       7.880758E-263	       4.004878E-150	       1.462498E-257	       9.220063E-133	       1.336603E-136	       1.373817E-146	       6.604816E-145	       1.772426E-148	       1.166353E-151	       9.673217E-140	       2.089397E-152	       3.916835E-269	       3.482318E-257	       2.835371E-282	       4.960170E-160	       1.960933E-248	       2.369751E-258	       3.463943E-151
        1.210000E-02	       3.515772E-141	       2.592338E-133	       2.473561E-226	       5.199117E-128	       6.818477E-121	       2.869650E-158	       1.373410E-239	       2.341140E-136	       2.794262E-125	       3.847751E-151	       1.907454E-123	       1.016606E-126	       8.679359E-248	       1.857411E-128	       7.716937E-156	       1.419280E-123	       5.829202E-127	       7.546111E-258	       6.200897E-124	       1.415703E-242	       3.995622E-129	       9.206611E-240	       1.761751E-127	       2.675497E-133	       3.632602E-247	       2.784497E-121	       7.161612E-120	       3.502238E-290	        5.851653E-11	       1.126632E-122	       9.472260E-129	       2.784689E-121	       1.658342E-128	       7.994808E-130	       1.062455E-147	       3.792405E-251	       3.133667E-234	       8.214497E-120	       4.101430E-137	       2.041519E-112	       1.834741E-122	       7.259515E-130	       5.139688E-261	       3.881823E-151	       1.302647E-125	       1.065480E-122	       3.854001E-230	       1.147463E-116	       6.208814E-246	       5.016917E-124	       6.556288E-242	       1.557568E-120	       2.263809E-150	        2.904063E-19	       1.387028E-123	       1.886060E-144	        0.000000E+00	       7.200045E-120	       1.504893E-120	       3.847345E-131	       5.082806E-162	        0.000000E+00	        5.650383E-13	       7.199299E-144	       2.463441E-123	       2.057358E-112	       1.652013E-248	       1.610353E-127	       2.549766E-257	        0.000000E+00	       4.842516E-126	       1.125933E-142	       7.247258E-120	       2.449641E-121	       5.012803E-127	       7.145426E-129	       1.008035E-240	        4.248717E-16	       4.130875E-134	        1.754089E-11	       1.294619E-238	        4.250223E-16	        3.134633E-23	       3.322914E-131	       6.554080E-128	       2.583990E-134	       5.375889E-171	       3.261893E-131	       1.088132E-144	       2.295008E-256	       7.413802E-147	       5.191790E-251	       1.134241E-129	       1.839018E-133	       3.304533E-144	       1.588701E-142	       1.788966E-145	       3.431880E-150	       2.326764E-137	       2.403562E-150	       1.361007E-262	       2.857601E-250	       9.947540E-278	       3.769954E-158	       8.174074E-242	       3.381458E-252	       1.098165E-148
        1.310000E-02	       2.053684E-139	       7.478502E-130	       3.924942E-219	       3.408384E-125	       5.391488E-117	       1.305171E-156	       2.982550E-232	       6.786371E-133	       2.288804E-121	       1.813951E-151	       2.972864E-120	       1.445250E-123	       3.560635E-241	       1.328829E-124	       3.017390E-154	       2.339731E-120	       1.682126E-123	       1.795487E-251	       3.530433E-120	       5.350665E-237	       7.251956E-126	       1.684955E-232	       1.154956E-124	       6.186249E-131	       2.271114E-240	       1.682468E-117	       3.689103E-116	       4.982865E-284	        5.857747E-11	       5.746669E-119	       6.209727E-126	       1.682496E-117	       2.962700E-125	       1.451299E-126	       9.956976E-148	       1.245885E-244	       1.583086E-226	       2.794551E-116	       7.445421E-134	       1.466755E-108	       2.859539E-119	       1.572657E-126	       3.010617E-254	       1.830013E-151	       1.531322E-122	       5.836640E-119	       2.189898E-222	       8.234122E-113	       2.823172E-239	       2.852031E-120	       2.248735E-235	       1.057058E-116	       1.067231E-150	        3.574901E-19	       2.254401E-120	       2.790426E-143	        0.000000E+00	       3.702182E-116	       6.350027E-117	       6.567408E-128	       7.824660E-161	        0.000000E+00	        6.259772E-13	       7.495716E-143	       4.003974E-120	       1.479382E-108	       7.429904E-242	       2.509817E-124	       4.990301E-252	        0.000000E+00	       9.447459E-123	       6.570930E-140	       5.189645E-116	       1.759975E-117	       3.772410E-123	       5.854057E-125	       1.564671E-233	        4.717838E-16	       2.176085E-131	        1.756270E-11	       4.899819E-232	        4.719691E-16	        3.856139E-23	       3.087541E-128	       2.138480E-124	       8.432109E-131	       7.048121E-169	       1.530688E-127	       4.596100E-141	       3.488731E-250	       2.149074E-143	       7.109482E-245	       2.861217E-126	       5.151067E-130	       6.298350E-142	       3.028020E-140	       5.899525E-142	       1.049433E-149	       4.434748E-135	       1.107701E-148	       2.583575E-256	       6.792523E-243	       3.044989E-272	       2.233651E-156	       2.007106E-234	       3.183752E-245	       1.689119E-146
