T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	9.993250E+01
1.025000E+03	9.756100E-01	5.578370E+01
1.050000E+03	9.523810E-01	3.091140E+01
1.075000E+03	9.302330E-01	1.705410E+01
1.100000E+03	9.090910E-01	9.596050E+00
1.125000E+03	8.888890E-01	5.706390E+00
1.150000E+03	8.695650E-01	3.610850E+00
1.175000E+03	8.510640E-01	2.447300E+00
1.200000E+03	8.333330E-01	1.726130E+00
1.225000E+03	8.163270E-01	1.249390E+00
1.250000E+03	8.000000E-01	9.211570E-01
1.275000E+03	7.843140E-01	6.994500E-01
1.300000E+03	7.692310E-01	5.375810E-01
1.325000E+03	7.547170E-01	4.153910E-01
1.350000E+03	7.407410E-01	3.348060E-01
1.375000E+03	7.272730E-01	2.428040E-01
1.400000E+03	7.142860E-01	1.909690E-01
1.425000E+03	7.017540E-01	1.674180E-01
1.450000E+03	6.896550E-01	1.197940E-01
1.475000E+03	6.779660E-01	1.043280E-01
1.500000E+03	6.666670E-01	8.573590E-02
1.525000E+03	6.557380E-01	8.248900E-02
1.550000E+03	6.451610E-01	5.791010E-02
1.575000E+03	6.349210E-01	5.089770E-02
1.600000E+03	6.250000E-01	3.118650E-02
1.625000E+03	6.153850E-01	2.130180E-02
1.650000E+03	6.060610E-01	2.384790E-02
1.675000E+03	5.970150E-01	1.878010E-02
1.700000E+03	5.882350E-01	1.655520E-02
