            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        3.255192E-16	        1.450314E-18	       -4.240777E-16	        2.230854E-13	        4.456915E-14	        1.931001E-15	       -1.015166E-18	        1.315148E-19	        4.788497E-16	       -2.480027E-09	        3.868856E-13	        2.714558E-13	       -4.038642E-16	        9.551530E-12	        2.286724E-29	        4.406635E-12	        4.098002E-13	        2.033297E-26	        1.795001E-11	       -2.911787E-12	        2.602329E-15	        5.040820E-21	        7.559707E-13	       -8.487456E-13	        8.200216E-26	        4.125514E-15	        6.650971E-12	        0.000000E+00	        4.289499E-10	        3.245760E-12	        3.646401E-14	        2.755925E-12	        7.298521E-11	        1.838661E-09	        2.637661E-16	       -7.713112E-23	        8.213883E-23	        2.366350E-11	        6.257083E-10	        2.673098E-11	        4.759869E-10	       -4.303841E-12	        0.000000E+00	        1.031154E-13	        1.580098E-11	        5.597029E-10	       -1.744547E-14	        5.527056E-12	        2.693936E-21	        9.686310E-08	        5.177890E-24	        9.660170E-08	        6.273804E-13	       -1.274459E-10	        1.828185E-09	        1.365757E-13	        0.000000E+00	        1.727407E-12	       -2.820948E-10	        8.467514E-12	        6.676278E-28	       -1.582056E-12	        1.502789E-23	        6.829906E-13	        1.422976E-13	        9.627398E-08	       -5.500284E-10	       -1.526248E-16	       -4.054090E-11	       -9.622256E-08	        9.622256E-08	        3.966145E-27	        1.050532E-23	        3.172950E-14	        3.699602E-19	        6.736125E-16	        1.974242E-21	        6.601252E-20	        1.180396E-15	        6.080990E-26	       -3.506233E-14	       -3.378454E-16	        3.668023E-16	       -1.028395E-12	        1.028393E-12	        5.973615E-19	        1.475859E-15	       -2.500422E-17	        2.073004E-30	        1.960095E-23	        4.931952E-23	       -4.542392E-15	       -2.156792E-10	        1.231567E-18	        3.062926E-17	        1.472830E-15	        1.823457E-27	        0.000000E+00	        2.156822E-10	        1.452590E-31	        0.000000E+00	        1.306569E-25	        0.000000E+00	        0.000000E+00	        3.101135E-21	        1.660005E-22	        0.000000E+00
        2.000000E-03	        1.081473E-14	        5.990954E-17	       -1.282228E-13	        5.363523E-12	        1.099390E-12	       -3.121634E-13	       -3.074405E-16	        5.531054E-14	        1.296741E-13	       -4.021489E-08	        1.617366E-12	        7.640521E-12	       -1.762661E-13	        1.546685E-10	        1.607177E-26	        1.404284E-10	        6.045519E-12	        7.921530E-24	        3.417566E-10	       -8.483393E-11	        1.892956E-14	       -6.791367E-18	        1.344237E-11	       -3.841460E-11	        7.647979E-23	       -4.876660E-14	        1.808600E-10	        0.000000E+00	        1.064879E-09	        8.967927E-11	        6.927056E-13	        7.370939E-11	        1.082260E-09	        2.974950E-08	        2.405712E-14	       -7.263516E-19	        7.390052E-19	        5.879682E-10	        1.012799E-08	        4.395820E-10	        7.791241E-09	       -1.887359E-11	        4.028214E-26	        4.918729E-12	        3.579568E-10	        9.254744E-09	       -1.626544E-12	        1.445011E-10	        3.717214E-19	        1.522580E-06	        2.949239E-20	        1.514245E-06	        3.096668E-11	       -1.646919E-09	        2.983010E-08	        3.079660E-12	        0.000000E+00	        4.203023E-11	       -3.599322E-10	        3.010160E-10	        1.636008E-25	       -8.668638E-11	        1.663922E-21	        4.489078E-11	        5.025180E-12	        1.513284E-06	       -8.995733E-09	       -9.096289E-15	       -1.072417E-09	       -1.511999E-06	        1.511999E-06	        1.134516E-24	        1.152113E-21	        1.861792E-13	       -6.941372E-18	        6.409089E-15	       -1.116542E-15	        3.039264E-18	        1.645857E-14	        1.820995E-23	       -2.271220E-13	        8.483315E-15	        2.375332E-15	       -4.542580E-12	        4.543069E-12	        4.917351E-18	        9.547680E-15	       -1.186372E-15	        8.686518E-29	       -3.585809E-21	        9.360707E-21	       -2.947250E-14	       -4.148596E-09	        2.033024E-17	       -1.658168E-13	        2.834015E-14	       -3.358640E-16	        1.662234E-13	        4.148597E-09	        3.815509E-29	        5.394894E-24	        3.096553E-23	        0.000000E+00	        3.984959E-34	        8.545710E-19	        3.103007E-20	        2.519280E-22
        3.100000E-03	        1.716615E-13	        2.303293E-15	       -1.008336E-11	        4.967129E-11	       -1.458705E-11	       -3.633711E-11	       -1.960047E-14	       -3.855542E-12	        3.005722E-11	       -3.511878E-07	        3.965353E-12	        9.017291E-11	       -1.592357E-11	        1.343683E-09	        3.171925E-24	        1.951649E-09	        5.445866E-11	        6.894592E-22	        3.047778E-09	       -1.105177E-09	        1.151779E-13	       -9.739881E-16	       -1.619712E-10	       -7.680345E-10	        1.269047E-20	       -6.859106E-11	        2.294110E-09	        0.000000E+00	        1.029880E-08	        8.575148E-10	        5.660035E-12	        8.472148E-10	        9.384973E-09	        2.593035E-07	        4.292981E-13	       -9.754236E-16	       -1.765328E-13	        6.563643E-09	        8.831350E-08	        4.338999E-09	        6.638142E-08	       -5.254430E-11	        7.057990E-23	        9.263782E-11	        3.095477E-09	        8.062901E-08	       -7.029061E-11	        2.516625E-09	        1.893001E-17	        1.289394E-05	        2.940172E-17	        1.282240E-05	        6.199600E-10	       -2.052103E-08	        2.627498E-07	        3.624925E-13	        0.000000E+00	        6.108647E-10	       -1.461074E-09	        4.887027E-09	        1.256838E-23	       -1.865904E-09	        1.116939E-19	        1.066797E-09	        8.971708E-11	        1.281640E-05	       -7.733713E-08	       -2.071051E-13	       -1.244655E-08	       -1.279964E-05	        1.279966E-05	        3.453820E-22	        7.705189E-20	        3.016023E-13	       -1.192888E-14	        2.361037E-14	       -5.035513E-14	        6.521728E-17	        2.765569E-13	        1.560121E-21	       -8.852008E-13	        3.258929E-13	        9.333859E-15	       -1.348879E-11	        1.386026E-11	        1.016372E-16	        3.660354E-14	       -2.565756E-14	        1.386890E-27	       -8.486538E-17	        4.468570E-19	       -1.166659E-13	       -9.454835E-08	        3.276629E-16	       -2.167807E-11	        3.472830E-13	        2.832537E-15	        2.166876E-11	        9.454775E-08	        9.668196E-15	        3.386496E-21	        2.034037E-21	        0.000000E+00	        7.646115E-30	        6.923394E-17	        1.416263E-18	        6.563850E-20
        4.100000E-03	       -2.359716E-11	        7.197783E-14	       -2.537115E-10	        2.059639E-10	       -4.077692E-10	       -1.005062E-09	       -1.697719E-13	       -1.961796E-10	        1.724337E-09	       -1.495001E-06	       -1.583637E-12	        4.503115E-10	       -2.992062E-10	        5.501872E-09	        1.744520E-22	        1.414889E-08	        1.116071E-10	       -3.897263E-18	        8.026254E-09	       -5.941006E-09	        1.609391E-12	       -2.269589E-14	       -6.879366E-09	       -6.262707E-09	       -3.774345E-17	       -4.205818E-09	        1.570061E-08	        0.000000E+00	        7.496554E-08	       -5.677178E-10	       -4.021746E-11	        4.957848E-09	        4.720034E-08	        1.102608E-06	        6.348732E-12	       -1.287177E-13	       -1.698704E-11	        2.618785E-08	        3.756616E-07	        2.488935E-08	        2.719366E-07	       -1.023429E-10	        8.965783E-21	        5.431712E-10	       -6.097213E-10	        3.463148E-07	       -9.760102E-10	        2.501265E-08	        3.820438E-16	        5.059926E-05	        4.639745E-15	        5.033426E-05	        4.739325E-09	       -1.366969E-07	        1.130587E-06	       -2.666850E-10	        0.000000E+00	        4.293859E-09	       -8.617352E-09	        4.540860E-08	        5.930342E-22	       -1.480937E-08	        2.406404E-18	        8.801804E-09	        7.940171E-10	        5.029989E-05	       -3.268038E-07	       -2.755484E-12	       -6.050408E-08	       -5.018767E-05	        5.018848E-05	        2.720885E-20	        1.659567E-18	       -2.558320E-12	       -5.255221E-13	       -1.698688E-13	       -6.209890E-13	        5.629070E-16	        1.825521E-12	        3.888707E-20	       -2.372952E-12	        4.575296E-12	        2.663413E-14	       -2.102034E-11	        3.019677E-11	       -2.022256E-13	        9.137334E-14	       -5.820768E-14	        3.066035E-24	       -4.475727E-15	       -5.165645E-17	       -3.473261E-13	       -7.858800E-07	        3.304347E-15	       -2.932711E-10	       -1.358303E-12	        1.187571E-13	        2.930682E-10	        7.858722E-07	        4.085956E-13	        1.937974E-20	        5.057638E-20	        3.921351E-23	        2.987151E-27	        1.370682E-15	        1.774264E-17	        1.492930E-18
        5.000000E-03	       -9.123400E-10	        1.000941E-12	       -3.375560E-09	        3.371678E-10	       -4.642000E-09	       -6.815388E-09	        6.108238E-13	       -2.160773E-09	        2.194221E-08	       -3.975999E-06	       -1.261448E-10	        1.343525E-09	       -2.398178E-09	        1.174658E-08	        8.789431E-20	        7.821114E-08	       -1.879290E-09	       -3.613471E-15	       -2.061274E-08	       -1.749909E-08	        2.033673E-11	       -2.176779E-13	       -5.988195E-08	       -2.567176E-08	       -5.297521E-16	       -5.634674E-08	        8.563260E-08	        0.000000E+00	        3.971787E-07	       -4.162104E-08	       -1.061550E-09	        2.179719E-08	        1.398125E-07	        2.932078E-06	        7.719172E-11	       -3.909090E-12	       -3.538792E-10	        1.676057E-08	        9.999795E-07	        1.186792E-07	        6.914200E-07	       -1.648511E-10	        1.882354E-19	        5.876363E-10	       -9.047595E-08	        9.236809E-07	       -6.076717E-09	        1.191713E-07	        3.701395E-15	        1.253236E-04	        1.037850E-13	        1.248485E-04	        1.874070E-08	       -6.771500E-07	        3.043596E-06	       -1.355847E-09	        0.000000E+00	        1.820129E-08	       -3.976712E-08	        2.533349E-07	        2.426785E-20	       -6.039132E-08	        2.040498E-17	        3.623193E-08	        3.974110E-09	        1.247231E-04	       -8.514411E-07	       -2.792954E-11	       -1.650943E-07	       -1.241828E-04	        1.241878E-04	        4.945926E-19	        1.407368E-17	       -1.620585E-11	       -6.773071E-12	       -4.997014E-12	       -3.034123E-12	        1.631642E-15	        5.629772E-13	        5.166749E-19	       -5.865147E-12	        3.765353E-11	        7.513205E-14	        1.985180E-12	        5.311233E-11	       -2.077489E-12	        1.946973E-13	        5.717809E-13	        1.564979E-22	       -5.727235E-14	       -3.049782E-15	       -1.087112E-12	       -3.461812E-06	        1.976691E-14	       -1.777888E-09	       -1.406485E-11	        1.023628E-12	        1.776333E-09	        3.461770E-06	        2.959868E-12	       -7.659610E-18	        6.520710E-19	        7.597145E-22	        1.941153E-25	        1.130572E-14	        1.031467E-16	        1.863569E-17
        6.000000E-03	       -1.138161E-08	        5.491643E-12	       -3.927995E-08	       -1.616574E-09	       -5.767933E-08	       -1.852929E-08	        8.414392E-12	       -2.219970E-08	        1.123662E-07	       -9.468016E-06	       -1.763024E-09	        3.593365E-09	       -1.800522E-08	       -1.868505E-08	        1.251978E-17	        4.415517E-07	       -3.254722E-08	       -4.776660E-13	       -3.217368E-07	       -3.821123E-08	        2.321465E-10	       -2.310225E-12	       -3.474677E-07	       -7.440652E-08	       -3.689292E-15	       -3.629418E-07	        4.527278E-07	        1.371694E-23	        2.315112E-06	       -4.031574E-07	       -1.207491E-08	        6.008054E-08	        3.502492E-07	        6.996730E-06	        7.797184E-10	       -8.348239E-11	       -5.508059E-09	       -4.351334E-07	        2.396809E-06	        7.663732E-07	        1.578749E-06	       -2.829269E-10	       -5.195454E-18	       -6.904883E-09	       -5.487417E-07	        2.225550E-06	       -2.992341E-08	        8.381017E-08	        3.143655E-14	        2.968589E-04	        2.610200E-13	        2.970373E-04	        5.801616E-08	       -3.895732E-06	        7.358678E-06	       -4.243380E-10	        0.000000E+00	        6.872819E-08	       -1.941287E-07	        1.104633E-06	        2.036955E-19	       -1.951418E-07	        1.462682E-16	        1.134930E-07	        1.601537E-08	        2.968075E-04	       -1.962173E-06	       -2.793624E-10	       -3.382993E-07	       -2.938757E-04	        2.938816E-04	       -1.252826E-18	        1.082841E-16	       -6.476324E-11	       -7.011072E-11	       -1.062006E-10	       -1.069573E-11	       -1.271750E-13	       -6.178481E-11	        7.914561E-18	       -1.995371E-11	        3.414610E-10	        2.460763E-13	        1.362011E-10	        9.133736E-11	       -1.183639E-11	        5.329467E-13	        4.634972E-12	        4.508775E-21	       -5.757753E-13	       -3.232770E-14	       -4.404538E-12	       -1.253228E-05	        1.112316E-13	       -8.089537E-09	       -5.444810E-11	        5.289530E-12	        8.081101E-09	        1.253210E-05	        1.444182E-11	       -3.275234E-16	       -8.729322E-17	        8.266672E-21	        9.729659E-24	        7.535506E-14	        4.552672E-16	        2.383670E-16
        7.000000E-03	       -6.095426E-08	       -8.070199E-11	       -2.479174E-07	       -1.859651E-08	       -5.417455E-07	       -2.307266E-08	       -2.459383E-10	       -1.652834E-07	       -1.739251E-08	       -2.121721E-05	       -1.556964E-08	        8.816213E-09	       -9.313060E-08	       -4.980109E-07	        4.398758E-16	        1.761914E-06	       -2.410680E-07	       -2.275881E-11	       -1.801326E-06	       -5.825254E-08	        1.685183E-09	       -2.537457E-11	       -1.096459E-06	       -9.013951E-08	       -2.546241E-14	       -1.133495E-06	        1.644229E-06	       -7.797977E-18	        1.225718E-05	       -2.054035E-06	       -7.925349E-08	        6.484780E-08	        7.306855E-07	        1.576009E-05	        4.979677E-09	       -1.053399E-09	       -5.686477E-08	       -3.877830E-06	        5.459075E-06	        4.935908E-06	        3.506484E-06	       -7.121609E-10	       -3.135015E-16	       -3.093215E-08	       -1.564124E-06	        5.233662E-06	       -1.092658E-07	       -4.026200E-06	        1.784287E-13	        7.205499E-04	       -1.163139E-11	        7.260103E-04	        1.367513E-07	       -2.080978E-05	        1.675167E-05	        2.005215E-08	        0.000000E+00	        1.753187E-07	       -7.838682E-07	        2.935889E-06	       -6.337867E-17	       -4.830309E-07	        8.907796E-16	        2.594564E-07	        4.214080E-08	        7.276089E-04	       -4.228445E-06	       -1.830462E-09	       -4.655261E-07	       -7.126814E-04	        7.126446E-04	       -4.219363E-17	        6.844319E-16	       -1.660929E-10	       -4.417095E-10	       -8.916579E-10	       -3.769040E-11	       -2.694001E-12	       -2.652727E-10	        9.444372E-17	       -7.419935E-11	        1.913573E-09	        5.528838E-13	        4.253609E-10	        1.523571E-10	       -2.283616E-11	        1.817605E-12	        1.425991E-11	        7.056722E-20	       -3.899105E-12	       -2.541316E-13	       -1.440222E-11	       -2.976721E-05	        4.740397E-13	       -1.909544E-08	       -1.110188E-10	        1.290797E-11	        1.907223E-08	        2.976672E-05	        2.300452E-11	       -6.310858E-15	       -5.291313E-15	        5.328114E-20	        2.548466E-22	        3.316885E-13	       -2.724968E-16	        1.853767E-15
        8.000000E-03	       -1.824498E-07	       -1.574638E-09	       -9.031590E-07	       -7.964992E-08	       -2.605133E-06	       -2.012358E-08	       -3.606698E-09	       -6.775397E-07	       -2.306267E-06	       -4.983794E-05	       -8.722886E-08	        2.212809E-08	       -2.921000E-07	       -2.885824E-06	        1.106407E-14	        4.707413E-06	       -9.768640E-07	       -3.620607E-10	       -5.509578E-06	       -8.960783E-08	        7.919679E-09	       -2.473908E-10	       -1.789243E-06	        1.917657E-08	       -1.923989E-13	       -2.481018E-06	        3.896287E-06	       -3.031054E-15	        5.113826E-05	       -5.302544E-06	       -2.915201E-07	        1.568455E-09	        1.362586E-06	        3.718382E-05	        1.804450E-08	       -8.763444E-09	       -4.088303E-07	       -1.780507E-05	        1.314699E-05	        2.244453E-05	        8.412039E-06	       -3.030247E-09	       -9.057048E-15	       -5.934106E-08	       -2.560123E-06	        1.265832E-05	       -3.375161E-07	       -3.220960E-05	        4.691856E-13	        1.859832E-03	       -1.754138E-10	        1.884435E-03	        3.100454E-07	       -8.596843E-05	        4.000778E-05	        5.363044E-08	        0.000000E+00	        1.753732E-07	       -2.254609E-06	        4.618429E-06	        6.651094E-16	       -1.117414E-06	        4.252624E-15	        5.572832E-07	        6.035751E-08	        1.900216E-03	       -9.614580E-06	       -8.008100E-09	       -4.686304E-07	       -1.839113E-03	        1.838953E-03	       -5.724012E-17	        2.812200E-15	       -2.430247E-10	       -1.379050E-09	       -2.716744E-09	       -1.487906E-10	       -1.803938E-11	       -3.250199E-10	        6.855449E-16	       -2.158244E-10	        5.167964E-09	       -4.341120E-13	        6.234308E-10	        2.419549E-10	       -3.135286E-12	        6.211080E-12	        9.356825E-12	        6.655223E-19	       -1.518462E-11	       -1.467386E-12	       -3.116056E-11	       -4.264027E-05	        1.413688E-12	       -2.754062E-08	       -1.157527E-10	        2.426366E-11	        2.750000E-08	        4.263948E-05	       -2.811677E-11	       -5.801539E-14	       -3.834718E-14	        2.224095E-19	        2.938755E-21	        9.197342E-13	       -1.844148E-14	        9.249546E-15
        9.000000E-03	       -3.154105E-07	       -1.136181E-08	       -2.086334E-06	       -1.409565E-07	       -6.394190E-06	       -3.326077E-07	       -1.977365E-08	       -1.844825E-06	       -9.138583E-06	       -1.124984E-04	       -3.241497E-07	        5.613756E-08	       -6.857255E-07	       -8.293116E-06	        1.648022E-13	        8.765943E-06	       -2.443725E-06	       -2.023442E-09	       -9.761484E-06	       -2.039854E-07	        2.895615E-08	       -1.743676E-09	       -1.448997E-06	       -9.801470E-08	       -1.125540E-12	       -4.534122E-06	        6.691450E-06	       -5.010722E-14	        1.642709E-04	       -8.103955E-06	       -5.259824E-07	        2.593729E-08	        2.651765E-06	        8.394633E-05	        3.206740E-08	       -4.781195E-08	       -2.020192E-06	       -4.743218E-05	        3.066491E-05	        6.592935E-05	        2.005396E-05	       -1.208796E-08	       -1.464345E-13	       -4.950790E-08	       -3.008017E-06	        2.832947E-05	       -8.873822E-07	       -1.413812E-04	       -1.172904E-12	        4.478085E-03	       -1.463514E-09	        4.544001E-03	        7.952868E-07	       -2.601738E-04	        9.211490E-05	       -1.061235E-07	        0.000000E+00	       -4.816385E-07	       -8.070267E-06	        4.684778E-06	        2.397496E-14	       -2.711915E-06	        1.275917E-14	        1.324839E-06	       -6.927132E-08	        4.624352E-03	       -2.234332E-05	       -3.173072E-08	       -3.942644E-07	       -4.431039E-03	        4.430961E-03	        8.465081E-17	        6.336608E-15	       -1.534413E-10	       -2.393956E-09	       -4.039332E-09	       -4.610424E-10	       -6.503240E-11	       -1.422070E-10	        3.066702E-15	       -4.448989E-10	        8.073766E-09	       -1.317141E-11	        5.747008E-10	        3.463831E-10	        2.700859E-09	        1.846357E-11	       -6.758899E-11	        4.547570E-18	       -3.437783E-11	       -5.255522E-12	       -5.172488E-11	       -4.119773E-05	        3.292835E-12	       -2.721297E-08	       -4.906558E-11	        3.190859E-11	        2.716238E-08	        4.119679E-05	       -2.830621E-09	       -2.780724E-13	       -6.169145E-13	        6.992604E-19	       -9.361672E-21	        1.644981E-12	       -8.228490E-14	        2.614045E-14
        1.010000E-02	       -4.725479E-07	       -7.704030E-08	       -3.301178E-06	       -1.916792E-07	       -1.183404E-05	       -3.034059E-07	       -1.107924E-07	       -4.382310E-06	       -2.031270E-05	       -2.697765E-04	       -9.898734E-07	        1.399470E-07	       -1.038814E-06	       -1.477523E-05	        1.417853E-12	        1.296623E-05	       -3.872722E-06	       -5.873364E-09	       -1.171770E-05	       -6.760408E-07	        9.153006E-08	       -1.061932E-08	       -7.623280E-07	       -8.724827E-07	       -5.594264E-12	       -5.616775E-06	        1.117626E-05	       -2.573630E-13	        5.151374E-04	       -1.090595E-05	       -7.772275E-07	        6.281400E-07	        3.171806E-06	        2.010148E-04	        4.647557E-08	       -1.611953E-07	       -6.768458E-06	       -8.538710E-05	        7.512348E-05	        1.518049E-04	        4.436329E-05	       -3.412285E-08	       -1.372892E-12	        1.561630E-07	       -3.119491E-06	        5.710948E-05	       -1.638344E-06	       -5.385850E-04	       -2.638036E-11	        9.728921E-03	       -7.051362E-09	        9.860473E-03	        2.082426E-06	       -7.250627E-04	        2.215773E-04	       -1.510980E-06	        0.000000E+00	       -2.529371E-06	       -3.978666E-05	        4.255407E-06	        1.169773E-13	       -6.243293E-06	        3.537785E-14	        3.334232E-06	       -8.612501E-07	        1.022611E-02	       -4.762262E-05	       -1.420477E-07	       -5.114925E-07	       -9.629596E-03	        9.629177E-03	        6.886671E-17	        8.751124E-15	        1.038202E-10	       -3.299476E-09	       -3.077188E-09	       -1.210237E-09	       -2.417708E-10	       -5.190735E-11	        1.319592E-14	       -7.299436E-10	        9.743109E-09	       -6.116524E-11	        2.152667E-10	        3.979682E-10	        1.010311E-06	        4.756145E-11	        2.647626E-10	        2.583449E-16	       -5.763523E-11	       -1.400014E-11	       -8.422344E-11	       -7.546539E-06	        7.437493E-12	       -1.368397E-08	        1.292038E-10	        1.479066E-11	        1.364327E-08	        7.545639E-06	       -1.011334E-06	       -1.018403E-12	       -1.326483E-10	        1.392868E-18	       -1.988649E-15	        1.623519E-12	       -2.015990E-13	       -1.061300E-13
        1.101020E-02	       -6.500072E-07	       -4.949692E-07	       -3.109085E-06	       -4.629046E-07	       -2.260993E-05	       -1.672955E-07	       -2.812573E-07	       -1.143572E-05	       -3.492153E-05	       -2.941594E-04	       -1.692071E-06	        2.366768E-07	       -8.544776E-07	       -2.155907E-05	        4.726832E-12	        1.822557E-05	       -4.500435E-06	       -1.072496E-08	       -9.573886E-06	       -1.228885E-06	        1.660711E-07	       -3.608419E-08	       -1.138845E-06	        5.654001E-07	       -1.048643E-11	       -5.313523E-06	        1.671132E-05	       -5.290807E-13	        1.229900E-03	       -2.105938E-05	       -1.332466E-06	       -1.664559E-06	        1.341626E-06	        2.192909E-04	        7.896441E-08	       -2.302431E-07	       -1.234814E-05	       -1.275703E-04	        8.674009E-05	        2.860777E-04	        4.143454E-05	       -5.032601E-08	       -4.838028E-12	        2.333006E-07	       -3.563335E-06	        5.460809E-05	       -1.607866E-06	       -1.371798E-03	       -1.083326E-10	        9.122496E-03	       -1.440446E-08	        9.408062E-03	        2.368617E-06	       -1.619598E-03	        2.475857E-04	       -3.018861E-06	        0.000000E+00	       -4.267645E-06	       -1.137230E-04	        5.480625E-06	        1.175383E-13	       -7.054638E-06	        7.886087E-14	        4.544249E-06	       -1.817135E-06	        1.041339E-02	       -4.392780E-05	       -3.121329E-07	       -8.289016E-07	       -9.002055E-03	        9.000723E-03	        1.897600E-17	        6.779607E-15	        2.234358E-10	       -4.448312E-09	       -1.449238E-09	       -2.033237E-09	       -7.228223E-10	       -7.264976E-11	        3.023713E-14	       -8.599602E-10	        1.136321E-08	       -1.285657E-10	        2.794351E-12	        2.282013E-10	        6.442905E-07	        5.356812E-11	        1.585090E-10	        1.448251E-16	       -7.002185E-11	       -2.710393E-11	       -1.046732E-10	        6.952790E-05	        1.074700E-11	        9.796760E-10	        3.143528E-10	       -1.065098E-11	       -1.005010E-09	       -6.952877E-05	       -6.455872E-07	       -2.136633E-12	       -2.306300E-10	        7.328252E-20	       -1.952562E-15	       -3.528926E-13	       -3.273789E-13	       -3.451631E-13
        1.200300E-02	       -3.099225E-07	       -2.687493E-05	       -1.613181E-06	       -5.643893E-07	       -8.350843E-05	       -3.085939E-08	       -1.556362E-07	       -9.637439E-05	       -4.530341E-05	       -9.911988E-05	        1.585427E-06	        1.893696E-07	       -5.113170E-08	       -4.417123E-05	       -6.979349E-12	        1.431877E-05	       -1.057032E-06	       -2.214458E-09	        2.145760E-06	       -7.000567E-07	        6.279762E-08	       -2.036449E-08	       -1.164611E-06	        5.304284E-06	       -9.915703E-13	       -1.306081E-06	        1.769439E-05	       -8.076522E-14	        5.044948E-03	       -3.508453E-05	       -6.210384E-07	       -6.349738E-06	       -5.518374E-06	        7.392543E-05	        3.728999E-08	       -1.554357E-07	       -2.234030E-05	       -2.111396E-04	        4.740837E-05	        8.238027E-04	        1.751065E-05	       -2.544071E-08	        6.129449E-12	        1.223115E-07	       -1.196383E-06	        1.691402E-05	       -4.604454E-07	       -5.936749E-03	       -2.014170E-10	        3.071201E-03	       -9.794740E-09	        4.029412E-03	        5.489097E-07	       -6.083298E-03	        1.008493E-04	       -1.021744E-06	        0.000000E+00	       -3.273871E-06	       -6.089340E-04	        2.669346E-06	       -8.849619E-13	       -1.669882E-06	        3.228729E-13	        1.023747E-06	       -1.150663E-06	        8.662011E-03	       -1.373875E-05	       -2.169216E-07	       -3.539030E-07	       -2.928630E-03	        2.924059E-03	       -4.620121E-17	       -1.892868E-13	       -4.690156E-12	       -5.144637E-09	        1.205628E-09	       -3.402254E-09	       -4.610104E-09	       -6.148913E-11	        2.865649E-14	       -6.724418E-10	        1.596727E-08	       -6.076773E-10	       -1.052791E-10	       -1.282625E-10	        5.127043E-08	       -4.186092E-11	        3.606046E-09	        1.368853E-16	       -5.292466E-11	       -1.151724E-10	       -7.268024E-11	        1.293334E-04	        8.110874E-12	        4.829310E-09	        1.850187E-10	       -1.652344E-11	       -4.827673E-09	       -1.293337E-04	       -5.681464E-08	       -2.906788E-12	       -1.888868E-11	        1.329487E-17	       -1.614295E-17	       -9.750522E-12	       -1.943164E-13	       -1.277148E-12
