y	eta	V	G	Z	P	rhoVel2	temperature	Y_AR	Y_N2	Y_A1CO	Y_H2O2	Y_CH	Y_T-CH2	Y_CVCCVCCJVO	Y_CH2CHO	Y_CH2OH	Y_A1-	Y_TXC5H5O	Y_OC6H4O	Y_C2H3CHO	Y_N-C4H5	Y_C5H4CH2	Y_C3H3	Y_S-CH2	Y_A1CHO	Y_A1CH2O	Y_C6H5CYCH2O	Y_C6H5OCH2	Y_C5H4CH3	Y_C5H6	Y_C5H5CH3-1	Y_C3H2	Y_A-C3H4	Y_A1OH	Y_C6H6O-24	Y_CH2CO	Y_HCCO	Y_C2H3	Y_CH4	Y_C2H6	Y_A-C3H5	Y_C3H6	Y_CH3O	Y_C2H2	Y_C5H5	Y_O	Y_A1	Y_HCO	Y_CH2O	Y_HO2	Y_H	Y_C2H4	Y_C2H5	Y_A1O	Y_CH3	Y_OH	Y_CO	Y_C6H5OCH3	Y_CO2	Y_O2	Y_H2	Y_H2O	Y_OC8H7OOH	X_AR	X_N2	X_A1CO	X_H2O2	X_CH	X_T-CH2	X_CVCCVCCJVO	X_CH2CHO	X_CH2OH	X_A1-	X_TXC5H5O	X_OC6H4O	X_C2H3CHO	X_N-C4H5	X_C5H4CH2	X_C3H3	X_S-CH2	X_A1CHO	X_A1CH2O	X_C6H5CYCH2O	X_C6H5OCH2	X_C5H4CH3	X_C5H6	X_C5H5CH3-1	X_C3H2	X_A-C3H4	X_A1OH	X_C6H6O-24	X_CH2CO	X_HCCO	X_C2H3	X_CH4	X_C2H6	X_A-C3H5	X_C3H6	X_CH3O	X_C2H2	X_C5H5	X_O	X_A1	X_HCO	X_CH2O	X_HO2	X_H	X_C2H4	X_C2H5	X_A1O	X_CH3	X_OH	X_CO	X_C6H5OCH3	X_CO2	X_O2	X_H2	X_H2O	X_OC8H7OOH	f	U	velocity	TotEnt	HeatRelease	density	mean_molar_mass	cp	lambda	mu	chi	ProgVar	ProdRateProgVar	ZBilger	ProdRateCO2	ProdRateH2O	ProdRateCO	ProdRateH2
0	-3.99399	0.207538	0	0.999991	3951.71	0.0373568	433	0.82882	1.73161e-23	1.78042e-16	4.82042e-13	3.19568e-34	5.10159e-21	8.91382e-21	1.07496e-14	6.62076e-17	5.44276e-18	1.72489e-15	7.69755e-14	1.8195e-14	4.49076e-18	2.09916e-11	6.28245e-12	4.33072e-26	1.98464e-12	1.72643e-16	6.30632e-23	1.36673e-14	6.97413e-11	1.81613e-10	1.74914e-10	3.93947e-11	2.0517e-10	3.76981e-11	8.92348e-12	7.67366e-11	5.82604e-15	2.54393e-15	0.0391106	9.8954e-09	3.13782e-12	2.29509e-11	5.52659e-14	1.19559e-07	2.45977e-11	3.59366e-21	4.71375e-11	1.41119e-14	3.80571e-10	2.63576e-14	2.02923e-18	1.2879e-08	1.11974e-12	1.0668e-11	1.84606e-12	5.59026e-22	9.13925e-06	0.131989	8.1736e-07	6.57381e-09	5.86123e-05	1.16438e-05	9.01459e-61	0.849048	2.529e-23	6.93178e-17	5.79921e-13	1.00458e-33	1.48847e-20	4.49846e-21	1.02199e-14	8.73047e-17	2.8889e-18	8.70487e-16	2.91425e-14	1.32816e-14	3.46223e-18	1.09981e-11	6.5831e-12	1.26355e-25	7.65349e-13	6.59508e-17	2.40906e-23	5.22103e-15	3.60739e-11	1.12441e-10	8.93366e-11	4.23737e-11	2.0958e-10	1.63931e-11	3.88039e-12	7.47048e-11	5.81112e-15	3.84947e-15	0.0997708	1.34678e-08	3.12658e-12	2.23209e-11	7.28764e-14	1.87921e-07	1.54649e-11	9.19146e-21	2.46966e-11	1.99015e-14	5.18686e-10	3.26778e-14	8.23829e-17	1.87882e-08	1.57685e-12	4.6892e-12	5.02502e-12	1.34507e-21	1.33526e-05	0.049951	7.60027e-07	8.40687e-09	0.00118978	2.64485e-05	2.4247e-61	2.07538e+29	0	0.180192	-173188	0	1.15176	40.923	748.101	0.0264351	2.64563e-05	7.60226e-07	8.02127e-05	0	1	1.13901e-15	1.2941e-15	7.17876e-13	-1.50089e-13
0.000157227	-3.75263	0.206449	3.00845	0.999982	3951.71	0.0373568	433.042	0.828817	3.10194e-23	5.86227e-16	8.72168e-13	4.6677e-34	8.65075e-21	2.86691e-20	2.42e-14	1.35869e-16	1.62151e-17	5.05258e-15	2.37981e-13	4.89626e-14	1.21169e-17	6.63629e-11	1.47131e-11	7.34358e-26	6.53962e-12	5.69431e-16	2.11425e-22	4.62321e-14	2.05538e-10	5.13398e-10	5.18216e-10	8.2572e-11	4.82309e-10	1.23919e-10	2.82951e-11	1.72184e-10	9.71734e-15	5.07586e-15	0.0390822	2.09424e-08	7.67733e-12	5.63575e-11	1.13414e-13	2.37187e-07	6.9397e-11	5.37812e-21	1.52888e-10	2.88256e-14	7.81372e-10	4.75112e-14	2.28397e-18	2.60594e-08	2.35741e-12	3.50247e-11	3.16343e-12	8.42708e-22	1.64347e-05	0.131992	1.68966e-06	1.18044e-08	7.04966e-05	1.96387e-05	9.05289e-61	0.848878	4.52946e-23	2.28193e-16	1.04905e-12	1.46703e-33	2.52349e-20	1.44653e-20	2.3003e-14	1.79128e-16	8.60492e-18	2.54934e-15	9.00803e-14	3.57336e-14	9.33988e-18	3.47625e-11	1.54141e-11	2.14218e-25	2.52142e-12	2.17484e-16	8.07501e-23	1.76575e-14	1.06294e-10	3.17795e-10	2.64624e-10	8.87984e-11	4.92577e-10	5.38756e-11	1.23017e-11	1.67592e-10	9.69055e-15	7.67927e-15	0.0996787	2.84973e-08	7.64833e-12	5.47997e-11	1.49524e-13	3.72732e-07	4.36223e-11	1.37528e-20	8.00866e-11	4.06436e-14	1.06474e-09	5.88923e-14	9.27065e-17	3.80086e-08	3.31911e-12	1.53924e-11	8.60925e-12	2.02724e-21	2.40066e-05	0.049942	1.57083e-06	1.5093e-08	0.00143074	4.46002e-05	2.43452e-61	2.06449e+29	0.0572749	0.179299	-173152	5.16546e-05	1.15142	40.9149	748.247	0.0264616	2.64586e-05	6.91573e-07	0.00010826	1.58209e-12	0.999994	3.43036e-15	1.94687e-15	2.02593e-12	-4.49214e-13
0.000307045	-3.52271	0.20442	5.88261	0.999967	3951.71	0.0373568	433.12	0.828817	5.41133e-23	1.84114e-15	1.53611e-12	9.02759e-33	1.86287e-20	1.04561e-19	5.25891e-14	2.70386e-16	5.0349e-17	1.41623e-14	7.03027e-13	1.26426e-13	3.13884e-17	2.00343e-10	3.32161e-11	1.58148e-25	2.05406e-11	1.41981e-15	5.28271e-22	1.14471e-13	5.79624e-10	1.39045e-09	1.46886e-09	1.67511e-10	1.09282e-09	3.88496e-10	8.5668e-11	3.72988e-10	1.98163e-14	1.04555e-14	0.0390389	4.28822e-08	1.80806e-11	1.3319e-10	2.25421e-13	4.56373e-07	1.8759e-10	1.92086e-20	4.73194e-10	5.76779e-14	1.5539e-09	8.3336e-14	5.51473e-18	5.11021e-08	4.80287e-12	1.09694e-10	5.28735e-12	3.39261e-21	2.87758e-05	0.131995	3.38233e-06	2.06401e-08	8.40534e-05	3.23372e-05	9.18245e-61	0.848696	7.89994e-23	7.16523e-16	1.84726e-12	2.83672e-32	5.43297e-20	5.27462e-20	4.99772e-14	3.56398e-16	2.67131e-17	7.14419e-15	2.66052e-13	9.22479e-14	2.41895e-17	1.04922e-10	3.47914e-11	4.6123e-25	7.91796e-12	5.42154e-16	2.01721e-22	4.37108e-14	2.99689e-10	8.60512e-10	7.49903e-10	1.80104e-10	1.11585e-09	1.68868e-10	3.72375e-11	3.62962e-10	1.97575e-14	1.58147e-14	0.0995469	5.83393e-08	1.80084e-11	1.2948e-10	2.97129e-13	7.17024e-07	1.17892e-10	4.91095e-20	2.47818e-10	8.13074e-14	2.11697e-09	1.03277e-13	2.23796e-16	7.45184e-08	6.76073e-12	4.81972e-11	1.43864e-11	8.1596e-21	4.20245e-05	0.0499325	3.14379e-06	2.63845e-08	0.0017055	7.3423e-05	2.46883e-61	2.0442e+29	0.111993	0.177608	-173108	0.000137697	1.15097	40.9061	748.415	0.0264929	2.64628e-05	1.2916e-06	0.000148549	4.92206e-12	0.999969	1.22252e-14	7.84202e-15	5.94642e-12	-1.04442e-12
0.000446338	-3.30905	0.201676	8.5617	0.999942	3951.71	0.0373568	433.257	0.828818	9.09684e-23	5.429e-15	2.60571e-12	5.11297e-34	4.21112e-20	3.68361e-19	1.08873e-13	5.15525e-16	1.5025e-16	3.74141e-14	1.95398e-12	3.08689e-13	7.69307e-17	5.68618e-10	7.13188e-11	3.58147e-25	6.05713e-11	3.2424e-15	1.21104e-21	2.6036e-13	1.54046e-09	3.55438e-09	3.92299e-09	3.24848e-10	2.35456e-09	1.14361e-09	2.43825e-10	7.69869e-10	4.2592e-14	2.11284e-14	0.0389762	8.38978e-08	4.04207e-11	2.98754e-10	4.28611e-13	8.41675e-07	4.7865e-10	6.53392e-20	1.37573e-09	1.10974e-13	2.95687e-09	1.40712e-13	1.37475e-17	9.59575e-08	9.35191e-12	3.22589e-10	8.53403e-12	1.3042e-20	4.85413e-05	0.131999	6.47638e-06	3.47721e-08	9.89754e-05	5.14816e-05	9.58933e-61	0.848509	1.32774e-22	2.11236e-15	3.13282e-12	1.60628e-33	1.22788e-19	1.8578e-19	1.03443e-13	6.79367e-16	7.96991e-17	1.88695e-14	7.39296e-13	2.25187e-13	5.92736e-17	2.97726e-10	7.46845e-11	1.04429e-24	2.33437e-11	1.23784e-15	4.62333e-22	9.93966e-14	7.96301e-10	2.19921e-09	2.00238e-09	3.49191e-10	2.40364e-09	4.96983e-10	1.05961e-10	7.4901e-10	4.24561e-14	3.19512e-14	0.0993649	1.14114e-07	4.02505e-11	2.9037e-10	5.6483e-13	1.32209e-06	3.00743e-10	1.67011e-19	7.20328e-10	1.56403e-13	4.02742e-09	1.74342e-13	5.5777e-16	1.39897e-07	1.31612e-11	1.41707e-10	2.32152e-11	3.13604e-20	7.08746e-05	0.049923	6.01829e-06	4.44398e-08	0.00200784	0.000116865	2.57766e-61	2.01676e+29	0.162997	0.175317	-173059	0.000383279	1.15035	40.8971	748.607	0.0265295	2.647e-05	4.13014e-06	0.000205475	1.48384e-11	0.999916	4.41088e-14	3.01533e-14	1.72733e-11	-2.50913e-12
0.000575071	-3.11171	0.198408	11.0444	0.999899	3951.71	0.0373568	433.48	0.82882	1.47343e-22	1.50349e-14	4.25646e-12	9.64278e-34	9.31983e-20	1.21164e-18	2.14736e-13	9.41972e-16	4.22877e-16	9.31794e-14	5.111e-12	7.1285e-13	1.78461e-16	1.51772e-09	1.45648e-10	7.96367e-25	1.67769e-10	7.13068e-15	2.68031e-21	5.71012e-13	3.85935e-09	8.57777e-09	9.87498e-09	6.02191e-10	4.82436e-09	3.16194e-09	6.52558e-10	1.51417e-09	9.04597e-14	4.11819e-14	0.0388887	1.56835e-07	8.57905e-11	6.36116e-10	7.7939e-13	1.48776e-06	1.15308e-09	2.06331e-19	3.7583e-09	2.04735e-13	5.38347e-09	2.28598e-13	3.36506e-17	1.72529e-07	1.74031e-11	8.91064e-10	1.32974e-11	4.68609e-20	7.88767e-05	0.132005	1.18612e-05	5.64333e-08	0.000115087	7.92278e-05	1.07828e-60	0.848323	2.15009e-22	5.84863e-15	5.11637e-12	3.02869e-33	2.71688e-19	6.10945e-19	2.0398e-13	1.24107e-15	2.24262e-16	4.69839e-14	1.93334e-12	5.19907e-13	1.3747e-16	7.94496e-10	1.52488e-10	2.32154e-24	6.46427e-11	2.72165e-15	1.02302e-21	2.17945e-13	1.99455e-09	5.30618e-09	5.0393e-09	6.47175e-10	4.92384e-09	1.3738e-09	2.83523e-10	1.47282e-09	9.0151e-14	6.22633e-14	0.09912	2.13272e-07	8.54104e-11	6.18127e-10	1.02686e-12	2.33645e-06	7.24339e-10	5.27281e-19	1.9674e-09	2.88483e-13	7.33096e-09	2.83172e-13	1.36499e-15	2.51475e-07	2.44865e-11	3.91341e-10	3.61651e-11	1.12656e-19	0.000115141	0.0499142	1.10198e-05	7.21077e-08	0.00233417	0.000179811	2.89782e-61	1.98408e+29	0.210262	0.172603	-173007	0.00105073	1.1495	40.888	748.831	0.0265724	2.64817e-05	1.21693e-05	0.000285053	4.27104e-11	0.999822	1.5131e-13	1.08336e-13	4.83751e-11	-5.92427e-12
0.000693811	-2.92985	0.194769	13.3412	0.999834	3951.71	0.0373568	433.829	0.828818	2.30263e-22	3.91491e-14	6.705e-12	6.4182e-32	1.98647e-19	3.68879e-18	4.04102e-13	1.65279e-15	1.11828e-15	2.19045e-13	1.25969e-11	1.55912e-12	3.92498e-16	3.81424e-09	2.83342e-10	1.71315e-24	4.36961e-10	1.52232e-14	5.7796e-21	1.21616e-12	9.12659e-09	1.95694e-08	2.34587e-08	1.06872e-09	9.41447e-09	8.22078e-09	1.64422e-09	2.84198e-09	1.85639e-13	7.70451e-14	0.0387713	2.80551e-07	1.73127e-10	1.28761e-09	1.35716e-12	2.52426e-06	2.6262e-09	6.02611e-19	9.65864e-09	3.62347e-13	9.39198e-09	3.57634e-13	7.96186e-17	2.97465e-07	3.09983e-11	2.3145e-09	2.00247e-11	1.5654e-19	0.000123635	0.132013	2.08089e-05	8.83544e-08	0.000132222	0.000118016	1.40555e-60	0.84814	3.35939e-22	1.52259e-14	8.05785e-12	2.01545e-31	5.78966e-19	1.8596e-18	3.8378e-13	2.17713e-15	5.92924e-16	1.10426e-13	4.76403e-12	1.13688e-12	3.02281e-16	1.99625e-09	2.96585e-10	4.99303e-24	1.68328e-10	5.80917e-15	2.2055e-21	4.64086e-13	4.71572e-09	1.2103e-08	1.19686e-08	1.14831e-09	9.60654e-09	3.571e-09	7.14228e-10	2.76378e-09	1.84966e-13	1.1646e-13	0.0987995	3.81426e-07	1.72323e-10	1.25093e-09	1.78771e-12	3.96336e-06	1.64937e-09	1.53965e-18	5.05503e-09	5.10459e-13	1.27869e-08	4.42918e-13	3.22892e-15	4.33487e-07	4.3606e-11	1.01627e-09	5.44498e-11	3.7625e-19	0.00018044	0.0499066	1.93287e-05	1.12871e-07	0.00268113	0.000267786	3.77654e-61	1.94769e+29	0.25399	0.169611	-172959	0.00278472	1.14833	40.8793	749.102	0.0266231	2.64998e-05	3.30855e-05	0.000394683	1.16037e-10	0.999676	4.83452e-13	3.61783e-13	1.28652e-10	-1.34605e-11
0.000803075	-2.7627	0.190895	15.4625	0.999736	3951.71	0.0373568	434.351	0.828809	3.47568e-22	9.5845e-14	1.01962e-11	1.41518e-31	4.06963e-19	1.03555e-17	7.26181e-13	2.78923e-15	2.77584e-15	4.86167e-13	2.9259e-11	3.23137e-12	8.1914e-16	9.02642e-09	5.25507e-10	3.56575e-24	1.07013e-09	3.13827e-14	1.2094e-20	2.50078e-12	2.0378e-08	4.22228e-08	5.26065e-08	1.81759e-09	1.75116e-08	2.00979e-08	3.90067e-09	5.09482e-09	3.64731e-13	1.3818e-13	0.0386193	4.80701e-07	3.32429e-10	2.47954e-09	2.26481e-12	4.11515e-06	5.65715e-09	1.62693e-18	2.33517e-08	6.1563e-13	1.57158e-08	5.38988e-13	1.80208e-16	4.92307e-07	5.28998e-11	5.65316e-09	2.9167e-11	4.84382e-19	0.000187131	0.132024	3.50037e-05	1.33587e-07	0.000150176	0.000170332	2.2435e-60	0.847962	5.06978e-22	3.72685e-14	1.2251e-11	4.4431e-31	1.18587e-18	5.21943e-18	6.89524e-13	3.67337e-15	1.47149e-15	2.45039e-13	1.10633e-11	2.35578e-12	6.30731e-16	4.72321e-09	5.49958e-10	1.03904e-23	4.1216e-10	1.19733e-14	4.61414e-21	9.54106e-13	1.05272e-08	2.61081e-08	2.68345e-08	1.95256e-09	1.78653e-08	8.72853e-09	1.69406e-09	4.95364e-09	3.63337e-13	2.08829e-13	0.0983926	6.53413e-07	3.30819e-10	2.40842e-09	2.98271e-12	6.45994e-06	3.55222e-09	4.1559e-18	1.22191e-08	8.671e-13	2.13922e-08	6.67385e-13	7.30686e-15	7.1728e-07	7.44005e-11	2.48175e-09	7.92928e-11	1.164e-18	0.000273055	0.0499007	3.25072e-05	1.70621e-07	0.00304458	0.000386417	6.02682e-61	1.90895e+29	0.294375	0.16647	-172922	0.0070652	1.14672	40.8712	749.439	0.0266837	2.65266e-05	8.31267e-05	0.000542644	2.95294e-10	0.999466	1.42702e-12	1.11883e-12	3.21915e-10	-2.91669e-11
0.000903368	-2.60953	0.186896	17.4186	0.999596	3951.71	0.0373568	435.099	0.828786	5.07291e-22	2.20645e-13	1.49845e-11	2.0873e-31	8.02496e-19	2.67745e-17	1.24724e-12	4.53505e-15	6.46908e-15	1.01912e-12	6.40635e-11	6.35002e-12	1.62382e-15	2.01193e-08	9.30016e-10	7.20879e-24	2.46456e-09	6.20126e-14	2.44131e-20	4.92603e-12	4.29779e-08	8.61976e-08	1.11408e-07	2.96532e-09	3.10743e-08	4.62083e-08	8.7147e-09	8.73157e-09	6.82952e-13	2.37678e-13	0.0384298	7.89721e-07	6.07835e-10	4.54612e-09	3.62505e-12	6.45284e-06	1.15315e-08	4.06485e-18	5.31216e-08	1.00517e-12	2.52487e-08	7.82714e-13	3.87481e-16	7.82915e-07	8.65798e-11	1.29857e-08	4.11216e-11	1.38481e-18	0.000273802	0.132038	5.65141e-05	1.95263e-07	0.00016872	0.000238457	4.24556e-60	0.847785	7.39822e-22	8.57804e-14	1.80011e-11	6.55207e-31	2.33802e-18	1.34925e-17	1.18407e-12	5.97148e-15	3.42868e-15	5.13565e-13	2.4219e-11	4.62855e-12	1.25011e-15	1.05258e-08	9.73113e-10	2.10023e-23	9.49051e-10	2.3655e-14	9.3125e-21	1.87906e-12	2.21983e-08	5.32899e-08	5.68187e-08	3.18494e-09	3.16962e-08	2.00647e-08	3.78412e-09	8.48808e-09	6.80219e-13	3.59135e-13	0.0978921	1.07327e-06	6.04783e-10	4.41493e-09	4.77326e-12	1.01278e-05	7.23949e-09	1.03816e-17	2.77916e-08	1.4155e-12	3.43621e-08	9.68997e-13	1.57083e-14	1.14048e-06	1.21747e-10	5.69973e-09	1.11772e-10	3.32717e-18	0.00039945	0.0498972	5.2474e-05	2.49349e-07	0.0034199	0.000540866	1.1403e-60	1.86896e+29	0.331615	0.163293	-172910	0.0170657	1.14454	40.8638	749.869	0.0267564	2.65645e-05	0.00019345	0.000737493	7.01391e-10	0.999179	3.87701e-12	3.19607e-12	7.5433e-10	-6.00119e-11
0.000995227	-2.46956	0.182864	19.2207	0.999403	3951.71	0.0373568	436.126	0.828741	7.16945e-22	4.78031e-13	2.13121e-11	1.04104e-30	1.52583e-18	6.38138e-17	2.05018e-12	7.11892e-15	1.4172e-14	2.01969e-12	1.32352e-10	1.18456e-11	3.06246e-15	4.22764e-08	1.5727e-09	1.42149e-23	5.34201e-09	1.16802e-13	4.73448e-20	9.23975e-12	8.57079e-08	1.66689e-07	2.23041e-07	4.64743e-09	5.2676e-08	9.99976e-08	1.83526e-08	1.43253e-08	1.2162e-12	3.92636e-13	0.0382017	1.24574e-06	1.05974e-09	7.94629e-09	5.57195e-12	9.74653e-06	2.22676e-08	9.4209e-18	1.13802e-07	1.57969e-12	3.90006e-08	1.09578e-12	7.88355e-16	1.1981e-06	1.36096e-10	2.8077e-08	5.61726e-11	3.65371e-18	0.000387807	0.132056	8.76975e-05	2.76308e-07	0.000187621	0.000324234	8.71167e-60	0.847604	1.04541e-21	1.85815e-13	2.55983e-11	3.26732e-30	4.44469e-18	3.21526e-17	1.94602e-12	9.37227e-15	7.5101e-15	1.01762e-12	5.00271e-11	8.63295e-12	2.35727e-15	2.21142e-08	1.64532e-09	4.14076e-23	2.05677e-09	4.45478e-14	1.8057e-20	3.52399e-12	4.42614e-08	1.03036e-07	1.13734e-07	4.99083e-09	5.37216e-08	4.34142e-08	7.96781e-09	1.39236e-08	1.21113e-12	5.93182e-13	0.0972956	1.69274e-06	1.05425e-09	7.71575e-09	7.33565e-12	1.52948e-05	1.39775e-08	2.4057e-17	5.95284e-08	2.2242e-12	5.30692e-08	1.35635e-12	3.19544e-14	1.745e-06	1.91346e-10	1.23217e-08	1.52658e-10	8.77707e-18	0.000565681	0.049896	8.14151e-05	3.52787e-07	0.00380243	0.000735309	2.33946e-60	1.82864e+29	0.365922	0.160173	-172936	0.0391341	1.14167	40.8572	750.421	0.0268439	2.66161e-05	0.000418334	0.000987361	1.55432e-09	0.998807	9.68526e-12	8.42362e-12	1.65326e-09	-1.17053e-10
0.00107925	-2.34189	0.178871	20.8812	0.999149	3951.71	0.0373568	437.483	0.828667	9.82905e-22	9.76417e-13	2.93883e-11	4.40508e-30	2.8009e-18	1.40584e-16	3.23163e-12	1.08164e-14	2.92515e-14	3.79123e-12	2.58479e-10	2.10182e-11	5.50774e-15	8.39032e-08	2.54644e-09	2.74257e-23	1.09171e-08	2.09103e-13	8.8074e-20	1.64498e-11	1.61928e-07	3.05936e-07	4.22942e-07	7.01099e-09	8.54738e-08	2.04053e-07	3.64983e-08	2.25438e-08	2.05923e-12	6.24239e-13	0.0379361	1.89058e-06	1.76529e-09	1.32684e-08	8.23907e-12	1.42076e-05	4.08144e-08	2.03245e-17	2.30012e-07	2.3947e-12	5.80326e-08	1.48026e-12	1.51559e-15	1.7677e-06	2.05873e-10	5.72441e-08	7.44427e-11	8.90131e-18	0.000532677	0.132078	0.000131052	3.79199e-07	0.000206669	0.000428921	1.80317e-59	0.847409	1.43302e-21	3.79489e-13	3.52939e-11	1.38235e-29	8.15777e-18	7.08236e-17	3.06702e-12	1.42382e-14	1.54989e-14	1.90994e-12	9.76876e-11	1.53157e-11	4.23888e-15	4.38825e-08	2.66364e-09	7.98789e-23	4.20269e-09	7.97395e-14	3.35862e-20	6.27298e-12	8.36114e-08	1.89082e-07	2.15639e-07	7.52798e-09	8.71583e-08	8.85778e-08	1.58436e-08	2.19086e-08	2.05037e-12	9.42949e-13	0.0966056	2.56861e-06	1.7559e-09	1.28816e-08	1.08455e-11	2.22923e-05	2.56158e-08	5.1893e-17	1.20299e-07	3.37126e-12	7.89555e-08	1.83201e-12	6.14228e-14	2.57427e-06	2.89409e-10	2.51182e-08	2.02282e-10	2.13801e-17	0.000776889	0.0498971	0.000121647	4.8409e-07	0.00418787	0.000972584	4.84161e-60	1.78871e+29	0.397535	0.157185	-173018	0.0851233	1.13797	40.8515	751.125	0.0269485	2.66839e-05	0.000844162	0.00129932	3.21985e-09	0.998344	2.22745e-11	2.04945e-11	3.39362e-09	-2.16535e-10
0.00115607	-2.22559	0.174968	22.4135	0.998824	3951.71	0.0373568	439.215	0.828555	1.30999e-21	1.88533e-12	3.93758e-11	1.59401e-29	4.9672e-18	2.87467e-16	4.89697e-12	1.59528e-14	5.70638e-14	6.75877e-12	4.78476e-10	3.55672e-11	9.47419e-15	1.57696e-07	3.95811e-09	5.1848e-23	2.10914e-08	3.55627e-13	1.57255e-19	2.77755e-11	2.90617e-07	5.34358e-07	7.61687e-07	1.02055e-08	1.33103e-07	3.9368e-07	6.87299e-08	3.41158e-08	3.31916e-12	9.57545e-13	0.0376357	2.76727e-06	2.81693e-09	2.12201e-08	1.17462e-11	2.00347e-05	7.11987e-08	4.0991e-17	4.39776e-07	3.51077e-12	8.33832e-08	1.93231e-12	2.75471e-15	2.52062e-06	3.00434e-10	1.10349e-07	9.58645e-11	2.0067e-17	0.000711064	0.132102	0.000189049	5.05785e-07	0.000225684	0.000553124	3.62826e-59	0.847191	1.90965e-21	7.32652e-13	4.72826e-11	5.00152e-29	1.44655e-17	1.44802e-16	4.64697e-12	2.09969e-14	3.02316e-14	3.40452e-12	1.80809e-10	2.59141e-11	7.29065e-15	8.24669e-08	4.13977e-09	1.50992e-22	8.11843e-09	1.35598e-13	5.99603e-20	1.05906e-11	1.50041e-07	3.30217e-07	3.88301e-07	1.09568e-08	1.3571e-07	1.70872e-07	2.98314e-08	3.31504e-08	3.30448e-12	1.44625e-12	0.095829	3.75926e-06	2.8016e-09	2.0599e-08	1.54601e-11	3.14314e-05	4.468e-08	1.04646e-16	2.29981e-07	4.94186e-12	1.13432e-07	2.39118e-12	1.11627e-13	3.67027e-06	4.22288e-10	4.84141e-08	2.60458e-10	4.81931e-17	0.00103693	0.0499	0.00017546	6.45611e-07	0.00457262	0.00125406	9.74089e-60	1.74968e+29	0.426708	0.154383	-173172	0.17573	1.13334	40.8465	752.009	0.0270723	2.6769e-05	0.00159743	0.00167892	6.25717e-09	0.997786	4.7308e-11	4.61271e-11	6.54449e-09	-3.80753e-10
0.00122634	-2.11968	0.171191	23.831	0.998421	3951.71	0.0373568	441.356	0.828398	1.70112e-21	3.45198e-12	5.13787e-11	4.67514e-29	8.51167e-18	5.48254e-16	7.15328e-12	2.29047e-14	1.05592e-13	1.14785e-11	8.42141e-10	5.75746e-11	1.56381e-14	2.81567e-07	5.9233e-09	9.59976e-23	3.86417e-08	5.75217e-13	2.69975e-19	4.45192e-11	4.97009e-07	8.90935e-07	1.30684e-06	1.43726e-08	1.9949e-07	7.20364e-07	1.22935e-07	4.97839e-08	5.1043e-12	1.42077e-12	0.037305	3.91704e-06	4.31869e-09	3.26002e-08	1.61854e-11	2.73989e-05	1.18572e-07	7.76386e-17	7.97916e-07	4.99127e-12	1.15988e-07	2.44192e-12	4.74186e-15	3.48255e-06	4.24083e-10	2.01753e-07	1.20166e-10	4.1999e-17	0.000924555	0.132126	0.000263939	6.57159e-07	0.000244521	0.000696776	6.99376e-59	0.846936	2.47955e-21	1.34132e-12	6.16888e-11	1.46675e-28	2.47849e-17	2.76135e-16	6.78733e-12	3.01434e-14	5.59351e-14	5.7813e-12	3.18198e-10	4.19439e-11	1.20326e-14	1.47229e-07	6.19448e-09	2.79533e-22	1.48721e-08	2.19302e-13	1.02928e-19	1.6973e-11	2.56571e-07	5.50509e-07	6.66139e-07	1.54288e-08	2.03374e-07	3.12631e-07	5.33526e-08	4.83697e-08	5.08115e-12	2.14565e-12	0.0949764	5.32059e-06	4.29471e-09	3.16426e-08	2.13007e-11	4.298e-05	7.44001e-08	1.98182e-16	4.17223e-07	7.02507e-12	1.5777e-07	3.02147e-12	1.9213e-13	5.07037e-06	5.96022e-10	8.85071e-08	3.26449e-10	1.00854e-16	0.00134811	0.0499038	0.000244939	8.3874e-07	0.00495372	0.00157958	1.87742e-59	1.71191e+29	0.453694	0.151803	-173413	0.34477	1.12772	40.842	753.097	0.0272168	2.68726e-05	0.00284951	0.00212979	1.14556e-08	0.997135	9.31842e-11	9.63536e-11	1.19046e-08	-6.38521e-10
