T[K]        	1000/T[1/K]  	IDT[ms]     
1.500000E+03	6.666670E-01	7.679190E+00
1.525000E+03	6.557380E-01	5.868590E+00
1.550000E+03	6.451610E-01	4.504550E+00
1.575000E+03	6.349210E-01	3.490820E+00
1.600000E+03	6.250000E-01	2.725060E+00
1.625000E+03	6.153850E-01	2.153030E+00
1.650000E+03	6.060610E-01	1.705100E+00
1.675000E+03	5.970150E-01	1.373970E+00
1.700000E+03	5.882350E-01	1.111200E+00
1.725000E+03	5.797100E-01	9.160030E-01
1.750000E+03	5.714290E-01	7.466140E-01
1.775000E+03	5.633800E-01	6.221670E-01
1.800000E+03	5.555560E-01	5.252750E-01
1.825000E+03	5.479450E-01	4.458220E-01
1.850000E+03	5.405410E-01	3.799350E-01
1.875000E+03	5.333330E-01	3.248380E-01
1.900000E+03	5.263160E-01	2.805650E-01
1.925000E+03	5.194810E-01	2.389920E-01
1.950000E+03	5.128210E-01	2.078900E-01
1.975000E+03	5.063290E-01	1.834670E-01
2.000000E+03	5.000000E-01	1.597420E-01
2.025000E+03	4.938270E-01	1.399450E-01
2.050000E+03	4.878050E-01	1.264550E-01
2.075000E+03	4.819280E-01	1.113100E-01
2.100000E+03	4.761900E-01	9.868870E-02
2.125000E+03	4.705880E-01	8.850690E-02
2.150000E+03	4.651160E-01	7.855210E-02
2.175000E+03	4.597700E-01	7.152880E-02
2.200000E+03	4.545450E-01	6.515080E-02
2.225000E+03	4.494380E-01	5.798680E-02
2.250000E+03	4.444440E-01	5.203920E-02
