            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -0.000000E+00	       -0.000000E+00	       -2.465333E-16	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.006953E-18	       -0.000000E+00	       -1.376542E-17	       -2.498141E-09	       -1.682433E-14	       -6.578713E-16	       -2.092616E-16	       -1.030287E-15	       -0.000000E+00	       -1.925937E-14	       -8.416162E-13	       -0.000000E+00	       -6.013660E-12	       -2.098292E-12	       -7.923068E-16	       -0.000000E+00	       -0.000000E+00	       -1.209820E-12	       -0.000000E+00	       -8.208955E-16	       -3.652011E-17	       -0.000000E+00	       -6.628018E-14	       -1.605669E-12	       -4.109384E-15	       -1.954470E-12	       -4.526567E-12	       -4.380490E-12	       -3.862512E-23	       -6.399434E-23	       -0.000000E+00	       -1.292076E-11	       -1.246770E-12	       -2.108301E-12	       -6.367503E-11	       -3.774438E-12	       -0.000000E+00	       -2.063870E-14	       -9.491971E-12	       -1.339919E-11	       -1.651311E-14	       -1.614851E-11	       -0.000000E+00	       -1.685950E-12	       -0.000000E+00	       -3.896773E-15	       -9.665406E-14	       -1.023225E-10	       -1.583482E-11	       -6.494861E-13	       -0.000000E+00	       -5.826091E-16	       -3.091719E-22	       -1.240706E-12	       -0.000000E+00	       -1.473788E-12	       -1.735786E-11	       -9.736777E-15	       -9.002151E-15	       -5.149342E-15	       -5.424169E-10	       -1.754442E-16	       -3.766284E-11	       -9.865668E-08	       -1.353194E-14	       -0.000000E+00	       -0.000000E+00	       -1.650881E-15	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -4.103637E-16	       -1.329718E-13	       -2.989726E-14	       -3.268072E-16	       -1.085139E-19	       -1.347334E-12	       -7.830260E-13	       -0.000000E+00	       -0.000000E+00	       -2.164625E-17	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -4.040305E-15	       -1.830156E-10	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00
        2.000000E-03	       -0.000000E+00	       -0.000000E+00	       -9.850815E-14	       -6.467446E-13	       -3.760874E-13	       -2.282278E-13	       -3.628386E-16	       -0.000000E+00	       -1.198070E-13	       -4.164040E-08	       -1.476416E-13	       -2.974996E-14	       -1.003835E-13	       -1.207271E-13	       -0.000000E+00	       -9.215658E-13	       -3.170129E-11	       -0.000000E+00	       -2.113204E-10	       -6.503317E-11	       -1.044785E-14	       -5.806050E-18	       -6.043838E-12	       -5.430672E-11	       -0.000000E+00	       -4.309554E-13	       -1.678677E-15	       -0.000000E+00	       -1.350235E-12	       -6.115603E-11	       -4.031180E-13	       -6.394338E-11	       -1.367434E-10	       -1.441080E-10	       -3.248100E-20	       -6.610561E-19	       -0.000000E+00	       -4.774351E-10	       -4.031911E-11	       -7.851038E-11	       -1.044261E-09	       -1.711856E-11	       -0.000000E+00	       -1.962075E-12	       -3.335898E-10	       -4.220874E-10	       -1.659099E-12	       -5.939516E-10	       -1.093403E-24	       -5.595507E-11	       -1.639657E-22	       -8.042479E-14	       -9.232217E-12	       -1.864756E-09	       -1.854135E-10	       -4.544748E-11	       -0.000000E+00	       -1.471415E-14	       -7.329974E-21	       -2.547593E-11	       -0.000000E+00	       -8.391446E-11	       -1.789843E-11	       -9.284699E-13	       -1.586253E-13	       -2.439253E-13	       -9.082960E-09	       -9.179158E-15	       -1.053742E-09	       -1.598126E-06	       -4.804512E-13	       -0.000000E+00	       -0.000000E+00	       -2.607064E-14	       -3.892594E-18	       -6.276270E-15	       -5.762286E-16	       -0.000000E+00	       -9.904932E-15	       -2.605112E-13	       -2.017712E-13	       -2.216764E-15	       -4.059395E-18	       -9.077149E-12	       -6.605544E-12	       -0.000000E+00	       -1.460925E-21	       -9.080170E-16	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.728212E-14	       -3.011668E-09	       -0.000000E+00	       -6.167503E-14	       -0.000000E+00	       -2.787316E-16	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.195515E-23	       -8.113035E-23	       -0.000000E+00
        3.100000E-03	       -0.000000E+00	       -0.000000E+00	       -7.987894E-12	       -2.139678E-11	       -3.757282E-11	       -2.262681E-11	       -3.338547E-14	       -5.047147E-12	       -9.752097E-12	       -3.625666E-07	       -8.584735E-13	       -5.296237E-13	       -9.119592E-12	       -4.324197E-12	       -0.000000E+00	       -1.745971E-11	       -4.225579E-10	       -0.000000E+00	       -3.002314E-09	       -8.753412E-10	       -6.862839E-14	       -9.193823E-16	       -2.739028E-10	       -1.019299E-09	       -0.000000E+00	       -5.413643E-11	       -5.924217E-14	       -0.000000E+00	       -7.190660E-11	       -9.675000E-10	       -6.799630E-12	       -8.524671E-10	       -1.663703E-09	       -1.872587E-09	       -1.145071E-17	       -9.099677E-16	       -1.017600E-13	       -6.883420E-09	       -5.162124E-10	       -1.351865E-09	       -9.257557E-09	       -4.867349E-11	       -0.000000E+00	       -5.496514E-11	       -4.883436E-09	       -5.391338E-09	       -7.434612E-11	       -9.009984E-09	       -1.780833E-21	       -7.810763E-10	       -5.150242E-19	       -1.078915E-12	       -2.529128E-10	       -2.451353E-08	       -1.213884E-09	       -1.109730E-09	       -0.000000E+00	       -3.681945E-13	       -5.316214E-19	       -3.036043E-10	       -0.000000E+00	       -1.809679E-09	       -3.172829E-11	       -3.361420E-11	       -2.711708E-12	       -1.078841E-11	       -7.759028E-08	       -2.095104E-13	       -1.253762E-08	       -1.348458E-05	       -4.194129E-12	       -0.000000E+00	       -4.240076E-15	       -3.733722E-13	       -4.796679E-15	       -1.654632E-13	       -2.441709E-14	       -0.000000E+00	       -1.492775E-13	       -4.042201E-13	       -8.113940E-13	       -9.506653E-15	       -1.253475E-16	       -3.559640E-11	       -2.829836E-11	       -0.000000E+00	       -2.806967E-19	       -1.881764E-14	       -0.000000E+00	       -2.616999E-17	       -0.000000E+00	       -1.102660E-13	       -5.893115E-08	       -0.000000E+00	       -1.004906E-11	       -1.505062E-13	       -1.090566E-14	       -0.000000E+00	       -2.068415E-09	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -4.541187E-20	       -3.408388E-20	       -0.000000E+00
        4.100000E-03	       -1.126602E-11	       -0.000000E+00	       -1.717372E-10	       -1.369123E-10	       -5.884702E-10	       -6.612625E-10	       -7.426008E-13	       -1.673955E-10	       -3.234153E-10	       -1.502111E-06	       -7.865461E-12	       -3.664424E-12	       -1.659824E-10	       -1.438794E-10	       -0.000000E+00	       -1.324129E-10	       -2.339203E-09	       -0.000000E+00	       -1.967284E-08	       -4.799563E-09	       -4.935657E-13	       -2.277073E-14	       -5.021406E-09	       -8.101023E-09	       -1.733530E-17	       -2.741929E-09	       -1.462940E-12	       -0.000000E+00	       -1.192155E-09	       -7.781555E-09	       -6.849553E-11	       -5.207539E-09	       -8.322058E-09	       -9.862997E-09	       -8.257004E-16	       -1.204575E-13	       -1.048067E-11	       -4.324751E-08	       -2.691258E-09	       -9.782627E-09	       -4.505861E-08	       -9.587188E-11	       -0.000000E+00	       -5.566163E-10	       -3.543818E-08	       -2.827004E-08	       -1.037213E-09	       -6.257177E-08	       -2.909647E-19	       -4.510920E-09	       -1.439357E-16	       -8.771020E-12	       -2.187408E-09	       -1.525265E-07	       -4.690556E-09	       -9.270525E-09	       -0.000000E+00	       -8.526754E-12	       -2.783466E-17	       -1.670020E-09	       -0.000000E+00	       -1.423528E-08	       -2.168736E-10	       -4.001566E-10	       -2.699367E-11	       -3.364925E-10	       -3.181975E-07	       -2.741126E-12	       -6.147850E-08	       -5.186605E-05	       -1.104649E-10	       -0.000000E+00	       -1.081855E-11	       -3.467424E-12	       -2.222283E-13	       -2.143999E-12	       -3.178252E-13	       -0.000000E+00	       -1.621458E-12	       -5.807835E-13	       -2.371758E-12	       -3.652935E-14	       -1.913564E-15	       -8.740875E-11	       -7.202328E-11	       -7.977164E-14	       -8.618242E-18	       -1.644719E-13	       -0.000000E+00	       -1.798885E-15	       -0.000000E+00	       -3.269894E-13	       -6.131320E-07	       -0.000000E+00	       -1.600662E-10	       -4.182032E-12	       -1.249760E-13	       -1.286837E-11	       -1.566623E-07	       -0.000000E+00	       -5.112331E-20	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -6.136136E-18	       -8.810833E-19	       -3.105788E-22
        5.000000E-03	       -4.131341E-10	       -0.000000E+00	       -1.850188E-09	       -5.260332E-10	       -5.002178E-09	       -4.744165E-09	       -7.376464E-12	       -1.665840E-09	       -4.458129E-09	       -3.907368E-06	       -8.290318E-11	       -1.516697E-11	       -1.254643E-09	       -1.842191E-09	       -0.000000E+00	       -6.521892E-10	       -8.671712E-09	       -6.209300E-16	       -8.850918E-08	       -1.480067E-08	       -4.937014E-12	       -2.196250E-13	       -3.890476E-08	       -3.662911E-08	       -3.182872E-16	       -3.745050E-08	       -2.092905E-11	       -0.000000E+00	       -8.570802E-09	       -4.347966E-08	       -6.759655E-10	       -2.600528E-08	       -2.463535E-08	       -2.958682E-08	       -2.938284E-14	       -3.563894E-12	       -2.144521E-10	       -1.839982E-07	       -8.081741E-09	       -4.285308E-08	       -1.286378E-07	       -1.554941E-10	       -8.861335E-21	       -3.283792E-09	       -1.687966E-07	       -8.935934E-08	       -6.475239E-09	       -2.963664E-07	       -1.156850E-17	       -1.542217E-08	       -1.059408E-14	       -6.848391E-11	       -9.492562E-09	       -6.564422E-07	       -1.464877E-08	       -3.919897E-08	       -0.000000E+00	       -1.491598E-10	       -7.084784E-16	       -5.875410E-09	       -0.000000E+00	       -5.796526E-08	       -1.621374E-09	       -2.304927E-09	       -2.161939E-10	       -4.797204E-09	       -8.085148E-07	       -2.701777E-11	       -1.719464E-07	       -1.262606E-04	       -1.060334E-09	       -4.485725E-22	       -8.880913E-11	       -1.723488E-11	       -2.957759E-12	       -1.663642E-11	       -1.555925E-12	       -1.044212E-16	       -1.124732E-11	       -8.922377E-13	       -7.169920E-12	       -1.640793E-13	       -1.667423E-14	       -1.644030E-10	       -1.381159E-10	       -1.025816E-12	       -1.423924E-16	       -8.156566E-13	       -3.903051E-20	       -2.542686E-14	       -1.246102E-15	       -9.972837E-13	       -3.163612E-06	       -0.000000E+00	       -9.951311E-10	       -2.591670E-11	       -6.769785E-13	       -1.588531E-10	       -1.232923E-06	       -0.000000E+00	       -3.598162E-18	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.825839E-16	       -1.210466E-17	       -3.464725E-19
        6.000000E-03	       -7.014711E-09	       -1.400194E-12	       -2.117840E-08	       -2.799104E-09	       -5.210961E-08	       -1.557883E-08	       -8.173308E-11	       -1.674881E-08	       -4.979235E-08	       -9.273169E-06	       -1.027393E-09	       -6.621659E-11	       -9.352711E-09	       -2.685190E-08	       -9.418447E-21	       -4.000914E-09	       -4.244374E-08	       -1.037550E-13	       -4.519650E-07	       -3.730773E-08	       -6.600822E-11	       -2.200388E-12	       -2.442696E-07	       -1.544695E-07	       -2.572996E-15	       -2.927097E-07	       -3.532804E-10	       -0.000000E+00	       -5.541098E-08	       -2.683765E-07	       -7.760690E-09	       -1.639660E-07	       -6.560414E-08	       -7.294979E-08	       -1.223909E-12	       -7.520264E-11	       -3.405572E-09	       -9.113266E-07	       -2.050837E-08	       -1.767713E-07	       -3.085184E-07	       -2.638268E-10	       -3.790326E-18	       -1.790523E-08	       -7.659768E-07	       -2.747588E-07	       -3.292857E-08	       -1.656613E-06	       -3.921379E-16	       -5.057930E-08	       -4.723186E-13	       -8.481374E-10	       -3.410359E-08	       -3.358165E-06	       -5.415829E-08	       -1.334439E-07	       -0.000000E+00	       -2.626690E-09	       -2.109877E-14	       -2.233011E-08	       -5.057457E-20	       -1.927031E-07	       -1.511996E-08	       -1.133160E-08	       -2.259198E-09	       -5.724011E-08	       -1.848399E-06	       -2.753300E-10	       -3.874435E-07	       -2.981598E-04	       -8.231589E-09	       -1.792748E-18	       -5.588990E-10	       -7.395833E-11	       -3.224848E-11	       -1.511849E-10	       -5.576535E-12	       -6.669398E-14	       -8.190796E-11	       -1.802826E-12	       -2.976999E-11	       -9.613376E-13	       -1.553234E-13	       -2.969908E-10	       -2.529196E-10	       -6.830884E-12	       -2.805711E-15	       -4.000628E-12	       -4.690745E-17	       -2.766182E-13	       -1.587776E-14	       -4.054563E-12	       -1.415198E-05	       -0.000000E+00	       -5.291620E-09	       -1.198802E-10	       -3.372774E-12	       -1.315621E-09	       -6.866803E-06	       -0.000000E+00	       -1.330591E-16	       -0.000000E+00	       -0.000000E+00	       -9.545630E-18	       -4.062173E-15	       -2.065250E-16	       -3.782277E-17
        7.000000E-03	       -6.164592E-08	       -9.676212E-11	       -1.679479E-07	       -2.077661E-08	       -5.648736E-07	       -2.509857E-08	       -9.993761E-10	       -1.650495E-07	       -4.525636E-07	       -2.134780E-05	       -1.139270E-08	       -3.261659E-10	       -5.742176E-08	       -3.768097E-07	       -4.452678E-18	       -2.823866E-08	       -2.567213E-07	       -8.596401E-12	       -2.389410E-06	       -6.978501E-08	       -8.366414E-10	       -2.539185E-11	       -1.061645E-06	       -5.547647E-07	       -1.805957E-14	       -1.247003E-06	       -5.805142E-09	       -0.000000E+00	       -3.352424E-07	       -1.530949E-06	       -6.850671E-08	       -7.725051E-07	       -1.611187E-07	       -1.338364E-07	       -3.472751E-11	       -1.043490E-09	       -4.270040E-08	       -5.156831E-06	       -4.328430E-08	       -5.886323E-07	       -6.297413E-07	       -6.468565E-10	       -2.146237E-16	       -6.821884E-08	       -2.697245E-06	       -8.299487E-07	       -1.293638E-07	       -1.052540E-05	       -1.086205E-14	       -1.811005E-07	       -1.088054E-11	       -1.165585E-08	       -9.645392E-08	       -1.957664E-05	       -2.151551E-07	       -3.370414E-07	       -0.000000E+00	       -3.341491E-08	       -6.753890E-13	       -9.505681E-08	       -2.996074E-17	       -4.906191E-07	       -1.489962E-07	       -4.201942E-08	       -2.128326E-08	       -4.877272E-07	       -4.054334E-06	       -2.132214E-09	       -6.238444E-07	       -7.339947E-04	       -5.039352E-08	       -4.220823E-17	       -3.309472E-09	       -2.509868E-10	       -2.615622E-10	       -1.101336E-09	       -2.038381E-11	       -1.747585E-12	       -3.716262E-10	       -4.834444E-12	       -1.220083E-10	       -5.268946E-12	       -1.475572E-12	       -5.178398E-10	       -4.425110E-10	       -3.169278E-11	       -4.906547E-14	       -1.901658E-11	       -1.271481E-15	       -2.215129E-12	       -1.511373E-13	       -1.551164E-11	       -4.991159E-05	       -0.000000E+00	       -2.020541E-08	       -4.180064E-10	       -1.326053E-11	       -7.312552E-09	       -2.770683E-05	       -1.088051E-11	       -3.278205E-15	       -2.710479E-15	       -0.000000E+00	       -6.399950E-16	       -6.195391E-14	       -3.339232E-15	       -1.473606E-15
        8.000000E-03	       -2.097505E-07	       -1.859557E-09	       -7.056648E-07	       -8.195355E-08	       -3.386851E-06	       -2.418277E-08	       -9.325617E-09	       -9.484328E-07	       -3.215739E-06	       -5.179815E-05	       -8.378120E-08	       -1.980357E-09	       -2.086581E-07	       -2.920674E-06	       -4.902127E-16	       -1.731224E-07	       -1.024045E-06	       -2.097284E-10	       -7.961420E-06	       -1.034015E-07	       -7.089744E-09	       -2.753912E-10	       -2.114801E-06	       -1.303178E-06	       -1.264728E-13	       -2.746121E-06	       -5.949167E-08	       -9.160931E-16	       -1.890002E-06	       -5.048206E-06	       -2.503650E-07	       -2.041877E-06	       -4.124921E-07	       -1.771362E-07	       -3.897281E-10	       -1.040618E-08	       -3.842024E-07	       -2.481570E-05	       -9.460223E-08	       -1.616649E-06	       -1.231171E-06	       -3.050386E-09	       -6.476971E-15	       -1.572416E-07	       -4.751378E-06	       -1.952496E-06	       -4.154960E-07	       -5.550272E-05	       -2.223780E-13	       -6.960162E-07	       -1.797998E-10	       -1.421628E-07	       -2.259061E-07	       -9.491438E-05	       -8.155378E-07	       -7.300833E-07	       -0.000000E+00	       -3.026785E-07	       -1.843888E-11	       -3.420486E-07	       -8.500315E-16	       -1.101477E-06	       -8.640515E-07	       -1.347365E-07	       -1.494501E-07	       -3.035459E-06	       -9.653067E-06	       -1.110279E-08	       -6.289367E-07	       -1.925629E-03	       -1.867894E-07	       -1.860820E-16	       -1.677460E-08	       -6.328414E-10	       -1.191896E-09	       -3.854881E-09	       -9.501488E-11	       -1.719517E-11	       -6.866100E-10	       -1.630114E-11	       -3.837451E-10	       -2.722088E-11	       -1.399496E-11	       -8.978171E-10	       -7.593607E-10	       -1.013325E-10	       -7.056368E-13	       -8.504116E-11	       -1.371352E-14	       -1.077498E-11	       -9.954762E-13	       -4.283100E-11	       -1.058833E-04	       -0.000000E+00	       -4.248567E-08	       -8.111334E-10	       -2.799424E-11	       -2.064840E-08	       -6.706360E-05	       -7.142733E-11	       -4.228952E-14	       -2.564861E-14	       -1.275546E-22	       -7.795619E-15	       -6.408229E-13	       -3.417537E-14	       -2.053930E-14
        9.000000E-03	       -3.154662E-07	       -1.286104E-08	       -1.748007E-06	       -1.206320E-07	       -8.927356E-06	       -2.869441E-07	       -4.629185E-08	       -2.678340E-06	       -1.142817E-05	       -1.179263E-04	       -3.662017E-07	       -1.085837E-08	       -5.025812E-07	       -9.739105E-06	       -1.992580E-14	       -6.528985E-07	       -2.197645E-06	       -1.224879E-09	       -1.342505E-05	       -2.138930E-07	       -2.688906E-08	       -2.167678E-09	       -1.682581E-06	       -2.068841E-06	       -6.950157E-13	       -4.262065E-06	       -2.757636E-07	       -1.939131E-14	       -9.013402E-06	       -7.914075E-06	       -3.738191E-07	       -3.800652E-06	       -1.177610E-06	       -2.203917E-07	       -1.316682E-09	       -6.724038E-08	       -2.124308E-06	       -6.897379E-05	       -2.600164E-07	       -3.682534E-06	       -2.440662E-06	       -1.422533E-08	       -1.132276E-13	       -2.729242E-07	       -4.097585E-06	       -3.058551E-06	       -1.059165E-06	       -2.130646E-04	       -2.964084E-12	       -1.978665E-06	       -1.594895E-09	       -1.140711E-06	       -4.636084E-07	       -3.159175E-04	       -2.897506E-06	       -1.799349E-06	       -0.000000E+00	       -1.712823E-06	       -3.127279E-10	       -7.484522E-07	       -5.943184E-15	       -2.579208E-06	       -2.393425E-06	       -5.506244E-07	       -6.908880E-07	       -1.405196E-05	       -2.284589E-05	       -4.457842E-08	       -4.536418E-07	       -4.653819E-03	       -4.109965E-07	       -1.926606E-16	       -6.468783E-08	       -1.039218E-09	       -2.606266E-09	       -6.462579E-09	       -3.675686E-10	       -8.133258E-11	       -5.538510E-10	       -5.926771E-11	       -8.052668E-10	       -9.578470E-11	       -8.069560E-11	       -1.439116E-09	       -1.183571E-09	       -3.016247E-10	       -6.638677E-12	       -3.304663E-10	       -7.638780E-14	       -2.619019E-11	       -3.627748E-12	       -8.271707E-11	       -1.340770E-04	       -0.000000E+00	       -4.990134E-08	       -8.929650E-10	       -3.447184E-11	       -3.018920E-08	       -9.868883E-05	       -8.028931E-08	       -2.494897E-13	       -5.049342E-11	       -7.977677E-20	       -4.033497E-14	       -3.830422E-12	       -1.384703E-13	       -9.592251E-14
        1.010000E-02	       -3.603808E-07	       -7.725319E-08	       -2.997311E-06	       -1.300181E-07	       -1.377364E-05	       -4.042463E-07	       -2.211204E-07	       -4.684005E-06	       -1.938578E-05	       -2.877150E-04	       -1.540986E-06	       -4.855952E-08	       -6.010650E-07	       -1.455867E-05	       -5.301329E-13	       -1.469220E-06	       -2.697402E-06	       -3.209705E-09	       -1.358066E-05	       -8.694089E-07	       -6.309948E-08	       -1.626909E-08	       -7.231837E-07	       -3.288124E-06	       -3.529565E-12	       -4.336601E-06	       -9.367965E-07	       -9.202093E-14	       -5.061409E-05	       -8.131270E-06	       -4.461172E-07	       -5.256020E-06	       -3.650046E-06	       -3.531886E-07	       -3.178623E-09	       -2.547703E-07	       -7.322142E-06	       -1.056764E-04	       -7.856223E-07	       -7.371523E-06	       -3.149771E-06	       -4.826955E-08	       -1.545762E-12	       -3.370917E-07	       -2.517796E-06	       -3.153611E-06	       -1.743168E-06	       -9.152736E-04	       -3.091080E-11	       -4.157758E-06	       -8.529399E-09	       -7.147468E-06	       -6.005221E-07	       -1.070613E-03	       -1.324134E-05	       -4.726202E-06	       -0.000000E+00	       -5.693053E-06	       -5.209690E-09	       -1.656189E-06	       -3.184672E-14	       -5.755342E-06	       -4.192606E-06	       -2.273211E-06	       -2.184363E-06	       -6.835001E-05	       -4.956690E-05	       -2.213648E-07	       -5.848714E-07	       -1.017486E-02	       -5.005149E-07	       -1.176456E-16	       -2.908655E-07	       -1.288236E-09	       -3.501133E-09	       -5.099553E-09	       -1.215211E-09	       -3.471784E-10	       -3.247061E-10	       -2.836096E-10	       -1.226302E-09	       -2.267706E-10	       -2.604170E-10	       -1.988314E-09	       -1.503506E-09	       -1.265086E-09	       -5.058172E-11	       -1.225761E-09	       -5.621260E-13	       -4.045921E-11	       -9.032543E-12	       -1.444867E-10	       -9.540730E-05	       -0.000000E+00	       -3.228093E-08	       -4.635247E-10	       -3.797013E-11	       -2.442715E-08	       -1.024115E-04	       -9.152787E-07	       -1.304677E-12	       -1.146131E-10	       -3.469518E-18	       -2.704775E-13	       -1.632488E-11	       -2.420687E-13	       -3.764921E-13
        1.100830E-02	       -5.463272E-07	       -1.218882E-06	       -2.245791E-06	       -5.074179E-07	       -4.199416E-05	       -1.147511E-07	       -3.267506E-07	       -2.188232E-05	       -4.150555E-05	       -1.259675E-04	       -4.338929E-06	       -1.199715E-07	       -2.672724E-07	       -2.738492E-05	       -4.604688E-12	       -2.037790E-06	       -3.432962E-06	       -4.612114E-09	       -1.857404E-05	       -8.811920E-07	       -1.224591E-07	       -6.832190E-08	       -2.117841E-06	       -2.191338E-06	       -2.393481E-12	       -4.153505E-06	       -2.470687E-06	       -1.365356E-13	       -1.750195E-04	       -2.937258E-05	       -8.400342E-07	       -1.190555E-05	       -8.199035E-06	       -3.670239E-07	       -4.643702E-09	       -3.333161E-07	       -1.553306E-05	       -2.438490E-04	       -9.955432E-07	       -1.358626E-05	       -2.497074E-06	       -7.115870E-08	       -7.898203E-12	       -2.555759E-07	       -3.870841E-06	       -5.169618E-06	       -1.148658E-06	       -2.815670E-03	       -1.190088E-10	       -5.419806E-06	       -1.317181E-08	       -2.253940E-05	       -4.870456E-07	       -3.180087E-03	       -3.859733E-05	       -3.063028E-06	       -0.000000E+00	       -8.421818E-06	       -4.406121E-08	       -2.307508E-06	       -1.516593E-13	       -2.926169E-06	       -1.680681E-05	       -1.595577E-06	       -2.341950E-06	       -2.183773E-04	       -1.832017E-05	       -2.941541E-07	       -4.967321E-07	       -3.852130E-03	       -1.765622E-06	       -4.963566E-16	       -9.577244E-07	       -1.451832E-09	       -5.230054E-09	       -4.349217E-09	       -2.336494E-09	       -1.375082E-09	       -2.810213E-10	       -1.089359E-09	       -1.189657E-09	       -5.075151E-10	       -4.774877E-10	       -2.035092E-09	       -1.432099E-09	       -2.716559E-09	       -1.486672E-10	       -1.794368E-09	       -1.321733E-11	       -4.603562E-11	       -2.702427E-11	       -1.417870E-10	       -9.923529E-05	       -0.000000E+00	       -2.265026E-08	       -2.987377E-10	       -4.790601E-11	       -3.356424E-08	       -2.396203E-04	       -4.206790E-07	       -3.445499E-12	       -1.003207E-11	       -4.368386E-18	       -3.868032E-12	       -3.262067E-11	       -2.683205E-13	       -9.228922E-13
        1.200090E-02	       -2.132986E-07	       -6.767921E-04	       -3.660624E-06	       -4.509092E-08	       -3.425401E-04	       -3.018490E-09	       -2.033802E-07	       -4.277166E-04	       -2.922427E-05	       -3.714035E-05	       -3.201062E-06	       -1.766511E-07	       -5.923316E-10	       -7.930441E-05	       -3.928352E-11	       -4.890105E-06	       -2.150995E-07	       -1.402761E-11	       -4.713518E-06	       -6.982210E-07	       -1.746842E-07	       -2.675075E-08	       -1.419784E-07	       -4.383776E-07	       -7.285755E-15	       -1.788245E-07	       -6.538385E-06	       -1.826765E-16	       -1.151535E-03	       -3.451455E-05	       -1.588504E-08	       -9.904796E-06	       -1.998507E-05	       -6.804557E-08	       -2.508761E-09	       -3.669103E-07	       -2.331988E-05	       -4.493224E-04	       -4.985312E-07	       -3.726384E-05	       -2.139943E-07	       -2.788937E-08	       -5.469697E-12	       -5.624926E-11	       -5.349125E-07	       -9.891125E-06	       -2.173414E-07	       -3.653729E-02	       -3.224224E-10	       -4.399224E-06	       -6.940966E-09	       -6.586736E-05	       -1.859671E-09	       -3.819605E-02	       -1.900180E-04	       -6.158811E-07	       -0.000000E+00	       -4.393837E-05	       -1.915365E-06	       -1.823999E-06	       -2.521136E-13	       -4.688870E-07	       -2.736292E-04	       -5.187938E-07	       -1.371925E-06	       -1.440795E-03	       -6.383010E-06	       -2.955102E-07	       -2.670436E-07	       -1.346600E-03	       -1.290815E-05	       -3.127877E-14	       -1.584042E-05	       -2.333025E-09	       -8.738826E-08	       -8.587922E-09	       -2.694610E-08	       -7.715967E-07	       -1.687644E-10	       -1.150106E-08	       -1.135901E-09	       -7.745427E-09	       -4.545687E-09	       -6.934366E-09	       -1.140967E-08	       -9.151099E-07	       -5.471382E-10	       -3.869547E-09	       -7.079287E-09	       -2.326073E-11	       -3.487333E-08	       -1.254698E-10	       -5.062295E-06	      -5.013582E-212	       -1.965389E-12	       -5.345043E-15	       -1.108149E-11	       -5.665234E-11	       -4.287717E-05	       -8.639702E-08	       -6.398756E-12	       -1.916440E-10	       -2.155464E-14	       -3.993674E-10	       -1.701411E-10	       -1.203217E-11	       -4.955244E-10
